@relation problema-weka.filters.unsupervised.attribute.Remove-R5-7

@attribute pkg numeric
@attribute cpu numeric
@attribute mem numeric
@attribute gpu numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
6.355743,5.164597,0.1017,?,0
6.210403,4.977509,0.105057,?,0
6.337967,5.133759,0.102936,?,0
6.267029,5.083313,0.100677,?,0
6.366913,5.158783,0.101913,?,0
6.347534,5.136978,0.102615,?,0
6.204681,4.993195,0.102997,?,0
6.207275,4.97406,0.104568,?,0
6.146484,4.936661,0.104218,?,0
6.322083,5.123352,0.101273,?,0
1.299835,0.995224,0.025635,?,0
1.366547,1.074554,0.024551,?,0
1.305069,1.013199,0.024612,?,0
1.331177,1.068405,0.02211,?,0
1.484268,1.16983,0.026276,?,0
1.657455,1.417328,0.021896,?,0
1.452026,1.201126,0.021179,?,0
1.4552,1.204422,0.021103,?,0
1.400833,1.15036,0.021118,?,0
1.435394,1.184738,0.021103,?,0
6.390457,5.173599,0.102768,?,0
6.337997,5.091492,0.105087,?,0
6.492737,5.271744,0.103119,?,0
6.514999,5.2948,0.102554,?,0
6.467636,5.216507,0.105377,?,0
6.292603,5.053711,0.10495,?,0
7.613571,6.297394,0.107147,?,0
6.481094,5.253281,0.103043,?,0
6.419647,5.198792,0.102661,?,0
6.297546,5.064758,0.104401,?,0
6.271896,5.046356,0.103455,?,0
6.504227,5.276901,0.103409,?,0
6.314087,5.070801,0.104599,?,0
6.305023,5.057739,0.10495,?,0
6.323288,5.068344,0.106018,?,0
6.572708,5.334793,0.104279,?,0
6.46109,5.234726,0.102966,?,0
6.272842,5.025589,0.105011,?,0
6.372391,5.130066,0.10495,?,0
6.552795,5.327591,0.103516,?,0
6.330185,5.097504,0.103882,?,0
6.238022,4.994644,0.104645,?,0
6.319687,5.068909,0.105316,?,0
6.312241,5.068192,0.10463,?,0
6.2771,5.035614,0.104782,?,0
6.353302,5.155914,0.100937,?,0
6.398361,5.180435,0.102341,?,0
6.27832,5.041122,0.104065,?,0
