@relation problema-weka.filters.unsupervised.attribute.Remove-R1-4

@attribute wall_clock numeric
@attribute user_time numeric
@attribute system_time numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
297,256,40,0
308,263,44,0
299,248,52,0
293,236,57,0
297,248,49,0
299,247,53,0
301,249,52,0
305,249,56,0
303,239,64,0
295,235,60,0
73,69,4,0
70,70,0,0
71,70,0,0
64,64,0,0
75,71,4,0
61,57,4,0
60,49,11,0
60,60,0,0
60,56,4,0
60,56,4,0
299,243,56,0
307,246,61,0
301,245,56,0
300,251,49,0
307,235,72,0
307,251,56,0
313,238,75,0
302,258,43,0
299,250,48,0
304,240,65,0
303,251,52,0
300,264,36,0
305,250,55,0
306,250,56,0
309,261,48,0
304,252,53,0
300,257,44,0
306,258,48,0
306,253,53,0
301,253,48,0
303,263,40,0
305,237,69,0
307,250,57,0
305,249,56,0
306,269,36,0
294,243,52,0
298,243,55,0
303,250,52,0
307,263,44,0
303,231,72,0
181,141,40,0
188,122,68,0
186,146,40,0
175,127,48,0
186,138,48,0
179,113,65,0
174,137,37,0
187,143,43,0
187,142,44,0
188,120,68,0
303,256,48,0
308,264,44,0
305,261,44,0
298,233,64,0
304,267,36,0
305,252,52,0
298,238,60,0
295,230,65,0
295,255,40,0
296,228,68,0
288,228,61,0
317,241,76,0
307,251,56,0
315,258,56,0
309,237,73,0
296,256,40,0
300,263,36,0
298,278,20,0
307,264,44,0
297,251,45,0
292,227,65,0
290,249,40,0
294,262,32,0
305,249,56,0
299,234,65,0
303,244,60,0
291,249,40,0
295,250,45,0
304,260,44,0
295,245,49,0
70,69,0,0
70,70,0,0
71,71,0,0
78,78,0,0
70,70,0,0
63,63,0,0
78,74,4,0
63,59,4,0
70,70,0,0
71,70,0,0
301,261,40,0
294,226,69,0
306,254,52,0
301,265,36,0
305,265,40,0
304,252,53,0
305,213,92,0
305,257,48,0
283,231,54,0
296,228,68,0
68,68,0,0
65,65,0,0
76,68,8,0
69,65,4,0
78,73,4,0
70,70,0,0
70,70,0,0
76,69,8,0
79,74,4,0
70,70,0,0
298,233,64,0
288,243,45,0
301,244,57,0
294,233,60,0
305,261,44,0
294,246,49,0
302,225,77,0
294,242,52,0
303,248,55,0
302,235,68,0
303,259,44,0
306,257,49,0
304,256,48,0
301,258,44,0
301,245,56,0
302,270,32,0
302,263,40,0
306,273,32,0
299,247,53,0
303,255,48,0
70,66,4,0
67,63,4,0
62,58,4,0
61,62,0,0
65,65,0,0
70,67,4,0
69,69,0,0
70,65,4,0
62,62,0,0
63,63,0,0
200,196,4,0
206,198,8,0
206,193,12,0
197,196,0,0
196,192,4,0
196,192,4,0
197,193,4,0
196,191,4,0
197,193,4,0
207,199,8,0
306,255,52,0
305,249,56,0
295,259,36,0
296,240,56,0
303,238,65,0
296,264,32,0
304,264,40,0
306,284,24,0
305,253,53,0
305,253,52,0
302,258,44,0
297,261,36,0
288,240,49,0
301,253,48,0
307,271,36,0
300,246,52,0
309,232,76,0
293,252,41,0
300,268,33,0
306,244,61,0
312,260,51,0
298,250,48,0
306,230,77,0
304,259,44,0
313,245,68,0
308,245,64,0
299,251,49,0
298,269,28,0
300,249,52,0
298,234,65,0
305,264,40,0
298,242,56,0
305,264,40,0
307,255,53,0
305,241,64,0
307,263,44,0
301,258,44,0
305,258,48,0
304,256,48,0
308,228,80,0
409,396,4,1
390,386,4,1
386,387,0,1
401,389,12,1
388,384,4,1
392,390,0,1
396,388,8,1
401,399,4,1
379,378,4,1
388,388,0,1
1707,1699,8,1
1705,1693,12,1
1697,1691,4,1
1706,1706,0,1
1692,1684,8,1
1707,1694,12,1
1695,1679,16,1
1705,1693,12,1
1697,1682,12,1
1704,1696,8,1
3030,3018,12,1
3031,3025,4,1
3030,3024,4,1
3029,3025,4,1
3032,3016,16,1
3036,3023,12,1
3039,3034,4,1
3037,3029,8,1
3020,3008,12,1
3039,3027,12,1
254,251,4,1
274,264,8,1
253,253,0,1
275,264,12,1
276,269,8,1
270,266,4,1
269,269,0,1
243,231,12,1
267,263,4,1
262,260,0,1
404,391,12,1
396,384,12,1
401,400,0,1
378,372,8,1
391,379,12,1
375,363,12,1
409,397,12,1
385,378,4,1
382,382,0,1
388,380,8,1
3039,3023,16,1
3040,3027,12,1
3022,3010,12,1
3040,3032,8,1
3036,3022,12,1
3040,3031,8,1
3020,3012,8,1
3032,3024,8,1
3039,3036,4,1
3038,3034,4,1
381,373,8,1
381,377,4,1
379,375,4,1
362,354,8,1
392,384,8,1
389,381,8,1
386,383,0,1
384,371,12,1
382,380,0,1
390,386,4,1
390,390,0,1
412,404,8,1
390,378,12,1
412,403,8,1
399,393,4,1
402,396,4,1
409,403,4,1
405,399,4,1
402,398,4,1
410,401,8,1
259,255,4,1
290,277,12,1
271,254,16,1
269,253,16,1
268,268,0,1
270,266,4,1
277,270,8,1
269,264,4,1
284,280,4,1
262,258,4,1
390,373,16,1
407,399,8,1
407,407,0,1
398,394,4,1
397,393,4,1
396,395,0,1
375,362,12,1
388,379,8,1
398,395,4,1
390,381,8,1
418,415,4,1
403,395,8,1
404,394,12,1
417,406,12,1
408,404,4,1
412,405,8,1
404,392,12,1
415,408,8,1
419,407,12,1
414,406,8,1
776,771,4,1
765,755,8,1
767,760,4,1
775,759,16,1
774,771,4,1
770,763,4,1
777,773,4,1
769,766,0,1
777,769,8,1
767,747,20,1
169,169,0,1
178,174,4,1
166,162,4,1
177,173,4,1
172,171,0,1
180,173,8,1
173,165,8,1
173,161,12,1
176,176,0,1
178,166,12,1
237,235,4,1
240,236,4,1
228,220,8,1
250,240,8,1
222,222,0,1
244,240,4,1
230,225,4,1
245,237,8,1
255,252,4,1
245,242,4,1
424,413,12,1
425,420,4,1
434,435,0,1
430,426,4,1
434,426,8,1
422,418,4,1
421,407,12,1
433,421,12,1
437,431,4,1
433,429,4,1
3073,3065,8,1
3054,3042,12,1
3071,3063,8,1
3065,3053,12,1
3055,3048,4,1
3065,3052,12,1
3066,3060,4,1
3071,3064,4,1
3067,3059,4,1
3066,3066,0,1
353,345,8,1
393,383,8,1
373,365,8,1
381,377,4,1
376,372,4,1
374,365,8,1
377,369,8,1
377,368,8,1
369,366,4,1
373,358,16,1
416,404,12,1
425,418,8,1
418,405,12,1
425,413,12,1
425,421,4,1
428,421,8,1
414,413,0,1
417,414,4,1
430,419,12,1
435,423,12,1
375,374,0,1
383,375,8,1
373,364,8,1
385,385,0,1
369,365,4,1
393,379,12,1
384,375,8,1
359,347,12,1
372,364,8,1
374,362,12,1
197,185,12,1
184,184,0,1
184,179,4,1
204,200,4,1
218,201,16,1
193,193,0,1
211,210,0,1
196,192,4,1
219,211,8,1
203,192,8,1
467,423,40,2
461,422,36,2
450,428,20,2
451,416,35,2
457,430,28,2
442,423,16,2
442,417,28,2
441,419,21,2
450,423,28,2
436,421,16,2
449,431,16,2
435,417,16,2
464,436,28,2
461,441,20,2
471,454,16,2
477,453,24,2
454,436,16,2
442,422,20,2
448,430,19,2
453,416,37,2
463,441,24,2
473,445,28,2
460,423,36,2
469,450,20,2
428,405,24,2
442,416,26,2
435,412,23,2
479,452,25,2
476,435,41,2
434,413,20,2
1148,1130,16,2
1162,1134,28,2
1170,1152,16,2
1157,1130,24,2
1179,1143,36,2
1145,1122,20,2
1169,1142,24,2
1168,1124,40,2
1182,1145,32,2
1169,1146,24,2
434,412,20,2
445,410,33,2
458,430,28,2
465,433,32,2
458,421,36,2
447,429,17,2
434,410,20,2
444,422,20,2
441,415,20,2
424,409,16,2
437,399,36,2
444,406,38,2
461,431,28,2
432,415,16,2
452,419,32,2
437,411,28,2
469,439,32,2
475,454,20,2
438,409,28,2
452,437,17,2
1197,1157,40,2
1204,1178,24,2
1216,1170,45,2
1195,1167,28,2
1223,1168,52,2
1190,1158,32,2
1211,1161,49,2
1213,1161,53,2
1212,1180,28,2
1217,1163,52,2
1158,1136,21,2
1146,1126,16,2
1166,1133,32,2
1149,1139,12,2
1171,1138,32,2
1152,1139,12,2
1166,1138,28,2
1166,1134,32,2
1162,1124,37,2
1154,1129,24,2
469,452,17,2
456,418,36,2
469,437,32,2
463,427,33,2
445,429,16,2
452,431,20,2
440,418,20,2
467,445,20,2
441,418,20,2
431,392,36,2
1125,1083,40,2
1096,1041,56,2
1124,1089,32,2
1108,1064,44,2
1117,1083,32,2
1132,1074,56,2
1133,1091,40,2
1126,1032,93,2
1101,1043,56,2
1098,1044,52,2
1176,1137,36,2
1182,1152,28,2
1172,1143,28,2
1165,1143,20,2
1179,1155,20,2
1164,1148,16,2
1172,1144,24,2
1182,1140,40,2
1173,1157,16,2
1184,1146,36,2
1224,1192,32,2
1214,1185,28,2
1205,1181,24,2
1216,1160,57,2
1213,1185,28,2
1207,1169,36,2
1187,1155,32,2
1202,1181,20,2
1212,1177,36,2
1204,1170,32,2
454,428,28,2
463,430,32,2
435,415,20,2
469,444,24,2
461,429,32,2
437,410,24,2
465,437,28,2
438,425,12,2
413,378,36,2
442,429,12,2
1160,1128,32,2
1182,1156,24,2
1172,1150,24,2
1162,1134,24,2
1167,1137,28,2
1144,1115,28,2
1168,1151,16,2
1148,1130,16,2
1177,1143,32,2
1165,1135,28,2
1190,1169,20,2
1165,1129,33,2
