@relation problema
@attribute 'L1-dcache-load-misses' real
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-stores' real
@attribute 'L1-icache-load-misses' real
@attribute 'LLC-load-misses' real
@attribute 'LLC-loads' real
@attribute 'LLC-store-misses' real
@attribute 'LLC-stores' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'dTLB-store-misses' real
@attribute 'dTLB-stores' real
@attribute 'page-faults' real
@attribute 'iTLB-load-misses' real
@attribute 'iTLB-loads' real
@attribute 'instructions' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
76629,3137627,1521073,445001,9065,58829,1707,9836,1193189,17958,1446710,21711,31054,386860,97181745,3253,443591,270,118268,132,612,272,74191107,25679396,22468000,2930000,39847778,1
76650,2148918,2082764,695559,13393,81000,3155,18898,1769805,30812,1909699,35816,29194,622563,154095566,4718,402146,375,181681,130,1378,1204,94410531,41184639,38959000,1947000,55644246,1
93935,3725338,2023604,658738,11517,76637,2754,15675,1721204,26287,1913020,28869,24262,554639,155045549,4565,490070,385,184448,134,1046,1283,121728532,42165275,40913000,997000,56375199,1
104049,3706244,1964195,887998,13103,84490,6787,34292,3601402,56293,3496119,54459,51450,1202951,289213737,9462,1090185,826,674211,134,2721,910,202838181,77773028,76518000,993000,91950851,1
161628,7310498,3647965,595835,14169,57891,1021,6021,1771960,12628,1769278,11326,2900,216846,58874059,1810,573596,291,433224,133,1410,1451,71738913,15694908,13521000,1931000,30057647,1
34191,1240402,1705772,480913,9597,58909,3768,14985,1924594,20488,1841813,19660,16161,352767,85261542,2476,199652,190,123241,132,605,275,85070963,23451665,22217000,1009000,37768821,1
97895,3555025,2071602,679784,12767,77147,2852,17963,1794319,33405,1783821,33697,13655,616035,161218313,4897,356923,364,216183,131,1114,498,116384257,43493005,41221000,1962000,57581514,1
328532,3308431,2847320,2679567,19510,213919,24502,128489,179096984,209670,179182571,205220,84134,4139949,1241159770,32633,2377747,2802,1407195,133,8829,4094,1706235295,334674064,332403000,1996000,349026378,1
116878,4039899,2205438,697013,13550,79292,3763,18358,1827937,28768,1805164,27914,19037,557150,149623188,4122,320092,359,269560,134,1955,1481,113057698,40728931,38486000,1973000,55027120,1
77203,3211992,1997175,695520,12083,76296,4721,20857,1932216,32031,1855019,29858,17354,554889,161063424,4104,305534,349,189387,129,1076,490,109973853,43294964,42950000,0,57485839,1
95092,3904808,2150709,693518,12567,75113,2855,21076,1910676,28559,1835467,28702,17291,526078,150179990,3799,291490,340,339617,132,1839,1255,113294762,40587209,37339000,2947000,55124975,1
32539,1112417,1736797,484647,10801,59670,2882,11033,2722084,55472,3292642,121566,55294,497585,77039032,3867,366659,189,117538,128,586,201,121120819,23350848,22061000,1002000,37702482,1
586236,131719615,49912663,1133474,33505,153011,212864,295335,69758414,3658486,74709848,3471585,295967,2344477,238064809,12957,122975592,888,51582527,523,4425,5794,436233014,94888024,82483000,11925000,163308733,2
911228,86966033,35022221,928124,34350,146188,5826,33324,95084552,2748399,95072000,2744547,147462,1568199,234822506,7185,118661106,727,41171002,916,2853,4088,337429208,63252719,59946000,2997000,77379471,2
751610,121468172,45255663,954096,40320,141923,4509,28798,63219405,5102419,68272859,4397707,171467,1732237,225271456,8649,122234653,1769,51237492,916,5190,6116,427281622,61546454,58150000,3007000,75826058,2
775857,401919164,211938214,1727208,38236,210162,19070,103815,273300563,3434329,275365975,3431453,113079,2482857,539481218,17971,417922703,8292,210378836,1003,8531,22797,1202979169,149381249,144040000,5001000,163658181,2
501762,87502134,33448162,889972,32837,139727,5679,36002,93230888,2988541,93465300,2982425,125950,1273062,235154461,6734,120460761,535,42116548,526,3340,3156,345203963,63035409,61669000,1010000,77361229,2
608207,93818375,36284242,1010796,31794,155256,99234,68031,93422048,2751942,93268546,2812862,197890,1674414,242964933,10621,127231332,11085,46853154,1013,4388,7673,360102156,65470596,60210000,4935000,79787535,2
