file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time,perf_time
1009412.exe ,  0.30,  0.29,  0.01,  0.00,  0.76,   23920496,   20502000,    3075000,   36374431
1055671.exe ,  0.62,  0.61,  0.03,  0.00,  1.62,   50717350,   45715000,    4969000,   63012614
1064013.exe ,  0.51,  0.50,  0.02,  0.00,  1.29,   41384930,   37331000,    4035000,   53724412
1163493.exe ,  0.51,  0.50,  0.02,  0.00,  1.29,   41727964,   36735000,    4964000,   55856023
1449114.exe ,  0.63,  0.61,  0.03,  0.00,  1.63,   50932125,   47793000,    2987000,   63185164
1472098.exe ,  0.41,  0.40,  0.03,  0.00,  1.03,   34280792,   26186000,    8057000,   48380997
1488692.exe ,  0.29,  0.29,  0.01,  0.00,  0.75,   24523875,   20577000,    3919000,   36745647
1523561.exe ,  0.29,  0.29,  0.02,  0.00,  0.80,   25064211,   19042000,    6013000,   38878632
1581847.exe ,  0.29,  0.29,  0.01,  0.00,  0.74,   24370415,   21338000,    3048000,   36623438
1677942.exe ,  0.48,  0.47,  0.02,  0.00,  1.23,   39576781,   34606000,    4943000,   51807616
1696369.exe ,  0.42,  0.41,  0.03,  0.00,  1.04,   34655240,   27705000,    6926000,   46861740
1890375.exe ,  0.73,  0.71,  0.04,  0.00,  1.89,   62324064,   44212000,   18086000,   74636635
1930790.exe ,  0.50,  0.49,  0.02,  0.00,  1.30,   40486814,   34535000,    5920000,   52712112
2014155.exe ,  0.45,  0.43,  0.03,  0.00,  1.16,   36463982,   33396000,    3036000,   48695479
212989.exe  ,  0.29,  0.28,  0.02,  0.00,  0.76,   24376486,   19477000,    4869000,   36540204
2209249.exe ,  0.29,  0.28,  0.01,  0.00,  0.74,   23331912,   20259000,    3038000,   35660317
2218845.exe ,  0.49,  0.49,  0.02,  0.00,  1.33,   40758297,   33784000,    6955000,   53075748
2288631.exe ,  0.40,  0.39,  0.02,  0.00,  1.01,   33884637,   26885000,    6970000,   46209125
2302763.exe ,  0.21,  0.19,  0.02,  0.00,  0.72,   29514500,   28386000,    1013000,   45044045
2311858.exe ,  0.28,  0.27,  0.01,  0.00,  0.70,   23392295,   18293000,    5081000,   36113479
2427666.exe ,  0.40,  0.40,  0.03,  0.00,  1.13,   34748808,   23812000,   10913000,   47052623
2552501.exe ,  0.51,  0.49,  0.02,  0.00,  1.31,   41409075,   37327000,    4035000,   53620895
2653264.exe ,  0.30,  0.30,  0.02,  0.00,  0.78,   25424474,   19438000,    5831000,   37659745
2787179.exe ,  0.28,  0.28,  0.01,  0.00,  0.72,   23731502,   20755000,    2965000,   35923874
301119.exe  ,  0.28,  0.28,  0.01,  0.00,  0.74,   23085698,   19062000,    4013000,   35177106
306775.exe  ,  0.37,  0.34,  0.03,  0.00,  1.27,   50067658,   46055000,    4004000,   64552250
3068084.exe ,  0.37,  0.36,  0.02,  0.00,  0.92,   29728010,   25697000,    3953000,   42010186
3075283.exe ,  0.37,  0.35,  0.02,  0.00,  0.92,   29838151,   24845000,    4969000,   42049429
3088906.exe ,  0.43,  0.41,  0.03,  0.00,  1.10,   34456701,   27525000,    6881000,   46680152
3356312.exe ,  0.42,  0.42,  0.03,  0.00,  1.10,   35712514,   29735000,    5947000,   47907923
3403339.exe ,  0.29,  0.28,  0.02,  0.00,  0.73,   24275502,   21235000,    3033000,   36859679
3562054.exe ,  0.41,  0.40,  0.03,  0.00,  1.07,   33583876,   26649000,    6909000,   45867784
3717985.exe ,  0.75,  0.73,  0.05,  0.00,  1.98,   63955288,   50868000,   12966000,   77307240
3737250.exe ,  0.49,  0.48,  0.02,  0.00,  1.25,   39843153,   34810000,    4972000,   52130523
3777153.exe ,  0.29,  0.28,  0.01,  0.00,  0.76,   24235887,   19164000,    5043000,   36516767
4033327.exe ,  0.51,  0.49,  0.02,  0.00,  1.29,   41066946,   38041000,    3003000,   53323331
4045462.exe ,  0.29,  0.28,  0.02,  0.00,  0.76,   24648491,   22580000,    1963000,   36971060
4115161.exe ,  0.61,  0.59,  0.03,  0.00,  1.65,   51621081,   39618000,   11885000,   64996318
4240010.exe ,  0.42,  0.41,  0.03,  0.00,  1.07,   35600481,   29646000,    5929000,   47824322
4254596.exe ,  0.53,  0.50,  0.04,  0.00,  1.58,   56575954,   51597000,    4961000,   70756263
441794.exe  ,  0.43,  0.41,  0.03,  0.00,  1.19,   34339170,   29408000,    4901000,   46719477
