file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-ram/,duration_time,user_time,system_time,perf_time
1017040.exe,140818926,185092,78343180,74359,78171748,76636,165105,1335025,145811888,7768,128915764,3529,2934,367957161,417,0.5,0.03,47950539,43404000,4037000,97556547
1140402.exe,135731197,235275,75673820,73445,75642449,74049,145975,1096337,152601687,4468,142278162,1848,2037,361282095,374,0.52,0.02,41041919,39715000,992000,55318245
1187270.exe,64068244,229233,35139868,70331,35269648,70721,155333,880505,62360428,3838,66664324,3754,2678,183089841,611,0.2,0.01,17468780,16233000,1014000,31732017
1228057.exe,136737754,235719,75522534,76559,75479072,76837,146711,1147480,152193211,4536,142483441,2021,2041,367100884,375,0.51,0.02,41169771,39862000,996000,55247896
1357465.exe,140084411,197628,76953592,75688,76845145,75777,142674,1137714,150214925,4924,143152910,2646,2077,372326555,377,0.51,0.02,41190667,37027000,3897000,55348572
1367032.exe,137006238,252480,76791091,81674,76783918,81779,176801,1206566,157079040,4540,146424573,1858,3961,369358014,1351,0.53,0.02,42334791,41058000,1001000,56437339
1803796.exe,70584940,424839,33746405,58512,26741599,61271,581321,1712256,62293832,11266,46786840,16689,5093,172899473,2144,0.21,0.01,17122786,12548000,4182000,31220476
1992685.exe,140358409,197523,75458747,75019,75519296,75323,145531,1156812,151155917,5105,142701271,2104,2080,365559887,373,0.52,0.02,41011274,38681000,2035000,55169018
2006045.exe,40161303,216690,22574247,62578,22444137,61753,135341,604080,44591826,1936,48576139,1621,2855,119451855,625,0.15,0.01,11760826,9588000,1917000,25671346
2169893.exe,139222711,261868,76658625,75683,76417430,76606,183533,1243201,153244159,5008,145706056,2422,2125,372178437,621,0.51,0.02,41785624,41529000,0,55883219
2312876.exe,46890810,104532,22273104,60107,22163963,60793,131720,615957,41513571,2514,53660984,1011,1095,138554862,181,0.14,0.01,11533973,10261000,1026000,25656741
2395064.exe,42686877,587754,26292889,70709,32522085,73573,1028648,2294135,121413102,22323,57700306,41194,27325,141655666,6482,0.39,0.02,32802183,21662000,10831000,47097201
2436754.exe,67211054,236934,34448971,68864,34914456,72625,185175,927403,65191342,4728,68500221,4251,3086,194077941,863,0.23,0.01,17574418,16197000,1012000,31460912
2448903.exe,137984399,203342,73474981,70794,73502761,70986,160366,976201,146450855,4790,143035310,1130,1670,360778661,384,0.47,0.02,40304260,39053000,1001000,54432548
2462469.exe,739572,103728,2774533,39018,5535538,35222,107870,489983,13338951,2678,13084962,6493,<not counted>,<not counted>,411,0.04,0.0,3795332,2367000,1183000,17815521
275342.exe,142043670,212366,75003655,72834,74994604,74120,152452,1116061,150605356,4780,145344496,1541,1276,370194524,378,0.51,0.02,40829474,38618000,1980000,54895463
2802363.exe,146350535,167870,74783233,74628,74529635,74615,161289,1241078,151736765,6573,148944229,1727,2646,376702907,383,0.52,0.02,41305077,41094000,0,55480023
2823661.exe,37940612,179233,20376829,58288,20578608,57942,154618,799599,52603671,2345,60101592,864,7408,120823518,2339,0.17,0.01,13772540,7725000,5794000,27678313
3095970.exe,59985785,307287,28734923,60044,24770408,63373,621917,1469308,66318994,12742,43861079,14236,7179,165909405,3121,0.21,0.01,18034178,11865000,5932000,32071604
3644759.exe,1710533,163044,4239674,35580,5767963,35079,114093,490133,13478298,2432,6101867,1255,<not counted>,<not counted>,453,0.05,0.0,3667978,858000,2576000,17818226
3648700.exe,139814582,196647,75477766,74311,75525495,76234,158349,1178122,151585304,5565,143930546,2219,2051,368075449,371,0.52,0.02,41069037,38807000,1990000,55371018
4011765.exe,1339224,193155,4676218,46511,7081612,36014,116303,512320,16686070,2431,10569963,1217,1433,23860842,452,0.04,0.0,4597394,3526000,881000,18519777
4076325.exe,42525978,217401,20691751,61708,20765208,61486,166192,659193,44009281,1838,52290545,1394,1072,121949765,433,0.16,0.01,11617228,8552000,2850000,25603244
4162451.exe,1916396,145255,6723043,35186,7248142,36242,78481,379959,15290249,4007,5118172,1530,<not counted>,<not counted>,383,0.04,0.0,3909684,2720000,906000,18139072
4162787.exe,149712502,178866,78034313,72400,76317535,75086,135316,1156161,166472968,21274,143229834,2605,2402,386381423,2350,0.56,0.02,45682962,39352000,6054000,59771334
