file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-ram/,duration_time,user_time,system_time,perf_time
7857290.exe,135213491,19382370,221852210,18229342,223972219,17739852,2506523,21022295,864425751,52562,138852469,43203,15044,979536258,8303,2.62,0.14,232788182,220534000,12029000,246922758
7863279.exe,147756213,17277150,264081456,18330650,267613040,17903207,3054443,11453130,827622824,61800,155384771,38137,25698,1188125638,8301,2.46,0.14,223120198,213788000,8991000,237262944
7881296.exe,122819338,16316057,149935599,3154933,152173749,3277047,1779408,11832550,361954240,30151,115571231,50000,11253,709940219,8301,1.16,0.07,97517451,82260000,15047000,111737689
7949890.exe,147917732,16100200,263918760,18156836,255893755,17421094,2658034,10614694,790441087,62500,149357463,40722,25618,1059090110,8296,2.35,0.13,214210047,200982000,12998000,228462308
7950184.exe,84413797,825038,118875174,1690012,116200879,1604466,202684,1785592,193132329,11194,88413370,14645,3757,516787499,1743,0.6,0.03,52077830,48727000,3045000,66042882
7977536.exe,106462066,22397567,217367861,17938911,212759041,17369749,1113102,19738295,751574109,45123,110775323,21583,14804,852123163,4237,2.29,0.11,203323821,192094000,11005000,217568188
7990027.exe,131890089,3756740,123323634,3466758,113657053,3633967,1920467,6861043,352434551,40326,120565311,76173,25022,679227160,12136,1.1,0.07,95172241,73898000,20971000,109323557
8110126.exe,52426715,217307,101157099,12917475,101364632,12973239,124659,2043770,466525010,11976,51844745,1570,2890,328763339,130,1.3,0.06,125689836,125448000,0,139694170
8230397.exe,36527514,332955,56780667,6294335,60967475,6043266,501996,1914515,227856015,12809,46193467,10428,7513,240733126,2303,0.66,0.03,61331960,55048000,6005000,75629703
8266941.exe,78079882,3461358,59689976,3591209,57900708,3588557,925217,5021474,247458562,29019,81498737,37534,14602,368922924,7146,0.78,0.05,67061801,54741000,11943000,81211921
8288135.exe,112780533,17854460,230670333,16737798,228907925,15824342,1789016,15083364,697925128,52785,122857314,43812,16563,896560664,8301,2.06,0.11,189394772,175078000,14006000,203515146
8329299.exe,113550871,18395150,224246948,15926423,222041792,15815020,1658711,13154862,734913882,47278,114377838,31452,15957,1035759573,8298,2.22,0.12,198562584,184256000,14019000,212727791
8351416.exe,36103705,196459,80075444,11320436,80642732,11307778,115381,1686216,364263013,9509,35447552,1118,2582,291945242,137,1.06,0.05,98215254,95978000,1999000,112217806
8385649.exe,251782933,739280,222185236,7460774,221437011,7469295,341128,3621628,617510147,18714,253168459,12147,5011,1360952280,1192,1.96,0.09,165626355,163232000,1990000,179859664
8465470.exe,145274752,15816718,259979917,18543210,263071216,17932697,2658364,10551574,796463901,58596,149484468,48685,18589,1062339100,8302,2.38,0.13,215698736,205403000,10019000,229950583
8485009.exe,74875409,1641291,185847587,14227605,185023302,13925668,843642,5370925,698253962,28599,78928225,16585,8359,787969138,3346,2.12,0.1,188531229,180960000,6998000,202651824
8531958.exe,88971869,2701937,104635830,2660861,99500716,2826203,1227204,5038441,267182197,24802,88721613,46598,16881,493983043,7146,0.85,0.05,72546976,63359000,8909000,86909535
