@relation problema
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'instructions' real
@attribute 'page-faults' real
@attribute 'power/energy-pkg/' real
@attribute 'power/energy-ram/' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
67626692,220285,44845738,185997,44868422,186036,130564,787876,95944921,3554,71542230,2434,1531,242660696,137,0.32,0.01,25784744,25427000,0,39858418,0
250585822,293634,154662052,638318,154725159,639136,143871,2135023,509529689,114782,252335547,306151,105035,767057678,128,1.64,0.07,137456577,96112000,41048000,151549755,0
68137178,213560,44558643,184324,44547971,184506,143746,796985,96209637,3800,71000482,2947,1484,240444811,136,0.32,0.01,25672691,23462000,1955000,39687815,0
247194885,297635,154172334,633970,154373098,635042,132900,2104691,508824459,114382,249828252,308298,104784,766523100,130,1.63,0.07,137510363,113212000,24045000,151757586,0
248503969,276782,153900788,635678,153991394,629748,129814,2091924,499555064,114509,248592522,39209,104984,765392684,129,1.61,0.07,135198772,99851000,34948000,149219366,0
66792427,217452,44969599,182794,45035283,184405,128145,804699,95911760,3535,71259957,2563,1414,241341558,136,0.33,0.01,26050607,24823000,992000,39920989,0
250647593,302145,154972132,660534,155628764,656543,145458,2130111,501421509,114513,251964920,7612,104854,768797424,130,1.6,0.07,135257864,127938000,6996000,149394786,0
248196470,330232,154195661,698991,154095889,699687,219034,2309346,506626341,116079,249909665,48912,105402,771096051,129,1.63,0.07,136620911,118618000,18094000,150862499,0
68548885,199132,44612030,185048,44575416,184754,141917,817985,96832033,4159,71070779,2855,1521,242313051,136,0.33,0.01,25917100,23707000,2061000,40062328,0
250426303,305934,154812914,645397,154702958,645314,157887,2196152,511324608,115371,252148444,306788,105381,767814884,130,1.64,0.07,137652119,81477000,56330000,151634002,0
250465392,315178,154532744,675299,155208960,671480,144023,2047921,501186097,114722,251395482,8125,224231,767279500,130,1.61,0.07,134984640,99002000,36001000,149091257,0
71407058,164295,45018322,186015,45154225,188436,200237,936400,96032549,5353,72149778,2560,1555,247211175,135,0.33,0.01,25630760,23326000,2028000,39792907,0
67095407,223930,44455925,179008,44474187,179265,135892,792612,96487643,3827,71342062,2790,1601,243847533,135,0.32,0.01,25939186,23759000,1979000,39911689,0
250655649,297937,154590289,664389,154622292,660733,146302,2113076,504517834,114695,252163946,19486,105274,770023961,127,1.63,0.07,135771187,118763000,16966000,149750907,0
250184089,302258,154702802,635203,154696531,631780,140916,2090061,501754738,114772,251777531,26323,105447,768865905,130,1.59,0.07,136180270,128249000,8015000,150368193,0
249948971,303647,154570251,650192,154659458,651412,160229,2274574,510519802,115264,252571261,307295,104925,768256666,129,1.6,0.07,138805061,102585000,36206000,152975652,0
250012261,303735,154862897,638799,154900839,636099,155349,2155285,508421751,114641,252145679,219816,105008,770538184,129,1.63,0.07,136727441,102594000,34198000,150815766,0
251274588,266428,154317386,614042,154372035,611491,146757,2081454,501260072,114606,251779325,37948,105075,769086203,129,1.61,0.07,135418063,83246000,52154000,149521983,0
241218652,341968,152467783,706198,157913943,721572,273140,2346777,513566354,114616,251575808,263760,109462,755402121,324,1.66,0.07,137007524,109827000,26957000,151009249,0
70114265,172053,44677062,182427,44570916,182543,133583,832270,94204141,4536,71444242,2608,1505,245659589,135,0.34,0.01,26075717,23767000,1980000,40304777,0
252503592,266736,154778934,541840,154710549,541418,167404,2210566,508343925,114736,252930421,307464,105593,772424697,130,1.63,0.07,138289928,97126000,41053000,152398666,0
67648863,219935,44447373,139436,44429464,141212,136248,776458,95500198,3655,71186641,3049,1570,245125902,137,0.33,0.01,25473042,24201000,1008000,39440441,0
226875733,209346,135855223,466436,137741434,481474,171239,1496612,260093247,11089,233824734,8403,6956,694507099,325,0.91,0.04,71393649,69156000,2004000,85730176,0
247368140,295362,153862899,636586,154129798,633214,133988,2025966,503515427,115178,249399508,10951,105322,768407744,130,1.64,0.07,135511692,104272000,31081000,149497125,0
247952478,298619,153871974,633091,153839755,632565,151910,2160079,502445138,115296,249823663,11431,105231,768980623,128,1.59,0.07,136511007,99295000,37110000,150629482,0
222518987,270910,136004924,475399,137977300,484913,166773,1516114,264845351,7943,232077739,6940,2916,692347768,326,0.95,0.04,71490858,70309000,1004000,85658901,0
67149587,222628,44748886,185069,44370607,185726,132231,787498,95409737,3872,70954876,2571,1507,244744357,137,0.32,0.01,25776690,23536000,2046000,39802665,0
68967596,195557,44579998,183235,44666547,183542,152403,834897,96314826,3938,71085471,2551,1539,241987506,136,0.33,0.01,25662586,25460000,0,39822723,0
248975411,273795,154413109,691081,154372854,698301,259601,2297739,507655113,115231,249104503,25467,105219,768461200,131,1.62,0.07,135868253,105312000,30089000,150033134,0
250654957,310837,155124114,769313,155156820,770103,148541,2267689,517026137,114792,252665647,32820,206456,769094300,129,1.67,0.07,139775185,109508000,30139000,153786581,0
245191715,308201,153584626,640187,153970375,638922,155868,2158173,498623649,115043,246755685,10847,105006,761290201,128,1.61,0.07,134652949,107420000,27105000,148523829,0
72000367,197415,46917948,141535,46969351,142557,154692,904379,100843075,6120,74210515,2308,1252,260798151,139,0.34,0.01,26987097,26790000,0,40910049,0
67851638,218296,44733821,182903,44819157,183148,141715,797732,96903954,3674,71663556,2575,1547,243065291,136,0.33,0.01,25914137,24695000,987000,39995738,0
250942315,310369,154914098,644196,154714271,635837,155919,2152345,509301114,114839,252172777,307420,106368,767681644,130,1.63,0.07,137811557,107726000,29924000,151701283,0
93686761,221586,62060413,421970,62036943,419993,142731,1603335,346743900,111021,94036759,308210,104823,326026734,136,1.05,0.05,94356478,24038000,70111000,108479215,0
250675216,300237,154601464,638353,154635082,639647,149192,2196623,512434482,115254,252283045,510430,114868,766797554,129,1.64,0.07,137925518,109820000,27954000,151991928,0
248142717,298441,154331712,637737,154278355,638039,135548,2154847,508929997,114515,249500542,309160,105148,767206553,131,1.62,0.07,137334649,104122000,33038000,151346009,0
247584330,300181,153896039,700376,153883423,696402,137673,2131792,502704342,114564,248580395,11001,147540,766048465,131,1.62,0.07,135947914,106830000,28953000,150099989,0
247847029,302068,153911510,585867,153871091,586321,133989,2154132,510184002,114858,249425322,311971,106151,766540777,130,1.63,0.07,137415342,107185000,30052000,151609947,0
250333331,345677,154828417,719968,155150993,716117,157483,2273195,506618350,115307,252037910,8750,104992,769508891,129,1.64,0.07,135770361,112644000,22927000,149992720,0
95150463,235545,62434124,423539,62612201,421628,155148,1617423,336350190,111136,95459209,6464,104861,329327325,136,1.02,0.05,91616856,45190000,46194000,105711448,0
249937191,306897,154654104,669709,154676954,665076,142367,2154798,502791672,115475,251772875,19176,106131,767353197,130,1.58,0.07,136701857,101392000,35136000,150722137,0
251159750,269707,154508116,669047,154516343,664484,143969,2107848,501877068,114883,251999590,7936,105623,769077631,128,1.61,0.07,135558648,103580000,31871000,149527763,0
67786044,215901,44620834,182836,44486945,184169,141602,804460,96727173,3579,71248666,2316,1570,244547806,137,0.32,0.01,26103289,24771000,990000,40145752,0
252227410,237580,154527990,635243,154508383,635219,151936,2116537,511026209,114589,252694593,305991,105365,769202553,129,1.64,0.07,138394739,96090000,42039000,152398399,0
248129138,298690,154421986,631147,154499415,633436,147629,2130659,508104324,114689,249712313,311470,104918,767527631,128,1.61,0.07,137254087,105036000,32011000,151204185,0
67215801,218322,44930163,140201,45031057,139889,142214,814754,98269253,3326,71044181,3025,1600,243403463,135,0.33,0.01,26429511,25227000,1009000,40486691,0
250319449,303500,154788786,638266,154648006,637840,141829,2169647,510974085,115074,252217017,306386,105063,767176142,129,1.64,0.07,137875932,111516000,26120000,152181639,0
250653681,287876,154554015,634852,154605249,634140,147406,2052806,511546061,114332,252803629,307273,105156,769178449,129,1.64,0.07,137745009,114532000,22906000,151813770,0
2268919,297813,21056667,266476,21316106,265754,155846,3861671,978743870,27740,2553765,2509,6777,218442101,133,2.7,0.15,282825853,280408000,2002000,347016523,1
1400111,107693,5643603,102768,5603272,113882,56751,923901,180885172,5976,667535,984,1662,121519538,66,0.47,0.02,49461697,48200000,1004000,63758474,1
1212051,147451,3432829,70165,3433665,70245,100910,993457,152652938,4195,280138,507,1047,137106770,130,0.42,0.02,41146346,40870000,0,55341953,1
538707,103950,5552168,139347,5497176,143568,108087,798523,97954273,3026,175642,290,751,98566567,128,0.28,0.01,26534062,26160000,0,40682461,1
1286807,176374,3566890,78560,3327130,78320,92957,1143297,235799965,7079,854508,1145,1989,227104499,134,0.69,0.03,63814237,61560000,1985000,77560567,1
1847643,235006,20869906,119582,20736278,117803,102007,2003375,494770912,13586,1244709,2007,3624,313396019,132,1.42,0.07,134478621,134218000,0,148600360,1
32683469,233820,62760036,132935,62761790,133251,130566,2282019,525228851,15042,32388506,1797,3333,563042231,137,1.35,0.07,142635914,142373000,0,156765230,1
1341588,182935,5983439,168689,6027572,158534,156747,1400678,151817560,4583,403991,550,2189,87796635,194,0.41,0.02,41135948,40869000,0,55084331,1
3455921,470872,210492590,286742,210529688,287122,164527,5228444,1448389255,35403,2437658,4511,9434,1991560193,128,3.79,0.2,390686669,389399000,1001000,404983676,1
1469460,229977,4735462,127725,4727631,124755,107289,1984193,505875124,12527,1008301,1608,3916,73642206,133,1.42,0.07,136919457,134663000,1995000,151047379,1
1421064,152582,3313478,67665,3221998,66797,99925,1031558,180003310,5839,780162,1040,1743,140741527,139,0.51,0.03,48578019,48374000,0,62600525,1
2779745,296288,56314036,144340,55689161,144449,202651,1946286,448701727,14396,1555478,4085,7813,669558656,132,1.08,0.06,123254990,121997000,999000,137474911,1
3782113,459137,210964830,283912,210946759,280347,200031,5152159,1447433727,36198,2738634,3628,10235,1996097663,128,3.76,0.2,391911668,391293000,0,405946378,1
1564591,175568,2798532,72139,2431110,67058,80310,841648,133175358,5193,703541,1298,2524,31865733,133,0.36,0.02,36030699,34827000,995000,50264486,1
554497,113799,4576372,142194,4636712,119486,105550,839073,102455613,3405,207416,357,655,74853774,136,0.29,0.02,28155511,27858000,0,42094978,1
589346,114428,3272323,51416,3047383,46537,85518,648625,70107244,3240,537500,727,1003,88786917,132,0.18,0.01,19677144,19400000,0,33799589,1
1297324,209030,6711333,163209,6586479,171040,108740,1924352,439870215,12742,1266545,2001,3389,76872961,133,1.25,0.06,118471996,117156000,1001000,132446614,1
70765585,416162,129765968,234545,129719815,236072,170123,4304760,1193392763,29864,70028057,3134,7515,1638888949,129,2.98,0.17,323260315,321861000,999000,337573880,1
430194,106124,3669317,63667,3622773,63679,112435,851374,109860328,3929,228260,348,713,85246620,134,0.31,0.02,29983481,29609000,0,43831877,1
3650526,473576,210587216,281264,210548080,277013,148952,5220390,1447805527,36536,2635763,4713,10258,1990831030,129,3.67,0.2,391120601,389858000,999000,405300851,1
250368,86641,2374418,50909,2371367,50597,95144,641314,50666082,1983,123174,173,337,65603726,133,0.15,0.01,14343274,13168000,940000,28534481,1
898515,141571,3260576,63814,3207892,62353,91886,987103,177682209,5463,709321,931,1678,145310367,129,0.5,0.02,47957990,45701000,1987000,62002785,1
1376167,203919,6643040,180889,6759190,188072,115481,1880431,429997136,12149,1172868,1786,2869,68577077,134,1.19,0.06,116266052,115009000,1000000,129991221,1
3690175,457684,210644007,280565,210680942,283709,205115,5124778,1449294339,34915,2577313,3145,10089,1992875737,129,3.71,0.2,390877086,390555000,0,404831645,1
869125,135680,4596078,109099,4592139,118544,99618,829906,108957512,3174,294222,326,740,82908952,137,0.29,0.02,29559733,28285000,1010000,43634921,1
1365758,154245,4477368,147421,4372089,104613,81182,666072,77438843,3187,470997,747,1072,59925553,132,0.23,0.01,20995536,18768000,1975000,35225557,1
1316623,165366,3505019,75343,3507097,75238,88137,1009403,179770163,4880,341823,1067,1779,110051177,129,0.4,0.03,53295307,52031000,1000000,67262585,1
4234490,255480,107494180,164551,107389081,162381,117386,2745136,712590245,18603,4019447,2777,5335,1102853519,131,1.74,0.1,193226824,191927000,999000,207512414,1
654199,151346,3345122,73232,3242833,77399,90599,1185251,224631499,6756,791340,1131,2007,48736806,132,0.63,0.03,60783579,58520000,1983000,74958663,1
1251416,111934,4803967,92153,4809599,103065,59767,939685,178285584,5558,575741,917,1633,118780162,66,0.47,0.02,48310079,47059000,1001000,62223830,1
7402685,610784,84498346,4476003,84091742,4469377,315857,4593145,1218453711,33601,6946727,10792,12594,434976249,1810,3.51,0.17,328693277,324282000,4003000,342924567,1
8458737,486321,217454755,304847,217567842,309077,178443,5622088,1549665386,40176,8053143,5830,10426,2326109046,135,3.85,0.21,418272049,415972000,1999000,432327390,1
818734,145778,5622487,114108,5682820,126266,169106,1153229,185548712,7760,1027098,1837,2681,122937754,134,0.5,0.03,49816579,49512000,0,63908287,1
738277,130830,3394019,70502,3302129,68324,91426,1033478,181080363,6012,691291,1248,1662,110858964,133,0.51,0.03,48830463,48618000,0,62782316,1
777218,134943,3544111,75181,3484809,68676,90489,972763,187567616,5642,701017,829,1678,126113832,127,0.5,0.03,51433058,51190000,0,65652065,1
2370941,294391,106742460,176626,106752273,175446,119979,3048227,787510176,20909,1519105,2434,5290,1124529658,134,2.0,0.11,212594270,212525000,0,226633575,1
1085264,128689,3611290,60036,3416536,59922,91198,839491,110396670,4220,318401,332,852,84300201,135,0.31,0.02,29979633,27759000,1982000,44075138,1
974899,120217,4787820,130619,4723340,138583,87386,640943,62629072,3099,624986,275,554,87862464,128,0.17,0.01,17329715,17077000,0,31481194,1
942558,161534,3469887,80768,3485716,80342,101978,1191707,212376690,6173,528018,672,1424,141993166,134,0.59,0.03,57504192,56276000,1004000,71347753,1
338920,94950,3607544,59556,3534965,59773,97451,810164,109056824,4117,228579,241,719,85087918,132,0.31,0.02,29865301,29653000,0,43876586,1
107270367,367187,156598362,239751,156573659,238979,143558,4247208,1144884555,29632,105096981,4633,7669,1933710243,132,3.18,0.16,309667333,309518000,0,323839580,1
