@relation problema
@attribute 'cpu-cycles' real
@attribute 'instructions' real
@attribute 'cache-references' real
@attribute 'cache-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-misses' real
@attribute 'page-faults' real
@attribute 'branch-loads' real
@attribute 'branch-load-misses' real
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'L1-dcache-stores' real
@attribute 'L1-icache-load-misses' real
@attribute 'LLC-loads' real
@attribute 'LLC-load-misses' real
@attribute 'LLC-stores' real
@attribute 'LLC-store-misses' real
@attribute 'dTLB-loads' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-stores' real
@attribute 'dTLB-store-misses' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
513425822,763603049,854892,133567,152361848,1013993,129,152232447,1016800,243625084,371417,141160712,594823,206485,?,99370,?,252851830,1054710,142566931,107383,96,714602,150484877,124963000,24992000,196361784,0
510268624,758311999,852901,114229,153374470,925391,129,153396536,922209,245494924,320855,141016472,545297,191988,?,57011,?,250455519,1312116,140805097,106252,97,432018,152780883,126400000,26082000,174357473,0
518032587,765806650,883230,119674,153619135,974711,129,153594591,973886,244807290,359854,140820191,570486,184370,?,55012,?,252286085,1053055,141959300,107164,52,516008,155037540,130804000,23964000,176791985,0
518798570,758059115,884705,113631,152628385,915064,132,153017398,917553,244664177,355765,140616798,551291,189491,?,55640,?,251032222,1356520,141227915,106909,107,515035,155629350,127362000,28079000,176416614,0
17347632,18338086,321571,57913,5964478,174366,591,6601483,182485,8037729,221322,4929381,178946,158934,?,42147,?,8589499,32230,5111150,6294,?,?,9437223,6068000,3034000,30389575,0
292014709,314307201,584990,81624,60929353,418033,132,61148477,418823,91562102,306786,51574674,340794,146149,?,34583,?,95182260,1150102,51678596,106289,117,303592,87403156,57405000,29692000,107976573,0
515173309,758776314,896596,116253,153345412,916430,130,153495301,915600,245297776,358781,140859173,563498,199408,?,57311,?,250751395,1279179,140786756,106449,218376,230497,155019060,124492000,30119000,175901471,0
515465395,755772428,871242,116260,152688320,861694,128,152678006,861684,244235590,360462,141077660,549939,184825,?,55612,?,252025685,1429897,141675248,107175,461,490841,154872818,131587000,22928000,175397476,0
105994974,219903932,374022,59950,43074587,270330,140,43963919,267702,65109104,228804,32756907,133559,96909,?,14363,?,70921853,15698,31975805,1999,118,5648,32044726,30626000,1020000,53965727,0
106810930,225321277,420318,66273,42347204,229029,135,43101460,222886,63918846,238752,32208502,134097,91317,?,13869,?,73325166,15002,32537892,2029,49,5587,34791217,31374000,3036000,56364029,0
280077147,323985006,535239,76278,62305478,495238,132,61276021,494002,91036075,310401,50188851,386430,154504,?,33081,?,93952557,1362574,51362088,106380,1499,30146,84785716,59716000,24881000,105554511,0
110065281,229043015,367449,67985,40370131,230343,134,41967645,224734,62750595,243078,31834158,153431,92580,?,13782,?,73436871,14769,33092356,1984,76,5396,34809537,33539000,986000,56536761,0
516084249,753700447,840345,108074,153736014,912524,129,153998968,921973,248190929,373718,141715768,579208,197143,?,58704,?,253226898,1328298,141211907,106739,32652,291289,152887826,130534000,22090000,174406560,0
504033638,752739163,808042,104696,152444842,906076,129,152386592,908465,242491855,370560,141212564,586195,205664,?,56465,?,248595506,1253107,141731018,106846,5,436810,148207821,124020000,23811000,170157217,0
521912400,764138995,891587,126515,154130014,727561,127,153552340,720083,246979658,356683,140166152,552933,182741,?,55124,?,254172519,1319477,141435525,107028,465,309270,154533077,126135000,28030000,175646133,0
108212512,223510800,413896,65927,41655329,273270,135,43057514,270439,64428753,240043,32560044,142527,91248,?,13154,?,73126702,14453,32418929,1976,67,6333,34938623,33603000,1018000,55998211,0
505406785,756215175,824946,112309,153479639,715100,128,153938008,718141,248753664,344685,141359249,572929,197140,?,56594,?,253353592,1205544,141132914,106302,8,246921,149450990,126263000,22866000,171080901,0
298667327,317001345,542011,80546,61136537,520274,133,60846316,518853,89776303,292246,50391298,361298,148513,?,35298,?,91910966,937078,50944673,105537,69,299716,89688267,59257000,30130000,111958070,0
500147853,762426797,772915,111483,154233786,717922,127,154115335,728486,247126061,376920,140480413,630021,204012,?,56453,?,252889202,1124975,141679983,106571,12,136958,145750756,121449000,23891000,166772930,0
