@relation problema
@attribute 'cpu-cycles' real
@attribute 'instructions' real
@attribute 'cache-references' real
@attribute 'cache-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-misses' real
@attribute 'page-faults' real
@attribute 'branch-loads' real
@attribute 'branch-load-misses' real
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'L1-dcache-stores' real
@attribute 'L1-icache-load-misses' real
@attribute 'LLC-loads' real
@attribute 'LLC-load-misses' real
@attribute 'LLC-stores' real
@attribute 'LLC-store-misses' real
@attribute 'dTLB-loads' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-stores' real
@attribute 'dTLB-store-misses' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
509453782,759372957,890310,135166,153386676,1019471,129,153785348,1021981,246841594,385540,141782085,623740,207420,?,98279,?,251633472,1288158,141629688,106463,10,486365,150175853,125703000,23943000,197512633,0
515315862,760050002,876320,113743,153479394,913657,130,152842880,909361,243880278,372355,140376268,541486,180868,?,54278,?,250682103,1217178,141367071,106994,40,481489,154400152,120029000,34008000,174943450,0
508571962,767619332,832719,112487,154599867,976254,129,154460056,971653,246374209,366582,140993512,558169,197924,?,57001,?,250258037,1268296,140993447,106389,49,295496,151344348,122940000,27986000,173558634,0
519146583,756676481,890397,116371,152417281,913934,132,152579988,911625,244006553,588774,140716815,542358,190450,?,56432,?,251895913,1342163,141462056,106904,65,515738,155577778,129216000,26043000,176772516,0
17745992,14665940,318287,55806,5611255,169106,591,6429896,178859,7946965,211145,5032654,186748,154278,?,43164,?,8818838,31320,5363604,4021,?,?,9391418,8112000,1014000,30655714,0
298992799,321810437,585630,82021,61693134,426922,133,61504848,425113,91985156,297938,50903598,319016,144260,?,35467,?,93809246,1321385,50971045,105296,73,307452,91583851,66236000,25089000,113421314,0
517179379,758955092,856423,120738,152957075,916042,128,152913713,919974,244553909,376118,140336684,530600,178169,?,54752,?,251754828,1397932,141410388,106939,211105,219898,153850614,130222000,23039000,174981213,0
522908700,762067968,912782,120810,152476156,966448,127,152130573,962349,242960013,386072,140725326,571076,193933,?,57874,?,252338581,1339047,142964793,107485,65,496437,156352192,117868000,37957000,177974611,0
112246983,229010928,425561,75033,41865758,279319,140,43032267,274965,63974781,251405,32780286,170265,192245,?,20767,?,79009133,26712,35841192,2474,633,6842,36465211,34068000,2004000,56096210,0
105824251,218427285,347275,59593,42333636,221828,132,43265985,216746,64268164,231535,32605208,128733,93623,?,14197,?,72037443,16525,32627203,1973,72,6018,32013381,26735000,4950000,52657299,0
304620952,323069075,622941,92490,61950689,486267,132,61508573,482646,91828482,301270,50726947,326139,143642,?,34947,?,94049134,1346237,51101346,105346,617,301097,91844012,57312000,34186000,112885935,0
104762219,221780387,396398,72529,43958667,229946,134,44564718,223753,66221934,226906,32831202,141815,97848,?,14148,?,70248286,15394,31749324,2100,147,5134,31395233,29049000,2003000,51907645,0
508585807,752796389,858396,117208,152896220,713177,128,153227765,714575,247425373,362371,141643762,567802,193244,?,55070,?,254849134,1056072,141852554,107061,319,298089,150022360,119644000,30162000,170775973,0
511438080,749448833,863746,113777,152165908,918054,128,152577414,916994,243663557,360829,142242919,571585,196655,?,56104,?,249160957,1362834,141254018,106390,45,487167,150444401,123098000,27021000,171750779,0
508017251,756887633,858972,113901,154367919,743688,128,154613330,740799,249138598,364632,141518977,575357,195435,?,57627,?,252113946,1151201,140545448,106165,102,302556,152522283,124369000,27858000,174243725,0
108694957,222019751,409015,66250,43259870,229835,134,44141607,222367,65720831,230709,32839770,137013,100217,?,15746,?,70911560,15043,31985753,2201,282,6882,31985714,30600000,1020000,52772182,0
516493578,760708454,911139,111976,154190798,913738,128,153749514,908934,247169498,367497,140450958,537621,181409,?,54443,?,254795625,952728,141312669,106790,370,274011,154614654,123423000,30855000,176480553,0
282955784,311550005,538436,89604,61065813,525321,133,60954839,528805,90689043,332619,51382684,357795,141639,?,31617,?,92889601,1065215,51128498,105943,647,184692,84479921,61107000,23040000,105960930,0
514364115,763237193,854224,109756,154840314,926208,128,154613484,926362,248094326,370273,140589785,569850,179282,?,54037,?,252002008,942290,140873490,106354,33792,307819,153603636,125221000,28049000,175197871,0
300517790,318289452,612024,90543,61629304,490025,133,61637348,480613,92399078,323418,51574661,372862,143692,?,34842,?,94355856,1201048,51166260,105152,250,315666,90734344,65622000,24857000,111778681,0
69836284,63811239,280456,39056,3554001,94761,130,3559432,94493,3088778,133131,230236,72068,17686,?,7682,?,218536,2407,221850,602,0,946,20975033,18448000,1941000,68461944,1
972753170,945966930,1307739,161862,66262950,339061,131,66121641,333886,5099449,416923,3001864,866688,228832,?,100104,?,2866769,36083,2927026,8150,36,13084,288656876,286311000,1995000,309946664,1
882454521,848810614,2735809,300860,158340476,1275941,1694,156320551,1181718,102762469,1016921,70558220,2233855,818224,?,290390,?,114852760,221400,77463833,28171,46857,101454,222824120,221521000,997000,244264973,1
230856179,143968478,432295,60739,3849081,140442,128,3987498,137019,3343245,194201,1261123,289183,77582,?,27556,?,1193540,14357,1020315,2535,49,3011,70272622,68925000,998000,92201489,1
213000340,125756506,425903,58382,6655998,223615,132,6674922,225359,3443145,205560,921487,235448,68007,?,25668,?,611905,7473,632432,1854,0,2879,65662865,63331000,1979000,87811449,1
213148751,111773399,398081,57857,3787712,127493,129,3959031,133643,3442218,202905,1093433,232919,65418,?,24243,?,587135,7177,633646,1837,0,2795,65032104,63746000,996000,85972838,1
288323229,49510705,483121,71245,5315095,203967,129,5170305,207236,3307342,220764,1578976,286213,79338,?,32552,?,1235706,15132,1098851,2486,0,3770,88065284,86663000,996000,109936199,1
111536937,102967602,401230,62102,6217202,149167,132,5862382,139613,3710925,158213,733903,114939,31609,?,14434,?,1607246,8052,1008981,1491,90,3705,34656114,33281000,1008000,56148964,1
606873330,639673585,934379,115345,56028830,251954,136,55919487,268224,4797906,346188,1928807,571411,154755,?,65098,?,1601339,21224,1759842,5093,0,7801,181144259,178828000,1998000,202010673,1
216374520,143662132,417947,56806,3974837,130105,132,3981526,134472,3542492,209542,932882,253919,59738,?,23189,?,630589,8416,626180,1826,0,2861,64073440,62933000,998000,84841930,1
112962105,133318572,358001,53732,7988529,177880,129,7428221,148466,3131031,160069,390560,122026,30813,?,13448,?,366207,4291,381485,1071,67,3612,37810386,35511000,1919000,59119194,1
227431278,145661469,449334,62431,3920603,131065,132,3796961,127284,3095934,207195,1194588,251413,74317,?,27133,?,1168786,14182,1027393,1957,2,3129,68570354,66324000,2009000,89587533,1
1740495087,1976993472,2235989,269226,211472192,567706,132,211229245,561337,7193843,605870,4929551,1467605,377953,?,177202,?,5314577,60242,5571648,15101,107,25380,514069465,512716000,999000,535770063,1
63648872,51494599,263313,40274,2412260,90488,133,2408387,92924,9380645,163335,5462687,74454,18907,?,8109,?,9091476,2495,5703352,618,0,977,21822785,20532000,977000,43355071,1
205348448,134845040,421581,63151,4067580,139998,131,4068364,143018,3597328,211780,1208100,198606,49757,?,21794,?,544972,7088,594030,1731,0,2650,62263573,60963000,999000,83679183,1
818227735,108658040,1217181,154347,5271666,316560,133,5298439,334583,5826926,408639,2414479,753795,204675,?,87411,?,2310004,28319,2351052,6925,163,11412,241904005,240479000,997000,263717124,1
227878547,131547814,455421,60038,3985792,133136,128,3861912,130429,3060408,167303,945546,250997,68698,?,27479,?,1094709,13103,1012868,2548,0,3161,69989295,68757000,996000,91167666,1
215304194,112816079,416475,57811,3768346,133688,129,3972911,138875,3470158,206487,1212948,239870,70910,?,24776,?,599322,7453,641799,1850,0,2926,64976624,62689000,1990000,85997973,1
1951163765,2222838692,2581889,341966,212243991,669805,326,212388044,682623,9547876,786986,6952264,1742179,469616,?,201584,?,4815867,65773,5805505,16704,161,26977,575036987,571661000,2998000,595363483,1
134158752,77774396,335964,51039,3798038,118915,130,4320655,120374,3385736,191611,780734,134843,34176,?,15292,?,442441,6188,456398,1261,169,2327,41817166,41461000,0,62253365,1
647849525,1227492006,1248182,216591,266286960,3278816,908,265289817,3227589,422367257,1085951,225214014,940354,346504,?,182989,?,426470840,49296,217279336,8843,127,17089,195786647,188154000,7005000,243005519,2
222178260,403259219,589418,157275,80797464,3297464,916,77234476,3518223,100338465,1027851,40604187,258102,199648,?,32547,?,111508507,28937,48371882,3314,0,6151,68812018,64551000,3972000,88260263,2
624319896,1262154058,962492,157964,259086432,4260151,521,255319834,4372127,401714207,805882,215043951,643697,300055,?,77324,?,436500214,42909,229227411,7354,64,14794,185772526,183408000,2004000,206997371,2
223622883,399899566,570352,129923,78984380,3231743,916,75333971,3494858,98943868,1034680,41126288,283341,210820,?,33022,?,114412805,35407,49337027,3342,0,6070,68274280,62920000,4993000,89957051,2
624640113,1243246342,1128050,163101,260883443,4394889,1002,259018943,4385053,407489335,752797,220304739,794703,323782,?,142869,?,436509272,82290,228738517,15549,36,19227,185700296,181257000,4005000,207535323,2
626334981,1246746872,1085192,188466,256857130,4376290,522,254740870,4379939,399529072,762311,218558239,642021,292396,?,70211,?,438238273,43908,229884215,7080,444,14803,184590283,178295000,5976000,206107651,2
220314863,397529910,571477,120830,80992759,3250233,913,77152874,3482624,98402436,1008969,40981659,392027,209299,?,33422,?,116606919,34145,49902293,3219,0,6133,67812919,64426000,3020000,89441661,2
219751500,393556803,544875,102119,79388935,3552646,524,76569768,3516483,99363397,632884,41561525,350311,197458,?,59497,?,121656800,29932,49921916,5476,0,7505,65460811,63093000,2002000,86855013,2
224550472,395877061,604338,161440,81061769,3188438,917,77630136,3417459,102182804,1023706,41385180,273090,205267,?,34276,?,110705166,27874,47406075,4157,207,5764,69625026,64322000,4947000,90636519,2
626161026,1243380518,1067405,191852,258762364,4417482,518,255575166,4410208,398044049,756773,217347579,637373,300249,?,71337,?,439666976,42051,230988981,6735,12,13700,185821386,183462000,1994000,206598511,2
221206974,395646593,566744,106266,81947306,3388690,523,78069144,3609732,98663898,623151,39682507,343975,187848,?,54324,?,113807998,31465,49605171,4879,0,7969,67761990,65467000,1983000,89312697,2
620505891,1224999392,1036291,191740,257922253,4256430,517,257808862,4247199,408018645,728263,225389698,613436,288609,?,68682,?,436099388,44557,227568023,6671,354,13721,181993705,178650000,2994000,203722483,2
624833805,1256697840,982797,175283,263107300,4018448,519,260074406,4182069,404723969,809069,213132700,694462,308564,?,73260,?,432009595,41350,227735465,6499,19,13478,186435807,182099000,4002000,206983004,2
649710282,1264872278,1309766,235480,267305906,3372052,1904,266536736,3890905,419294103,1206189,216544037,928482,417298,?,182394,?,419865926,92815,223804131,29447,405,27484,190065552,184675000,5018000,212398983,2
218638928,389798230,590743,104579,80319457,3460248,523,77494626,3669699,98782344,642976,41153700,352685,195979,?,56672,?,117215519,32879,49857633,5274,235,9218,67618684,62423000,4876000,89598519,2
627273539,1252410734,1089034,195925,262332827,4147788,517,258917862,4154111,405179761,800924,214494404,636211,292802,?,71566,?,434401568,45604,227553519,6993,440,15137,185817938,182560000,3009000,206239538,2
637395207,1263380214,1127597,245258,266391424,3299566,911,263369200,3828797,412799757,1162701,214221268,703182,349771,?,78061,?,415367898,55462,221362323,8042,447,15302,191171841,186835000,3996000,211663196,2
625498778,1258215700,1012535,191935,259022020,4319033,551,255793045,4356686,402651645,815901,215937457,676678,289531,?,71241,?,437373431,39825,228867949,6925,146,14675,185784531,182399000,3006000,206802467,2
229929955,401167357,775547,176667,85283185,2811690,1912,83115170,3196454,113714448,1044865,45795547,437548,320670,?,140922,?,107500653,88122,47856859,13953,25,17975,70246185,65837000,3990000,92008046,2
216511108,402126905,564418,130902,78342196,3470069,526,75697006,3605433,98108185,646571,40821684,278615,197441,?,31992,?,118003607,21561,49891736,3295,0,6074,67270767,64916000,2028000,87424905,2
479442581,531522309,3969336,796800,125878121,2631542,2870,127895991,2683102,173918521,5010461,77988671,967613,2920528,?,314098,?,149628293,1355742,62860958,50349,48558,27721,144930455,130388000,13934000,193340043,3
707484690,1026204180,5570715,855398,219759672,1178225,2669,223349903,1164596,359549011,6486345,192621613,1185300,3733525,?,279871,?,374227264,927253,186690759,51701,1088,55394,208122627,200789000,6992000,230302481,3
856385020,687451053,5501864,879867,139919362,1435506,2672,141686225,1445703,217143666,6797551,113571587,1145783,3837157,?,302369,?,222862518,4414925,114282292,259323,240,649881,250647599,192451000,57835000,272363630,3
428621860,447434633,5154846,832891,95846890,941947,2478,99873614,925116,152010472,6184828,73497318,756095,3518127,?,246362,?,166702459,882312,69634412,46773,574,18025,127973979,121596000,5980000,150038807,3
669406947,1002019229,5310144,724262,214697368,1126340,2668,215764832,1136981,341631022,6655000,174912495,1095476,4034412,?,270906,?,335629425,1060547,164192064,48853,2395,35196,197163057,190721000,5991000,218765807,3
1092405172,1206828929,5879281,876777,252473303,1681457,2473,254386747,1676536,408383414,6906869,224473256,1565225,3998771,?,318305,?,409437410,3404951,218140165,253053,1461,291702,324561066,279295000,44886000,345700212,3
1068319001,1204673674,5890160,908615,256121327,1716511,2865,260666988,1702164,420283627,7009382,228138982,1469473,4037818,?,333776,?,407730548,3422696,216918517,273548,20641,229217,313999453,248443000,65116000,334537888,3
817945673,656059238,5163399,725600,135567306,1406559,2477,136625751,1418697,207606464,6928385,108990730,1158347,4127285,?,303048,?,203178576,3788248,105130959,242922,5,648779,240782191,182569000,57863000,261541058,3
1115594286,1242601496,6061310,979508,256548650,1706978,2861,257886687,1702780,412649159,6980245,228396132,1591742,3809030,?,393137,?,418986149,3537033,226385098,255907,2463,425245,328810349,268392000,60087000,349765616,3
416672611,418788334,3768544,721653,97897601,2462199,2480,98372128,2512334,124927903,5111109,58819969,858263,2844228,?,255701,?,131975490,978710,57649606,46958,749,20654,125862117,116409000,9031000,147001769,3
