file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,duration_time,user_time,system_time,perf_time
1651759.exe,958492447,1407181504,5497839,2599411,251245939,6970438,41966,251143229,7002333,373626969,7665597,214734076,1877197,3473331,<not supported>,3049649,<not supported>,389205684,1068496,219869118,523923,73,500135,282701855,200990000,80996000,332206993
2354500.exe,1146421593,1009833231,20573564,914423,234958246,3774661,8554,236037520,3476757,314378059,38560984,111907859,2032846,17248981,<not supported>,638016,<not supported>,321852919,4902957,112837968,252129,249873,176446,337150267,320705000,16035000,359464511
2473478.exe,251446001,546972723,1484471,204372,114477838,1294994,1694,111414935,1584947,155089681,2347325,69318093,459275,364765,<not supported>,154034,<not supported>,170815190,70975,64593868,13196,66,17729,73829882,67462000,5952000,94727690
2981499.exe,1075155807,2075010998,4783117,1347365,428510297,1633177,10936,428585894,1800110,677251971,8121748,369104951,1806766,4228388,<not supported>,660679,<not supported>,704749362,261905,381918881,76363,274,65461,316467770,295053000,21003000,338512614
2984311.exe,298739654,599405686,840268,222976,120501993,933175,1695,121617639,824225,187802179,2794095,94078532,517594,382310,<not supported>,43896,<not supported>,223511323,28742,109890242,4593,8,7466,87697128,82429000,5026000,108752371
299068.exe,464496631,765204263,1530850,389475,164691095,4530871,3453,160894453,4828033,217126557,4323711,87619366,656457,934560,<not supported>,209738,<not supported>,239935721,929431,94155838,19529,51451,25709,139749949,130199000,9013000,161548522
310302.exe,334519337,614217938,1931488,355838,135752902,1280186,5578,137512480,810695,195976793,2730138,85642648,1078133,1011266,<not supported>,513518,<not supported>,195863898,175954,81262274,31074,385,209064,98045965,87702000,9966000,118707036
3573059.exe,345622247,691286585,1244627,380100,142284291,2604444,2748,142142039,3021898,171616074,2178771,83044565,913028,606379,<not supported>,188208,<not supported>,194369350,92183,73962015,22386,116,18525,102031956,95697000,5981000,123787966
3889320.exe,950302014,1905436221,1755997,355989,403860233,2058605,1689,404909855,2079688,663960335,2328706,371154735,1364753,445283,<not supported>,189238,<not supported>,678521416,169535,369462166,18299,1179,26513,283382062,279061000,4000000,305288441
3892773.exe,308486338,632240546,971327,352278,123634568,1166285,2087,121615829,1422049,194302648,2318396,98504218,440216,387688,<not supported>,48314,<not supported>,204260561,41929,101561189,5679,239,10891,95652857,89143000,6009000,117171189
420068.exe,315822092,608578110,1271265,356831,134182736,1282450,4797,131964212,1267420,166699925,2218629,73070220,821884,1711805,<not supported>,392086,<not supported>,166196382,106254,75239630,25326,379,66609,96478451,86037000,10004000,119060818
4563400.exe,293634156,633995838,777450,232640,125869207,935826,2280,122335486,860652,184921610,3100931,93007947,650885,555469,<not supported>,131145,<not supported>,217296400,34878,112586376,4900,0,8234,89492603,85960000,3033000,111630655
4758293.exe,1177515619,2025543829,2584845,520898,439237004,1648967,5933,433803543,1348750,688508728,17056035,353527683,1913800,1911753,<not supported>,473714,<not supported>,702101573,2111607,355914139,214368,48,43092,347933647,332510000,15023000,369319148
5888891.exe,785587637,1264148185,2297671,706168,249364380,7573656,4676,250773533,7646588,343043033,6354516,174220009,1339005,1365851,<not supported>,321185,<not supported>,357557294,1356140,175043599,40219,19323,57169,232146093,221848000,9993000,253507313
631007.exe,553432249,730235853,1474902,470747,172914800,1643114,3843,172261860,1940869,202904912,9098822,91642416,788147,452677,<not supported>,278646,<not supported>,218147751,2827975,87087690,214284,484,31295,163477377,158979000,4024000,185690070
6349744.exe,398049190,848183520,2246476,335165,183148482,1576580,3259,178186773,1767776,222293621,3438402,105234143,621481,1512324,<not supported>,414217,<not supported>,208570579,153953,90537619,28494,7,16725,119448466,109175000,9925000,140939084
7009955.exe,913705731,1907952913,1587350,258413,395321880,1411070,1876,394529423,1468042,636512647,1926179,331816193,1251044,512583,<not supported>,150746,<not supported>,659992908,78701,343040147,14300,567,23033,270242501,265915000,3998000,292242188
7917842.exe,908225099,1933176393,1615539,306341,402660651,1419640,2719,400328147,1341570,625313092,2885085,325925626,998041,530877,<not supported>,147947,<not supported>,661565275,67882,345040126,10015,67,22000,268080014,258764000,8957000,289912427
8357688.exe,351592769,684468271,1384525,489808,128630529,1187430,6360,127721834,1221895,203999471,3184963,120279366,999918,480549,<not supported>,416218,<not supported>,224516821,172472,115823849,43117,5,30064,102150320,83641000,18139000,123597217
991360.exe,909817598,1874729124,1513146,289919,395935786,2430456,1692,392470909,2589957,610067222,2165109,325869036,970542,1792561,<not supported>,124409,<not supported>,638681282,66877,343402793,11272,553,20110,269357029,263055000,6001000,290961980
