@relation problema-weka.filters.unsupervised.attribute.Remove-R1-5

@attribute duration_time numeric
@attribute user_time numeric
@attribute system_time numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
151216760,115748000,35227000,0
36205380,35216000,1006000,0
151069614,117049000,34014000,0
155254255,119118000,36035000,0
151747380,124817000,26960000,0
89500868,65607000,23857000,0
145177960,116072000,29018000,0
145862560,120860000,24971000,0
146953510,120846000,25966000,0
31853646,30821000,994000,0
149501204,116608000,32889000,0
33155380,32077000,1002000,0
149016461,123990000,24998000,0
150685663,119725000,30929000,0
37769106,36785000,994000,0
97994723,95981000,1999000,0
35058402,34114000,1003000,0
148418419,116542000,31874000,0
150206944,122054000,28012000,0
150068846,124042000,26008000,0
66508327,65217000,988000,1
281008528,279034000,2000000,1
502605486,500603000,2002000,1
45475550,44427000,987000,1
67202654,66224000,1003000,1
503175959,501166000,1996000,1
63713655,61749000,1991000,1
65212320,64212000,1003000,1
48549199,46584000,1982000,1
63500882,62471000,1007000,1
66866833,65877000,1013000,1
122298159,121280000,1002000,1
26273297,23284000,2910000,1
40957621,40950000,0,1
70001484,68056000,1972000,1
509491185,507420000,2001000,1
62706623,61714000,995000,1
70226324,69226000,1003000,1
63212115,62265000,988000,1
36125017,35128000,1003000,1
42811108,40435000,1972000,2
38061955,36025000,2001000,2
46337330,41364000,4924000,2
88975186,85003000,3953000,2
39052067,36998000,1999000,2
40216124,36245000,3918000,2
90388256,87401000,2979000,2
86610597,82635000,3982000,2
42490021,39454000,3034000,2
48180729,46222000,2009000,2
91093234,88084000,3002000,2
91363969,84309000,7025000,2
42827369,38984000,3898000,2
87466035,86499000,994000,2
89940898,86916000,2963000,2
88658393,85657000,3023000,2
87183635,85241000,2005000,2
49121443,39999000,8999000,2
104509925,97492000,6963000,2
87398329,82418000,4964000,2
263393798,204083000,59024000,3
306643738,256483000,50094000,3
136296933,127315000,8951000,3
316552053,270608000,45933000,3
314406287,262469000,51895000,3
194405349,188433000,5982000,3
123501594,115476000,8033000,3
319912360,257068000,62772000,3
320638829,272531000,48093000,3
112947024,106982000,5999000,3
125490449,112438000,13050000,3
113515912,110472000,3012000,3
238771941,175828000,62938000,3
133288075,122344000,10941000,3
122141737,113102000,9008000,3
310014522,256928000,52985000,3
123027781,117028000,6001000,3
318369400,254291000,64073000,3
108539455,100575000,7966000,3
234863162,165903000,68959000,3
260644409,92060000,14009000,4
299836094,167335000,13862000,4
236128460,103458000,14553000,4
141061608,129028000,12002000,4
128445660,120299000,8019000,4
