@relation problema-weka.filters.unsupervised.attribute.Remove-R3-5

@attribute pkg numeric
@attribute cores numeric
@attribute duration_time numeric
@attribute user_time numeric
@attribute system_time numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
3.04,2.44,151216760,115748000,35227000,0
0.62,0.48,36205380,35216000,1006000,0
3.19,2.58,151069614,117049000,34014000,0
3.17,2.54,155254255,119118000,36035000,0
3.19,2.58,151747380,124817000,26960000,0
1.88,1.52,89500868,65607000,23857000,0
3.24,2.65,145177960,116072000,29018000,0
3.12,2.53,145862560,120860000,24971000,0
3.11,2.52,146953510,120846000,25966000,0
1.06,0.92,31853646,30821000,994000,0
3.24,2.64,149501204,116608000,32889000,0
0.66,0.52,33155380,32077000,1002000,0
3.17,2.56,149016461,123990000,24998000,0
3.11,2.5,150685663,119725000,30929000,0
0.62,0.47,37769106,36785000,994000,0
1.97,1.57,97994723,95981000,1999000,0
0.63,0.49,35058402,34114000,1003000,0
3.14,2.54,148418419,116542000,31874000,0
3.13,2.53,150206944,122054000,28012000,0
3.25,2.64,150068846,124042000,26008000,0
1.2,0.93,66508327,65217000,988000,1
5.34,4.22,281008528,279034000,2000000,1
9.72,7.71,502605486,500603000,2002000,1
0.84,0.65,45475550,44427000,987000,1
1.22,0.95,67202654,66224000,1003000,1
9.74,7.71,503175959,501166000,1996000,1
1.2,0.94,63713655,61749000,1991000,1
1.23,0.97,65212320,64212000,1003000,1
0.83,0.63,48549199,46584000,1982000,1
1.22,0.97,63500882,62471000,1007000,1
1.29,1.02,66866833,65877000,1013000,1
2.67,2.18,122298159,121280000,1002000,1
0.53,0.42,26273297,23284000,2910000,1
0.74,0.57,40957621,40950000,0,1
1.32,1.04,70001484,68056000,1972000,1
9.89,7.84,509491185,507420000,2001000,1
1.25,1,62706623,61714000,995000,1
1.37,1.08,70226324,69226000,1003000,1
1.23,0.98,63212115,62265000,988000,1
0.63,0.48,36125017,35128000,1003000,1
0.73,0.56,42811108,40435000,1972000,2
0.81,0.66,38061955,36025000,2001000,2
0.73,0.54,46337330,41364000,4924000,2
1.89,1.53,88975186,85003000,3953000,2
0.77,0.61,39052067,36998000,1999000,2
0.79,0.63,40216124,36245000,3918000,2
1.84,1.47,90388256,87401000,2979000,2
1.75,1.4,86610597,82635000,3982000,2
0.74,0.57,42490021,39454000,3034000,2
0.9,0.7,48180729,46222000,2009000,2
1.81,1.44,91093234,88084000,3002000,2
1.88,1.5,91363969,84309000,7025000,2
0.73,0.56,42827369,38984000,3898000,2
1.78,1.43,87466035,86499000,994000,2
1.88,1.52,89940898,86916000,2963000,2
1.8,1.44,88658393,85657000,3023000,2
1.75,1.4,87183635,85241000,2005000,2
0.88,0.68,49121443,39999000,8999000,2
2.05,1.63,104509925,97492000,6963000,2
1.74,1.39,87398329,82418000,4964000,2
5.27,4.22,263393798,204083000,59024000,3
6.31,5.08,306643738,256483000,50094000,3
2.76,2.2,136296933,127315000,8951000,3
6.47,5.2,316552053,270608000,45933000,3
6.67,5.39,314406287,262469000,51895000,3
3.88,3.1,194405349,188433000,5982000,3
2.37,1.88,123501594,115476000,8033000,3
6.83,5.54,319912360,257068000,62772000,3
6.81,5.5,320638829,272531000,48093000,3
2.18,1.72,112947024,106982000,5999000,3
2.43,1.92,125490449,112438000,13050000,3
2.23,1.76,113515912,110472000,3012000,3
4.81,3.84,238771941,175828000,62938000,3
2.69,2.15,133288075,122344000,10941000,3
2.49,1.99,122141737,113102000,9008000,3
6.39,5.14,310014522,256928000,52985000,3
2.44,1.93,123027781,117028000,6001000,3
6.6,5.31,318369400,254291000,64073000,3
2.15,1.71,108539455,100575000,7966000,3
4.78,3.83,234863162,165903000,68959000,3
4.68,3.62,260644409,92060000,14009000,4
6.14,4.92,299836094,167335000,13862000,4
4.78,3.81,236128460,103458000,14553000,4
2.79,2.21,141061608,129028000,12002000,4
2.59,2.06,128445660,120299000,8019000,4
5.05,3.98,257553271,128991000,9356000,4
2.68,2.12,133042900,122965000,9997000,4
3.17,2.5,157795631,148771000,8986000,4
6.29,5.04,304311015,176487000,10027000,4
6.83,5.43,334606158,199805000,16922000,4
4.49,3.58,220819783,85804000,16961000,4
4.33,3.45,215635327,207480000,7980000,4
4.35,3.45,217077600,83945000,14990000,4
4.47,3.54,224321724,90169000,15654000,4
5.41,4.28,271995112,142286000,11022000,4
4.56,3.65,220661084,90351000,10039000,4
6.26,5.02,304201328,175147000,10008000,4
5.11,4.03,260542587,129135000,13013000,4
5.67,4.5,282764350,141389000,22059000,4
4.46,3.52,224025152,95624000,10065000,4
4.91,3.84,262994302,95202000,11140000,5
4.48,3.55,225205374,84481000,22338000,5
4.43,3.53,219054184,85969000,15060000,5
3.38,2.65,174602069,169608000,4988000,5
6.36,5.09,311127872,179824000,12055000,5
7.91,6.32,388977872,256987000,13868000,5
4.47,3.53,228882666,94426000,16072000,5
6.93,5.55,335530451,205634000,11535000,5
4.36,3.46,217838743,91371000,8032000,5
3.76,2.95,192051919,180018000,12001000,5
3.76,2.94,194138574,184142000,10007000,5
7.08,5.65,340845631,325750000,15034000,5
4.31,3.42,215420399,86386000,10922000,5
4.55,3.62,226903845,96417000,14208000,5
6.25,5,304858751,176613000,9031000,5
3.93,3.09,198234801,188186000,10009000,5
4.06,3.24,203628398,78056000,6988000,5
4.51,3.56,227484733,99623000,9549000,5
4.77,3.78,237223344,103233000,17038000,5
4.42,3.5,221161035,92534000,10058000,5
4.96,3.88,263738329,98103000,14159000,6
1.95,1.58,91529497,87456000,4020000,6
6.67,5.28,336153324,326114000,10003000,6
5.78,4.69,269504288,267482000,2003000,6
1.67,1.32,86389490,81263000,5016000,6
9.09,7.22,448557888,431489000,16979000,6
11.79,9.45,564493631,544419000,20015000,6
8.72,6.91,431427082,407409000,23965000,6
5.55,4.5,259315149,254302000,5005000,6
9.26,7.45,440501872,305606000,16348000,6
3.17,2.53,151810089,147791000,3994000,6
5.67,4.61,261856175,252769000,8991000,6
7.12,5.79,322875401,318711000,3996000,6
3.42,2.73,163577651,155539000,8027000,6
7.86,6.29,380599748,364611000,15982000,6
2.58,2.05,124500493,118487000,6024000,6
2.67,2.13,128030180,118020000,10001000,6
9.1,7.21,448324067,427311000,21015000,6
7.13,5.76,337374458,325357000,12013000,6
1.86,1.48,91601848,82592000,9065000,6
3.02,2.43,148387975,147184000,1001000,7
7.84,6.35,345744565,208759000,136842000,7
8.18,6.63,359340780,213144000,146099000,7
10.2,8.25,481579736,278745000,202815000,7
5.92,4.78,278590999,151319000,127269000,7
8.43,6.78,381689475,242670000,138811000,7
4.38,3.57,199899308,198916000,999000,7
7.98,6.45,353481669,211503000,141667000,7
7.78,6.27,347865636,207765000,139841000,7
2.73,2.21,128816597,126814000,1997000,7
8.04,6.47,359439715,216514000,142679000,7
6.93,5.61,322829580,196512000,126329000,7
4.27,3.47,196701823,194699000,2007000,7
2.96,2.29,163239248,2197000,7338000,7
3.36,2.72,158227427,157220000,1001000,7
4.42,3.57,207433023,69143000,138286000,7
8.18,6.62,358418104,214503000,143667000,7
3.41,2.76,161806707,158792000,2996000,7
2.89,2.33,139602719,137630000,1994000,7
6.51,5.31,292972481,153447000,139497000,7
4.67,3.7,230624918,216205000,14013000,8
6.62,5.36,307004425,246091000,60775000,8
2.45,1.97,118825766,110787000,7984000,8
3.83,3.06,185282950,175152000,10008000,8
3.38,2.72,159334979,143403000,15933000,8
5.18,4.35,182501858,172564000,9974000,8
4.2,3.36,199826231,183818000,15984000,8
4.1,3.32,191303615,182291000,8965000,8
11.26,9.16,504575745,448552000,55944000,8
3.81,3.06,182968186,169010000,14000000,8
5.8,4.67,270214445,215373000,54840000,8
6.04,4.85,288651416,276596000,12025000,8
3.22,2.59,150812877,140761000,9983000,8
7.45,5.96,354703760,283574000,71144000,8
3.36,2.7,158990342,145995000,12999000,8
4.93,4.01,224704695,213695000,10984000,8
5.8,4.68,269633588,246582000,23054000,8
11.1,9.01,511486405,449321000,62044000,8
9.18,7.46,424957235,376919000,47989000,8
3.22,2.59,153852394,142853000,10988000,8
1.08,0.85,58204389,55939000,1997000,9
0.41,0.3,24623675,19522000,5137000,9
0.3,0.22,19028208,16070000,3013000,9
0.08,0.06,5039813,2940000,1960000,9
0.29,0.23,16007390,15979000,0,9
0.08,0.06,5363240,3623000,1811000,9
1.15,0.91,61084926,59136000,2004000,9
1.15,0.91,60043474,59094000,1001000,9
0.51,0.41,25320994,22393000,2920000,9
0.08,0.06,5085691,4046000,1011000,9
0.5,0.38,28942726,24792000,4132000,9
0.38,0.29,21635865,17689000,3930000,9
0.31,0.24,18270587,17250000,1014000,9
0.09,0.06,6311671,4227000,2113000,9
0.47,0.35,29562080,25629000,3942000,9
0.47,0.37,25864919,23015000,2876000,9
1.15,0.92,55975551,53024000,2942000,9
0.34,0.25,21576776,17501000,4118000,9
0.34,0.26,20574481,17650000,2941000,9
0.32,0.24,19287361,18280000,1015000,9
1.09,0.84,61355341,50044000,11009000,10
2.58,2.08,124870207,119840000,4993000,10
1.11,0.85,64068478,58062000,5904000,10
3,2.39,149811446,144675000,4988000,10
2.21,1.75,109422767,100353000,9031000,10
2.32,1.91,92481135,81561000,10941000,10
1.73,1.37,87312318,78270000,9031000,10
1.87,1.47,94947364,86071000,8903000,10
3.33,2.68,158205210,151081000,7003000,10
3.1,2.44,156119349,142021000,14101000,10
2.7,2.15,135594916,131557000,3986000,10
2.58,2.08,123917682,117869000,6044000,10
1.87,1.46,95972177,85970000,9996000,10
1.86,1.46,95185986,81191000,14033000,10
3.33,2.68,157854227,150760000,6988000,10
3.36,2.7,160121485,148076000,12006000,10
3.89,3.13,182861686,173828000,8991000,10
1.12,0.88,61001476,48942000,11986000,10
2.74,2.23,124076836,115966000,7997000,10
1.97,1.55,100709424,92653000,8056000,10
1.15,0.9,62488378,62175000,0,11
1.3,1.02,68386585,64483000,3968000,11
10.63,8.54,522295595,521262000,998000,11
1.24,1,61276897,60270000,988000,11
1.91,1.53,94388323,91412000,2980000,11
1.13,0.88,60902081,57972000,2947000,11
1.36,1.08,68581247,67578000,993000,11
0.08,0.05,5120344,5164000,0,11
1.17,0.92,61734558,60760000,996000,11
1.97,1.59,94690535,92777000,1995000,11
1.2,0.94,64216214,61268000,3013000,11
2.05,1.67,95041878,94076000,1000000,11
7.61,6.09,346970440,177475000,169499000,11
1.16,0.92,61249292,59301000,2010000,11
1.53,1.22,75885809,73942000,1998000,11
1.3,1.04,65035773,63044000,2001000,11
1.3,1.04,64105432,62111000,2003000,11
2.02,1.62,99946765,98991000,1010000,11
8.14,6.65,369600390,367610000,2003000,11
1.24,0.97,67869269,66917000,1013000,11
0.8,0.62,45982691,38764000,6957000,12
0.92,0.72,49168756,40159000,9035000,12
1.22,0.95,68609574,64651000,3978000,12
2.65,2.16,121967031,117890000,3996000,12
2.58,2.07,128550657,124557000,4017000,12
0.87,0.66,51210532,45111000,6014000,12
2.7,2.18,128599865,122617000,5981000,12
6.33,5.09,301083122,284051000,17003000,12
1.73,1.37,87816309,84776000,3027000,12
2.61,2.11,124525202,122532000,1992000,12
0.79,0.61,43433300,40406000,3030000,12
0.77,0.6,40840952,37798000,2984000,12
0.72,0.55,43253820,40237000,3017000,12
2.82,2.24,141883228,130868000,10988000,12
2.51,1.98,131738419,123744000,7983000,12
2.93,2.33,146237068,139332000,6966000,12
3.12,2.54,144241095,131117000,13011000,12
2.83,2.28,134655169,127667000,6981000,12
1.01,0.79,53061992,46199000,6880000,12
1.04,0.82,53558243,49381000,4031000,12
0.67,0.51,40777158,38519000,1975000,13
0.27,0.2,15686638,14718000,981000,13
0.25,0.2,12863086,11821000,985000,13
0.67,0.52,37299706,35303000,2017000,13
0.27,0.2,15370947,13329000,2050000,13
0.68,0.53,38082022,36033000,2059000,13
0.65,0.51,35512840,35542000,0,13
0.25,0.18,15914512,14097000,1879000,13
0.62,0.48,36513068,34424000,1967000,13
0.65,0.51,35364695,34375000,1011000,13
0.62,0.47,35573778,34536000,1015000,13
0.7,0.55,36576476,35625000,989000,13
0.36,0.27,20317017,18302000,2033000,13
0.63,0.49,34781066,32748000,2046000,13
0.77,0.6,41571036,39634000,1981000,13
0.67,0.52,37412739,36416000,1011000,13
0.63,0.49,36112807,35136000,1003000,13
0.24,0.18,15321261,14315000,1022000,13
0.62,0.48,34942974,33944000,1028000,13
0.61,0.46,36912542,35936000,998000,13
4.25,3.36,217889277,202465000,15109000,14
3.82,3.04,195848933,194879000,999000,14
4.11,3.28,204728627,197690000,7024000,14
2.83,2.24,149739592,146730000,2994000,14
3.54,2.8,183407712,170362000,13027000,14
2.61,2.08,127887152,119814000,8054000,14
3.03,2.42,148825700,134821000,13878000,14
1.44,1.13,75030960,61061000,14014000,14
3.58,2.86,181790980,181813000,0,14
4.77,3.8,235675645,227637000,8022000,14
4.9,3.9,244728283,229645000,14976000,14
5.36,4.3,257878045,241854000,15990000,14
2.67,2.09,142649356,140627000,1994000,14
1.26,0.99,67818580,64801000,2990000,14
4.52,3.63,218612835,202616000,15969000,14
3.23,2.6,156785408,147803000,8988000,14
2.95,2.36,141200360,128206000,13020000,14
4.36,3.49,215150198,205177000,9960000,14
4.82,3.84,239638428,225649000,13978000,14
3.63,2.88,185875163,179930000,5997000,14
1.26,0.99,67886284,64573000,2980000,15
1.17,0.93,59115401,55167000,3940000,15
3.6,2.9,175268116,172263000,3004000,15
1.24,0.98,62663456,58613000,4042000,15
1.26,1,65329507,61311000,4020000,15
4.06,3.3,190479654,187467000,2991000,15
3.61,2.91,173074880,168068000,5002000,15
1.08,0.85,56051570,52011000,4000000,15
5.09,4.12,239931704,233896000,5997000,15
1.06,0.84,54136359,50189000,3936000,15
1.09,0.86,55968233,53957000,1998000,15
1.35,1.07,70639785,66613000,4037000,15
3.84,3.11,181332302,177341000,3985000,15
1.21,0.97,60649300,58624000,2021000,15
1.21,0.95,63197800,60189000,3009000,15
1.23,0.98,62358586,56384000,5935000,15
1.06,0.83,56033557,53038000,3002000,15
1.2,0.95,62115418,60115000,2003000,15
1.2,0.94,62004279,59020000,3001000,15
1.14,0.89,61442564,59474000,1982000,15
2.96,2.26,137677045,133454000,4013000,16
3.71,2.95,189117897,186128000,3002000,16
5.36,4.37,243898013,238893000,4997000,16
2.89,2.24,160141109,2416000,6442000,16
6.25,4.97,317396562,314268000,3002000,16
2.46,1.95,127453657,119526000,7968000,16
4.68,3.72,239553855,234575000,4990000,16
5,3.99,251519753,244534000,6986000,16
4.75,3.79,238028914,235020000,3000000,16
4.9,3.91,243295451,236276000,7008000,16
4.63,3.66,241311174,236221000,5004000,16
4.85,3.88,239056711,234032000,5000000,16
4.08,3.25,204830161,202719000,2007000,16
6.15,4.93,277359832,151174000,126145000,16
11.13,9.09,504495951,497403000,6991000,16
2.84,2.29,135685268,131686000,3990000,16
4.8,3.84,237590334,233438000,3990000,16
4.87,3.85,250830205,246827000,4013000,16
10.11,8.31,444765727,439794000,4997000,16
2.89,2.29,147890694,145784000,2010000,16
9.45,7.43,505678440,501481000,3995000,17
10.61,8.35,565585237,558582000,7007000,17
17.06,14,762093820,755063000,7000000,17
10.67,8.4,564695362,562737000,2002000,17
