@relation problema-weka.filters.unsupervised.attribute.Remove-R3-8

@attribute pkg numeric
@attribute cores numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
3.33,2.68,10
3.1,2.44,10
2.7,2.15,10
2.58,2.08,10
1.87,1.46,10
1.86,1.46,10
3.33,2.68,10
3.36,2.7,10
3.89,3.13,10
1.12,0.88,10
2.74,2.23,10
1.97,1.55,10
1.15,0.9,11
1.3,1.02,11
10.63,8.54,11
1.24,1,11
1.91,1.53,11
1.13,0.88,11
1.36,1.08,11
0.08,0.05,11
1.17,0.92,11
1.97,1.59,11
1.2,0.94,11
2.05,1.67,11
7.61,6.09,11
1.16,0.92,11
1.53,1.22,11
1.3,1.04,11
1.3,1.04,11
2.02,1.62,11
8.14,6.65,11
1.24,0.97,11
0.8,0.62,12
0.92,0.72,12
1.22,0.95,12
2.65,2.16,12
2.58,2.07,12
0.87,0.66,12
2.7,2.18,12
6.33,5.09,12
1.73,1.37,12
2.61,2.11,12
0.79,0.61,12
0.77,0.6,12
0.72,0.55,12
2.82,2.24,12
2.51,1.98,12
2.93,2.33,12
3.12,2.54,12
2.83,2.28,12
1.01,0.79,12
1.04,0.82,12
0.67,0.51,13
0.27,0.2,13
0.25,0.2,13
0.67,0.52,13
0.27,0.2,13
0.68,0.53,13
0.65,0.51,13
0.25,0.18,13
0.62,0.48,13
0.65,0.51,13
0.62,0.47,13
0.7,0.55,13
0.36,0.27,13
0.63,0.49,13
0.77,0.6,13
0.67,0.52,13
0.63,0.49,13
0.24,0.18,13
0.62,0.48,13
0.61,0.46,13
4.25,3.36,14
3.82,3.04,14
4.11,3.28,14
2.83,2.24,14
3.54,2.8,14
2.61,2.08,14
3.03,2.42,14
1.44,1.13,14
3.58,2.86,14
4.77,3.8,14
4.9,3.9,14
5.36,4.3,14
2.67,2.09,14
1.26,0.99,14
4.52,3.63,14
3.23,2.6,14
2.95,2.36,14
4.36,3.49,14
4.82,3.84,14
3.63,2.88,14
1.26,0.99,15
1.17,0.93,15
3.6,2.9,15
1.24,0.98,15
1.26,1,15
4.06,3.3,15
3.61,2.91,15
1.08,0.85,15
5.09,4.12,15
1.06,0.84,15
1.09,0.86,15
1.35,1.07,15
3.84,3.11,15
1.21,0.97,15
1.21,0.95,15
1.23,0.98,15
1.06,0.83,15
1.2,0.95,15
1.2,0.94,15
1.14,0.89,15
2.96,2.26,16
3.71,2.95,16
5.36,4.37,16
2.89,2.24,16
6.25,4.97,16
2.46,1.95,16
4.68,3.72,16
5,3.99,16
4.75,3.79,16
4.9,3.91,16
4.63,3.66,16
4.85,3.88,16
4.08,3.25,16
6.15,4.93,16
11.13,9.09,16
2.84,2.29,16
4.8,3.84,16
4.87,3.85,16
10.11,8.31,16
2.89,2.29,16
9.45,7.43,17
10.61,8.35,17
17.06,14,17
10.67,8.4,17
9.63,7.67,17
10.64,8.38,17
10.51,8.42,17
10.06,8.02,17
9.58,7.57,17
10.73,8.46,17
11.92,9.68,17
10.67,8.4,17
10.77,8.49,17
2.09,1.66,17
9.63,7.6,17
10.74,8.45,17
11.38,9.27,17
9.68,7.64,17
9.61,7.59,17
10.84,8.91,17
2.96,2.3,18
3.09,2.42,18
4.73,3.71,18
8.64,6.96,18
13.83,11.09,18
9.63,7.67,18
2.25,1.81,18
5.16,4.07,18
9.11,7.25,18
3.65,2.9,18
4.6,3.59,18
4.67,3.64,18
2.97,2.37,18
4.42,3.54,18
3.64,2.89,18
4.56,3.55,18
3.39,2.72,18
4.94,3.84,18
10.3,8.19,18
4.68,3.64,18
8.71,7.07,19
2.98,2.35,19
2.44,1.93,19
2.53,2.02,19
2.64,2.13,19
9.9,8.07,19
10.33,8.44,19
2.56,2.06,19
2.42,1.91,19
2.73,2.17,19
2.56,2.05,19
2.76,2.21,19
2.54,2.02,19
3.4,2.7,19
3.43,2.73,19
14.36,11.65,19
2.44,1.92,19
1.44,1.13,19
2.55,2.03,19
2.63,2.13,19
0.78,0.6,20
0.32,0.24,20
0.75,0.58,20
0.05,0.04,20
0.68,0.53,20
0.6,0.46,20
0.38,0.28,20
0.59,0.45,20
0.71,0.55,20
0.03,0.03,20
0.79,0.63,20
0.76,0.6,20
0.76,0.59,20
0.83,0.67,20
0.43,0.32,20
0.65,0.52,20
0.8,0.63,20
0.4,0.31,20
0.77,0.6,20
0.76,0.59,20
0.08,0.06,21
0.28,0.2,21
4.17,3.33,21
4.84,3.89,21
0.11,0.08,21
14.12,11.32,21
0.08,0.06,21
3.85,3.08,21
0.3,0.23,21
4.21,3.36,21
0.43,0.33,21
3.13,2.49,21
0.08,0.06,21
0.22,0.16,21
0.11,0.09,21
0.25,0.19,21
0.1,0.07,21
4.58,3.65,21
4.31,3.45,21
0.65,0.5,21
0.25,0.18,22
0.7,0.58,22
0.28,0.21,22
0.68,0.54,22
0.64,0.51,22
0.27,0.21,22
1.21,0.94,22
0.26,0.2,22
0.64,0.5,22
0.29,0.22,22
0.88,0.68,22
0.66,0.52,22
0.28,0.22,22
0.25,0.19,22
0.66,0.5,22
0.25,0.19,22
0.27,0.2,22
0.3,0.22,22
0.64,0.49,22
0.65,0.5,22
3.35,2.68,23
1.61,1.25,23
3.2,2.59,23
1.4,1.11,23
1.81,1.45,23
1.48,1.15,23
1.71,1.36,23
3.24,2.58,23
3.2,2.6,23
3.26,2.64,23
1.42,1.11,23
3.35,2.68,23
1.64,1.29,23
1.71,1.35,23
3.35,2.72,23
1.49,1.17,23
1.4,1.08,23
1.46,1.14,23
1.56,1.23,23
3.3,2.68,23
4.19,3.43,24
1.35,1.07,24
1.55,1.21,24
2.97,2.39,24
1.31,1.04,24
1.35,1.07,24
1.41,1.12,24
1.67,1.3,24
1.5,1.18,24
2.16,1.71,24
1.34,1.06,24
1.59,1.25,24
1.41,1.11,24
3.31,2.65,24
1.42,1.12,24
1.27,1.01,24
1.36,1.08,24
1.57,1.24,24
1.57,1.24,24
1.81,1.42,24
1.5,1.19,25
1.83,1.44,25
2.28,1.91,25
1.62,1.27,25
1.72,1.36,25
1.74,1.36,25
1.7,1.33,25
1.58,1.26,25
1.81,1.43,25
1.64,1.29,25
1.65,1.32,25
1.64,1.28,25
1.65,1.31,25
3.35,2.71,25
1.61,1.28,25
1.64,1.3,25
1.51,1.17,25
3.65,2.96,25
3.37,2.7,25
1.92,1.52,25
3.35,2.69,26
2.93,2.36,26
1.22,1,26
1.41,1.12,26
2.08,1.64,26
2.98,2.4,26
2.98,2.41,26
1.49,1.2,26
1.22,0.97,26
1.68,1.32,26
1.51,1.2,26
1.67,1.32,26
1.34,1.05,26
3,2.42,26
1.36,1.07,26
3.1,2.51,26
6.7,5.35,26
1.41,1.14,26
0.51,0.39,26
3,2.42,26
5.11,4.14,27
5.04,4.1,27
1.9,1.5,27
5.11,4.16,27
1.95,1.56,27
1.94,1.55,27
1.99,1.58,27
5.03,4.08,27
5.01,4.05,27
1.88,1.49,27
1.97,1.59,27
5.16,4.2,27
5.15,4.19,27
1.94,1.54,27
2.06,1.65,27
5.15,4.19,27
5.19,4.22,27
1.81,1.44,27
1.97,1.58,27
2.02,1.59,27
3.31,2.65,28
4.46,3.59,28
2.55,2.11,28
3.86,3.14,28
5.72,4.62,28
5.32,4.34,28
14.64,11.97,28
3.57,2.88,28
5.27,4.29,28
2.58,2.12,28
6.32,5.1,28
3.36,2.75,28
3.37,2.75,28
3.48,2.84,28
3.55,2.88,28
3.06,2.47,28
3.55,2.91,28
4.58,3.73,28
2.96,2.39,28
13.66,11.08,28
0.6,0.45,29
1.08,0.85,29
0.82,0.63,29
3.24,2.6,29
1.04,0.81,29
0.43,0.33,29
0.6,0.46,29
0.62,0.48,29
1.54,1.26,29
4.27,3.43,29
