file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,duration_time,user_time,system_time,perf_time
1440839.exe,218101506,382569521,791447,208148,74717654,3406061,919,74070349,3382256,98133025,793282,46126172,305280,216391,<not supported>,105249,<not supported>,126918131,17677,52138844,2751,62,6673,65442046,58676000,5967000,114246945
1928955.exe,259252532,362024358,1225370,372044,78410472,3182273,3748,86667962,2778514,128991294,1551743,61129632,527993,558584,<not supported>,207449,<not supported>,131293759,95859,55653674,51950,24,24813,79073392,70588000,8067000,100493595
209081.exe,401714555,453777322,6427542,165324,107417010,6822895,2299,109675005,6910352,136187132,7662996,55657291,565831,5153073,<not supported>,261428,<not supported>,115622516,511606,46620234,172477,0,20021,119715203,115348000,3977000,141254723
2791527.exe,676698845,1302310462,1322771,183930,273527654,3856251,1205,273548571,3955405,427679713,1946361,225991485,830636,459830,<not supported>,152363,<not supported>,429423005,60396,229542464,11693,653,24404,198479817,192104000,6003000,219799854
3056990.exe,625826652,1269146585,1012481,180004,261186990,4009109,520,256945531,4139577,406046691,793558,215145706,655928,295480,<not supported>,73664,<not supported>,435268015,37914,229391777,6588,175,14368,186112599,183793000,1997000,206677852
3373624.exe,246220484,419189938,825971,212782,95419692,2666069,1696,88376551,2975351,109384410,2000667,49938563,277116,458416,<not supported>,73581,<not supported>,116746539,26234,53700946,4914,97,7872,75780004,69371000,6032000,97607875
3419202.exe,643292799,1266131920,1124601,149546,267713490,3307828,993,265538163,3759194,416516443,840142,216320660,790189,363069,<not supported>,150150,<not supported>,420620788,73022,224773473,14310,57,16631,188821229,184389000,4008000,210837908
3713341.exe,2806210275,1972126687,26821283,11767976,413308575,5217005,27859,421722051,5238866,651497323,32670091,371390606,5774516,21092413,<not supported>,2194255,<not supported>,676190014,8364075,361321225,559838,232461,742674,684203548,666864000,16996000,704271725
3985474.exe,662645404,545082819,8168690,1087248,126900243,3956529,3340,127684124,3936913,167354609,10764487,72359056,1193905,6487031,<not supported>,369309,<not supported>,162739300,2102551,69080491,100334,1359,64265,196971304,186594000,10031000,217960727
4111853.exe,655761363,1287901175,1417907,209233,269865255,4538469,721,266480810,4741155,414578228,1703507,226147758,621566,327169,<not supported>,93169,<not supported>,432465953,58193,234173913,11135,155,18696,194067665,190714000,2995000,215732068
4456241.exe,217251299,399245504,596301,164931,76037348,3404777,915,73431348,3388224,97789030,1021751,41802274,283267,218110,<not supported>,33560,<not supported>,121307616,20844,49982025,3256,0,6132,66888027,63411000,3019000,88263896
4839731.exe,211710550,351825917,576102,134232,70113011,3650521,526,69743423,3428437,102483429,563963,50142058,210309,190577,<not supported>,27222,<not supported>,126889249,17142,50407141,2636,0,4666,62906017,58531000,3968000,84803416
4976437.exe,211483037,382486499,582172,103982,80670339,3278336,523,77661783,3412431,101101086,645520,41913507,361666,197685,<not supported>,56553,<not supported>,117139266,30177,49907500,4910,2,7324,67319983,64896000,1996000,89416522
5221218.exe,980838153,605397809,12614290,3197678,135095838,5816543,4822,134676631,5799109,178634387,16088581,79518334,1708461,10378141,<not supported>,506493,<not supported>,181862918,4489518,80322476,83644,139,56693,289367827,278044000,11001000,311542227
6023868.exe,1031658015,578665632,12093797,3677461,132673503,5600700,6415,135591074,5729253,185554287,16571545,84986330,2079350,10196575,<not supported>,749793,<not supported>,185727491,4444370,79183655,87669,32712,76891,303938335,285518000,18032000,325212098
6323073.exe,989492366,611990820,12509843,3199881,139073672,5871109,4823,138132904,5847634,179116289,16147614,79504699,1767085,10185736,<not supported>,507242,<not supported>,181140122,3918963,80290525,85647,76,51124,289681349,277376000,12016000,310677827
733419.exe,722503557,1288137647,2117523,456232,282667067,3731044,6299,284776354,4100964,445819507,2210259,240601147,1028072,602737,<not supported>,492031,<not supported>,430788786,307796,234114650,116196,658,61519,214439442,202053000,12003000,235627690
8065224.exe,667516411,1240650411,1378628,255859,275016492,3457613,2330,277098370,3114028,442487432,1028428,238727610,972670,341895,<not supported>,214495,<not supported>,431441811,96734,226796660,24558,67,23035,200300576,197937000,1999000,222442187
8387568.exe,274226880,360793062,1263750,333300,90843435,2934222,3749,95131866,2611339,133498509,1730282,62949408,533179,540978,<not supported>,221247,<not supported>,124962925,126597,50414975,53667,205,23971,81475256,70974000,9996000,102345618
841011.exe,270511852,352096232,1245050,401946,86641982,3061427,3748,93694158,2723332,127581679,1840380,63156552,556056,504238,<not supported>,216351,<not supported>,134318791,100076,53354950,54116,203,27524,82252961,70923000,10988000,103809962
