file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-cores/,duration_time,user_time,system_time,perf_time
5494547.exe,114163280,507721,79926146,1615934,77769460,1727428,102568,464096,177826585,38623,115686112,68,6053,371753160,526,1.29,1.08,52723298,51359000,1007000,74029065
5550352.exe,112587859,571057,78428378,1526291,77891739,1559526,102673,491424,173945659,26737,110586763,0,7390,365303190,523,1.22,1.0,54777196,50527000,3886000,75628313
5755609.exe,130668919,569404,87407262,1591295,84754320,1687409,114578,607951,199846854,50957,124540313,78,9269,413293774,1043,1.43,1.18,62530766,60137000,2004000,83074434
576026.exe,117117929,915012,84467013,1600178,80389038,1580564,172966,718424,192417051,80606,108806530,66,11171,378946934,1946,1.36,1.11,60439123,55138000,5012000,82101083
5794115.exe,128186154,678737,89763792,1661723,85059394,1820151,160693,830436,199980961,59804,121154056,71,6810,441879168,915,1.42,1.16,63141145,60734000,2024000,84630161
596008.exe,114557217,806036,80735802,1477234,77796718,1482648,159500,675560,178824421,57764,107446511,3,4710,363398408,916,1.26,1.03,57396323,53110000,4008000,78075172
5961211.exe,101001156,689574,102218271,1800697,102763061,1647216,108675,651911,232432780,56886,103734166,1,14210,467896187,1037,1.63,1.34,71774518,65397000,6036000,92370184
5975913.exe,114227011,816606,81983634,1771241,82097213,1711199,110935,529122,196011036,30541,125168161,0,8398,402829056,719,1.4,1.17,57674667,51360000,6042000,78930091
5976780.exe,126456213,855130,85383455,1745591,82483668,1749567,151442,593506,201188508,47178,126355730,69,7134,422207980,915,1.44,1.19,62331391,55945000,5994000,82312236
5976816.exe,434592024,752208,268807983,2207027,268536470,2070728,161746,1072279,600719246,63554,438238600,3,16219,1277761127,1034,4.41,3.67,180492257,175164000,5004000,201407126
5978424.exe,430851023,838609,270598399,1958876,271546390,1904564,148583,1049964,605906727,56249,432835259,83,18355,1272416325,1034,4.41,3.7,178033176,172754000,4964000,198924242
5979286.exe,116352172,538541,82441718,1739294,81931066,1699122,112638,517109,196243615,38565,130036763,0,5268,402908607,526,1.43,1.2,57864503,54419000,3023000,78826026
5979571.exe,126720329,492623,86000379,1750786,84398184,1720629,115838,525585,194045583,42473,122627259,104,6064,417480313,524,1.38,1.13,60669086,57304000,3016000,81620231
5980827.exe,425922797,1005677,264895093,2167458,262304256,2115975,205948,1042180,596173372,73331,422975111,58,14276,1233430435,910,4.27,3.55,178667636,174217000,4005000,198829295
5981368.exe,130894195,600151,93558689,1645880,94910284,1560029,105032,522885,204903234,33985,133685200,111,7283,432457609,525,1.45,1.19,63930092,60515000,3025000,85091303
5987243.exe,114845226,504067,80166412,1604652,78157834,1613091,112526,514550,179319722,33166,112810914,3,4496,374528266,524,1.25,1.03,56613696,53295000,3016000,77749353
5990492.exe,422895123,686383,263939409,2091817,263894451,2062329,166825,961689,592510207,55029,422647124,256,14731,1230949160,520,4.25,3.54,176717475,171370000,4981000,197520278
6040995.exe,441835966,1098915,276254251,1993505,274153650,2165142,229533,1256594,635599754,82731,432742993,82,20095,1291265447,1938,4.59,3.82,189935875,182512000,6943000,210665773
6236007.exe,127270751,562935,84976529,1650555,84418683,1674907,118286,603210,194333897,45820,122129325,68,9318,406802252,1038,1.37,1.12,60869102,57468000,2972000,81394508
6322230.exe,423491921,660438,264560686,2136245,263105328,2104885,169525,999239,598523869,53590,424416512,118,13537,1231390974,519,4.28,3.57,179610596,176318000,2971000,200604211
6463124.exe,152852324,5599769,109466064,1629587,105747331,1575253,922604,3480348,355385662,1476608,141765501,72,18711,517985714,2869,2.55,2.09,107296971,102838000,4032000,128207380
6521284.exe,127755908,807194,85201491,1709952,81232792,1706648,151106,651941,198061270,65300,126193550,1,4977,411807364,915,1.47,1.23,58438870,55208000,3011000,78998214
703894.exe,432341569,647417,272700167,2243337,272080347,2030844,178855,1039001,605246799,61847,434785936,39,13548,1290450251,519,4.38,3.65,181533311,178199000,3003000,203222211
7091608.exe,424301065,645104,264892933,2192504,264380379,2074723,167076,1005048,591657269,59270,421630902,92,14100,1231856942,519,4.33,3.6,177815908,174578000,3009000,199025583
7103208.exe,113618056,662440,78879262,1638387,78816566,1651039,118615,583950,186402025,36144,118538438,0,7944,370189448,1038,1.36,1.13,54931682,52618000,2023000,75851826
