file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-cores/,duration_time,user_time,system_time,perf_time
1536382.exe,310294404,7086569,189914635,4059497,184707758,3994049,1617933,5686625,637228349,716326,300915434,94,42133,1078978294,6777,4.48,3.68,196764408,176828000,19089000,242563783
1578979.exe,1077023254,12785476,617416287,10915968,617891183,10876653,949684,8685737,1976360209,3685064,1080004171,105,418532,3600362710,1902,14.18,11.86,579132129,548712000,30038000,600606971
1605758.exe,312933790,5680615,183841698,5572431,187780431,5457822,1164721,4251570,671443314,640617,318896438,31,42399,1082028167,6775,4.79,3.99,196788813,185434000,11025000,218103551
1627487.exe,851536495,9897853,387919895,9363303,387775856,9378627,1791335,7968222,1520418391,1186514,853009116,224,55577,2846496491,6777,10.95,9.15,444797876,433465000,11011000,464017240
1734547.exe,892642311,14738503,483680383,6543639,482284677,6534844,1412519,9993904,1607279790,2649571,884752387,7054,350384,2617826719,4036,11.6,9.69,474239763,431929000,41993000,495231607
2002873.exe,895601054,15319407,484075683,6505446,480213051,6476732,1509628,10137544,1628070816,2651234,890656788,5906,506067,2628966880,4122,11.46,9.52,486416662,440033000,46003000,508679748
2049538.exe,371653086,5525924,197345615,4199719,199034318,4139748,1048697,4401300,717535075,650420,365233738,232,504073,1158438551,5214,5.1,4.25,210440158,198050000,12003000,231818235
2134592.exe,238312825,7302491,150809098,3415946,151405710,3458719,617230,4864322,506566329,652689,245108572,97,27164,841097350,2576,3.66,3.06,148587163,142164000,6006000,169103451
2365914.exe,215096274,4720649,199481338,3937468,198686687,3908981,650208,3552276,524961402,468132,211411559,295,30348,989091598,2375,3.65,3.01,158226210,151916000,5996000,178129557
2505532.exe,731215816,5286673,448137116,4802418,450863094,4813849,689550,4603477,1323923585,1424303,732518005,2095,292159,2271705028,2572,9.29,7.73,391473191,345093000,46012000,412874779
2521075.exe,247779283,4321001,167309049,3999052,168133342,3951035,573278,3301131,516508634,458436,241575112,2362,37022,907522412,3260,3.65,3.02,155795100,142502000,13046000,176953337
2527896.exe,264836686,7572328,186654053,6586357,183585057,6459835,1008987,5514985,656150737,632436,269682559,8,42165,1043898976,4045,4.64,3.85,196521601,187148000,9007000,218056228
2640086.exe,254117602,4631175,161204908,3837645,157658560,3749281,731020,3661430,526234931,447032,254296594,15,26905,926523007,4775,3.72,3.1,155546058,143128000,12010000,176347310
2653834.exe,280955967,6710231,156594039,3752353,156866231,3734778,1260956,5195162,641791595,659218,285757937,840,39818,988768392,5527,4.56,3.79,189534278,175187000,14015000,210569601
2665250.exe,239029827,4483067,160828117,3935795,161076282,3953774,601369,3364751,495696657,371784,246172672,226,23517,888117373,2574,3.45,2.86,148271138,143943000,3998000,169248399
2701337.exe,206038295,6239540,136101816,2318193,132749123,2244441,963949,4752863,412845756,464849,212041409,43,21555,732472429,3601,2.91,2.4,124147935,114856000,8988000,144994689
3014683.exe,242346614,4666286,215514230,4759748,213366458,4711988,755476,3701452,594084124,492551,238367889,230,33306,1131416191,2376,4.2,3.5,175159473,169710000,5021000,196254130
3018918.exe,408863281,13096558,197765417,4158837,197525745,4128910,3212303,10612352,988251508,2119204,412241476,364,65532,1147710299,6778,6.87,5.65,292281178,280924000,11036000,312232950
3047601.exe,301071920,4920953,193777168,5159604,193517502,5110098,748124,3835903,620329547,558491,296568348,1079,32876,1105915274,3653,4.35,3.6,185309141,176041000,8951000,206678645
3113504.exe,429422809,18355044,199394268,5111491,200905633,5118461,1292346,8816430,864692362,1621224,441400188,363,31818,1325311510,4049,6.26,5.24,254327202,244052000,10002000,275371119
