@relation problema
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'instructions' real
@attribute 'page-faults' real
@attribute 'power/energy-pkg/' real
@attribute 'power/energy-cores/' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
682768,78323,3083454,90355,3208454,85225,40313,275909,95362212,15859,1221724,25,2587,88749218,132,0.58,0.44,35175911,33849000,995000,57098053,1
207161876,618743,121830391,1989923,117122296,2195577,150854,690082,295807003,63716,201906771,82,8881,614778350,907,2.11,1.76,88461876,84883000,2995000,134418826,2
192663618,491537,119558785,1509437,121904714,1432095,107036,674190,286268908,47906,196692844,1,9198,579884775,1000,2.02,1.68,86424994,82098000,4004000,107293377,2
136037840,8717332,94248251,1689344,93943395,1721113,512816,2782846,381522077,568325,136458661,153,22240,432174737,2868,2.55,2.08,116289234,109094000,6942000,139233637,2
73629559,398436,51428246,1436766,49750669,1410620,87557,403161,128091204,37739,68277438,4,2860,248611355,521,0.92,0.75,42183606,38228000,2940000,62180553,2
193514330,724747,122058758,1563409,121898593,1459754,157526,690159,301831406,64386,194424185,186,6176,580807567,909,2.14,1.79,88271715,83871000,3993000,108889281,2
78858724,474290,65917096,1655576,67270840,1529549,71279,385229,169610191,25203,82499290,27,6102,331401583,523,1.19,0.99,49542283,47193000,2008000,70828729,2
190069752,384536,119035398,1670327,119352415,1369271,106159,579000,288009944,36908,192633515,39,5481,578607380,519,2.0,1.65,88123437,86779000,1009000,108855993,2
192628640,960395,118922700,1638702,120332562,1449379,137652,801786,301213198,70827,197670777,73,14606,587756319,1904,2.19,1.83,88951980,87582000,1006000,109959716,2
191543169,592514,122408766,1431114,121243055,1429168,105013,664750,291924311,36536,192665665,131,9095,584007694,1001,2.03,1.69,85517915,83195000,2004000,107221448,2
73442506,743828,49197122,1425713,46970885,1405972,125270,479021,132493446,40590,68285660,121,2797,260810309,914,0.94,0.77,41442649,36108000,5015000,62637739,2
71385007,843468,52967728,1420745,50384418,1393317,114509,521532,136944661,47035,68837233,17,7166,249498590,1430,0.95,0.77,43382794,38933000,4098000,64293672,2
98083399,1222754,87164167,2569521,89707762,2612829,153115,751660,278868767,71806,100275994,98,17296,454599240,2333,1.89,1.55,85961196,78578000,7051000,107250027,2
207683510,329888,121880903,1613996,116528111,2166526,110407,593384,291941723,38348,194949987,48,8493,615200615,520,2.05,1.7,89936918,87699000,2016000,111044173,2
194136652,685889,123479560,1621048,121698221,1417611,156060,681171,293760985,59018,191072232,89,7172,582689612,957,2.05,1.7,89343848,84071000,5004000,110132327,2
195609121,439970,124744501,1513986,121787719,1464337,115668,635141,317685052,43360,188914625,1,737908,578235226,519,2.22,1.83,98566454,96201000,2004000,119523269,2
72827903,730703,48703074,1447413,46555732,1396664,125503,470968,130386899,48125,68043620,0,2765,252315136,916,0.92,0.75,42262342,37947000,3994000,63272863,2
70168844,699650,46602835,1431643,45626143,1474824,116263,414988,135732344,33976,72417062,63,3698,252359861,917,0.94,0.78,39166025,36951000,1997000,59439251,2
70914556,517308,51203789,1263292,53242771,1075780,67621,419933,136156618,21006,66025490,1,6733,243092033,784,0.92,0.74,43225208,39994000,2926000,63732720,2
193871860,435140,118324633,1701145,117925219,1597383,110815,621981,288737113,38942,193764422,40,6869,590467494,522,2.06,1.71,89212513,86897000,1997000,110051264,2
73815139,711764,52969417,1457996,49426624,1398999,127596,473183,130399769,48189,66348691,5,3505,246051274,912,0.93,0.75,42519129,40201000,2010000,63873946,2
152883012,6719808,103414026,906881,104459685,922748,781652,4984849,422450327,1030199,158091030,132,50951,500708024,3384,2.87,2.36,125192151,118527000,6026000,172172535,3
159128238,6773605,110959556,2707826,110042590,2745871,706235,5030095,446418348,1441224,158553947,846,28636,519305241,2477,3.06,2.51,134819258,125396000,9028000,156717608,3
164727100,5139615,119507354,2783733,116940571,2859996,745632,3920731,469877067,1227189,165343997,207,21745,551521735,2871,3.12,2.57,137564567,130283000,7015000,159180376,3
131993744,6788753,93013963,905367,96006090,902456,696229,4641932,390902244,989505,128734364,106,35518,419134233,2479,2.63,2.16,117893974,110664000,7042000,138939741,3
200509688,5183096,146888650,3277729,147042440,3321857,724991,4293228,882157941,3814637,202623957,16079,532961,689512685,2476,5.92,4.87,262139239,198793000,62934000,283147713,3
361383610,6867698,225006736,1162181,225506098,1172235,797249,5316806,699368022,977989,369847824,111,51255,1090708364,2670,4.8,3.97,208608993,200214000,8008000,229279626,3
386658819,6918702,243268986,2060742,244033114,2060352,788690,5617642,1090026086,3237580,389499850,535,803176,1179491231,2537,7.52,6.24,318125693,270722000,47125000,339476420,3
220678158,4975580,161412784,3701355,157504307,3626471,963707,4077785,927283624,3986908,221815560,1072,836566,759691737,3257,6.31,5.21,271566046,212236000,59065000,292885796,3
413829235,6950257,258340997,2495512,258614888,2559958,956499,6342700,1169187689,3672433,417321360,5223,1052555,1285046145,2638,7.99,6.62,337945204,286592000,50927000,358834355,3
415830683,6906738,260734729,1645341,262115672,1639212,815090,5756118,1066333494,3504738,417281261,1982,61231,1265216707,2667,7.27,6.02,315481320,255063000,60014000,336296713,3
359508328,6838266,225061640,1167133,227428190,1146993,764162,5196495,704104151,997323,361900840,7687,50511,1075276587,2669,4.92,4.08,205957301,197641000,7985000,226335258,3
153988570,6520660,104123489,889014,105149492,909748,720520,4826468,417848904,1013205,154733493,151,49611,504467258,2478,2.88,2.38,124115707,117768000,5988000,144881191,3
157529587,6431920,104174590,970955,100812343,976956,759025,4719564,409347109,982368,161774548,145,32082,517857617,2868,2.76,2.26,123835839,116510000,7030000,144229928,3
407340713,6896233,257592783,2097135,258403680,2088319,846415,5797306,1128903045,3443588,410986599,295,909547,1255060495,2473,7.84,6.49,334522909,269176000,65042000,355091962,3
149071400,4838025,115070033,2714167,115669328,2691352,973660,3597482,489354857,1398496,147669317,23904,27952,519120522,3651,3.3,2.72,143431767,134051000,9003000,163805369,3
201885507,6769000,134292642,1411764,138057695,1407756,794022,5243201,815609810,2972377,205331101,5786,666161,668374614,2868,5.52,4.54,243934269,186501000,57153000,264362995,3
415859247,6978432,259732996,1697520,260752343,1694315,821568,5743569,1085333228,3120248,418903505,385,71475,1270257052,2472,7.52,6.24,318146204,266620000,51118000,339253605,3
208187590,7130742,135642873,1434669,134239636,1414108,869861,5343186,820598363,2976371,215919902,6823,606893,695781906,3258,5.63,4.63,245752277,171243000,74105000,267002029,3
204298146,6638510,136989623,1442391,140444577,1423196,840284,5062136,806419388,3387491,212209082,815,566997,682404490,2870,5.43,4.47,239934733,180731000,58912000,260740670,3
217613964,6904845,142278320,1403126,143061471,1404114,816868,5312700,839490178,3797931,222166077,540,451530,707871033,2672,5.73,4.72,251666717,187306000,64104000,272736668,3
140387002,6309427,97336134,1028173,95677760,942407,2253679,4795629,500841670,1855091,131098243,27554,284636,473029880,8585,3.37,2.72,153650476,132102000,21016000,203555494,4
129430307,6432100,93254838,1014498,93445879,1106397,2367039,5146582,549244233,2099818,129005283,92,337184,462675993,6383,3.62,2.95,160671218,149311000,10949000,181457386,4
349787749,4497668,221042228,945435,218413367,1106073,1835325,4364879,721507812,1591378,347215861,93,170356,1061419442,5948,4.91,4.04,214845945,201494000,13031000,234969345,4
134836244,6210382,95170862,756608,94006599,729730,1990036,5035786,496185290,2169630,133245913,81,28502,485859421,3462,3.24,2.63,148341008,139935000,8053000,169686100,4
374013883,7375359,239032922,1574756,232380310,1422482,2807064,5895352,923673114,2285723,362479537,454,237520,1140242610,7964,6.32,5.18,274354818,261083000,13004000,294855070,4
180857486,8140780,128399633,1023550,120364154,1000127,3384842,6248751,681585055,2613968,180973433,265,57507,643556060,13170,4.56,3.7,205290831,175823000,29136000,226377269,4
348046912,6476022,224140606,1778408,224230670,1931730,2308715,5226822,861568615,1932819,345313813,331,1084176,1067407732,5992,5.82,4.77,256885875,235424000,20948000,278168907,4
145054819,5480802,101342255,908128,98222287,883530,2063155,4472007,502460712,1862738,145523943,161,38670,514972574,7654,3.35,2.72,151325269,138985000,11998000,172832130,4
126683613,4432309,89222622,757888,87413193,755493,1525330,3863501,453574039,1836862,127090319,337,25580,449136682,2873,2.99,2.42,136598194,130191000,6008000,157684513,4
125186901,5027611,90681767,811458,89784121,934647,1937596,4742307,443609086,1631882,126550477,76,125478,452098012,6341,3.0,2.44,131930680,116446000,15057000,152998035,4
347634789,6880073,220681490,1563130,219061040,1516980,2440678,6105284,834828253,2180067,345362709,99928,498725,1059022035,5450,5.64,4.62,248938929,230635000,17971000,269513308,4
127078938,6095354,88110432,777588,87024330,765735,1912349,5178114,512046973,2291684,127723675,40790,22915,443758387,3452,3.45,2.82,150092192,142614000,7030000,171894622,4
345991070,7138736,218731717,1485810,217942776,1710744,2403789,6080871,825551294,2003551,346245292,35885,182300,1056138591,5498,5.73,4.72,242495114,228149000,14009000,263609011,4
349703045,5116723,220810952,1153285,218423991,1009825,1815285,4377709,743750184,1741834,341119731,473,301896,1065220828,5954,5.13,4.22,220326875,203867000,15989000,241840334,4
368526621,5208671,232790159,1168647,229302870,1164737,2044300,4785436,775496773,1699094,365617674,227325,46449,1133278574,7607,5.36,4.41,231738310,217086000,14005000,253915907,4
126300444,4381609,90938226,805633,88456353,946966,1766226,4123990,431642584,1660244,127229544,283,168999,446466503,6341,2.92,2.37,131066585,118794000,11979000,152978520,4
122585409,5015720,87245160,931853,86866115,984277,1909681,4376024,496491690,2007143,125638899,92521,138380,430660207,4170,3.34,2.73,145370501,135043000,10003000,166311159,4
366842081,6732746,233847596,1347884,232805603,1377804,2632172,5870476,909273416,2265472,365960747,111,294941,1130603061,7573,6.19,5.08,270410686,255074000,15004000,291471931,4
