@relation problema
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'instructions' real
@attribute 'page-faults' real
@attribute 'power/energy-pkg/' real
@attribute 'power/energy-cores/' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
250763118,338328,155041917,1010380,154993085,1010803,131410,867581,514415619,1447350,252398708,31,472022,773771186,129,3.55,2.96,152111622,107886000,43550000,200754912,0
251032098,317413,155139643,708618,155322940,710582,103075,773878,513747138,1816408,253480028,52,222766,768027764,129,3.54,2.94,151022434,115803000,34940000,170753575,0
252105766,437350,157466302,714501,157271041,719227,150644,885507,515533782,1542579,251282259,174,311823,770058234,715,3.45,2.85,154420304,132210000,22035000,174642456,0
252253531,296973,155015192,611812,155094170,609484,108672,771911,509692242,1438818,253405062,5,313677,769468106,128,3.5,2.9,151770565,124361000,27078000,172370464,0
252673623,290649,155405282,720811,155073657,714855,100559,748508,503343361,1118151,253771009,90,147018,771236945,127,3.45,2.86,150936306,128601000,22103000,170947954,0
253388883,271288,155318629,804247,155261033,808398,111028,802328,516460935,1329011,253439399,30,256353,771741591,129,3.54,2.93,155365973,132052000,23009000,175541989,0
249047315,290151,154396739,901129,154250905,899439,103825,789924,511668105,1334900,251052565,8,466641,769734317,130,3.53,2.92,152886256,119624000,32896000,173556882,0
250472673,273920,155083277,918211,154844463,915935,110588,815776,519667008,1512135,250209153,162,511897,769994467,129,3.55,2.95,155581095,125282000,30067000,176003369,0
68415054,220350,45641707,219944,46135435,221897,56272,338265,107944982,19818,70045464,82,4499,243294214,137,0.74,0.6,34954110,31745000,2976000,55461048,0
94109937,233451,62580500,455857,62546536,456364,82720,525971,292333646,1249862,94029847,367,264031,323929108,133,2.0,1.65,89478291,65104000,24038000,109020098,0
249235594,322099,155333877,952899,155374821,962393,114133,817000,523586012,1554887,251928109,107,502812,770889522,130,3.58,2.98,153518794,123256000,30062000,173825438,0
249231925,327448,154594506,899263,154611726,892148,100775,768222,512020095,1239291,250674355,238,446514,769893778,129,3.53,2.95,149141608,122939000,25987000,169823937,0
250895143,290828,155143025,921581,154896785,912733,110289,787453,500717087,1571814,250647488,42,243713,769136420,129,3.41,2.83,150322010,124035000,26007000,170432180,0
7574442,283288,5694461,160389,6188087,177305,58246,192913,31981116,24767,8588698,39,4535,49608050,590,0.24,0.2,9257889,6974000,1992000,30247867,0
66398912,178656,41965813,191597,44036978,207971,70367,324031,104355072,26367,72681570,1,3386,245371506,328,0.74,0.61,30063971,28821000,1029000,50703181,0
68491512,200338,45487583,213772,45993215,212490,55188,307777,106315701,17507,69347232,40,4232,239464916,135,0.75,0.62,33458220,32205000,1006000,53448157,0
69574476,191276,45561986,207599,45023408,213535,53266,303794,107379734,18941,69624359,177,2889,244980429,134,0.76,0.63,31523085,29351000,1956000,51240918,0
70131983,184406,44686958,216476,45418314,212665,49235,301710,107120393,20951,69714622,46,4848,241482046,134,0.73,0.59,35657002,33416000,2025000,55122223,0
