@relation problema
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'instructions' real
@attribute 'page-faults' real
@attribute 'power/energy-pkg/' real
@attribute 'power/energy-cores/' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
249546651,284239,154665808,908151,154758346,910087,113468,793680,521360888,1728756,250653768,1,517788,767573538,128,3.57,2.97,152167158,128021000,24004000,172565134,0
94344787,238187,62418372,415171,62351565,410916,77730,531781,304581809,1705097,94245038,280,295859,326161379,133,2.06,1.69,92742796,67392000,25146000,113414151,0
248844796,320827,154449213,915685,154659905,921199,112765,830521,520083637,1455935,251176396,151,513943,768993310,129,3.63,3.02,152889835,125487000,26890000,172831690,0
249140884,292979,154348698,907851,154480576,903170,102024,771472,511182007,1653175,250504017,187,414250,768362236,129,3.57,2.97,149613140,130361000,19052000,169970558,0
253845612,279767,155804920,711386,155585564,712336,113231,814804,513188135,1535233,253667612,82,310245,772566085,127,3.51,2.9,155338621,127079000,28017000,175596057,0
250480897,286742,155534808,1015424,155010748,1009301,108978,817769,520988308,1632309,250372185,253,605168,771594417,131,3.6,2.98,156518397,126202000,30048000,177026558,0
249096591,317910,154564197,869543,154482967,868916,114570,836144,515040180,1450696,250538078,4,514708,771353917,130,3.53,2.92,153873682,116905000,36656000,174223907,0
249063711,300410,154690464,904892,154713394,901989,104644,772909,513835463,1440576,250128733,44,504720,767062062,130,3.53,2.94,150477217,121124000,29029000,170974541,0
253681788,296183,155606161,742807,155008746,740112,111306,788063,504947968,1241297,253410067,22,255467,772137806,127,3.48,2.88,152148261,124731000,27159000,172444390,0
249296204,320585,154729597,907336,154587436,908408,104533,781124,503805910,1219668,250295180,75,341346,767946919,128,3.45,2.85,150608264,117519000,32865000,171039452,0
68473545,222136,45532317,262876,46216642,261537,47377,308241,109029252,16651,70166637,57,4997,242659761,140,0.75,0.62,34844939,33588000,987000,55107847,0
