@relation problema
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'instructions' real
@attribute 'page-faults' real
@attribute 'power/energy-psys/' real
@attribute 'power/energy-pkg/' real
@attribute 'power/energy-cores/' real
@attribute 'power/energy-ram/' real
@attribute 'power/energy-gpu/' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
246787126,306800,153946355,693294,154272223,697131,188485,2364118,504765651,115768,250063649,7049,105430,765031481,128,3.36,1.62,1.56,0.08,0.0,139003233,98772000,39907000,153575718,0
92933725,266714,62018739,365780,61930135,364874,143892,1667190,335847413,111340,93329387,67881,104785,324987619,133,2.16,1.04,1.01,0.05,0.0,90882521,58740000,31859000,105460559,0
247871302,337425,153904916,726190,154009890,727029,144877,2252342,511499205,115127,250202879,10787,105405,768758552,129,3.39,1.68,1.63,0.08,0.0,136993148,103680000,32898000,151516662,0
247406508,654122,154007119,732142,154048404,729089,148133,2147015,504801143,114536,248634694,9116,119499,765489122,128,3.36,1.68,1.63,0.08,0.0,136181526,109974000,25994000,150655248,0
251407347,297262,154973949,677899,154922944,676417,147501,2211346,503963308,115347,251760874,26247,105324,768443489,128,3.37,1.66,1.61,0.08,0.0,136002579,102795000,32934000,150571126,0
248505556,296419,154353237,695736,154604173,690811,184083,2254380,508329202,115486,250333701,40391,105818,768978531,129,3.4,1.66,1.6,0.08,0.0,136345176,103936000,31980000,150717247,0
247146081,303145,153825521,635979,154237882,631138,134517,2192428,503005410,115652,248841628,17934,105736,768197098,129,3.36,1.65,1.6,0.08,0.0,135750418,110597000,24909000,150142307,0
248450900,327333,154475155,696392,154470138,695556,198910,2214389,505760411,114537,248687489,14067,118267,766712200,130,3.36,1.68,1.62,0.08,0.0,135687421,104400000,30822000,150117286,0
250989483,284345,154423261,651934,154466664,646831,133114,2156866,509219810,114851,252992195,216074,105723,769252895,128,3.44,1.7,1.64,0.08,0.0,137254503,103959000,32987000,151860068,0
247430770,321546,154163339,674755,160534574,730880,404323,2742124,530049759,121978,256837710,311967,105157,768894137,129,3.45,1.69,1.64,0.08,0.0,138524070,107079000,31023000,153189555,0
68997189,195338,44893349,231015,44912526,231043,143278,896609,98981855,4239,72010419,2578,1367,246445979,141,0.68,0.33,0.32,0.02,0.0,26449586,25165000,1006000,40815846,0
250437059,302409,154580449,672297,154642512,667215,137782,2155840,503499611,115163,252027250,15783,105396,768856836,131,3.37,1.64,1.58,0.08,0.0,136365132,105062000,31018000,150558442,0
98185560,428479,65271798,428408,64699614,421216,365090,1832530,351166927,112572,96288828,9242,108730,341340493,1891,2.28,1.08,1.05,0.05,0.0,95184809,66911000,27962000,110140829,0
247997287,284610,154029921,812355,153991402,813244,151942,2248632,512408172,114591,249661584,10031,106121,767597162,127,3.45,1.7,1.65,0.08,0.0,138482583,108159000,30044000,153003117,0
250408033,306088,154569179,675157,154685298,674651,157531,2163917,510104687,114517,252446702,30257,213642,768761359,129,3.42,1.69,1.63,0.08,0.0,137695142,102510000,34833000,152234988,0
99798568,551001,65621208,420694,65816014,417546,145221,1651926,342538112,111794,99957933,3579,511473,342725434,131,2.23,1.06,1.03,0.05,0.0,92613367,70175000,22055000,106969078,0
250813805,305387,155012858,723521,154894789,723618,143585,2164377,511591993,114564,252764059,217799,105655,772042538,128,3.43,1.68,1.62,0.08,0.0,138529588,103177000,35060000,153038595,0
248145749,291445,154015695,697640,153845050,694688,157942,2173037,503681575,115078,248588639,9988,105290,766545827,129,3.38,1.67,1.62,0.08,0.0,135746626,99615000,35861000,150239232,0
251390176,281721,154616653,659173,154709531,660042,200259,2314081,509219291,115111,253507959,155141,105770,770661972,128,3.41,1.65,1.59,0.08,0.0,138854746,116442000,22083000,153459533,0
241609640,345852,151488501,725496,156862359,740397,172543,2259974,507592167,113070,252856461,302252,111117,750138386,324,3.39,1.66,1.61,0.08,0.0,137822918,104643000,32887000,152277566,0
67846033,220888,44820364,183418,44702637,185200,137109,797835,97206647,3662,71920261,2216,1666,246123669,135,0.65,0.32,0.31,0.02,0.0,26118373,24845000,993000,40706348,0
250878790,285016,154530207,662607,154915454,659210,127947,2038094,500470943,114711,251707986,7634,105110,768172715,126,3.38,1.66,1.6,0.08,0.0,134969654,105507000,29140000,149397353,0
68685398,211937,44968904,182110,45039316,183073,136493,795303,97021774,3631,71486504,2498,1589,243439843,133,0.68,0.34,0.32,0.02,0.0,26088163,24831000,993000,40621950,0
67709660,214229,44486711,185679,44767942,186044,137917,934006,96967353,4357,71000669,2802,1267,240758548,135,0.63,0.3,0.29,0.02,0.0,26982399,25743000,990000,41305558,0
248392277,284231,154381404,682851,154342292,681440,155166,2252245,507535507,115484,250032790,97496,105869,769422013,127,3.38,1.63,1.58,0.08,0.0,138732023,116411000,22077000,153058106,0
248126974,277677,153946456,632025,154560906,631033,138738,2080745,498469383,114717,248463818,10418,106289,764945823,128,3.35,1.65,1.6,0.07,0.0,134768977,102383000,32120000,149094809,0
67789475,224568,44808069,193429,44826752,193319,130785,813847,97585402,3617,71930038,2542,1687,245892634,134,0.67,0.33,0.32,0.02,0.0,26009484,24628000,985000,40722672,0
252046137,267497,154948818,634358,155092997,634584,140662,2084943,508977181,114019,252893057,304997,105182,769663300,127,3.43,1.68,1.62,0.08,0.0,137877050,105408000,32124000,152423596,0
247494078,673823,154403067,717118,154335376,718050,194312,2143074,508101440,114172,249490004,38028,105341,765850249,128,3.42,1.67,1.61,0.08,0.0,137706507,113481000,23890000,151980032,0
88423478,1295262,61009993,552318,60904843,557367,376814,3681703,194431788,19628,91825453,53640,61787,333356527,467,0.85,0.45,0.45,0.02,0.0,27586230,25850000,0,43042486,0
250045701,321206,154978356,668470,155464336,663489,148474,2129961,503555451,115661,251215727,24604,105276,767903605,127,3.37,1.65,1.6,0.08,0.0,135613997,109390000,25855000,149988491,0
93052960,293074,61870030,445952,62087553,446827,135206,1687346,338937635,112719,93256294,5953,104736,323770443,132,2.22,1.05,1.02,0.05,0.0,91729244,66582000,24844000,106007831,0
251105433,299247,154834818,670427,154774644,669436,140273,2121328,500503567,113897,252101006,18028,105288,768320033,129,3.37,1.63,1.58,0.08,0.0,136817574,97622000,38849000,151489569,0
70010160,179379,44928940,205476,45007502,205880,137934,859786,96542118,4596,71413485,3184,1551,242926898,135,0.65,0.32,0.32,0.02,0.0,26513573,26203000,0,40979026,0
69005879,197576,44959624,181582,44961365,181148,139966,848555,96842348,4182,71318624,2714,1400,243422065,134,0.67,0.33,0.31,0.02,0.0,26120393,25886000,0,40430875,0
67469749,224214,44509435,183861,44598477,184269,157889,851873,97342748,3774,71391558,2372,1635,243971068,133,0.65,0.32,0.31,0.02,0.0,25938554,24718000,988000,40160938,0
250234973,307587,154795432,636629,154797924,638805,155429,2165397,511482879,114876,252156015,307874,508931,767007542,129,3.45,1.7,1.65,0.08,0.0,138237212,108956000,28988000,152748928,0
250647695,299055,154680826,644465,154650858,644711,151979,2068808,508878173,114216,252354868,241155,105862,768368558,128,3.45,1.7,1.64,0.08,0.0,137365119,106067000,31019000,151874569,0
251172660,316108,155040754,640580,155465867,635631,202519,2246165,502097661,114713,251444998,49914,105489,768368495,129,3.38,1.68,1.63,0.08,0.0,135101583,106522000,28137000,149596748,0
