file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-psys/,power/energy-pkg/,power/energy-cores/,power/energy-ram/,power/energy-gpu/,duration_time,user_time,system_time,perf_time
743173.exe,42646443,171246,22807451,60718,22755602,62614,144182,701158,44815573,2511,48280964,2578,1263,121441138,620,0.33,0.17,0.15,0.01,0.0,12204374,11942000,0,26429068
7571318.exe,140218918,226268,75990348,80980,75978665,79463,159588,1206168,159866883,7198,141461668,2851,2263,363456390,374,1.08,0.53,0.51,0.02,0.0,43914867,42616000,991000,58548338
7607475.exe,140369456,264617,75000987,92917,75145671,92470,191800,1402220,157334963,5098,148632438,1332,1274,378952976,442,1.08,0.54,0.53,0.02,0.0,42352789,39032000,3029000,56971800
7617595.exe,67581187,169157,34809894,71273,34785141,71461,136748,836336,61038406,4344,66447979,2835,1005,187116699,390,0.44,0.22,0.22,0.01,0.0,16491119,15248000,1016000,30980938
7632599.exe,47276745,438960,21118509,61521,21502337,59957,300358,1055987,50743342,2582,62963995,3847,2227,134001834,1374,0.36,0.18,0.17,0.01,0.0,13794782,11528000,1921000,28324867
7706034.exe,118152556,183989,73063324,79230,73105591,79807,147185,1199215,158982440,6020,118084698,2450,2261,417449730,377,1.13,0.57,0.55,0.02,0.0,43679092,42330000,1007000,58280792
7725672.exe,142243878,341957,76459712,79680,76448905,79009,249174,1296037,158396092,6346,144297827,6408,2616,372494979,1361,1.12,0.56,0.54,0.03,0.0,43069480,40789000,1989000,57329576
7736428.exe,3855260,259335,6274413,43927,7300666,36888,108572,526591,18487042,2182,16525899,1168,1971,6626281,446,0.12,0.06,0.07,0.0,0.0,5113152,1903000,2855000,19735429
7740671.exe,149581440,622373,85543950,95494,87053611,95991,1167557,2818210,218911472,24530,143862978,15430,9073,404205786,6291,1.48,0.7,0.66,0.04,0.0,61936405,50511000,11112000,76303754
7832987.exe,864566,120649,3984767,35374,6240254,33566,77258,374992,12357647,2231,12991522,1867,<not counted>,<not counted>,149,0.1,0.05,0.04,0.0,0.0,3413045,2419000,806000,17968868
7865423.exe,139874993,234467,75643475,73641,75679002,73206,142598,1142941,158597364,5025,142151651,2709,1590,364959272,371,1.09,0.55,0.54,0.02,0.0,42911165,41621000,990000,57474392
7983452.exe,43586032,349372,22943618,64231,22855906,63431,239407,929940,49401836,3252,47556460,5082,1916,125271303,1116,0.34,0.17,0.17,0.01,0.0,13214628,10893000,1980000,27415970
8071369.exe,56991095,184423,25512414,56908,21013145,59159,323979,991664,51461155,5243,48293379,4430,541,149743780,1372,0.35,0.15,0.15,0.01,0.0,14929964,12579000,2096000,29549624
8107830.exe,17268529,631054,10386133,70013,5162934,53387,388336,898080,35565239,19761,14569077,12687,7720,50171471,2362,0.23,0.11,0.11,0.01,0.0,9139162,1962000,6869000,23809842
821545.exe,1026694,157312,4046019,36583,6632210,35594,110020,481498,16281596,4436,10832900,1942,<not counted>,<not counted>,653,0.13,0.05,0.05,0.0,0.0,4046432,1889000,1889000,18438654
8307961.exe,41630996,158709,21809001,59694,21763777,58330,121537,578669,45121617,1511,55248838,685,852,137148859,179,0.33,0.16,0.15,0.01,0.0,12044963,10795000,981000,26584625
8376985.exe,137150517,252075,75934138,80013,76103935,77545,165778,1025768,155485519,4001,143054182,5687,1247,364931988,373,1.13,0.52,0.51,0.02,0.0,41350021,39041000,2002000,55448555
8508555.exe,3290542,191312,4945470,34499,5777523,35191,114540,483651,13750736,2375,12318218,262,<not counted>,<not counted>,449,0.1,0.05,0.05,0.0,0.0,3722809,1732000,1732000,18093263
