@relation problema
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'instructions' real
@attribute 'page-faults' real
@attribute 'power/energy-psys/' real
@attribute 'power/energy-pkg/' real
@attribute 'power/energy-cores/' real
@attribute 'power/energy-ram/' real
@attribute 'power/energy-gpu/' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
249512608,304955,154115971,693034,154681838,703729,189559,2799485,508888291,119049,251813578,23872,108298,771982473,128,3.79,1.71,1.64,0.09,0.0,163999492,108112000,35036000,499324898,0
250185042,900683,154593434,644494,154616680,642425,154290,2080198,509368352,114254,252691564,246238,508698,767603504,128,3.41,1.7,1.65,0.08,0.0,137327840,105031000,32009000,151876592,0
243484106,421613,151673854,703699,157049291,713214,211954,2309298,505887807,113715,253105817,98912,111215,758664565,714,3.34,1.68,1.62,0.08,0.0,136952924,102746000,33916000,151445574,0
250402131,303997,154310460,567651,155004044,566365,145537,2151047,499584034,114880,251107677,8527,105060,767327452,129,3.31,1.64,1.59,0.08,0.0,135084807,101838000,32947000,149458016,0
251464762,265826,154553730,668619,154519913,669726,144352,2159488,502137184,114758,252788719,7716,105491,769792714,126,3.34,1.64,1.59,0.08,0.0,136528653,104152000,32046000,150777861,0
252128021,252061,154642639,662933,154484698,661686,144816,2170266,503883778,115480,252528173,133354,105591,768986415,128,3.37,1.66,1.6,0.08,0.0,137353831,107057000,30016000,151898984,0
248471327,349970,154343154,704552,154380631,709017,191647,2291766,509525582,115344,250979885,52554,149262,770486526,130,3.44,1.66,1.6,0.08,0.0,137753871,105645000,31892000,152006304,0
248255447,318413,154395457,704510,154111384,691668,132004,2197437,504067290,115548,248804480,41054,106046,767211012,130,3.36,1.66,1.6,0.08,0.0,135833621,100656000,34881000,150208544,0
67857378,219150,45318711,179398,45269487,179865,128023,863362,96019813,3760,70634881,2491,1238,240696639,134,0.62,0.29,0.28,0.02,0.0,27261948,26039000,1001000,41747104,0
92873919,275847,61840663,420494,61932272,421016,127506,1653947,337199606,110746,93171956,5615,104238,323130233,133,2.16,1.04,1.01,0.05,0.0,91639625,61172000,30084000,105846776,0
248675525,288529,154878110,676443,154797215,682666,144007,2174817,504832294,115109,249290841,9867,105891,770155928,127,3.36,1.66,1.61,0.08,0.0,136007651,105737000,29925000,150371683,0
248140383,279362,154125299,696673,154358530,695771,168904,2330977,503661169,115431,249537439,10353,105967,767609892,129,3.34,1.59,1.54,0.08,0.0,139747124,111372000,28094000,154321118,0
249112204,248929,153858495,694078,153843181,694031,141515,2074065,502206679,114286,249934012,36254,105877,767824171,130,3.38,1.65,1.59,0.08,0.0,136293543,103002000,33000000,150738187,0
6998078,320081,5364800,158781,6615134,165457,139444,571352,28910596,3093,8272117,4246,3017,47709690,590,0.19,0.09,0.09,0.01,0.0,7836314,4754000,2852000,22353617,0
67398692,204965,43835460,187574,44771291,201463,177725,872916,95547424,5116,70589987,2301,1995,250865630,331,0.65,0.32,0.31,0.02,0.0,25856610,24503000,980000,40414585,0
71010137,161055,45259907,179902,44732365,178618,136179,851063,93060720,4861,70747370,2667,1434,245173935,135,0.64,0.31,0.31,0.01,0.0,26390770,24096000,2008000,40686493,0
67484637,222050,44427605,180992,44432108,181100,138746,800804,96561706,3846,71348318,2589,1684,245026758,133,0.65,0.32,0.31,0.02,0.0,25907737,23713000,1976000,40378712,0
68186334,218718,44722422,184229,44631811,183305,144906,793705,97541148,4049,71316816,2441,1732,244539575,134,0.66,0.33,0.32,0.02,0.0,26168771,23940000,1995000,40493253,0
251311001,437821,154834888,644167,154541258,651589,159710,2289430,510200194,115715,252274169,307279,105533,769117608,127,3.42,1.67,1.62,0.08,0.0,138123840,108881000,28968000,152528273,0
58896111,134310,56724635,164367,56828776,165319,130713,893378,102275290,4838,58940387,3697,1381,293607391,132,0.71,0.35,0.35,0.02,0.0,28237486,27013000,1000000,42503590,0
2329556,325052,20816945,265874,21419501,269508,153097,3902215,981802283,27795,3096044,5383,8308,219695710,131,6.51,2.8,2.68,0.16,0.0,294644885,271533000,2983000,624457063,1
773638,107408,5717651,128741,5872676,109132,85024,964378,183389456,5342,555013,952,1898,122326584,66,1.1,0.46,0.44,0.03,0.0,52810593,51590000,992000,67038134,1
1402877,145402,3350394,68765,3421041,68708,99000,977698,152229157,4134,399433,506,1067,136372819,128,0.96,0.44,0.42,0.02,0.0,41209095,40951000,0,55741928,1
1113588,136615,5537399,140170,5473848,143165,104033,841179,99107008,2702,235471,338,700,98369026,127,0.61,0.28,0.27,0.02,0.0,26947573,25596000,984000,41460836,1
820510,146096,3545810,85993,3597651,79268,98160,1177174,237231981,6928,843974,1242,2159,226910482,134,1.49,0.68,0.65,0.04,0.0,65431949,65139000,0,79984088,1
2017095,235213,20776692,118357,20765236,116980,101357,1956261,495011546,12768,1201720,1603,3959,313351325,132,3.1,1.46,1.41,0.07,0.0,133960959,132606000,997000,148472632,1
246756,89306,3147164,52199,3202671,52032,97834,638219,52322926,2023,273635,201,385,67466352,132,0.35,0.16,0.15,0.01,0.0,14663517,13336000,1025000,28835644,1
1469584,266839,65655050,170198,65688363,170144,126729,3050810,781743114,20411,1354939,2665,5280,947710175,133,4.78,2.12,2.04,0.12,0.0,211692931,211250000,0,226111776,1
32463292,228045,62680603,126510,62680590,127748,118350,2163989,525167659,14044,32380394,2317,3647,564199340,131,3.12,1.37,1.32,0.08,0.0,142242509,139917000,1998000,156734971,1
2582549,213341,6263309,153959,5889398,141565,132200,1052822,156420359,4839,1156820,816,2607,91674435,190,0.93,0.42,0.41,0.02,0.0,40893733,38592000,1947000,55603076,1
2874635,415461,210475473,274029,210541251,277410,166091,5032596,1448623660,35598,2718477,3697,9597,1994299451,129,8.64,3.92,3.77,0.21,0.0,391250911,388806000,1999000,405646340,1
1990583,238479,4682115,130215,4748675,131451,132403,2136348,507993312,13622,1088673,2037,3967,73456455,132,3.14,1.45,1.39,0.08,0.0,137860016,136528000,1003000,152356172,1
90816808,217456,143227665,134226,143381910,133840,112277,2280000,599928902,15592,91241877,2093,4217,745698351,133,3.76,1.78,1.71,0.09,0.0,162107768,161704000,0,176876354,1
739639,140830,3410323,70040,3311528,67585,90193,1030999,179612867,6013,642743,1058,1717,140040065,137,1.13,0.52,0.5,0.03,0.0,48578527,48307000,0,63126445,1
1945186,219550,55371101,124207,55356390,116345,97838,1891024,447297915,11952,1721467,2294,4094,668546746,131,2.64,1.14,1.1,0.07,0.0,122979139,122430000,0,137551200,1
3571977,474202,210472765,279200,210487776,281273,158927,5205222,1450904526,36671,2759863,5971,10005,1993611466,129,8.68,3.87,3.71,0.22,0.0,392585792,391283000,1000000,407017503,1
634482,126969,2705826,66166,2446354,61069,89079,820233,132898306,4610,549548,962,1377,30774290,132,0.81,0.36,0.35,0.02,0.0,36119323,35831000,0,50530394,1
1416633,164015,3337970,68196,3260495,66246,89405,1039655,181235749,5479,741762,1052,1693,143564925,126,1.12,0.5,0.48,0.03,0.0,49334570,48040000,1000000,63663853,1
1313957,134795,4547136,136082,4615227,108766,98125,812815,104370598,2559,204735,243,669,75905981,133,0.68,0.31,0.29,0.02,0.0,27972467,25690000,1976000,42225859,1
296862,89035,3252948,51176,3067214,49899,88618,652907,69692400,3201,483748,737,934,88496068,133,0.43,0.19,0.19,0.01,0.0,18985039,16745000,1970000,33240822,1
180034789,1017602,123054125,1708397,125427307,1072733,227498,2706347,244639383,16678,188830010,8824,4854,549753620,909,2.2,0.8,0.76,0.06,0.0,113037664,91270000,5070000,499508655,2
194134604,518158,121389996,1468164,120794099,1446728,221357,1972872,254715448,9988,192645893,12936,3381,590031021,1001,1.76,0.9,0.87,0.04,0.0,68658275,66342000,2010000,83357460,2
132180462,6704765,88502557,1779510,91190466,1511807,1152871,7444214,337368646,105277,144721928,17896,5356,441399369,2866,2.21,1.07,1.03,0.06,0.0,91734179,84466000,6956000,106445422,2
