file,cfgrind_time
1033658.exe,8489984600
1161783.exe,7321160157
1200749.exe,7327628996
1325505.exe,7563147833
1335271.exe,5559530969
1505641.exe,6689421607
1542189.exe,18871310572
1631151.exe,6175797428
1856669.exe,17527728243
1963015.exe,5627609922
198113.exe,6606401586
1981694.exe,5643562925
2124644.exe,18650630946
2145027.exe,5433354790
2184330.exe,5849269438
2362734.exe,5485605423
2464944.exe,20194530511
2545383.exe,5109701102
257402.exe,19622966983
2687380.exe,7904991967
2712758.exe,6420259652
2764157.exe,8556376774
2986121.exe,6657426322
3011182.exe,8850369686
3040305.exe,4976732334
3205125.exe,7473904732
3205462.exe,18906009755
3298554.exe,18990091225
3364998.exe,19926371825
3517094.exe,6257567533
3560006.exe,19182049780
3839680.exe,5741209868
3851193.exe,5732581299
4090087.exe,5926508994
4243029.exe,6842524575
4281961.exe,6850518014
430409.exe,5459323671
4304680.exe,6935294531
436565.exe,5848024441
4368858.exe,7513401648
4484988.exe,5608942450
4649566.exe,6813561936
4692906.exe,6297693804
4693092.exe,20703873566
4743248.exe,7492912955
4861393.exe,7563012454
5097937.exe,6100848933
510955.exe,6127286970
5214516.exe,5424276051
5333786.exe,6126733680
5451535.exe,5071159159
5508700.exe,5514313890
5939623.exe,8051504097
5973598.exe,7026905567
5979831.exe,5642445328
6070205.exe,5675878567
6184943.exe,5546832847
6231092.exe,13759256674
6278765.exe,7123802485
6313558.exe,22056729044
6532744.exe,6751263173
6684936.exe,6153184875
6847560.exe,18850149422
6879725.exe,5373644805
6890672.exe,19160688373
6910081.exe,21157615760
696418.exe,5319382966
696848.exe,8193395779
7326811.exe,6893505570
7370979.exe,19176524772
7525849.exe,5960647599
7629905.exe,5467193392
7632778.exe,19376310767
8038851.exe,19955847434
8041232.exe,10119672276
8173661.exe,20589664732
8402460.exe,21572281774
8425134.exe,7230025857
8493654.exe,19390519659
897413.exe,5617161164
