1056877.exe,   29.89, ,   3.15, ,  1007
1056877.exe,   29.65, ,   3.12, ,   991
1056877.exe,   29.64, ,   3.11, ,   982
1056877.exe,   29.58, ,   3.07, ,   970
1056877.exe,   30.06, ,   3.12, ,   994
1056877.exe,   29.45, ,   3.06, ,   968
1056877.exe,   29.62, ,   3.07, ,   971
1056877.exe,   29.11, ,   3.02, ,   946
1056877.exe,   29.99, ,   3.11, ,   985
1056877.exe,   29.89, ,   3.10, ,   982
1110958.exe,   13.07, ,   1.39, ,   471
1110958.exe,   13.08, ,   1.38, ,   456
1110958.exe,   13.11, ,   1.39, ,   468
1110958.exe,   12.25, ,   1.31, ,   419
1110958.exe,   13.26, ,   1.40, ,   465
1110958.exe,   13.14, ,   1.43, ,   473
1110958.exe,   12.87, ,   1.37, ,   456
1110958.exe,   13.07, ,   1.42, ,   477
1110958.exe,   13.08, ,   1.41, ,   467
1110958.exe,   13.06, ,   1.39, ,   467
1313602.exe,   13.09, ,   1.41, ,   472
1313602.exe,   13.00, ,   1.40, ,   463
1313602.exe,   12.42, ,   1.32, ,   429
1313602.exe,   12.80, ,   1.37, ,   452
1313602.exe,   12.65, ,   1.33, ,   440
1313602.exe,   12.93, ,   1.37, ,   460
1313602.exe,   13.18, ,   1.40, ,   471
1313602.exe,   12.97, ,   1.38, ,   465
1313602.exe,   12.75, ,   1.39, ,   456
1313602.exe,   13.17, ,   1.40, ,   465
1333327.exe,   12.91, ,   1.39, ,   466
1333327.exe,   13.06, ,   1.41, ,   463
1333327.exe,   13.04, ,   1.39, ,   464
1333327.exe,   13.12, ,   1.40, ,   467
1333327.exe,   12.45, ,   1.30, ,   422
1333327.exe,   12.88, ,   1.37, ,   453
1333327.exe,   12.40, ,   1.31, ,   428
1333327.exe,   13.16, ,   1.39, ,   463
1333327.exe,   13.09, ,   1.41, ,   468
1333327.exe,   13.04, ,   1.40, ,   464
1383313.exe,   25.83, ,   2.67, ,   859
1383313.exe,   26.03, ,   2.65, ,   855
1383313.exe,   26.35, ,   2.66, ,   869
1383313.exe,   26.42, ,   2.69, ,   870
1383313.exe,   25.53, ,   2.63, ,   835
1383313.exe,   26.17, ,   2.66, ,   856
1383313.exe,   25.79, ,   2.62, ,   841
1383313.exe,   25.92, ,   2.65, ,   852
1383313.exe,   25.85, ,   2.64, ,   845
1383313.exe,   26.28, ,   2.68, ,   868
1524420.exe,   27.27, ,   2.86, ,   903
1524420.exe,   27.35, ,   2.85, ,   901
1524420.exe,   27.85, ,   2.89, ,   922
1524420.exe,   27.69, ,   2.91, ,   922
1524420.exe,   27.71, ,   2.88, ,   920
1524420.exe,   27.85, ,   2.91, ,   921
1524420.exe,   27.52, ,   2.85, ,   907
1524420.exe,   27.82, ,   2.87, ,   920
1524420.exe,   27.66, ,   2.90, ,   916
1524420.exe,   27.68, ,   2.90, ,   919
1576250.exe,   26.24, ,   2.70, ,   868
1576250.exe,   26.42, ,   2.74, ,   871
1576250.exe,   26.16, ,   2.74, ,   864
1576250.exe,   26.21, ,   2.71, ,   869
1576250.exe,   26.03, ,   2.68, ,   852
1576250.exe,   26.52, ,   2.71, ,   877
1576250.exe,   26.40, ,   2.71, ,   875
1576250.exe,   26.42, ,   2.73, ,   868
1576250.exe,   26.22, ,   2.70, ,   858
1576250.exe,   26.59, ,   2.72, ,   879
1899156.exe,   14.22, ,   1.51, ,   498
1899156.exe,   13.81, ,   1.45, ,   463
1899156.exe,   14.09, ,   1.49, ,   487
1899156.exe,   14.38, ,   1.52, ,   495
1899156.exe,   14.39, ,   1.52, ,   507
1899156.exe,   14.18, ,   1.49, ,   491
1899156.exe,   14.55, ,   1.53, ,   509
1899156.exe,   13.97, ,   1.47, ,   479
1899156.exe,   14.34, ,   1.50, ,   499
1899156.exe,   14.40, ,   1.51, ,   503
2080168.exe,   27.61, ,   2.87, ,   912
2080168.exe,   27.36, ,   2.85, ,   895
2080168.exe,   27.78, ,   2.87, ,   917
2080168.exe,   27.88, ,   2.88, ,   921
2080168.exe,   27.81, ,   2.88, ,   918
2080168.exe,   27.69, ,   2.86, ,   915
2080168.exe,   27.48, ,   2.86, ,   904
2080168.exe,   27.82, ,   2.89, ,   920
2080168.exe,   27.67, ,   2.85, ,   915
2080168.exe,   27.31, ,   2.84, ,   891
2083684.exe,   26.31, ,   2.71, ,   874
2083684.exe,   26.32, ,   2.70, ,   868
2083684.exe,   26.30, ,   2.68, ,   867
2083684.exe,   26.15, ,   2.71, ,   862
2083684.exe,   26.35, ,   2.70, ,   867
2083684.exe,   26.05, ,   2.66, ,   853
2083684.exe,   26.07, ,   2.66, ,   856
2083684.exe,   26.31, ,   2.71, ,   864
2083684.exe,   26.38, ,   2.69, ,   866
2083684.exe,   26.13, ,   2.70, ,   855
2098233.exe,   14.17, ,   1.49, ,   487
2098233.exe,   14.79, ,   1.55, ,   509
2098233.exe,   13.97, ,   1.47, ,   468
2098233.exe,   14.48, ,   1.52, ,   494
2098233.exe,   14.10, ,   1.49, ,   479
2098233.exe,   14.44, ,   1.52, ,   503
2098233.exe,   14.15, ,   1.47, ,   477
2098233.exe,   14.73, ,   1.54, ,   507
2098233.exe,   14.38, ,   1.49, ,   492
