@relation problema
@attribute 'pkg' real
@attribute 'cores' real
@attribute 'ram' real
@attribute 'gpu' real
@attribute 'psys' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
3.08,2.48,0.00,0.05,0.00,151395499,119337000,31823000,0
2.96,2.38,0.00,0.05,0.00,144678939,116559000,28135000,0
3.11,2.52,0.00,0.05,0.00,147762379,110826000,36942000,0
3.08,2.50,0.00,0.05,0.00,146387786,121303000,25062000,0
3.13,2.54,0.00,0.05,0.00,148353527,122299000,26063000,0
3.09,2.49,0.00,0.05,0.00,150634799,117415000,33117000,0
0.62,0.48,0.00,0.01,0.00,35446453,34457000,1013000,0
1.79,1.46,0.00,0.03,0.00,83176652,53473000,29707000,0
3.23,2.62,0.00,0.05,0.00,152039088,118024000,34007000,0
0.59,0.46,0.00,0.01,0.00,34298711,32271000,2016000,0
0.61,0.46,0.00,0.01,0.00,35217209,34174000,1005000,0
0.63,0.48,0.00,0.01,0.00,37228494,34300000,2940000,0
0.65,0.50,0.00,0.01,0.00,34435702,33363000,1011000,0
3.11,2.52,0.00,0.05,0.00,147587443,115591000,31887000,0
0.73,0.57,0.00,0.01,0.00,39795840,38796000,1020000,0
3.15,2.54,0.00,0.05,0.00,153064694,131022000,22003000,0
3.06,2.46,0.00,0.05,0.00,150880282,118949000,31986000,0
3.12,2.53,0.00,0.05,0.00,147303470,119196000,28046000,0
3.13,2.51,0.00,0.05,0.00,152983562,130999000,21999000,0
3.14,2.53,0.00,0.05,0.00,153229279,123197000,30048000,0
3.15,2.55,0.00,0.05,0.00,148732339,123789000,24957000,0
3.14,2.54,0.00,0.05,0.00,148777894,126737000,21954000,0
3.00,2.42,0.00,0.05,0.00,143632473,131599000,12054000,0
1.87,1.49,0.00,0.03,0.00,94716353,63837000,30921000,0
3.12,2.53,0.00,0.05,0.00,147481147,124466000,22901000,0
