@relation problema
@attribute 'pkg' real
@attribute 'cores' real
@attribute 'ram' real
@attribute 'gpu' real
@attribute 'psys' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
2.98,2.39,0.00,0.05,0.00,150674607,125356000,25071000,0
3.09,2.50,0.00,0.05,0.00,149990636,124036000,26007000,0
3.18,2.61,0.00,0.05,0.00,144979916,111915000,32974000,0
2.99,2.39,0.00,0.05,0.00,151646751,124708000,26936000,0
3.11,2.51,0.00,0.05,0.00,152460067,117553000,34867000,0
3.03,2.45,0.00,0.05,0.00,146772016,123654000,23122000,0
0.63,0.50,0.00,0.01,0.00,33462039,31446000,1965000,0
2.36,2.01,0.00,0.03,0.00,83254432,61168000,22060000,0
3.09,2.49,0.00,0.05,0.00,150994978,123953000,26989000,0
0.59,0.46,0.00,0.01,0.00,34382253,32235000,2014000,0
0.60,0.47,0.00,0.01,0.00,35640535,32610000,3057000,0
0.63,0.49,0.00,0.01,0.00,34932862,33941000,998000,0
0.62,0.48,0.00,0.01,0.00,35757738,34746000,1021000,0
2.99,2.41,0.00,0.05,0.00,146986052,118002000,29000000,0
0.71,0.55,0.00,0.01,0.00,39770338,36887000,2912000,0
3.14,2.53,0.00,0.05,0.00,155111325,129109000,26022000,0
3.17,2.57,0.00,0.05,0.00,150337789,127285000,23051000,0
3.01,2.42,0.00,0.05,0.00,148531484,122476000,26101000,0
3.21,2.61,0.00,0.05,0.00,150100127,116083000,34024000,0
3.01,2.43,0.00,0.05,0.00,146050695,123096000,22832000,0
3.01,2.43,0.00,0.05,0.00,145749027,126782000,18967000,0
3.18,2.57,0.00,0.05,0.00,153493754,117372000,36114000,0
3.23,2.61,0.00,0.05,0.00,155098912,123999000,30999000,0
1.82,1.44,0.00,0.03,0.00,95319474,62569000,32774000,0
3.09,2.49,0.00,0.05,0.00,151296800,126430000,24887000,0
3.12,2.51,0.00,0.05,0.00,152676662,126741000,25947000,0
1.86,1.49,0.00,0.03,0.00,93758612,70828000,22944000,0
3.05,2.46,0.00,0.05,0.00,147731828,120732000,26940000,0
3.08,2.49,0.00,0.05,0.00,148573265,125492000,23090000,0
3.14,2.54,0.00,0.05,0.00,150315218,124427000,25880000,0
3.07,2.47,0.00,0.05,0.00,150359369,117273000,33077000,0
0.66,0.53,0.00,0.01,0.00,33417786,31434000,1964000,0
3.11,2.51,0.00,0.05,0.00,151188269,121389000,29849000,0
0.60,0.45,0.00,0.01,0.00,36824994,35779000,993000,0
3.18,2.57,0.00,0.05,0.00,153293650,122445000,30860000,0
3.05,2.47,0.00,0.05,0.00,146356675,115451000,30853000,0
0.60,0.45,0.00,0.01,0.00,37382132,33472000,3937000,0
3.13,2.54,0.00,0.05,0.00,149339903,123254000,26053000,0
3.15,2.54,0.00,0.05,0.00,152967750,126963000,25992000,0
0.61,0.48,0.00,0.01,0.00,33904208,30922000,2992000,0
3.05,2.46,0.00,0.05,0.00,148475692,112439000,35821000,0
3.03,2.45,0.00,0.05,0.00,147772172,118632000,29155000,0
0.62,0.47,0.00,0.01,0.00,36265333,33252000,3022000,0
0.59,0.44,0.00,0.01,0.00,37533511,34564000,2962000,0
3.15,2.56,0.00,0.05,0.00,148719933,114032000,34705000,0
2.98,2.39,0.00,0.05,0.00,149952805,116714000,33203000,0
3.06,2.46,0.00,0.05,0.00,149522405,117634000,31901000,0
3.08,2.49,0.00,0.05,0.00,146850566,122651000,24128000,0
2.98,2.40,0.00,0.05,0.00,145013360,117014000,28003000,0
3.03,2.43,0.00,0.05,0.00,152002198,121988000,29997000,0
0.64,0.51,0.00,0.01,0.00,33339056,33346000,0,0
3.12,2.52,0.00,0.05,0.00,149986825,126011000,24002000,0
0.64,0.49,0.00,0.01,0.00,35386836,31365000,4047000,0
2.00,1.62,0.00,0.03,0.00,94370743,91360000,2979000,0
3.04,2.44,0.00,0.05,0.00,150785631,121607000,29145000,0
3.17,2.55,0.00,0.05,0.00,153808112,129846000,23971000,0
1.97,1.59,0.00,0.03,0.00,95727146,93762000,1994000,0
0.68,0.54,0.00,0.01,0.00,33673259,33648000,0,0
0.65,0.50,0.00,0.01,0.00,37414549,34385000,3033000,0
3.17,2.56,0.00,0.05,0.00,151449338,126418000,25082000,0
3.24,2.61,0.00,0.05,0.00,157947435,128007000,30001000,0
3.15,2.56,0.00,0.05,0.00,147695361,123575000,24112000,0
0.73,0.57,0.00,0.01,0.00,40324847,38316000,2016000,0
0.61,0.45,0.00,0.01,0.00,37171781,36136000,1003000,0
0.65,0.49,0.00,0.01,0.00,37678388,36661000,990000,0
3.09,2.51,0.00,0.05,0.00,145932301,117942000,27986000,0
1.75,1.39,0.00,0.03,0.00,90590685,70698000,19915000,0
3.21,2.64,0.00,0.05,0.00,143713515,121688000,21943000,0
3.18,2.55,0.00,0.05,0.00,156698995,123789000,32944000,0
3.09,2.49,0.00,0.05,0.00,149050318,124012000,25002000,0
3.15,2.55,0.00,0.05,0.00,148612380,129501000,19073000,0
3.17,2.57,0.00,0.05,0.00,148680123,125672000,22940000,0
3.10,2.49,0.00,0.05,0.00,150849373,122886000,27974000,0
3.10,2.50,0.00,0.05,0.00,148591241,117437000,31116000,0
0.64,0.50,0.00,0.01,0.00,34060878,33971000,0,0
3.11,2.50,0.00,0.05,0.00,153367172,119220000,34062000,0
3.32,2.72,0.00,0.05,0.00,148493317,115330000,33094000,0
0.63,0.50,0.00,0.01,0.00,32593137,32554000,0,0
3.18,2.58,0.00,0.05,0.00,151957822,117979000,33994000,0
3.12,2.52,0.00,0.05,0.00,150229794,112186000,38063000,0
6.52,5.31,0.00,0.11,0.00,309539674,307310000,2002000,1
1.20,0.94,0.00,0.02,0.00,64725936,61802000,2942000,1
0.99,0.78,0.00,0.02,0.00,52411183,50456000,1978000,1
0.65,0.48,0.00,0.01,0.00,42644878,41333000,984000,1
2.28,1.92,0.00,0.03,0.00,90750729,89655000,996000,1
3.55,2.87,0.00,0.06,0.00,171471364,170511000,1003000,1
3.46,2.73,0.00,0.06,0.00,183119195,182036000,1000000,1
0.88,0.68,0.00,0.02,0.00,48361043,46493000,1857000,1
