@relation problema-weka.filters.unsupervised.attribute.Remove-R3-5

@attribute pkg numeric
@attribute cores numeric
@attribute duration_time numeric
@attribute user_time numeric
@attribute system_time numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
6.12,4.98,282823725,277790000,4996000,6
2.55,2.04,128306460,127181000,1001000,7
2.86,2.24,153427558,3650000,5294000,7
7.7,6.19,348784154,196723000,151786000,7
2.64,2.13,127117707,126108000,1000000,7
2.83,2.23,147429457,11207000,19358000,7
5.9,4.78,274871454,127916000,146904000,7
7.64,6.21,352700057,228343000,124186000,7
7.94,6.38,359972772,222528000,137326000,7
7.96,6.44,350392725,197034000,153026000,7
4.35,3.56,198017092,195057000,2985000,7
1.96,1.57,97268904,96324000,1003000,7
6.83,5.52,320242597,165145000,155136000,7
2.72,2.2,126840240,125830000,998000,7
8.65,6.96,392708188,248656000,143801000,7
4.29,3.5,197047015,195894000,999000,7
6.95,5.6,307924182,179902000,127931000,7
8.06,6.51,358065336,207847000,149889000,7
8.08,6.53,357237312,206016000,151011000,7
2.92,2.35,142112890,141105000,1000000,7
2.02,1.63,97771230,95766000,2016000,7
5.26,4.26,247732374,231349000,15955000,8
4.92,3.99,229839933,223846000,5995000,8
6.67,5.44,301932277,241929000,59982000,8
2.45,1.97,119445566,108471000,10946000,8
9.36,7.63,430204648,377129000,53018000,8
5.86,4.78,265669457,260636000,4993000,8
3.53,2.83,164161904,154079000,10005000,8
3.23,2.6,153053755,143030000,10002000,8
4.24,3.41,195808107,179711000,16063000,8
3.51,2.83,165683582,156664000,9038000,8
4.23,3.41,198359307,189335000,9015000,8
4.03,3.25,192004124,181030000,11001000,8
4.01,3.21,187016605,173064000,14005000,8
13.59,11.1,617447526,610344000,6992000,8
4.34,3.55,192061219,180030000,12002000,8
6.02,4.83,291307818,283306000,8008000,8
3.18,2.56,149427375,138398000,11031000,8
9.19,7.46,427946605,360945000,66989000,8
3.93,3.16,188386044,178363000,10020000,8
3.11,2.49,149601351,142595000,6980000,8
0.3,0.22,20070559,17923000,1886000,9
0.09,0.07,5664948,2837000,2837000,9
1.29,1.03,64193459,62170000,2005000,9
0.1,0.07,5184290,3481000,1740000,9
0.67,0.56,24756163,21772000,2969000,9
2.92,2.31,148706799,2258000,6431000,9
0.38,0.27,21682826,17737000,3941000,9
0.3,0.23,18039143,16038000,2004000,9
1.1,0.87,57632764,51707000,5966000,9
0.33,0.24,21027704,16016000,5005000,9
0.46,0.34,28286079,26260000,2020000,9
0.48,0.37,27793694,25795000,1984000,9
1.05,0.82,56673386,55732000,995000,9
0.09,0.06,6040006,3026000,3026000,9
