@relation problema-weka.filters.unsupervised.attribute.Remove-R2-5

@attribute pkg numeric
@attribute duration_time numeric
@attribute user_time numeric
@attribute system_time numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
3.23,154533579,112468000,41802000,0
3.22,147359768,115480000,31856000,0
3.21,151667094,123538000,28122000,0
3.1,155180298,131110000,24020000,0
0.19,9744309,7747000,1936000,0
1.79,88621303,61430000,27190000,0
3.12,146768147,125815000,20969000,0
3.23,149280185,127221000,22038000,0
0.64,36614978,35583000,1016000,0
0.6,37603825,34647000,2969000,0
1.71,88611851,62729000,25888000,0
0.62,35381639,34422000,1012000,0
3.02,145700894,120803000,24959000,0
0.64,34938664,34926000,0,0
3.16,148405047,125369000,23067000,0
0.66,36176256,35171000,1004000,0
3.13,147920813,123874000,23975000,0
1.69,86186237,52126000,34082000,0
3.07,148593775,119720000,28932000,0
1.72,87159574,58114000,29057000,0
0.38,25700413,24475000,1019000,1
5.39,283012289,281023000,2000000,1
5.02,216454227,216402000,0,1
1.3,70168953,69201000,988000,1
1.23,65690610,64746000,1011000,1
1.16,67884443,65953000,1968000,1
1.78,85789032,85768000,0,1
0.83,33598010,31529000,1970000,1
3.45,176663169,174665000,2007000,1
1.25,67798501,66820000,997000,1
0.66,37981200,36027000,2001000,1
1.35,68076442,67061000,1016000,1
9.84,500876276,498808000,1999000,1
0.37,22548450,21596000,981000,1
1.24,64679315,63688000,995000,1
5.08,236130902,235203000,1000000,1
1.36,69729848,66826000,2948000,1
1.23,64702647,63731000,995000,1
10.86,557380105,555240000,2000000,1
0.76,42852257,41853000,996000,1
1.77,91747478,88496000,3016000,2
0.75,42987759,39032000,4003000,2
1.75,87390821,82417000,4964000,2
0.81,39031071,33993000,4999000,2
1.77,87251343,80303000,6939000,2
1.79,88723874,86742000,1994000,2
0.73,45787717,42617000,3044000,2
0.72,42798613,39695000,3053000,2
0.78,44035203,41037000,3002000,2
1.81,87933114,86962000,1011000,2
0.76,42594476,39670000,2975000,2
1.77,86798775,83807000,2993000,2
1.73,87068129,82113000,5006000,2
1.84,89543440,86474000,3016000,2
0.73,42430706,40483000,1974000,2
1.76,85815378,84799000,1009000,2
1.8,88822268,85814000,2993000,2
1.75,85784748,82803000,2992000,2
0.83,44839802,39746000,5095000,2
0.75,42062056,41070000,1001000,2
2.7,140744040,135436000,5016000,3
4.07,199189736,189190000,9957000,3
4.86,237143389,180108000,57034000,3
2.43,121228658,116274000,4968000,3
3.93,191552874,187521000,4011000,3
6.29,305954930,253002000,53000000,3
6.46,314272179,260222000,54046000,3
4.66,227939740,177707000,50199000,3
6.45,309703986,251465000,58107000,3
2.32,120251748,112359000,7954000,3
6.39,308388538,259540000,48913000,3
4.83,240039351,195830000,44187000,3
2.22,117273398,113196000,4006000,3
6.64,317649168,260569000,57124000,3
2.41,122054133,114032000,8002000,3
6.67,317206558,273177000,44028000,3
2.57,130545727,124585000,6028000,3
4.63,223661949,175706000,47919000,3
6.95,328810879,263688000,65170000,3
2.09,111094611,106010000,5000000,3
4.69,259266910,87633000,20115000,4
6.1,303024856,171356000,13947000,4
4.37,221160488,93050000,11228000,4
6.22,303534517,169549000,14045000,4
4.57,224995661,92740000,12963000,4
6.37,311055906,179503000,12452000,4
2.64,135184674,131072000,4002000,4
4.48,221726766,95663000,7048000,4
3,153156117,143100000,10007000,4
4.58,218781540,212754000,5993000,4
4.5,223135974,94068000,10216000,4
4.39,221334608,91081000,11009000,4
4.38,220555628,88864000,12593000,4
2.85,144931157,136895000,7993000,4
4.5,225173359,98140000,7311000,4
10.65,517585331,381808000,16674000,4
4.28,212986993,82584000,10896000,4
4.42,220253074,87709000,14782000,4
6.37,305985613,169142000,17230000,4
4.42,211472677,204500000,6982000,4
6.46,342873192,172521000,14137000,5
6.29,310603474,181855000,11051000,5
3.78,191658216,178650000,12974000,5
4.35,223259092,96063000,8005000,5
6.26,308794970,179183000,11073000,5
4.36,220166743,92104000,10011000,5
4.39,211146646,89725000,11089000,5
7.91,381411612,241300000,21026000,5
6.42,304372213,170990000,14390000,5
4.36,220482874,89996000,11999000,5
4.56,226607977,89580000,17110000,5
6.82,344216294,213130000,12461000,5
3.94,197275186,185211000,12013000,5
4.49,221298862,90362000,12048000,5
5.53,276775302,261728000,15041000,5
5.12,258335757,125591000,14418000,5
4.49,226024331,93502000,14920000,5
6.22,303952489,176940000,9440000,5
3.82,186074384,178009000,8000000,5
6.37,305226664,179144000,8051000,5
6.04,286040981,224644000,59640000,6
7.72,381030973,364022000,17001000,6
1.6,79712633,74730000,4982000,6
9.07,449507542,272058000,17199000,6
2,98122403,94073000,4003000,6
6.67,337266097,321342000,15967000,6
4.45,218859655,92155000,8013000,6
2.17,108436028,103462000,5022000,6
5.78,267624189,264591000,2995000,6
2,97159923,91143000,6009000,6
1.95,98761326,88789000,9976000,6
1.93,92543332,84531000,8050000,6
7.21,342319118,331290000,11009000,6
7.89,381910435,365905000,15995000,6
3.23,163113553,155104000,8005000,6
2.98,145185845,137169000,8009000,6
5.74,265431046,256271000,9009000,6
5.7,265705828,260588000,4992000,6
4.49,218764805,92240000,8109000,6
6.12,282823725,277790000,4996000,6
2.55,128306460,127181000,1001000,7
2.86,153427558,3650000,5294000,7
7.7,348784154,196723000,151786000,7
2.64,127117707,126108000,1000000,7
2.83,147429457,11207000,19358000,7
5.9,274871454,127916000,146904000,7
7.64,352700057,228343000,124186000,7
7.94,359972772,222528000,137326000,7
7.96,350392725,197034000,153026000,7
4.35,198017092,195057000,2985000,7
1.96,97268904,96324000,1003000,7
6.83,320242597,165145000,155136000,7
2.72,126840240,125830000,998000,7
8.65,392708188,248656000,143801000,7
4.29,197047015,195894000,999000,7
6.95,307924182,179902000,127931000,7
8.06,358065336,207847000,149889000,7
8.08,357237312,206016000,151011000,7
2.92,142112890,141105000,1000000,7
2.02,97771230,95766000,2016000,7
5.26,247732374,231349000,15955000,8
4.92,229839933,223846000,5995000,8
6.67,301932277,241929000,59982000,8
2.45,119445566,108471000,10946000,8
9.36,430204648,377129000,53018000,8
5.86,265669457,260636000,4993000,8
3.53,164161904,154079000,10005000,8
3.23,153053755,143030000,10002000,8
4.24,195808107,179711000,16063000,8
3.51,165683582,156664000,9038000,8
4.23,198359307,189335000,9015000,8
4.03,192004124,181030000,11001000,8
4.01,187016605,173064000,14005000,8
13.59,617447526,610344000,6992000,8
4.34,192061219,180030000,12002000,8
6.02,291307818,283306000,8008000,8
3.18,149427375,138398000,11031000,8
9.19,427946605,360945000,66989000,8
3.93,188386044,178363000,10020000,8
3.11,149601351,142595000,6980000,8
0.3,20070559,17923000,1886000,9
0.09,5664948,2837000,2837000,9
1.29,64193459,62170000,2005000,9
0.1,5184290,3481000,1740000,9
0.67,24756163,21772000,2969000,9
2.92,148706799,2258000,6431000,9
0.38,21682826,17737000,3941000,9
0.3,18039143,16038000,2004000,9
1.1,57632764,51707000,5966000,9
0.33,21027704,16016000,5005000,9
0.46,28286079,26260000,2020000,9
0.48,27793694,25795000,1984000,9
1.05,56673386,55732000,995000,9
0.09,6040006,3026000,3026000,9
0.32,19234000,15194000,4051000,9
0.31,19329949,17401000,1933000,9
1.09,55956981,51071000,4910000,9
0.28,18675957,15714000,2946000,9
0.41,27625421,23633000,3938000,9
0.12,7035268,6028000,1004000,9
1.76,94853749,81303000,13211000,10
2.51,125652245,119565000,5978000,10
3.48,167137666,160134000,7005000,10
2.17,107374733,95421000,11927000,10
1.87,95503480,78597000,16913000,10
3.37,159193857,150181000,9010000,10
3.13,156238098,142193000,14019000,10
2.47,119315477,117287000,2004000,10
2.56,124052680,119145000,4964000,10
3.47,167643823,156609000,11042000,10
4.7,229570559,217558000,11975000,10
4.27,219719173,207714000,11983000,10
1.15,59712558,51897000,7833000,10
3.46,166417236,157263000,9015000,10
3.37,168901052,152890000,15988000,10
2.59,125527644,119318000,6016000,10
2.63,120285840,116230000,4007000,10
1.11,59123977,51091000,8014000,10
1.14,61223134,54191000,7024000,10
1.97,104016542,93757000,10081000,10
1.42,73842066,71487000,2013000,11
1.32,63927494,62876000,998000,11
1.66,57226259,55123000,1968000,11
1.2,64130280,62149000,2004000,11
1.25,58959729,57885000,998000,11
1.18,63012260,61078000,2002000,11
1.22,60606864,59624000,1010000,11
1.12,59213669,57214000,2007000,11
1.22,61482035,60533000,992000,11
1.26,65816363,63816000,2025000,11
2.09,98249570,96252000,2005000,11
8.6,395303866,392304000,3002000,11
1.17,59696450,57711000,1990000,11
1.2,60632283,60670000,0,11
2.32,113883384,111882000,1997000,11
16.6,739812588,738777000,999000,11
1.2,63175628,58267000,4937000,11
1.23,60513646,58548000,1984000,11
1.58,72416104,72382000,0,11
1.19,62955181,62021000,1000000,11
5.33,266273569,257988000,7999000,12
2.67,123852607,121737000,2012000,12
2.64,126353399,123311000,3007000,12
6.62,304917587,286801000,18050000,12
2.59,124765980,121786000,2994000,12
2.72,132479735,127526000,4981000,12
0.75,42806106,39738000,3056000,12
0.76,42339034,39327000,3025000,12
4.71,228271978,218207000,10009000,12
5,243271709,232251000,11011000,12
0.73,41388227,39420000,2021000,12
2.8,135721299,128665000,7036000,12
0.9,48532690,44561000,3961000,12
2.85,145250620,137218000,8012000,12
2.88,129850969,126852000,2996000,12
2.48,128973977,121958000,6997000,12
2.94,148836055,142785000,6033000,12
0.94,46564019,43444000,3030000,12
3.33,171933037,162939000,9052000,12
5.26,252511857,243441000,9016000,12
0.24,16392264,15126000,1008000,13
0.62,34717855,32741000,1984000,13
0.7,38299675,37303000,1008000,13
0.27,15937316,14005000,2000000,13
0.7,37309820,34199000,3017000,13
0.65,37327840,35326000,2018000,13
0.65,37972747,35994000,1999000,13
0.25,15716710,14718000,981000,13
0.68,35976426,33998000,1999000,13
0.63,35961563,32971000,2997000,13
0.68,32423525,30293000,1954000,13
0.25,15462806,13613000,1944000,13
0.64,35472950,33455000,2027000,13
0.76,42161964,41163000,1003000,13
0.85,43295570,42276000,1006000,13
0.66,35334414,33335000,1960000,13
0.67,37099098,34193000,2930000,13
0.63,35153075,34154000,1004000,13
0.69,37765822,35727000,2041000,13
0.66,36088598,35114000,1003000,13
1.42,78436415,71190000,7018000,14
3.38,173127150,171096000,2001000,14
10.48,440835844,433710000,6995000,14
4.29,214429079,204448000,9973000,14
4.75,234825586,222767000,12041000,14
3.32,171123634,161113000,10007000,14
4.49,219271106,215270000,4005000,14
3.07,153472315,146493000,6975000,14
4.9,240258900,233238000,7007000,14
3.64,181278980,170182000,11011000,14
2.61,131483228,114449000,16918000,14
4.91,240866064,224954000,15926000,14
4.1,207598502,192654000,14973000,14
5.17,250244760,239204000,11009000,14
3.63,186675489,185575000,997000,14
1.43,78965381,76996000,1999000,14
2.16,107398427,91343000,16060000,14
1.27,66637484,61595000,5048000,14
2.97,145390998,130338000,15039000,14
3.79,189093936,180069000,9003000,14
0.52,36494423,26827000,4292000,15
1.16,59548667,56396000,3021000,15
1.07,60293605,58301000,2010000,15
1.17,60840280,55748000,5068000,15
1,57667743,53701000,3977000,15
1.05,57921540,52941000,4994000,15
1.05,54599657,52648000,1986000,15
1.1,57166943,53075000,4005000,15
8.85,396494518,386463000,9986000,15
3.67,175249835,172289000,2987000,15
1.1,57468588,54498000,2972000,15
1.05,53755887,48867000,4886000,15
1.07,57231549,55189000,2006000,15
3.79,175760259,171729000,4017000,15
1.19,60732890,54880000,5880000,15
1.2,62021669,55058000,7007000,15
1.09,60398383,57361000,3019000,15
5.6,263939252,252779000,11034000,15
1.14,58495841,54458000,4033000,15
3.81,177449833,174302000,3005000,15
2.71,170847601,2178000,7265000,16
4.62,238714210,234699000,3994000,16
4.99,236747331,231635000,5013000,16
2.55,124091577,121032000,3000000,16
4.66,238799745,234795000,3996000,16
5.5,235749732,233726000,2006000,16
4.63,241913532,240856000,999000,16
4.77,239302195,235351000,3989000,16
2.87,129021300,124061000,5002000,16
4.69,238270310,237277000,1001000,16
4.79,243655539,236632000,7018000,16
4.66,236016032,231926000,4016000,16
8.68,393486322,247313000,146185000,16
3.77,190016450,188891000,999000,16
4.67,237130399,230983000,5973000,16
4.71,239361439,231373000,7978000,16
4.7,237825810,233704000,3994000,16
4.86,249004828,244899000,3998000,16
8.62,380181691,376076000,4000000,16
4.73,241013833,237032000,3983000,16
10.74,566729178,560454000,6004000,17
10.84,565473011,557486000,7992000,17
10.82,575615237,572607000,3003000,17
9.58,487770583,484800000,3004000,17
5.44,274805848,270806000,4011000,17
8.86,395051494,388034000,7000000,17
15.57,775117676,769034000,6000000,17
10.57,565205852,560152000,5001000,17
9.68,501636752,497579000,3996000,17
10.86,562539338,558428000,3995000,17
10.62,566228449,559231000,6990000,17
9.77,509549702,503562000,5994000,17
9.55,506755927,501638000,4996000,17
10.88,564901110,558828000,5998000,17
10.68,564949232,558992000,5989000,17
10.63,563665838,561526000,2001000,17
9.62,504672916,503694000,1001000,17
6.46,340148038,337118000,3001000,17
8.49,432658530,423544000,8990000,17
9.84,508140271,505104000,2994000,17
5,237263826,233019000,4000000,18
3.68,180904946,175890000,4996000,18
3.42,160019464,157939000,1999000,18
10.26,464761541,312796000,151901000,18
10.06,464694756,318767000,145893000,18
1.17,59312223,55002000,4000000,18
14.94,649044456,515969000,132992000,18
9.78,432482232,300623000,131834000,18
2.62,126629765,123616000,2990000,18
5.25,246822194,243724000,3008000,18
6.14,303074492,297075000,6001000,18
4.38,223750530,220610000,2994000,18
2.29,111370258,108388000,2983000,18
4.44,203517590,195483000,8019000,18
3.68,181808728,177798000,3995000,18
7.97,390620672,384538000,6008000,18
4.91,236383906,229388000,6981000,18
10.87,517407901,511228000,6002000,18
4.46,221334633,217174000,4003000,18
4.9,239097883,230978000,7999000,18
2.97,151018224,2157000,7295000,19
2.04,98152486,64087000,34046000,19
13.19,583855106,545834000,37988000,19
9.99,456888576,395897000,60984000,19
2.53,123591558,1011000,6869000,19
