@relation 'problema-weka.filters.unsupervised.attribute.Remove-R3,5'

@attribute pkg numeric
@attribute cores numeric
@attribute gpu numeric
@attribute duration_time numeric
@attribute user_time numeric
@attribute system_time numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
3.23,2.61,0.05,154533579,112468000,41802000,0
3.22,2.62,0.05,147359768,115480000,31856000,0
3.21,2.6,0.05,151667094,123538000,28122000,0
3.1,2.47,0.05,155180298,131110000,24020000,0
0.19,0.15,0,9744309,7747000,1936000,0
1.79,1.43,0.03,88621303,61430000,27190000,0
3.12,2.53,0.05,146768147,125815000,20969000,0
3.23,2.62,0.05,149280185,127221000,22038000,0
0.64,0.49,0.01,36614978,35583000,1016000,0
0.6,0.45,0.01,37603825,34647000,2969000,0
1.71,1.35,0.03,88611851,62729000,25888000,0
0.62,0.48,0.01,35381639,34422000,1012000,0
3.02,2.43,0.05,145700894,120803000,24959000,0
0.64,0.5,0.01,34938664,34926000,0,0
3.16,2.56,0.05,148405047,125369000,23067000,0
0.66,0.51,0.01,36176256,35171000,1004000,0
3.13,2.53,0.05,147920813,123874000,23975000,0
1.69,1.34,0.03,86186237,52126000,34082000,0
3.07,2.47,0.05,148593775,119720000,28932000,0
1.72,1.36,0.03,87159574,58114000,29057000,0
0.38,0.28,0.01,25700413,24475000,1019000,1
5.39,4.26,0.1,283012289,281023000,2000000,1
5.02,4.14,0.07,216454227,216402000,0,1
1.3,1.02,0.02,70168953,69201000,988000,1
1.23,0.97,0.02,65690610,64746000,1011000,1
1.16,0.89,0.02,67884443,65953000,1968000,1
1.78,1.44,0.03,85789032,85768000,0,1
0.83,0.69,0.01,33598010,31529000,1970000,1
3.45,2.74,0.06,176663169,174665000,2007000,1
1.25,0.98,0.02,67798501,66820000,997000,1
0.66,0.5,0.01,37981200,36027000,2001000,1
1.35,1.07,0.02,68076442,67061000,1016000,1
9.84,7.84,0.17,500876276,498808000,1999000,1
0.37,0.28,0.01,22548450,21596000,981000,1
1.24,0.98,0.02,64679315,63688000,995000,1
5.08,4.13,0.08,236130902,235203000,1000000,1
1.36,1.08,0.02,69729848,66826000,2948000,1
1.23,0.97,0.02,64702647,63731000,995000,1
10.86,8.61,0.19,557380105,555240000,2000000,1
0.76,0.59,0.01,42852257,41853000,996000,1
1.77,1.41,0.03,91747478,88496000,3016000,2
0.75,0.58,0.01,42987759,39032000,4003000,2
1.75,1.4,0.03,87390821,82417000,4964000,2
0.81,0.66,0.01,39031071,33993000,4999000,2
1.77,1.42,0.03,87251343,80303000,6939000,2
1.79,1.44,0.03,88723874,86742000,1994000,2
0.73,0.55,0.02,45787717,42617000,3044000,2
0.72,0.55,0.01,42798613,39695000,3053000,2
0.78,0.6,0.02,44035203,41037000,3002000,2
1.81,1.45,0.03,87933114,86962000,1011000,2
0.76,0.59,0.01,42594476,39670000,2975000,2
1.77,1.42,0.03,86798775,83807000,2993000,2
1.73,1.38,0.03,87068129,82113000,5006000,2
1.84,1.48,0.03,89543440,86474000,3016000,2
0.73,0.56,0.01,42430706,40483000,1974000,2
1.76,1.41,0.03,85815378,84799000,1009000,2
1.8,1.44,0.03,88822268,85814000,2993000,2
1.75,1.41,0.03,85784748,82803000,2992000,2
0.83,0.65,0.02,44839802,39746000,5095000,2
0.75,0.58,0.01,42062056,41070000,1001000,2
2.7,2.14,0.05,140744040,135436000,5016000,3
4.07,3.28,0.07,199189736,189190000,9957000,3
4.86,3.92,0.08,237143389,180108000,57034000,3
2.43,1.94,0.04,121228658,116274000,4968000,3
3.93,3.15,0.07,191552874,187521000,4011000,3
6.29,5.07,0.1,305954930,253002000,53000000,3
6.46,5.21,0.11,314272179,260222000,54046000,3
4.66,3.74,0.08,227939740,177707000,50199000,3
6.45,5.2,0.11,309703986,251465000,58107000,3
2.32,1.84,0.04,120251748,112359000,7954000,3
6.39,5.15,0.1,308388538,259540000,48913000,3
4.83,3.86,0.08,240039351,195830000,44187000,3
2.22,1.74,0.04,117273398,113196000,4006000,3
6.64,5.37,0.11,317649168,260569000,57124000,3
2.41,1.91,0.04,122054133,114032000,8002000,3
6.67,5.39,0.11,317206558,273177000,44028000,3
2.57,2.04,0.04,130545727,124585000,6028000,3
4.63,3.73,0.08,223661949,175706000,47919000,3
6.95,5.63,0.11,328810879,263688000,65170000,3
2.09,1.64,0.04,111094611,106010000,5000000,3
4.69,3.64,0.09,259266910,87633000,20115000,4
6.1,4.87,0.1,303024856,171356000,13947000,4
4.37,3.46,0.08,221160488,93050000,11228000,4
6.22,4.98,0.1,303534517,169549000,14045000,4
4.57,3.65,0.08,224995661,92740000,12963000,4
6.37,5.1,0.11,311055906,179503000,12452000,4
2.64,2.07,0.05,135184674,131072000,4002000,4
4.48,3.57,0.08,221726766,95663000,7048000,4
3,2.37,0.05,153156117,143100000,10007000,4
4.58,3.69,0.07,218781540,212754000,5993000,4
4.5,3.58,0.08,223135974,94068000,10216000,4
4.39,3.48,0.08,221334608,91081000,11009000,4
4.38,3.46,0.08,220555628,88864000,12593000,4
2.85,2.24,0.05,144931157,136895000,7993000,4
4.5,3.57,0.08,225173359,98140000,7311000,4
10.65,8.52,0.18,517585331,381808000,16674000,4
4.28,3.41,0.07,212986993,82584000,10896000,4
4.42,3.5,0.08,220253074,87709000,14782000,4
6.37,5.11,0.1,305985613,169142000,17230000,4
4.42,3.55,0.07,211472677,204500000,6982000,4
6.46,5.08,0.12,342873192,172521000,14137000,5
6.29,5.03,0.11,310603474,181855000,11051000,5
3.78,2.98,0.07,191658216,178650000,12974000,5
4.35,3.43,0.08,223259092,96063000,8005000,5
6.26,5,0.11,308794970,179183000,11073000,5
4.36,3.46,0.08,220166743,92104000,10011000,5
4.39,3.53,0.07,211146646,89725000,11089000,5
7.91,6.35,0.13,381411612,241300000,21026000,5
6.42,5.18,0.1,304372213,170990000,14390000,5
4.36,3.45,0.08,220482874,89996000,11999000,5
4.56,3.63,0.08,226607977,89580000,17110000,5
6.82,5.38,0.12,344216294,213130000,12461000,5
3.94,3.11,0.07,197275186,185211000,12013000,5
4.49,3.57,0.08,221298862,90362000,12048000,5
5.53,4.36,0.09,276775302,261728000,15041000,5
5.12,4.05,0.09,258335757,125591000,14418000,5
4.49,3.56,0.08,226024331,93502000,14920000,5
6.22,4.98,0.1,303952489,176940000,9440000,5
3.82,3.04,0.06,186074384,178009000,8000000,5
6.37,5.12,0.1,305226664,179144000,8051000,5
6.04,4.88,0.1,286040981,224644000,59640000,6
7.72,6.18,0.13,381030973,364022000,17001000,6
1.6,1.28,0.03,79712633,74730000,4982000,6
9.07,7.24,0.15,449507542,272058000,17199000,6
2,1.61,0.03,98122403,94073000,4003000,6
6.67,5.27,0.11,337266097,321342000,15967000,6
4.45,3.55,0.07,218859655,92155000,8013000,6
2.17,1.73,0.04,108436028,103462000,5022000,6
5.78,4.7,0.09,267624189,264591000,2995000,6
2,1.6,0.03,97159923,91143000,6009000,6
1.95,1.55,0.03,98761326,88789000,9976000,6
1.93,1.55,0.03,92543332,84531000,8050000,6
7.21,5.83,0.12,342319118,331290000,11009000,6
7.89,6.32,0.13,381910435,365905000,15995000,6
3.23,2.57,0.06,163113553,155104000,8005000,6
2.98,2.37,0.05,145185845,137169000,8009000,6
5.74,4.67,0.09,265431046,256271000,9009000,6
5.7,4.63,0.09,265705828,260588000,4992000,6
4.49,3.59,0.07,218764805,92240000,8109000,6
6.12,4.98,0.1,282823725,277790000,4996000,6
2.55,2.04,0.04,128306460,127181000,1001000,7
2.86,2.24,0.05,153427558,3650000,5294000,7
7.7,6.19,0.12,348784154,196723000,151786000,7
2.64,2.13,0.04,127117707,126108000,1000000,7
2.83,2.23,0.05,147429457,11207000,19358000,7
5.9,4.78,0.09,274871454,127916000,146904000,7
7.64,6.21,0.12,352700057,228343000,124186000,7
7.94,6.38,0.12,359972772,222528000,137326000,7
7.96,6.44,0.12,350392725,197034000,153026000,7
4.35,3.56,0.07,198017092,195057000,2985000,7
1.96,1.57,0.03,97268904,96324000,1003000,7
6.83,5.52,0.11,320242597,165145000,155136000,7
2.72,2.2,0.04,126840240,125830000,998000,7
8.65,6.96,0.13,392708188,248656000,143801000,7
4.29,3.5,0.07,197047015,195894000,999000,7
6.95,5.6,0.1,307924182,179902000,127931000,7
8.06,6.51,0.12,358065336,207847000,149889000,7
8.08,6.53,0.12,357237312,206016000,151011000,7
2.92,2.35,0.05,142112890,141105000,1000000,7
2.02,1.63,0.03,97771230,95766000,2016000,7
5.26,4.26,0.08,247732374,231349000,15955000,8
4.92,3.99,0.08,229839933,223846000,5995000,8
6.67,5.44,0.1,301932277,241929000,59982000,8
2.45,1.97,0.04,119445566,108471000,10946000,8
9.36,7.63,0.15,430204648,377129000,53018000,8
5.86,4.78,0.09,265669457,260636000,4993000,8
3.53,2.83,0.06,164161904,154079000,10005000,8
3.23,2.6,0.05,153053755,143030000,10002000,8
4.24,3.41,0.07,195808107,179711000,16063000,8
3.51,2.83,0.06,165683582,156664000,9038000,8
4.23,3.41,0.07,198359307,189335000,9015000,8
4.03,3.25,0.07,192004124,181030000,11001000,8
4.01,3.21,0.06,187016605,173064000,14005000,8
13.59,11.1,0.21,617447526,610344000,6992000,8
4.34,3.55,0.07,192061219,180030000,12002000,8
6.02,4.83,0.1,291307818,283306000,8008000,8
3.18,2.56,0.05,149427375,138398000,11031000,8
9.19,7.46,0.15,427946605,360945000,66989000,8
3.93,3.16,0.06,188386044,178363000,10020000,8
3.11,2.49,0.05,149601351,142595000,6980000,8
0.3,0.22,0.01,20070559,17923000,1886000,9
0.09,0.07,0,5664948,2837000,2837000,9
1.29,1.03,0.02,64193459,62170000,2005000,9
0.1,0.07,0,5184290,3481000,1740000,9
0.67,0.56,0.01,24756163,21772000,2969000,9
2.92,2.31,0.05,148706799,2258000,6431000,9
0.38,0.27,0.01,21682826,17737000,3941000,9
0.3,0.23,0.01,18039143,16038000,2004000,9
1.1,0.87,0.02,57632764,51707000,5966000,9
0.33,0.24,0.01,21027704,16016000,5005000,9
0.46,0.34,0.01,28286079,26260000,2020000,9
0.48,0.37,0.01,27793694,25795000,1984000,9
1.05,0.82,0.02,56673386,55732000,995000,9
0.09,0.06,0,6040006,3026000,3026000,9
0.32,0.24,0.01,19234000,15194000,4051000,9
0.31,0.23,0.01,19329949,17401000,1933000,9
1.09,0.86,0.02,55956981,51071000,4910000,9
0.28,0.21,0.01,18675957,15714000,2946000,9
0.41,0.3,0.01,27625421,23633000,3938000,9
0.12,0.09,0,7035268,6028000,1004000,9
1.76,1.36,0.03,94853749,81303000,13211000,10
2.51,2.01,0.04,125652245,119565000,5978000,10
3.48,2.8,0.06,167137666,160134000,7005000,10
2.17,1.72,0.04,107374733,95421000,11927000,10
1.87,1.47,0.03,95503480,78597000,16913000,10
3.37,2.72,0.05,159193857,150181000,9010000,10
3.13,2.47,0.05,156238098,142193000,14019000,10
2.47,1.99,0.04,119315477,117287000,2004000,10
2.56,2.06,0.04,124052680,119145000,4964000,10
3.47,2.78,0.06,167643823,156609000,11042000,10
4.7,3.76,0.08,229570559,217558000,11975000,10
4.27,3.35,0.07,219719173,207714000,11983000,10
1.15,0.91,0.02,59712558,51897000,7833000,10
3.46,2.78,0.06,166417236,157263000,9015000,10
3.37,2.67,0.06,168901052,152890000,15988000,10
2.59,2.08,0.04,125527644,119318000,6016000,10
2.63,2.15,0.04,120285840,116230000,4007000,10
1.11,0.87,0.02,59123977,51091000,8014000,10
1.14,0.89,0.02,61223134,54191000,7024000,10
1.97,1.54,0.04,104016542,93757000,10081000,10
1.42,1.13,0.02,73842066,71487000,2013000,11
1.32,1.07,0.02,63927494,62876000,998000,11
1.66,1.43,0.02,57226259,55123000,1968000,11
1.2,0.94,0.02,64130280,62149000,2004000,11
1.25,1.01,0.02,58959729,57885000,998000,11
1.18,0.93,0.02,63012260,61078000,2002000,11
1.22,0.98,0.02,60606864,59624000,1010000,11
1.12,0.88,0.02,59213669,57214000,2007000,11
1.22,0.97,0.02,61482035,60533000,992000,11
1.26,1,0.02,65816363,63816000,2025000,11
2.09,1.68,0.03,98249570,96252000,2005000,11
8.6,7.01,0.13,395303866,392304000,3002000,11
1.17,0.94,0.02,59696450,57711000,1990000,11
1.2,0.96,0.02,60632283,60670000,0,11
2.32,1.86,0.04,113883384,111882000,1997000,11
16.6,13.63,0.25,739812588,738777000,999000,11
1.2,0.95,0.02,63175628,58267000,4937000,11
1.23,0.99,0.02,60513646,58548000,1984000,11
1.58,1.29,0.02,72416104,72382000,0,11
1.19,0.93,0.02,62955181,62021000,1000000,11
5.33,4.27,0.09,266273569,257988000,7999000,12
2.67,2.17,0.04,123852607,121737000,2012000,12
2.64,2.13,0.04,126353399,123311000,3007000,12
6.62,5.38,0.1,304917587,286801000,18050000,12
2.59,2.09,0.04,124765980,121786000,2994000,12
2.72,2.19,0.04,132479735,127526000,4981000,12
0.75,0.58,0.01,42806106,39738000,3056000,12
0.76,0.59,0.01,42339034,39327000,3025000,12
4.71,3.79,0.08,228271978,218207000,10009000,12
5,4.01,0.08,243271709,232251000,11011000,12
0.73,0.56,0.01,41388227,39420000,2021000,12
2.8,2.26,0.05,135721299,128665000,7036000,12
0.9,0.71,0.02,48532690,44561000,3961000,12
2.85,2.25,0.05,145250620,137218000,8012000,12
2.88,2.36,0.04,129850969,126852000,2996000,12
2.48,1.96,0.04,128973977,121958000,6997000,12
2.94,2.33,0.05,148836055,142785000,6033000,12
0.94,0.75,0.02,46564019,43444000,3030000,12
3.33,2.63,0.06,171933037,162939000,9052000,12
5.26,4.23,0.09,252511857,243441000,9016000,12
0.24,0.17,0.01,16392264,15126000,1008000,13
0.62,0.48,0.01,34717855,32741000,1984000,13
0.7,0.54,0.01,38299675,37303000,1008000,13
0.27,0.2,0.01,15937316,14005000,2000000,13
0.7,0.55,0.01,37309820,34199000,3017000,13
0.65,0.5,0.01,37327840,35326000,2018000,13
0.65,0.5,0.01,37972747,35994000,1999000,13
0.25,0.19,0.01,15716710,14718000,981000,13
0.68,0.53,0.01,35976426,33998000,1999000,13
0.63,0.48,0.01,35961563,32971000,2997000,13
0.68,0.55,0.01,32423525,30293000,1954000,13
0.25,0.19,0.01,15462806,13613000,1944000,13
0.64,0.49,0.01,35472950,33455000,2027000,13
0.76,0.59,0.01,42161964,41163000,1003000,13
0.85,0.68,0.01,43295570,42276000,1006000,13
0.66,0.51,0.01,35334414,33335000,1960000,13
0.67,0.52,0.01,37099098,34193000,2930000,13
0.63,0.49,0.01,35153075,34154000,1004000,13
0.69,0.53,0.01,37765822,35727000,2041000,13
0.66,0.51,0.01,36088598,35114000,1003000,13
1.42,1.1,0.03,78436415,71190000,7018000,14
3.38,2.69,0.06,173127150,171096000,2001000,14
10.48,8.66,0.15,440835844,433710000,6995000,14
4.29,3.43,0.07,214429079,204448000,9973000,14
4.75,3.8,0.08,234825586,222767000,12041000,14
3.32,2.62,0.06,171123634,161113000,10007000,14
4.49,3.61,0.07,219271106,215270000,4005000,14
3.07,2.46,0.05,153472315,146493000,6975000,14
4.9,3.92,0.08,240258900,233238000,7007000,14
3.64,2.9,0.06,181278980,170182000,11011000,14
2.61,2.07,0.04,131483228,114449000,16918000,14
4.91,3.92,0.08,240866064,224954000,15926000,14
4.1,3.26,0.07,207598502,192654000,14973000,14
5.17,4.14,0.09,250244760,239204000,11009000,14
3.63,2.88,0.06,186675489,185575000,997000,14
1.43,1.12,0.03,78965381,76996000,1999000,14
2.16,1.72,0.04,107398427,91343000,16060000,14
1.27,1,0.02,66637484,61595000,5048000,14
2.97,2.36,0.05,145390998,130338000,15039000,14
3.79,3.01,0.06,189093936,180069000,9003000,14
0.52,0.38,0.01,36494423,26827000,4292000,15
1.16,0.92,0.02,59548667,56396000,3021000,15
1.07,0.82,0.02,60293605,58301000,2010000,15
1.17,0.92,0.02,60840280,55748000,5068000,15
1,0.77,0.02,57667743,53701000,3977000,15
1.05,0.81,0.02,57921540,52941000,4994000,15
1.05,0.82,0.02,54599657,52648000,1986000,15
1.1,0.87,0.02,57166943,53075000,4005000,15
8.85,7.25,0.13,396494518,386463000,9986000,15
3.67,2.97,0.06,175249835,172289000,2987000,15
1.1,0.87,0.02,57468588,54498000,2972000,15
1.05,0.83,0.02,53755887,48867000,4886000,15
1.07,0.84,0.02,57231549,55189000,2006000,15
3.79,3.08,0.06,175760259,171729000,4017000,15
1.19,0.94,0.02,60732890,54880000,5880000,15
1.2,0.95,0.02,62021669,55058000,7007000,15
1.09,0.85,0.02,60398383,57361000,3019000,15
5.6,4.52,0.09,263939252,252779000,11034000,15
1.14,0.91,0.02,58495841,54458000,4033000,15
3.81,3.09,0.06,177449833,174302000,3005000,15
2.71,2.02,0.06,170847601,2178000,7265000,16
4.62,3.66,0.08,238714210,234699000,3994000,16
4.99,4.04,0.08,236747331,231635000,5013000,16
2.55,2.05,0.04,124091577,121032000,3000000,16
4.66,3.7,0.08,238799745,234795000,3996000,16
5.5,4.54,0.08,235749732,233726000,2006000,16
4.63,3.67,0.08,241913532,240856000,999000,16
4.77,3.81,0.08,239302195,235351000,3989000,16
2.87,2.22,0.04,129021300,124061000,5002000,16
4.69,3.74,0.08,238270310,237277000,1001000,16
4.79,3.81,0.08,243655539,236632000,7018000,16
4.66,3.72,0.08,236016032,231926000,4016000,16
8.68,6.89,0.13,393486322,247313000,146185000,16
3.77,3,0.06,190016450,188891000,999000,16
4.67,3.72,0.08,237130399,230983000,5973000,16
4.71,3.75,0.08,239361439,231373000,7978000,16
4.7,3.74,0.08,237825810,233704000,3994000,16
4.86,3.86,0.08,249004828,244899000,3998000,16
8.62,7.1,0.13,380181691,376076000,4000000,16
4.73,3.76,0.08,241013833,237032000,3983000,16
10.74,8.49,0.19,566729178,560454000,6004000,17
10.84,8.58,0.19,565473011,557486000,7992000,17
10.82,8.53,0.2,575615237,572607000,3003000,17
9.58,7.64,0.17,487770583,484800000,3004000,17
5.44,4.34,0.09,274805848,270806000,4011000,17
8.86,7.27,0.13,395051494,388034000,7000000,17
15.57,12.48,0.26,775117676,769034000,6000000,17
10.57,8.31,0.19,565205852,560152000,5001000,17
9.68,7.69,0.17,501636752,497579000,3996000,17
10.86,8.6,0.19,562539338,558428000,3995000,17
10.62,8.34,0.19,566228449,559231000,6990000,17
9.77,7.74,0.17,509549702,503562000,5994000,17
9.55,7.52,0.17,506755927,501638000,4996000,17
10.88,8.61,0.19,564901110,558828000,5998000,17
10.68,8.42,0.19,564949232,558992000,5989000,17
10.63,8.37,0.19,563665838,561526000,2001000,17
9.62,7.59,0.17,504672916,503694000,1001000,17
6.46,5.09,0.12,340148038,337118000,3001000,17
8.49,6.75,0.15,432658530,423544000,8990000,17
9.84,7.79,0.17,508140271,505104000,2994000,17
5,3.9,0.08,237263826,233019000,4000000,18
3.68,2.96,0.06,180904946,175890000,4996000,18
3.42,2.78,0.05,160019464,157939000,1999000,18
