@relation problema
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'instructions' real
@attribute 'page-faults' real
@attribute 'power/energy-psys/' real
@attribute 'power/energy-pkg/' real
@attribute 'power/energy-cores/' real
@attribute 'power/energy-ram/' real
@attribute 'power/energy-gpu/' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
249781835,323141,157686905,692876,158373394,697198,186790,2744570,512140478,119442,248683740,124857,105810,770902449,128,3.79,1.7,1.65,0.08,0.0,161607492,116658000,27918000,489303879,0
253434644,245704,155542229,650038,155442757,650627,161307,2223797,509324401,115103,253721810,246515,105388,773811732,129,3.4,1.68,1.64,0.07,0.0,138563071,103217000,35074000,152775729,0
246660838,413402,150411238,690009,155628281,700673,204047,2398847,513688774,111020,260270884,233733,109105,767426223,713,3.42,1.69,1.64,0.07,0.0,139054863,112786000,25950000,153256818,0
254163874,314777,156297127,684093,156076523,683285,150125,2135673,504669301,114658,255765268,7991,105500,778326671,126,3.36,1.65,1.62,0.07,0.0,137048745,105648000,30897000,151308841,0
252248113,350553,155922085,723400,156268404,719305,241644,2410417,506661335,117555,254107561,12740,107921,773190092,126,3.41,1.65,1.61,0.07,0.0,136771014,109569000,26894000,151076716,0
251432100,299285,155492941,685531,155458446,683924,152089,2138587,503995348,115128,252555712,37996,105416,770604500,128,3.39,1.64,1.6,0.07,0.0,136075630,99856000,35948000,150368838,0
250553605,325053,156003493,683131,156114784,685097,168965,2250763,512526589,115345,252452325,10139,105083,776631317,129,3.48,1.67,1.62,0.07,0.0,138275221,108831000,28955000,152687002,0
249872198,308640,155965533,688593,155982471,678461,139179,2103074,505399508,114666,251605756,11068,105849,774989501,128,3.38,1.63,1.59,0.07,0.0,136550623,96160000,40066000,150796441,0
70505029,213265,46825571,197224,46676464,196217,138187,882316,101146515,4016,72551416,3159,1183,250931239,137,0.7,0.34,0.33,0.01,0.0,27391372,25138000,2011000,41411796,0
96072336,279438,63484815,434284,63502164,428630,132040,1571357,342127997,111195,95927397,48480,104758,332937575,133,2.21,1.05,1.02,0.05,0.0,93077092,60899000,31947000,107522848,0
253584975,313060,157476866,685471,157370272,684329,161239,2228346,510335555,115579,255313218,10163,106062,783622917,130,3.41,1.69,1.64,0.07,0.0,137610458,115282000,22053000,151770749,0
252770748,269932,156518654,707197,156609739,707488,181941,2234711,510648762,115382,253703483,16696,105701,780208239,129,3.37,1.64,1.6,0.07,0.0,138340013,106949000,30985000,152731229,0
249067159,298259,155247479,628498,155371156,624675,137297,2107690,504627621,115151,250924729,10241,105798,773666963,129,3.35,1.63,1.6,0.07,0.0,135957317,110742000,24941000,150173465,0
44065707,183707,21611220,139723,21613424,140659,171862,822806,50485592,4513,31180088,7181,1727,122080810,589,0.37,0.18,0.17,0.01,0.0,14407731,13035000,1002000,28708605,0
70560021,177960,45258524,182107,46054501,199070,174475,926612,96018853,5556,72587598,3047,1742,256109451,330,0.65,0.31,0.31,0.01,0.0,26421037,25212000,969000,40782076,0
71462311,199468,46822970,183327,46469193,181687,139059,854796,97177867,3785,72020557,2399,1281,248812456,137,0.69,0.33,0.32,0.01,0.0,26951280,25715000,1028000,40962096,0
65331057,222049,43050628,178991,42917666,181728,145797,796475,95050217,3692,69375412,5374,1663,235579908,133,0.65,0.32,0.31,0.01,0.0,25566845,25287000,0,39785005,0
68797077,249800,44085747,186452,44034887,188964,171418,868593,99619738,2797,71190444,7868,1378,240467224,133,0.75,0.34,0.33,0.01,0.0,26177002,24950000,998000,39862236,0
250915666,300596,155400364,644662,155424407,645642,133496,2058210,508932709,114018,253430857,216996,105040,770896921,127,3.38,1.66,1.62,0.07,0.0,137330855,109045000,28011000,151678662,0
58342652,183141,57683605,189227,57792712,188377,125844,881220,109965012,4185,60452985,3663,1520,297177433,132,0.76,0.38,0.36,0.02,0.0,29540083,28328000,1011000,43809634,0
151080725,295159,34810226,2016933,35384232,2007853,156419,4338055,1007672341,31736,150969539,7530,8334,285175389,134,6.61,2.86,2.77,0.16,0.0,311042536,300734000,3007000,656298309,1
35109615,104439,4810687,122418,4864355,135306,70571,1086952,210280630,7260,35520936,1542,1993,198359511,64,1.28,0.53,0.52,0.03,0.0,60140173,58947000,999000,74156007,1
37461631,163733,10217701,75223,10219491,76093,91190,994448,198096973,4603,37810447,945,1686,257613641,128,1.22,0.57,0.55,0.03,0.0,53440936,52165000,1003000,67733424,1
25882299,120149,7156576,118054,7315128,125067,91675,796355,115871361,4127,25254682,578,722,140834843,128,0.71,0.33,0.33,0.02,0.0,31494910,28365000,2934000,45590236,1
2549223,147692,6983646,87255,6963210,80317,99173,1185114,243280876,6659,2500071,1381,2074,240513664,133,1.49,0.68,0.66,0.03,0.0,65573049,65307000,0,79763488,1
325093314,349051,86776415,237255,86966897,238837,175628,4330407,1197511906,31390,325281441,5690,8777,974564001,132,7.65,3.57,3.47,0.16,0.0,324592792,323365000,1001000,338833913,1
23113769,138103,3336383,60976,3332819,59844,88925,820054,108697331,3104,23059269,457,808,100488444,133,0.69,0.32,0.31,0.02,0.0,29667985,28434000,1015000,43725789,1
3472683,287842,111942101,171000,111888912,162393,123977,2845405,761966147,18641,3446836,3981,5790,1084442920,131,4.5,2.0,1.94,0.1,0.0,205933327,203788000,1997000,219899288,1
222223294,316963,123013704,166604,123101272,165038,104292,3007396,800833556,20147,222748363,3707,5811,1190276792,132,4.98,2.3,2.24,0.11,0.0,217166503,216034000,1000000,231437580,1
35790450,213424,6994498,188402,6944728,180607,145683,1541641,262705599,6665,36235464,978,1826,157772816,189,1.59,0.72,0.71,0.04,0.0,71123333,67244000,3587000,85256624,1
771380297,1609967,244246640,1029716,244018885,1019783,316306,20351810,6141052379,151677,771645349,28833,41706,2077062297,126,38.32,17.87,17.38,0.83,0.0,1660793263,1660855000,0,1675030122,1
70208923,297550,16257156,159508,16189845,155794,117523,2736234,722373848,17878,69865934,2242,4912,193016845,132,4.47,2.06,2.0,0.1,0.0,195823775,194651000,998000,210189577,1
212130178,292389,152691366,173379,152671864,172955,129696,2798270,718152806,17921,211313438,3118,4835,939211866,132,4.49,2.09,2.04,0.1,0.0,194583583,194349000,0,208619072,1
25417952,116364,3611537,86841,3617457,86204,106352,1241635,250756453,7213,25312938,733,1987,286395843,135,1.59,0.74,0.72,0.03,0.0,68306240,66949000,999000,82603987,1
380813176,441649,121321068,256923,121302380,261004,190809,4751030,1300999890,33852,381802050,6056,8838,2454747897,132,7.93,3.59,3.48,0.18,0.0,352349549,351100000,1000000,366473836,1
765269640,1580479,243819940,1032050,243804482,1032160,394415,20215457,6095366415,144515,765274807,27728,41034,2019591062,129,37.82,17.49,17.0,0.83,0.0,1648846028,1648018000,1000000,1662938610,1
19973983,120654,2627815,67100,2618870,67955,100778,825052,145821971,3688,20225951,500,1464,51432264,131,0.92,0.42,0.41,0.02,0.0,39384404,39116000,0,53636997,1
34237736,102361,3370820,77043,3480448,79100,101421,1176709,219306911,7760,34336280,1520,1827,214986799,127,1.34,0.61,0.6,0.03,0.0,59613105,58348000,1006000,73935059,1
29668543,179628,4905315,129341,4901483,134910,87850,1151885,241375410,6048,29412927,1401,2028,68022714,133,1.5,0.66,0.64,0.03,0.0,66477670,66269000,0,80555578,1
24611279,143634,3386731,59072,3374157,59915,91418,662456,91534951,2473,25302411,819,1116,131930933,133,0.59,0.27,0.25,0.01,0.0,24804071,22573000,1962000,39156273,1
328631389,692800,171672031,1356384,164299766,1457603,319796,3578189,416592719,22109,310599223,13220,5230,900529745,908,3.24,1.43,1.38,0.07,0.0,141302809,115461000,4051000,464927512,2
456135489,660360,240457709,1315307,243587457,1276577,194847,3261631,633797349,20581,456920025,20211,9452,1322386394,1001,4.26,2.11,2.06,0.09,0.0,171664970,170302000,1001000,185817300,2
787573321,6904969,412492659,3111405,410780401,3108918,1284810,11953505,1410502866,121132,785389157,21130,17048,2379982817,2868,9.39,4.63,4.51,0.21,0.0,382747732,376333000,6005000,397086738,2
198781459,464820,91212000,1587954,87107338,1586971,164675,1646272,288711489,13895,204229204,3027,3146,550340236,523,1.91,0.94,0.92,0.04,0.0,79406568,77083000,2002000,93662032,2
329376273,815738,166589656,1452724,163160841,1481572,322294,3110064,418471167,20251,321457107,10540,4170,916238940,908,2.84,1.42,1.39,0.06,0.0,113012371,110541000,2009000,127207764,2
210032823,496609,112881329,1389307,111509874,1442354,162902,2015754,316834207,8689,202957691,4196,3733,644750480,522,2.16,1.06,1.03,0.04,0.0,85740337,83430000,2010000,99775280,2
457463343,584715,235311158,1361550,233690189,1459415,220499,3117577,616483540,16713,451349054,12368,4684,1325790283,519,4.14,2.04,2.0,0.09,0.0,168887036,166603000,1995000,183101173,2
454792719,1048428,238258487,1432413,245302876,1292236,256383,3726958,639850798,23183,468671380,21446,12875,1327612296,1906,4.35,2.18,2.12,0.09,0.0,173253542,170893000,1998000,187509336,2
457804687,656389,241786147,1314583,245702865,1276721,177884,3237697,637735307,20782,461112121,16643,9549,1328275049,1003,4.3,2.16,2.12,0.09,0.0,172454527,170098000,2001000,186626964,2
