file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-psys/,power/energy-pkg/,power/energy-cores/,power/energy-ram/,power/energy-gpu/,duration_time,user_time,system_time,perf_time
7148062.exe,38466299,126787,20160175,53203,20124491,53442,111368,580486,45979642,1754,42050635,422,965,120644454,132,0.31,0.15,0.15,0.01,0.0,12081208,11890000,0,26137616
7274517.exe,77098153,158457,44938578,61071,46070415,51342,87704,636437,87403837,2993,80517209,2337,1179,230072945,128,0.62,0.31,0.3,0.01,0.0,23583951,22312000,1014000,37789783
7332878.exe,37150284,210064,17637424,56297,16957721,56469,179909,753090,46604673,2479,37817370,374,615,117345091,524,0.3,0.15,0.16,0.01,0.0,12385426,10137000,2027000,26691767
7375390.exe,98212230,451123,39301240,102147,39804112,99868,154801,1238599,109208539,6943,97541859,6626,5210,250764453,1039,0.75,0.35,0.34,0.02,0.0,29668343,26362000,3041000,43760807
7507851.exe,42506060,216021,19825240,51919,19780713,54549,171478,840401,52416301,2499,43798848,642,464,139003865,524,0.35,0.17,0.17,0.01,0.0,14189496,11888000,1981000,28286481
7611471.exe,81591585,244985,44602832,64244,44783829,58655,148106,800038,91842360,5235,85694359,4960,1188,241457870,517,0.65,0.32,0.31,0.01,0.0,24608924,22305000,2027000,38907786
788876.exe,91798686,176337,48968167,59391,47907596,59787,165601,1028932,100585611,5728,90505952,6122,990,264491159,517,0.67,0.29,0.28,0.02,0.0,29913523,27632000,2046000,43826861
8059454.exe,50173851,325984,27832039,56796,28009015,51454,145081,977894,76921397,5956,56011564,3594,3662,163615273,1040,0.56,0.27,0.25,0.01,0.0,20941140,18673000,1965000,35193281
811745.exe,92294164,248501,49407502,67360,47712277,64551,202843,1080181,102251499,4801,90609200,11686,910,265755334,517,0.77,0.36,0.35,0.02,0.0,26851484,26605000,0,40678884
8124566.exe,35970959,237252,17290681,58522,17269704,58321,184414,713172,45737460,4191,38695705,539,752,116965403,522,0.33,0.15,0.14,0.01,0.0,11999899,8841000,2947000,26230015
8201251.exe,38112423,215855,17930735,55249,17260023,55507,171291,770815,47616262,2337,39449989,395,586,122535863,525,0.33,0.16,0.15,0.01,0.0,12683921,10496000,1908000,26880861
8340073.exe,84589942,247083,45299587,62471,45128668,62368,155126,855819,93546632,6154,87960368,3865,1826,244513691,516,0.64,0.3,0.29,0.01,0.0,25677698,22388000,3052000,39732297
848361.exe,79608052,157557,45118827,60628,44984718,53151,90775,652720,89687774,2527,82718659,5541,1228,236553303,128,0.62,0.31,0.3,0.01,0.0,23957194,22706000,987000,37971049
8545343.exe,34391983,248760,16258070,59945,16271092,59263,172027,684488,44803141,3133,38056334,708,1081,112341257,523,0.31,0.14,0.14,0.01,0.0,11985272,9614000,2136000,25903155
8577288.exe,38349662,177195,18521248,54932,18145421,55200,166122,780162,49173437,2304,41633431,409,469,127575406,525,0.33,0.16,0.16,0.01,0.0,13130037,11877000,989000,27132703
950066.exe,42370813,217927,20550966,52462,20589392,52390,155175,847293,57293898,3224,45948328,755,1200,140387603,524,0.4,0.2,0.18,0.01,0.0,15142869,12940000,1990000,29384319
