@relation problema
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'instructions' real
@attribute 'page-faults' real
@attribute 'power/energy-psys/' real
@attribute 'power/energy-pkg/' real
@attribute 'power/energy-cores/' real
@attribute 'power/energy-ram/' real
@attribute 'power/energy-gpu/' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
246162185,299215,152655710,652754,152630035,653360,139565,2072011,505989799,114865,248620279,220587,105451,759788596,127,3.38,1.64,1.6,0.07,0.0,137311487,103059000,34019000,151480616,0
94799238,262540,62707111,419076,62905786,417426,131808,1608896,336873980,111355,95046196,6412,104493,328499085,133,2.21,1.04,1.0,0.05,0.0,91391202,61087000,30043000,105573033,0
250198217,305162,155874049,682966,155906472,681114,132763,2130250,506037017,115066,251970944,11098,106300,775026784,129,3.4,1.65,1.61,0.07,0.0,136692926,116520000,19917000,151066808,0
251037023,248218,155359348,696428,155290712,698050,153580,2187592,505669404,115621,251601661,88371,306783,775043502,129,3.38,1.62,1.59,0.07,0.0,138408623,113112000,25024000,152682049,0
253791660,237767,155666027,635025,155623089,635514,143575,2111306,508749443,115167,254362352,216432,105685,774752723,129,3.43,1.69,1.65,0.07,0.0,137866408,110698000,26926000,152428058,0
250813279,313980,156107903,724226,156213987,721140,147134,2322996,507343372,116191,251912739,21335,106148,778025363,128,3.41,1.61,1.57,0.07,0.0,140820447,113622000,26910000,155093295,0
257006177,561222,159926536,790767,158727412,743124,344262,2625209,512390615,120051,252839097,263408,111579,812414018,351,3.5,1.72,1.67,0.07,0.0,138039788,101831000,35940000,152518676,0
249570409,342289,155757968,754916,155843568,762822,173384,2149578,513293803,115200,251435816,9961,206487,773509222,129,3.43,1.68,1.64,0.07,0.0,138209641,109946000,27986000,152623488,0
251134947,300845,155467350,670144,155460713,668166,136677,2088005,503947093,114704,252554494,8308,205987,771484562,128,3.38,1.65,1.62,0.07,0.0,136080413,102862000,32955000,150370459,0
245858849,313301,152669153,683771,152783256,682689,166628,2165755,506308411,115009,246962548,219008,105235,757414198,128,3.38,1.66,1.62,0.07,0.0,136343635,108962000,26990000,150618215,0
