file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-psys/,power/energy-pkg/,power/energy-cores/,power/energy-ram/,power/energy-gpu/,duration_time,user_time,system_time,perf_time
7528688.exe,23516939,132378,3531502,78135,3528779,75839,95292,1014310,193092219,5154,23503486,1141,1820,171541198,133,1.21,0.55,0.54,0.03,0.0,52471467,51202000,1003000,66781717
7689283.exe,35807271,166882,6788834,83504,6919430,88545,109253,1380198,273002933,8031,35901471,1378,1832,243918770,127,1.72,0.77,0.75,0.04,0.0,73762764,72544000,993000,87776775
7708071.exe,18390991,343918,8939099,190327,9767812,202020,496696,2106907,76357744,12938,16884445,6462,5750,92966407,781,0.4,0.19,0.19,0.01,0.0,14060939,13741000,0,28141844
7715728.exe,160667773,688460,62917232,117637,61231041,117058,680373,2829781,309493903,19017,154816121,12609,6636,529551088,3857,2.06,0.96,0.93,0.05,0.0,84044069,73773000,9969000,98505721
7823228.exe,88800027,2739104,51397158,927128,51489968,940052,636076,7519975,514349693,48705,91285208,130765,34210,523632494,936,2.16,1.09,1.07,0.04,0.0,70868052,69015000,1000000,92265191
7829045.exe,53873363,300798,4189522,166886,4258587,163563,127605,2895531,764240123,19032,53493106,3593,5323,147932512,132,4.8,2.22,2.16,0.1,0.0,206204386,205849000,0,220504526
8001049.exe,46135302,161598,6810531,75193,6712788,73346,90490,1169475,227542546,6602,46235590,1220,2140,214788887,129,1.46,0.66,0.63,0.03,0.0,61926691,59577000,1985000,76161460
8005036.exe,32390992,164471,6877739,75983,6882693,76928,104482,1031685,200779249,4914,32293951,853,1769,174399506,127,1.24,0.56,0.54,0.03,0.0,54183749,54001000,0,68296183
8349555.exe,919340640,2112591,270859996,1359922,270704982,1361598,631032,26625350,7886806032,198355,919431622,37570,56527,2170672167,327,49.41,22.69,22.05,1.07,0.0,2127371804,2125020000,999000,2141643366
845774.exe,59050239,294360,10927247,166486,11088215,162933,139410,2871096,738085959,18945,58727763,3465,5426,185962658,132,4.63,2.11,2.06,0.1,0.0,199615476,198339000,1001000,213808259
8588479.exe,37646903,170867,10323278,84906,10304762,84968,100852,1297160,256531780,6341,37454098,770,1609,303720663,130,1.65,0.75,0.72,0.04,0.0,70103187,68781000,996000,84356186
908305.exe,34920757,145596,8383243,64621,8292171,69113,95994,1002679,174360746,5481,35307454,1211,1671,164136080,132,1.09,0.51,0.5,0.02,0.0,47053367,46771000,0,61470506
941239.exe,30304454,140034,8824714,243408,8789649,210832,120979,829320,107638138,3093,30409634,417,1194,151793335,126,0.71,0.33,0.32,0.02,0.0,29380408,29097000,0,43597658
