file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-psys/,power/energy-pkg/,power/energy-cores/,power/energy-ram/,power/energy-gpu/,duration_time,user_time,system_time,perf_time
7187002.exe,228569466,3576307,126771261,738771,125528935,729178,2420886,10651732,478100948,154004,233323100,15758,24123,718436367,3060,3.37,1.56,1.53,0.09,0.0,128887490,116624000,11961000,143246032
725590.exe,441625738,3040059,249711403,1120649,248757677,1100839,1584078,9639438,680572742,66662,446492197,43057,20305,1312747691,2266,5.02,2.34,2.27,0.11,0.0,184054748,177781000,5992000,198255449
7326110.exe,544247134,8604255,280283231,2269108,279932619,2234153,2747803,19095508,1085749363,224842,545426458,34330,11691,1644462642,3514,7.65,3.56,3.48,0.18,0.0,293326718,287019000,6000000,307498937
7357193.exe,279779746,2522676,140427149,701216,141412317,685000,1273732,8021776,501373748,62299,274375628,12262,12095,840928812,2228,3.57,1.65,1.6,0.09,0.0,135484357,133186000,2002000,149724954
7442336.exe,282077834,2996001,142343941,748475,141394495,752899,2129549,9231762,545248365,130767,288880702,37787,25698,867673706,2740,3.92,1.78,1.72,0.1,0.0,147009364,139711000,7035000,161498243
7533897.exe,493829402,2685967,270868492,1129364,269072769,1112839,1533654,8890416,746747294,65165,492223004,46511,38284,1450421393,2756,5.46,2.54,2.48,0.12,0.0,201659599,195398000,5981000,215937492
7537272.exe,581337107,3211252,312191821,1177706,311405019,1161146,2113500,10735063,934727580,67703,586225822,41492,33710,1730592685,7057,6.68,3.12,3.05,0.15,0.0,252942709,238669000,13980000,267355917
7607489.exe,260889019,3077344,140396281,734715,140730061,718273,1477862,9547072,499576392,55676,266474285,14540,21019,809064012,2187,3.58,1.65,1.61,0.08,0.0,135207158,129980000,4999000,149576589
7738068.exe,494865627,2658133,270875361,1125835,268533145,1111820,1602293,9093375,753819367,66740,494495185,25773,24164,1459742987,2758,5.48,2.54,2.48,0.12,0.0,202268965,193954000,7998000,216542070
7780176.exe,284029836,3078952,142143410,726959,139328099,743218,2022181,8902082,530159418,122439,290525736,17589,8800,872453597,2741,3.81,1.74,1.69,0.1,0.0,143364119,137101000,6004000,157686157
7783737.exe,223953319,2664076,122523468,684534,121764339,691948,1084123,7755706,417191093,41756,226689150,11528,6206,702113335,1807,3.02,1.38,1.35,0.07,0.0,112857768,107563000,5026000,127194992
7852178.exe,505527631,7164105,294197457,2028365,291976824,2038497,3346628,18522427,940557982,153765,498939517,148614,82180,1533764543,3267,5.76,2.79,2.73,0.13,0.0,197823060,189052000,7960000,215565298
7852586.exe,279809772,2585520,140311685,700058,140676845,680281,1327092,7992054,499507092,62215,274924624,17727,8019,845676656,2227,3.54,1.65,1.61,0.09,0.0,135514100,133241000,2003000,149621415
7878917.exe,312667375,1231652,177053296,693071,177151378,690890,167294,3756216,369208311,15679,325859069,16479,9657,913005446,338,2.75,1.31,1.29,0.05,0.0,100167590,94867000,4993000,114312997
7887387.exe,221131936,2897450,124573806,659199,125431276,637946,1435932,9350313,432477113,66954,223497297,38593,19546,685892653,2282,3.1,1.41,1.38,0.08,0.0,117287367,109037000,8002000,131583385
7900572.exe,434572879,3016518,245253752,1121322,243382270,1098690,1505336,9751855,657858469,59020,437385711,17013,14589,1285828489,2249,4.84,2.25,2.19,0.11,0.0,177729311,173436000,4010000,192150976
8036932.exe,226140646,2873086,123152983,719860,123834159,698581,1323535,8685508,446578561,61595,230006493,20572,84476,712556595,2293,3.16,1.45,1.42,0.08,0.0,121207802,114922000,5995000,135696126
8122852.exe,228757311,2740480,125342391,675976,123843167,671847,1423989,8222992,435402708,53546,225332984,22654,11875,705975872,2139,3.12,1.43,1.4,0.08,0.0,116291897,110918000,4951000,130478488
8193334.exe,274886699,2709646,140228955,705364,139905685,702142,1324050,7841535,508111744,67060,278318543,22001,14413,836476111,2158,3.64,1.62,1.57,0.09,0.0,140962593,134685000,6030000,155116189
8322422.exe,246979716,3517726,131418693,852370,129429443,853594,2054964,10975269,480977950,130151,244932152,12551,5771,756928742,2510,3.5,1.59,1.55,0.09,0.0,130442741,127036000,3000000,144741646
8367374.exe,385562267,2093239,214959048,1039960,214471720,1041814,174114,4960606,502798742,15527,382338886,17108,6509,1088570751,477,3.68,1.72,1.68,0.07,0.0,135747925,134509000,1003000,149718222
8402034.exe,427012432,2946035,241935234,1088421,240131401,1075479,1442144,10172725,640735599,56211,430112895,24931,16263,1261901214,2108,4.73,2.21,2.16,0.1,0.0,173606989,169322000,4007000,187774135
8430040.exe,437510704,3418036,249450024,1129556,245691476,1121293,1701846,10197959,664591274,73524,434693896,26398,15657,1293659113,2866,4.9,2.27,2.22,0.11,0.0,181067718,172720000,7987000,195300602
8462887.exe,514268877,2593991,276165041,1130063,277376179,1134728,936380,8918785,767145519,59209,515769540,20530,10830,1503523014,1775,5.65,2.64,2.58,0.12,0.0,207234656,202882000,3997000,221564560
885780.exe,234261407,3478908,128098798,732362,126237266,750186,2444810,10296488,471587130,151209,231975108,25829,16996,734701102,3578,3.41,1.54,1.51,0.09,0.0,127522254,123315000,4010000,141698801
954634.exe,195033864,1369836,101803762,409694,100692870,402250,189014,4057686,294171494,9360,196012594,6091,2826,583800174,583,2.08,0.98,0.96,0.04,0.0,80003723,76797000,2992000,94410963
