,file,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,page-faults,iTLB-load-misses,iTLB-loads,instructions,duration_time,user_time,system_time,perf_time
66,6776171.exe,81715,1673743,753061,161747,4450,23217,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,128,<not counted>,<not counted>,<not counted>,1835508,1399000,0,16171245
67,6820816.exe,227049,90818594,41678165,563353,13746,78288,2906,21255,69813177,130315,68219013,105208,117810,1350190,110486939,5445,105791135,758,54865186,912,1085,3490,302747895,30219565,27801000,1985000,44462574
68,6962942.exe,906451,53604777,12565237,671844,20531,71369,39873,50139,36429483,16495,36337910,16772,68156,340327,66664834,2529,56131972,2054,20564486,523,2323,2348,200560912,17847053,13737000,3925000,31825776
69,6967240.exe,42401,1439067,732020,159751,4620,23069,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,130,<not counted>,<not counted>,<not counted>,1809539,748000,748000,16010771
70,7189608.exe,108095,85208824,40847739,586323,11955,70660,5310,22489,52623770,36306,54529707,31911,34253,612747,102476849,2651,94718661,288,49271459,520,1223,6813,272082278,27465640,24197000,2903000,41720433
71,7204213.exe,87006,78375415,36983032,621377,12084,66275,4783,16995,52431545,23100,52829609,22675,33967,464240,93859139,3418,86053199,364,43192670,519,1649,2834,247748395,24752302,22318000,2028000,38979474
72,7383346.exe,176968,105460168,51267647,616650,14270,137608,5812,17014,86233016,127817,86376054,142150,113135,1610359,125131934,5726,99377752,819,51553960,911,2848,4047,335261151,34298197,30926000,2992000,48590964
16,7457995.exe,253119,92747145,48003462,668978,14330,71471,36267,63203,80457329,137915,72558412,120509,108420,1232129,114592488,7584,94168009,11151,52829832,1035,2975,12015,293711240,31398912,29105000,2007000,45877361
17,7590448.exe,295903,20279646,10165497,743651,17670,74984,36187,61984,32612094,15196,33125997,16269,60229,480971,60789879,3148,39225637,5088,26566168,977,2796,2843,144184824,16263953,11884000,3961000,30513407
73,765889.exe,470484,12034914,9835246,551628,13189,72930,52024,41453,19898003,16829,21265750,15571,93096,614947,45457738,7101,33360325,2408,12529401,1043,7377,815,1033427,12323679,9006000,3002000,26479083
18,7957547.exe,254993,92018864,47802443,697515,14331,70161,35691,65231,80728030,131713,72797005,117000,99765,1199401,114492403,7300,93752532,10957,52351499,1036,4602,15229,290922205,31463980,29154000,2010000,45730092
74,7973932.exe,403302,78414374,41475733,665200,16947,94161,57308,107578,53216662,74185,51102529,67684,167619,1524424,109312649,9756,91792993,16410,48420607,1900,6038,21150,255610868,29654290,24452000,4890000,44079615
75,7989414.exe,2514674,79921241,48215825,1571316,40686,140362,1932367,1995293,45064596,113495,43674086,122220,2744723,4151309,280891506,80159,48052580,303879,30178297,31045,110598,171292,248182575,76073609,19915000,55762000,90292470
76,804800.exe,567215,30961502,15491885,847524,19507,105464,73492,49894,29379514,18378,28662841,17220,71111,684267,62246819,4160,45581515,1506,23071131,1043,1773,1177,186713920,16768243,12634000,3887000,30989835
77,8078753.exe,563697,31576497,10475834,700650,19175,91518,81325,60416,31828375,20972,32022710,20257,92406,755408,67659260,4003,46703712,1311,7956706,1042,1496,1139,132502912,18199720,13887000,3967000,32393309
78,8193633.exe,42629,1601009,774239,161178,4613,23685,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,131,<not counted>,<not counted>,<not counted>,1786861,1476000,0,16092683
19,844240.exe,96299,91325553,43726618,535809,11091,64656,2336,14394,73096724,128415,70746659,104463,73481,980424,113582448,5900,104076059,263,54215352,522,1084,7382,298794757,30058422,28739000,1026000,44061629
79,974175.exe,100290,94237931,46088428,538979,13089,66055,2130,14648,77729522,128457,72419429,105106,60465,950730,111381955,5728,100883808,259,53208924,519,1085,6216,298106246,30012651,28636000,1022000,44337578
