,file,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,page-faults,iTLB-load-misses,iTLB-loads,instructions,duration_time,user_time,system_time,perf_time
0,1016334.exe,5383374,142917400,56740555,1863649,397936,2502259,215971,346537,109163931,831128,109363967,826562,1128656,10502689,389129161,161634,159239653,32697,65389162,3385,10096,33111,462928272,134798803,123194000,11017000,199085760
1,1135440.exe,5081025,155066053,66950028,1605514,359541,2410937,188192,298480,117659909,2763248,117201501,2751312,1067253,11663180,418814658,183216,150573074,15903,63925233,2480,3922,20314,489395810,112572095,101220000,11024000,126855483
0,1147117.exe,5112265,170871705,74240192,1881876,243823,2474744,409703,407224,109735618,2354576,110056202,2385122,1957062,11182189,436479276,225410,159990121,16308,72692946,2873,8215,24292,584934334,147406212,133816000,12982000,196343804
2,1199099.exe,5052592,109731756,44609917,1404874,437221,2494198,147805,249346,99517113,777063,101957623,770547,1096783,9402710,356953914,100337,154121953,23025,59057411,2480,4933,19817,406800257,96334570,90983000,4999000,110613138
3,1379278.exe,4134336,195697964,93469459,2940047,326058,2493596,192276,343517,148334222,3174743,147953991,3163723,2037577,13569124,940291788,407375,198042739,16385,93815651,2478,225202,28265,675795237,254609423,193217000,61068000,268905695
4,1400532.exe,5292729,335150777,168057811,2089574,442223,2587536,168352,298416,239452188,973115,241867244,962646,999692,10114123,594479257,113303,382866261,23450,185566265,2668,7204,31367,1041640287,160632726,152250000,8013000,175072186
5,1604299.exe,4847256,384481269,195710719,3199135,328493,2548473,175800,351289,243750601,1624604,243077654,1614622,1796493,13190502,1103315323,392668,385369985,23321,197758814,2473,217816,624863,1181206424,298914929,232375000,65823000,313388502
6,1749177.exe,4969695,206525861,98370518,2907349,419801,2040175,253172,480954,158762299,3047956,158082295,3045343,1847456,12033596,986668352,541860,211826847,22173,98925096,3258,198748,38396,711762387,266607897,209406000,56838000,280844840
7,1779544.exe,5306138,400304964,206010561,3975124,266338,2293633,181991,332908,261271403,1503710,260061041,1518755,1645695,13069950,1130933424,439193,402174037,22731,204767785,2474,538838,545614,1243207763,305703792,244252000,61063000,320062004
8,1817867.exe,5059609,412729000,206888780,3247428,198470,2267277,185914,340381,263515418,1566694,263449382,1576636,2010988,13679689,1129032021,440866,413239488,22496,208942500,2667,995009,538985,1270915859,303005742,237683000,64913000,317442727
1,1963979.exe,5259583,332327450,166575552,2151198,427394,2624814,169484,288478,241598271,1051396,243476739,1042901,915439,10102696,594769255,111154,382878236,23186,185432847,2669,7438,31197,1038039371,160370058,151014000,9000000,174582482
9,2024525.exe,4743240,159751120,66373434,1485982,278189,2369987,163794,253197,105150650,847643,104408488,843355,1639872,10241302,377315847,184204,151943655,21700,66798046,2479,4750,22422,522344251,101873933,98480000,3014000,116381386
10,212795.exe,4927758,148401743,63063375,1502791,264231,2443998,146769,212961,109721282,809912,109557326,804510,1640661,9789317,379709908,201628,161365125,18605,70512543,2868,5585,21310,525868710,102471567,98153000,4006000,116891968
11,2265396.exe,5490274,401661393,209344423,4464832,383234,2583309,201932,383954,261627266,1590822,260076255,1605708,1634840,13196175,1142360544,429626,402975937,23930,205534269,2621,204313,618590,1238851695,307932424,245625000,61905000,322397566
12,2286318.exe,4798260,141736035,64189283,1689315,450960,2068977,230651,344359,120642599,2484876,121342844,2471684,2441719,10947936,447615108,277072,159047930,22043,69371444,3650,8372,27480,502602767,121087869,115755000,4989000,135473317
13,2349449.exe,5122649,180715795,83348537,2589876,242505,2189016,184127,353200,159399161,1282766,155675272,1305147,1684677,12265191,889087658,434348,192806756,22498,80909747,2870,211695,595300,606637399,239700833,180293000,59096000,253887407
14,2375147.exe,5016899,412481441,209772033,3167787,280683,2461936,179738,328382,260242800,1541443,259617452,1538322,1822325,13488566,1110109290,415679,410333689,23264,209087126,2472,213896,40239,1267586244,300412117,242065000,58015000,314688678
15,2381481.exe,5333603,182233737,82024380,2818262,352187,2429992,197462,361129,160536590,1234591,159759220,1252310,1289169,11343016,900021429,389028,206700977,22329,86221925,3258,865804,552137,607634245,242701731,178279000,64100000,256997109
16,2490986.exe,4743048,198095134,94102410,2375481,246954,2142997,194221,366486,137054630,1553151,135752629,1528813,1962816,13233330,891858586,430260,197397048,19145,87748908,2871,211287,469217,659915935,240817772,173630000,66857000,255325854
2,2614346.exe,5137063,212383491,96296420,2649864,287648,2383441,192747,337049,143008119,1254920,142629352,1272838,1378413,11708664,893404906,424345,213469317,22897,94669293,2673,203189,104794,692022519,241260255,168955000,71981000,255489998
17,2766234.exe,5232219,137436691,60499723,1899021,462839,2090509,222914,376023,110446188,2460007,114555692,2526928,2113157,11029985,442229195,256654,178181221,22947,62608029,4168,8224,30179,476784329,119756664,111365000,7954000,134239105
18,2807545.exe,5158476,110843990,41159366,1435934,454235,2492131,151139,259043,97084046,777742,100115864,776111,1175683,9553919,355877982,101434,162495181,23324,52640083,2871,5504,20584,408577990,96277817,89945000,5996000,110357177
19,3007872.exe,4715024,156872760,65165521,1530219,293168,2337654,162944,259813,105082560,850604,104305983,843398,1698276,10245781,378591920,185970,152190146,21366,66916952,2481,4688,21837,524230207,102187355,99837000,1996000,116526678
20,3050670.exe,4703854,159615612,66454830,1517518,290260,2411335,163141,253096,105285552,836737,104765936,828549,1650035,10351721,377193495,189697,153080117,21501,67598394,2481,4956,23256,527665921,102225440,93923000,7993000,116461379
3,3121765.exe,4764995,154928595,65373417,1455635,283775,2374771,161358,253284,103941904,844359,103358518,834560,1607893,10121849,372876373,180622,152204461,21179,66865871,2480,6025,22367,524536419,101294917,96963000,3998000,115544897
21,3401505.exe,4959405,174180662,77751965,2695808,258856,2241755,181192,321540,155124415,1288008,155228422,1294247,1750210,12098695,885874671,431834,197099243,22051,80808347,2673,213684,536496,578019913,239763007,173235000,66089000,254272032
22,340754.exe,4888809,404083501,209678113,3146023,223899,2371963,181405,338392,259077629,1567827,258571395,1562765,1879996,13729521,1117236960,439444,401445624,22894,207363895,2473,210165,37722,1250832776,302179761,229888000,71964000,316491420
4,3509617.exe,5188491,324962516,163943647,2115188,221960,2177736,170860,282088,227505177,1017048,217735436,1039468,1519000,11292033,562189411,237105,318166938,21390,161955329,2669,11654,33236,946050029,151602704,148171000,3003000,165974252
23,3585983.exe,4915872,406381220,209407567,3151224,256860,2494688,178605,354194,258371446,1621251,257566007,1614993,1877754,13718927,1115914197,430412,402339948,23330,207043563,2475,213613,342029,1256029476,301057950,240541000,60135000,315403364
24,3588461.exe,9713582,230627803,106801725,3693975,913034,3728794,358019,535880,191670491,3751283,180506948,3751346,6529438,26030363,1201576884,978066,227718235,36805,100701888,5019,219511,48671,764094275,323948744,254450000,68851000,338190482
25,369842.exe,10125589,413695619,210675082,4019489,1109592,4237179,349528,543800,269647244,1914055,272480320,1905258,5200205,22622634,1337274033,848356,425205428,45423,216348595,4819,867208,196124,1306384062,361188786,291875000,68970000,375748360
26,3753295.exe,4833227,136594330,54878549,1496741,378898,2440218,156662,245586,102075690,820135,101556152,801031,1541033,9699649,368614619,146466,156575860,22483,67483985,2481,5656,20888,495104722,99427872,92219000,6941000,113739210
27,3836836.exe,5421299,311870017,161332115,2224107,380414,2466756,182593,321212,235065033,960996,234165026,956651,1077077,10484801,581773072,175150,341564159,23171,167978324,2865,16789,25119,947693109,156637161,151268000,5008000,170922025
5,3871862.exe,5060847,400194876,200705151,3078660,404594,2611289,179783,333313,255414779,1573305,255517129,1526474,1531137,12585449,1097558609,360288,410450747,23426,207353332,2474,535879,41052,1232179567,295654009,239274000,56064000,309998712
28,3930881.exe,4745007,413209259,209683418,3235412,304152,2457713,180612,343985,259980744,1553172,259093849,1543773,1842639,13599884,1108668345,418062,409873850,22822,208904151,2474,217233,41994,1268235484,300324272,232924000,66978000,314778470
29,4159594.exe,5269938,313626781,160554098,2176085,320772,2367289,176054,280830,240182121,926135,231300036,979658,1319998,10713271,568869949,207201,324649953,22784,162054735,2668,9695,33176,932305228,153605895,145255000,8014000,167844838
30,4327769.exe,4801996,164431592,64964947,1537516,287639,2266983,166222,276610,101398352,849740,100775125,840721,1711073,10509405,380892371,196734,154147663,22042,66555852,2872,7751,21300,544431133,102608052,95305000,6949000,117020800
31,4462753.exe,4872986,158934379,68886533,1726820,274628,2295346,195550,300270,108573182,875676,107860792,868541,1784245,10557699,389349766,213248,152691911,21773,66624168,3262,6484,20002,524661927,104706934,101244000,3007000,119003232
32,4547977.exe,4349730,370292339,185484032,2233133,256210,2409666,188527,350726,215473221,2918051,215108367,2912528,2098675,12464693,627599519,222600,343759408,15962,181026880,2867,11012,31515,1136069755,168940415,160613000,7980000,183179060
33,4650304.exe,4728036,157566498,68436544,1544470,257368,2295166,157799,252065,105049553,849995,104612607,843828,1676484,10208484,383038671,213356,150544836,21121,66511736,2480,6363,22258,519402519,103502246,101167000,2003000,117866290
34,4713330.exe,5551836,401731867,203070388,3311528,415677,2698197,199184,360551,277759660,3330558,276822586,3322427,1114752,13737203,1153185477,387242,413691945,16828,204923611,2669,215069,31599,1243335432,311529265,235012000,76004000,325987353
35,4760452.exe,4795094,165220021,63286877,1502580,304539,2421283,172559,288638,102104859,861432,101587345,849733,1791210,10646700,376798928,191619,156479208,21930,66781209,2870,8569,23025,549831710,102163293,94878000,6991000,116112085
6,4981872.exe,4998591,409852133,201898817,3112110,378688,2698891,182751,351742,258035292,1630750,257118762,1610210,1682017,13043640,1096338568,373195,412992698,24548,208927557,2865,222650,31765,1253756208,296641628,220166000,76057000,310845519
7,5118033.exe,5433402,198596101,90979217,2648908,271787,2301528,184494,342916,137109283,1314729,136294031,1322037,1687285,12166143,886507307,429854,200359395,21737,90298346,2478,203054,25215,662530401,239092319,170830000,67932000,253425640
36,5445231.exe,5182496,160048633,51480246,1646454,449403,2494318,251681,376185,144036537,777949,145997050,769491,1067625,9759111,432089022,103513,217240716,25903,76205912,3261,6949,24097,570311168,116817774,110514000,5973000,131196476
8,556438.exe,4877495,413200381,209016771,3280705,293263,2469897,183170,371663,259032180,1571878,257910733,1565552,1896477,13518242,1114569835,415337,411016918,23619,209741739,2863,216536,31580,1268073485,300490317,240086000,60021000,314697579
37,5686669.exe,4754603,156229050,66926130,1481563,259029,2261158,164554,252344,104742732,849652,103886827,841447,1653714,10135660,378911300,198501,149783290,20918,65649953,2481,6898,23519,514693566,102534308,97255000,5013000,116855881
38,5734497.exe,4611131,446228110,217734927,3406712,314047,2643720,192925,357600,284093264,1825609,282937706,1814664,1809642,13761961,1191792018,409210,443142424,22649,218032529,2475,359113,65435,1379207709,321397521,257296000,63825000,335802832
39,584976.exe,5697849,393584034,203287013,3248903,450755,2830797,198270,411089,277246436,3332111,277283770,3326672,1199326,12784959,1163064589,342418,407593524,16291,206714414,2474,222576,37204,1236235770,314765721,254353000,60083000,329071096
