,file,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,page-faults,iTLB-load-misses,iTLB-loads,instructions,duration_time,user_time,system_time,perf_time
0,10178028.exe,294482,251374829,133705878,1660146,27478,164040,17017,96207,154694733,667560,155778727,678180,117995,2561798,505346411,119775,250693275,1508,134784499,130,107778,43452,787729242,164423684,131747000,32182000,215302647
1,1095744.exe,223362,247358455,131232447,1436068,28001,149951,9426,53451,156311822,654469,156321628,651277,58558,1819791,498911922,114821,251788631,1015,133480816,127,104962,7920,767821408,135059143,99858000,34950000,148986251
2,1201761.exe,364700,231781357,121806389,1562666,25863,147151,52466,99053,166414021,670687,166341293,672807,137801,2016547,500049290,107244,268960315,4344,141516661,715,103893,101567,758771148,135401994,105092000,30026000,149697403
0,1289148.exe,293313,253985308,133880036,1527705,22879,157646,67502,134475,152152332,548235,153741625,545315,134004,2582434,512012955,120135,253975750,1578,135477277,129,258471,183464,787948769,165715848,130426000,34846000,235359876
3,1322833.exe,252443,248246709,131249434,1424772,27790,147041,11079,49965,156185223,639486,156123873,639855,50383,1705145,497755144,114428,252002341,1054,133619917,129,104816,7509,768132405,134613707,105160000,29044000,148942257
4,1343819.exe,242866,248311300,131734846,1377713,26222,141347,8610,51470,156136931,656285,156468406,654756,95747,1864538,498909934,115823,252019017,1101,133322851,130,104744,7474,766439679,135199986,100933000,33977000,149475674
5,1349457.exe,213444,246177358,131703628,1322057,26534,145729,11418,57121,155173855,767526,155349635,764592,78366,1829797,505724358,114802,249266975,1046,133625818,135,104960,16325,767014440,136387787,99984000,35994000,150658912
6,1368556.exe,278695,245453194,131636010,1353503,26089,144082,9692,51196,155192867,691954,155362605,695891,51204,1718804,500248371,114086,248918248,1048,133399277,130,105028,12338,766162818,135352874,103973000,30992000,149576739
7,1417617.exe,124752,65931692,29087154,477782,18855,78852,1980,12430,48797932,155539,48816781,154124,41881,448983,95136405,3670,71129223,224,31837241,136,1199,2173,246085734,25874037,25615000,0,39995306
8,1449665.exe,172398,92777276,43809456,1016117,23562,120755,8016,40117,61806622,399658,61782382,398560,85302,1331992,336443671,111016,93210042,718,43956210,133,104756,5410,322993116,91507969,60092000,31047000,105734705
9,1563740.exe,268523,245928327,131844790,1480850,28389,149979,8737,53178,156506384,664764,156286940,664316,57281,1826937,501577625,114839,249482655,1104,133581210,133,105280,12367,769532834,135509981,106390000,28834000,149713666
10,1568383.exe,248405,245709222,131714344,1352115,26043,142155,26168,171445,156016579,718583,156001772,699122,104078,2148291,503339049,114010,249230041,1084,133304918,129,266279,103033,767592433,136041662,95599000,39833000,150383591
11,1600646.exe,208325,245454754,131219253,1353600,25877,144848,14134,61982,155902040,690774,155696352,682035,89952,1850882,500606777,114608,249100632,1069,133398123,129,104946,12870,765525337,135102124,104590000,30170000,149365688
12,1607191.exe,105450,4604365,3212318,397803,16317,55083,44221,52121,7264523,166386,7258396,166358,162206,724489,31487177,9608,<not counted>,<not counted>,<not counted>,593,<not counted>,<not counted>,<not counted>,7562090,7265000,0,21768943
13,1623932.exe,118985,63118222,31142872,530853,14428,70630,1993,18880,52469643,235733,52189221,224295,107391,835019,98348678,5378,71602922,227,28862551,329,1163,1574,244007060,25484939,25195000,0,39821117
14,163578.exe,170928,63266482,28853465,483971,19377,81479,4129,16614,49053298,158533,48938003,155088,56343,478395,94627880,3714,70973446,208,31756464,135,1122,2241,246167246,25647390,23363000,2031000,39695381
15,1658193.exe,163963,61979855,28494078,468067,19186,78002,3559,11778,48744103,163322,48650132,158226,65664,502100,95148244,4204,70698291,223,31727628,137,1220,2699,245333132,26852630,25605000,984000,40778427
1,1751629.exe,119055,63859020,28521651,469128,19469,79003,1696,14016,49460182,162309,48980074,163589,45016,469559,96070299,3720,71413408,227,32169048,136,2998,2383,247579052,25882724,25620000,0,39921710
16,1799592.exe,229496,248037812,130841807,1371171,25015,141877,12295,59191,156501432,650476,156588894,654428,104952,1886872,499709654,115082,252415447,1119,133773395,129,105385,7911,768853013,134312638,109023000,25005000,148284155
17,180566.exe,171091,54300659,33346422,487765,21286,76682,3324,23976,54911224,152157,57055943,147308,69459,660856,105082639,3634,58740800,237,36240359,132,1851,3999,294303495,28349184,26055000,2004000,42662966
18,182761.exe,218509,246518573,131450446,1355162,26193,145555,10362,53068,155010700,722370,155313647,717527,179082,1985218,508236357,115560,249662167,1108,134194700,129,105317,12351,770066903,136682320,104436000,31828000,150772820
