,file,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,page-faults,iTLB-load-misses,iTLB-loads,instructions,duration_time,user_time,system_time,perf_time
0,1070657.exe,13242603,211063578,105653852,1613920,140664,393482,221163,313808,203092572,110116,197530657,110024,7746052,28565026,550644517,202847,198623149,35697,102372362,2082,11814,6362,1863558412,171705252,163181000,8058000,224301809
1,1096416.exe,12841796,205782861,104530662,1862495,104823,382269,1025333,1523846,209114865,93431,211376874,93340,8025296,30166033,546072386,204038,201104965,10898,100128268,2086,4375,2749,1810154143,148111627,143759000,4021000,162164026
2,1293444.exe,6701259,208287544,103233809,1399657,22868,231503,8319,47487,203339779,84646,198166379,83290,374482,14611395,476658588,13043,201339000,1120,102747807,1106,4060,2147,1893517128,128448515,127149000,1001000,142629705
0,1402105.exe,20704028,522338976,237526931,20055158,166728,569748,6922101,7360543,549033691,633217,544413931,635556,27888507,43890129,2239747420,799982,499795535,445133,232847374,98763,308851,391235,5361476029,624905137,425931000,198433000,690223556
3,1458177.exe,13337826,213005949,106084606,1422008,154019,408137,293481,70209,108101906,131374,108760982,116228,8146872,28697934,518106535,199997,198650313,9867,99336008,2091,3200,1788,1457896920,139556733,136090000,3002000,153938684
4,1562200.exe,13240864,210984756,106008644,1536116,99963,361963,993512,1615181,106306836,112874,107828519,103015,7707957,29918078,509337900,199108,200130717,14723,99865710,2087,3695,2223,1644293393,138170446,134844000,2996000,152578962
5,1623325.exe,28279064,582671298,310023684,6928291,164222,743014,6959896,7412314,302923351,460097,302058068,465176,28199601,55543964,1444656064,316000,569180195,1695697,307884970,99783,313573,518198,2699014353,389702384,243236000,146141000,404071078
6,1626177.exe,6816135,212096798,105424531,1462109,14193,214787,7753,45972,214391934,102371,201439490,95924,182129,15586734,440395361,14973,197497885,1073,103547974,1105,2747,1430,1834516165,118250524,115874000,2015000,132533985
7,1628906.exe,12885025,204954033,103470828,1576092,161968,365245,581631,251653,211690322,97677,213041001,97474,8490487,30776527,579654682,205290,202981504,10606,101265960,2083,3637,2105,1912882247,156599937,154197000,2002000,170804809
1,171227.exe,13670281,215655215,106984915,1125845,260484,532086,418386,449415,29929506,65838,29412388,61162,7142821,26399910,320218368,201208,213023762,16370,106692708,4040,2112,1563,899150820,86801927,79522000,6958000,101171258
