,file,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,page-faults,iTLB-load-misses,iTLB-loads,instructions,duration_time,user_time,system_time,perf_time
0,1099920.exe,64444,26850736,13175085,493179,10330,58070,20518,23359,19240347,39560,18522258,38022,55168,706107,39791924,5333,29550681,304,15987272,135,830,793,98837246,30240717,25481000,3920000,82860203
0,1141254.exe,124448,29612861,14529634,549408,10967,65243,124965,204792,15923052,30100,18269264,36911,125313,981182,43323620,6175,30007524,569,14820183,525,1372,960,106801847,32972228,26097000,6022000,97047720
1,1164955.exe,185173,5490951,5764725,610167,14603,57251,32373,37923,23775879,12247,23797661,11902,54447,359664,46520029,3633,37247212,1991,17104965,525,5015,4335,79166315,12324175,10010000,2002000,26462820
1,1192925.exe,95967,73172936,33760168,547919,11928,64606,2153,12457,51610323,16649,51152610,18400,27851,443014,90846873,2510,84176690,250,43624509,520,748,3447,241811962,24128656,22742000,988000,38441285
2,1253138.exe,86281,74553125,36255024,545909,12597,67465,16040,25991,50070466,19401,50100317,19434,29753,391420,88476801,2672,81764695,1395,42393068,324,2824,5196,236644388,23975788,21610000,1964000,38372948
3,1346798.exe,83119,78446514,36844390,533697,13622,71495,2208,16131,53943811,28305,53597885,25182,52387,521005,94643801,2540,87699287,251,45336705,911,1136,2428,252830476,25325943,21019000,4003000,39686824
4,1399024.exe,46516,73993292,35270782,491775,12243,64583,1491,8293,49026967,17617,48931660,17071,13418,342136,87252748,2339,81254338,194,42114787,128,689,4345,232544700,23149485,22818000,0,37643645
5,1604797.exe,255994,8327277,4470745,522132,12667,50161,1426,8402,21984170,8891,22023447,19650,56746,525601,41384853,4136,28303215,591,7054385,524,<not counted>,<not counted>,<not counted>,11005626,10693000,0,25045028
2,166404.exe,46147,74173571,35408269,496574,11825,63864,3995,10703,49276393,20288,49076821,19484,32193,408412,86892710,2893,80923069,236,41946336,129,858,3023,232378092,23256630,22028000,1001000,37486129
6,182932.exe,812085,16806880,13350185,664611,14008,64701,117870,132654,25240031,14965,25454882,17044,171775,806811,56940711,4555,30302640,3311,15421074,1307,1674,1929,106404841,15284077,11018000,4006000,29666822
3,1840297.exe,303458,9590560,5792405,641846,11551,46729,2468,10148,21990175,10283,21713497,17376,50844,494545,38933637,2901,26856746,555,3506971,525,<not counted>,<not counted>,<not counted>,10765604,8645000,1921000,24787825
7,1859305.exe,503685,8839805,7397413,480464,11143,46079,2694,10433,21920882,10544,21324602,17037,50723,516471,39669207,3597,25946271,595,2755160,524,3885,<not counted>,<not counted>,11089385,8862000,1969000,25310782
8,1863270.exe,390903,8000218,6799622,466475,10963,44770,2651,10737,22359738,10625,21012020,19892,52447,541664,39746583,3869,26406809,741,1379048,524,7438,<not counted>,<not counted>,10848615,7683000,2881000,25166200
9,1923894.exe,204089,7789285,7936484,557493,14052,55391,66258,76914,20766298,13601,20770605,16081,138910,626169,43538065,4887,28974717,3900,11163787,917,3792,<not counted>,<not counted>,11736558,9388000,2086000,25993424
10,1956910.exe,231692,8399316,8004778,614217,14819,80742,55612,38167,22755908,13836,21081085,13459,63576,569170,46238723,6285,28505841,2592,14248289,1041,4777,5979,25972080,12457005,10131000,2026000,26868691
4,2025154.exe,309814,8247987,6077018,598552,11648,46047,1281,7803,22413586,8462,21647336,16707,41415,499254,39957694,3262,26933151,623,3141457,524,<not counted>,<not counted>,<not counted>,10832786,7650000,2868000,24840541
11,211894.exe,270370,9906213,5466333,728121,13837,53842,1449,9316,24622501,10073,24098167,11529,119887,640471,43172483,9829,23568725,7445,5770495,915,6044,<not counted>,<not counted>,11877772,8686000,2895000,26043238
12,2158936.exe,219926,73757612,38953649,545337,11621,73990,62515,62752,50887428,23632,48925589,21651,62179,587984,94961457,4564,82794691,11486,42278023,1036,4657,10424,236470981,25837069,20622000,4910000,40059508
13,2165152.exe,94360,79727693,36831277,725623,12498,71383,7488,12412,53433040,18925,53519546,17547,16320,460391,93447261,2523,88126115,238,45468354,907,748,1267,252723383,25425661,23125000,2010000,39686481
14,217838.exe,206918,73310354,37722565,584360,12491,72037,59746,98956,49862540,28246,48371431,25838,87093,640453,94645421,4638,83418149,11085,42032450,1035,3303,10211,234582871,25628058,25290000,0,39857266
15,2255569.exe,293332,9251841,5669416,668762,12550,50185,1299,8605,21821211,8991,21809148,15739,42227,479454,40445947,2953,27687580,461,7506990,525,10488,<not counted>,10234228,11242045,9973000,997000,25508198
5,2320041.exe,109706,71762902,34386854,515806,11613,62135,6070,19146,50934682,21159,50769660,21197,40597,461566,91102546,2466,83194289,242,43004288,520,700,4297,239650751,24224340,21944000,1994000,38540687
16,2543436.exe,317897,9848094,9188575,576505,12959,77085,54390,39076,20647242,11859,21119133,11451,77034,549353,43826219,6438,29677185,2402,12834055,1042,6164,<not counted>,<not counted>,12121320,9883000,1976000,26445522
17,2595975.exe,515725,9095018,8772009,530202,18975,54293,1246,7955,21685892,9342,20358150,18627,46749,439123,39408570,3396,24446141,768,944473,329,12136,<not counted>,<not counted>,10825223,9378000,1042000,25139836
18,2605208.exe,201030,8157412,5010650,712771,12212,51958,2365,8870,21994939,9262,21991563,16276,43805,470688,39602097,3034,27841141,742,8969275,525,3411,12944,4611529,10913971,9593000,1065000,25053075
19,2605331.exe,229847,8142393,4686673,501380,13133,49113,1390,7784,22210095,12593,21794713,19892,59140,532858,40142687,4452,27405686,660,4415834,526,<not counted>,<not counted>,<not counted>,10681758,8542000,1898000,24891253
6,2607963.exe,205080,7659940,8008564,435910,11581,45812,741,7208,19681102,10414,19649217,17917,31122,304565,37954027,2859,27435796,460,10872939,134,<not counted>,<not counted>,<not counted>,11076685,8837000,1963000,25259438
20,2712872.exe,292687,8168277,8833866,407005,11996,44120,670,4339,19779252,9341,18284501,18002,32205,309432,35449329,3632,23482326,1336,<not counted>,135,<not counted>,<not counted>,<not counted>,9862334,7690000,1922000,24053769
21,2767461.exe,80952,76117356,35045768,627832,12816,67050,1625,14511,50839096,19118,50804796,19473,20544,437250,89436221,2342,83650709,247,43215519,517,728,2028,240728954,23859666,22591000,1026000,37915736
22,2768935.exe,228743,8202281,4218167,526062,11722,51258,2630,9354,22203259,8781,22071915,17221,44446,495915,39641838,3450,27754393,621,3655138,526,<not counted>,<not counted>,<not counted>,10785742,8542000,1898000,24966291
23,2789652.exe,48463,73195064,36128456,479065,12065,62953,1548,10675,48964320,32252,49616923,36855,122927,534692,91307714,3059,80359634,232,41327564,127,670,3523,233708704,23803834,23424000,0,37982610
