,file,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,page-faults,iTLB-load-misses,iTLB-loads,instructions,duration_time,user_time,system_time,perf_time
0,1285040.exe,705032,310130378,105865270,3827431,24612,272863,155275,286610,205882017,1273180,206354571,1280023,273896,5577421,1535759752,54452,307577214,16779,105280234,4040,23165,34506,1852531231,434503036,423973000,10023000,500247287
1,1369343.exe,749934,1117981619,909045347,3755649,28496,310683,621119,630778,802737202,1481694,806645978,1489846,874336,7202841,1748580104,50552,1119171840,5464,914824243,2811,11246,6907,6425853315,473063936,464759000,7995000,487428659
2,1591395.exe,507729,305359495,104459529,3317472,23375,244833,27966,152942,207660252,1269593,207477534,1263544,218668,5209849,1418644607,39482,306948652,3589,104347312,1109,9147,5648,1842798163,381602022,378212000,3001000,395887503
0,1782229.exe,569528,307315608,104010962,3656537,23977,258650,92158,222255,205350836,1260768,205215665,1259049,166946,5514581,1414495016,48347,305974782,9514,103966577,2084,17977,20804,2044704211,408378348,404816000,2998000,457029928
3,181251.exe,485664,407299300,103342921,3165410,24584,239791,27275,142996,206139163,1247695,206114145,1241838,170969,4925750,1417695694,39174,408758776,3196,102589348,1113,9441,3131,1837701130,382275251,379926000,1999000,396555531
4,2042950.exe,521541,207790253,104003748,2773230,23730,227223,421526,150172,207225025,1220545,207306473,1222583,235985,4432186,1241359258,32872,207341970,2811,103593310,2090,7818,2973,1750376397,334953032,327495000,6989000,349175245
1,2045625.exe,653507,311084624,106264240,3509671,33146,274581,745956,879487,206833096,1241187,207158227,1252776,805024,5836190,1543691449,48515,309682912,6024,104181643,4042,9312,5148,2070428617,416627323,410299000,6004000,431014795
5,2048339.exe,631089,307041395,104128492,3424409,25527,257822,230715,169537,207807633,1268984,207305183,1265064,272751,5564230,1571633552,40251,306797735,3518,103123933,2084,10357,3437,1842786613,425151675,419804000,4997000,439615414
6,2075294.exe,566519,207727769,6418026,3299018,28157,239400,1002927,1592656,207588861,1231355,207876006,1231301,399750,5116175,1307187403,32923,206022961,4716,2590425,2087,7814,3841,2973763639,352942555,347634000,4994000,367361994
7,2110646.exe,714560,308667238,105515545,3504191,38988,286858,372519,159194,206801757,1257481,206862934,1258507,260611,5340092,1536276494,42017,307664255,3573,103688760,2088,10960,5044,1946723506,415657539,410161000,4989000,430167278
