,file,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,page-faults,iTLB-load-misses,iTLB-loads,instructions,duration_time,user_time,system_time,perf_time
0,1184356.exe,20403263,656285426,520479756,3580070,157124,2460982,1464357,3154018,342322605,2274036,343410056,2258543,5087267,25526682,1026596083,601783,652898752,602399,522310858,24689,81707,127970,2829284259,297997054,248033000,48200000,354412500
0,1191212.exe,7090015,177616811,70101575,2640242,31233,207538,3136073,3327232,80939443,1010767,81923898,1026651,4098833,11638620,454401573,114997,166709742,287465,61932704,45679,50937,106718,692552621,155601836,76517000,78505000,219566536
1,1247728.exe,4720231,124687660,47171812,4520777,42304,138040,1196763,1213879,60682420,147694,57260860,140600,3626518,5926378,355067683,140690,126749446,114085,47225213,20540,68926,112187,534494850,96754384,60239000,36143000,110882114
1,1315068.exe,4801003,148418854,47693284,4179408,38514,136809,3643742,1283028,129499928,1094986,124775149,1020428,3674631,6296666,369682420,134156,151640778,116796,51090806,20542,25383,70768,631322628,99977052,60445000,39289000,114105672
2,1317833.exe,9677088,197987497,74513158,7850241,70923,188104,11036274,11100514,111301873,1128542,119253021,1218453,9587134,12955386,541058399,251298,199257410,215569,80000768,40945,47754,177703,768751387,146159173,59909000,85870000,160492664
3,1322710.exe,6634279,277305536,85468899,1934541,41852,157916,1323632,1585458,103192792,139842,100935982,130694,3741286,6463128,358644880,55817,245482860,229790,78329046,20591,31122,196328,824404685,97118520,62870000,33930000,111523870
4,1398048.exe,12839529,190196933,80260457,3558198,99399,294467,2784729,3102289,147606103,861721,147749288,860907,6953784,11787944,616124756,136258,177689034,415121,77209947,40988,52479,303836,877537346,166836303,94728000,71794000,181299179
2,1464477.exe,6656696,185355791,38804189,2003504,54689,165907,1279434,1698361,62767250,898724,61946922,906224,3901844,6594623,348760323,53054,170215347,224408,38230889,20591,79582,165549,514648697,94467569,58012000,36007000,108722766
5,1603427.exe,3548347,133925184,41727191,1491080,16302,116772,1665510,1693885,109965829,996040,110084072,995623,1957100,6165430,308060757,56424,139115309,122338,46318497,23383,24051,105363,577225305,83107132,45896000,36916000,97245968
3,1637061.exe,4757205,124479240,49071825,4280505,49114,161925,1353887,1441285,73631180,997227,73761881,995504,3901883,6030203,343219172,141840,127955990,112740,47229908,20536,66493,65507,536490053,92811021,52641000,39729000,107110756
