,file,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,page-faults,iTLB-load-misses,iTLB-loads,instructions,duration_time,user_time,system_time,perf_time
0,1099920.exe,71319,24388406,11408429,535201,11371,67134,24880,10791,20009615,19202,20023718,19914,22878,366817,38719962,2547,31213523,198,15999120,133,670,590,94468189,21199321,19482000,1025000,70600144
0,1141254.exe,214516,18156604,6554130,804218,15104,69827,20153,31973,23341693,15483,22602146,20041,56080,447155,40972850,2198,32236151,357,14981837,525,1567,1565,97092341,16927426,16330000,0,64867729
1,1164955.exe,265286,9243683,8881140,555833,13226,54705,32049,38289,23897783,12080,23600690,11524,64311,359694,45683838,3575,35500270,2179,15813784,524,4051,13634,17922128,12369227,9990000,1998000,26559190
1,1192925.exe,113840,73536749,34437205,528143,13001,68251,1999,12893,50511684,18298,50528561,18016,19497,441857,89475699,2415,83536983,212,43241620,519,675,3252,241086656,24202104,21930000,1993000,38508175
2,1253138.exe,95624,71908519,37263374,527899,11625,62045,15979,34899,51095136,45659,50003396,35949,106107,628794,92339601,3600,80901873,1343,42245715,323,1821,5716,234954230,25214567,22875000,1989000,39114048
3,1346798.exe,84373,79684206,37357240,550233,12885,69317,2143,19018,53222729,22830,53067700,22394,39022,478262,94622559,2450,87820960,233,45514510,911,782,2817,253561169,25294703,22987000,1998000,39567732
4,1399024.exe,44169,72448711,35598900,500325,11563,63544,1574,10465,48801029,23289,48749358,21256,25296,370634,87183015,2552,80908148,192,41973894,128,647,4734,233414599,23328237,20034000,3005000,37410779
5,1604797.exe,298052,9125464,5444931,481380,11428,47616,1413,8779,22079919,8478,21735333,21539,73040,557543,40374903,4767,26190064,743,3650805,526,<not counted>,<not counted>,<not counted>,10833707,8618000,1915000,25288280
2,166404.exe,49006,70910734,35554798,440136,11392,60440,3542,11868,49872448,23503,48990080,22216,18603,402097,84466678,2855,78999221,218,40913216,128,755,1640,226717288,26108415,23930000,1914000,40477438
6,182932.exe,806063,15036149,13021615,690736,15094,68201,119261,137689,25643479,18047,25530107,17015,160887,786590,56708531,4323,30168008,3300,15454032,1308,1760,1854,105416023,15187159,11879000,2969000,29555997
3,1840297.exe,190811,6119224,4532026,674164,13073,48929,2496,10743,22204388,10519,22205374,18220,47471,496114,40215566,2964,29167615,660,10856122,526,1833,7629,10192649,10816716,9497000,1055000,24904079
7,1859305.exe,229924,9407409,4542360,563818,12248,49174,1471,9248,21883055,9200,21891772,16623,41431,483037,39317516,3330,27392451,503,5840178,525,<not counted>,<not counted>,<not counted>,10890867,10580000,0,24932241
8,1863270.exe,228530,8601698,4297567,544730,11018,50271,3579,9331,22447815,14026,22477066,20162,60873,535794,40549196,4015,27588465,484,5098027,524,<not counted>,<not counted>,<not counted>,10982172,9727000,972000,25243145
