,file,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,page-faults,iTLB-load-misses,iTLB-loads,instructions,duration_time,user_time,system_time,perf_time
0,1016334.exe,5225660,149153108,63386509,2049221,333467,2413235,246065,386787,109811611,825193,107492400,825635,1575551,10700017,383857204,195019,147304616,31811,57376347,3385,9469,28471,469279586,132484963,125954000,5997000,180271729
1,1135440.exe,5040538,153461968,66889416,1648988,325737,2384392,191312,290716,115676760,2763620,115389113,2762359,1218497,11483078,413616191,191694,151713911,14740,64273981,2479,4566,19630,508517193,111813286,103533000,7964000,126157763
0,1147117.exe,5110830,156324864,69925038,1939682,389489,2499854,287330,361930,133032821,2747325,132879766,2732291,1351501,10766094,439273765,176488,163561171,16051,71816659,2871,8634,20816,516044578,134635864,125150000,8939000,181790054
2,1199099.exe,5189108,104823366,43752810,1411603,424234,2433116,153779,253380,102078148,756360,103832239,751920,917916,9133744,350848196,103157,153442695,22776,55453269,2480,4411,23905,380499736,95394727,90076000,4949000,109743905
3,1379278.exe,4105103,195080797,93098343,2636409,306567,2476165,192297,343698,148228686,3198769,147656803,3191019,2033108,13680924,936506586,403429,196937795,16267,93423666,2479,662230,384592,669842621,254101949,178439000,75185000,268196831
4,1400532.exe,5261087,337079492,169087413,2132134,441513,2603880,165508,278423,235933397,970785,239589462,964374,1056996,10248702,595556038,112364,385103212,22799,186818324,2667,9333,33439,1049122393,161304802,152835000,7991000,175402656
5,1604299.exe,5037645,378961673,192917427,3106523,434724,2787289,176391,341478,241752637,1575725,242823064,1552483,1390448,12358253,1092995533,345889,387569972,23709,196700413,2474,641689,326608,1163479668,294991250,237522000,57125000,309344149
6,1749177.exe,4947017,207325175,98993568,2858913,462811,2154427,250086,486180,159275431,3029079,158457925,3028023,1481037,11468620,993371189,492423,212915559,22457,99577395,3258,587835,772481,711011901,270342720,196241000,73715000,284730735
7,1779544.exe,4691073,404558478,207797971,3116560,270522,2427192,180449,326755,258694770,1550759,258263304,1544972,1800261,13332271,1108327459,411936,405747256,23399,209387832,2474,212890,1016617,1264990200,299985995,243639000,55917000,314250590
8,1817867.exe,4957438,412434301,208430779,3189925,229796,2408598,181014,343842,261831379,1575309,261317937,1562811,1984885,13510949,1124687635,441816,411882705,22989,209340989,2667,210331,837185,1275153107,302293210,216671000,84871000,316741364
1,1963979.exe,5319031,329718863,166424680,2130743,444073,2569245,169512,296626,243732509,956119,244825995,954110,949870,10060288,593812529,114281,380681003,23185,184401085,2672,7316,26227,1031419999,160441572,150123000,10008000,174857315
9,2024525.exe,4725796,159064875,66097319,1480881,283449,2365763,163429,252056,105309628,845991,104713073,838885,1652593,10233457,378123711,189626,151815552,21618,66535959,2480,6100,22815,520542475,101882319,95490000,6030000,116123591
10,212795.exe,5049868,146280445,61351917,1428345,297732,2496172,147223,215415,110070944,804733,109807975,793909,1678769,9625806,374644299,183948,165206320,19049,72286727,2868,6237,24438,529703617,101213851,93889000,6991000,115229923
11,2265396.exe,5775332,399140531,206913087,4415821,445384,2692756,189031,363829,261509551,1518726,260464997,1560799,1332955,12695995,1140795327,408162,404030504,23744,205817234,2613,601295,681028,1250911187,308389378,247994000,59998000,322569273
12,2286318.exe,4863253,140885194,63067833,1687145,448444,2093068,229723,361359,117449925,2487804,119389716,2462573,2578098,10995446,448262230,284747,158850194,21931,71395224,3651,10319,29664,503154787,121447680,114063000,7003000,135787907
13,2349449.exe,4788969,181416577,84835819,2501014,228914,2258217,181659,339712,159798557,1317941,153868182,1325916,1784017,12508445,873844127,434679,191451866,22092,81795255,2868,220825,239760,607429941,235974673,164766000,70899000,250173619
14,2375147.exe,4713423,411927005,209010989,3097495,284662,2490968,179167,339195,260957204,1564485,260458293,1557369,1852728,13661431,1108696088,410197,411768335,24044,209714953,2473,621681,543586,1271343704,300223741,239845000,59961000,314643455
15,2381481.exe,5151661,182376077,82385118,2776930,257282,2258295,191336,362978,160766281,1284365,160870778,1302616,1703644,12187861,890238461,430206,201383374,23086,83317245,3258,617041,546704,610762300,240157710,173882000,65955000,254214393
16,2490986.exe,4950525,197670988,93044824,2446953,322011,2293564,163301,346164,141881723,1447202,138120173,1468860,1588798,12789416,895633160,403728,198064212,19775,88032903,2870,414246,837853,658010417,242455186,166980000,74991000,256712219
2,2614346.exe,5137229,211905341,96058705,2688747,320907,2472757,201713,325736,143544347,1237101,142992481,1267351,1323599,11530412,896011496,412008,214431345,21680,95192496,2674,203585,19942,695486831,241663947,183336000,57790000,256013725
17,2766234.exe,5187026,141192374,61545168,1864566,474343,2116178,224266,381533,108863189,2479824,111761385,2486657,2219584,10975149,441970002,268706,173506065,22601,64012256,4168,8290,32109,484120409,120007982,111594000,8042000,134212442
18,2807545.exe,5117096,112611479,41676765,1445988,452029,2527489,152680,265593,97678029,774434,98819417,769671,1176184,9630073,354531886,106800,158745960,22995,52755344,2871,6177,21661,411661255,96467299,90073000,6004000,110735087
19,3007872.exe,4737969,156410089,67335619,1478272,258122,2354814,165507,262257,104917392,870253,103955822,862050,1693029,10366195,381043263,197716,148162042,21457,65000368,2483,7648,16355,510529889,102849340,95565000,6968000,116922635
20,3050670.exe,4690759,158254931,64760674,1470649,290723,2394087,164209,260965,105547211,839270,104943054,830259,1630301,10217563,375466597,180829,152815057,21288,67363694,2480,5268,24352,526415910,101746630,97448000,3977000,115836355
3,3121765.exe,4740306,156686897,66898193,1464900,268176,2331416,163320,254741,104443232,851763,104062597,841249,1676219,10255066,380603685,197849,150603815,21337,65954374,2480,5464,21998,516541671,102750068,98321000,3972000,117231325
21,3401505.exe,4724149,173648172,76910627,2471458,239630,2318528,181765,316057,156041252,1352072,156545058,1335417,1931259,12512856,879909347,423442,196876520,22720,80906748,2675,647783,341186,578601285,235708509,172271000,63099000,249862350
22,340754.exe,4967621,402666398,209252392,3163931,202145,2315203,181271,331959,259037004,1545282,258632417,1544205,1792043,13394402,1120591058,443921,402079144,23284,206995423,2474,606165,458107,1249626956,302731287,238535000,63875000,317194808
4,3509617.exe,5244488,317802756,161645892,2184758,287801,2337075,173296,271201,238544608,960144,225448385,1002049,1433062,11051140,567517152,218477,320021459,22255,162342095,2670,7083,24560,937969333,153257475,146806000,6033000,167679709
23,3585983.exe,4701722,405502340,208151330,3118750,312729,2548895,184744,352209,258075538,1606800,257129145,1597241,1884563,13553522,1107449398,405355,404476982,23995,208458851,2474,217167,249157,1259703341,299521029,245150000,54033000,313826042
24,3588461.exe,9720658,225438835,104686167,3603004,883653,3638328,358163,571864,192172532,3759873,185606690,3752726,6917725,26419338,1205213434,988432,229815668,36350,100245228,5017,219033,53910,761415845,324969681,264543000,60123000,339203850
25,369842.exe,9063682,417999588,214336419,3979013,910741,4050489,351785,530719,270928403,1952158,270211006,1947743,5795057,23240482,1358733016,949858,414040794,43507,212370798,4819,617833,869314,1305624025,367463050,294087000,73021000,381757881
26,3753295.exe,4713440,141003645,56286149,1424017,360328,2515021,157641,244033,103542043,823004,102942232,803022,1595660,10060139,370040977,149452,156993385,21988,67650192,2479,6958,21513,511903472,99621373,94331000,4964000,113952135
27,3836836.exe,5398051,313607401,159204802,2230251,425950,2483425,179831,309361,236073677,962616,235264369,959225,863302,9914732,583500484,147198,351951864,22240,173864047,2864,7892,32969,957693559,158035752,150736000,6987000,172506037
5,3871862.exe,5050939,399716926,201217500,3110046,407314,2718378,175295,338018,254166125,1542401,254355620,1515480,1531073,12768072,1097259683,360846,408725901,23946,206458762,2473,224029,27025,1227260372,295904999,241683000,53929000,310242814
28,3930881.exe,4927991,412580740,210615642,3185849,267027,2381751,182354,340005,258517737,1556239,258348524,1549720,1896260,13417231,1111055299,432006,407967041,23231,207799659,2473,618098,448716,1264858727,301665439,227430000,73815000,316011593
29,4159594.exe,5344983,311314373,158362865,2143611,411154,2493104,177172,290489,239597185,929607,239152561,924617,911991,10108318,577400096,162756,344560458,21984,165925850,2669,7424,30324,938074927,155877891,146489000,8968000,170360188
30,4327769.exe,4846967,161092163,66840342,1581805,275755,2315553,169953,282706,102869690,856921,102282112,844435,1799100,10439717,383069835,209334,150209045,21074,64932385,2871,8191,21259,526805757,103438607,94090000,9008000,117836015
31,4462753.exe,4941698,160302272,68804073,1557604,273341,2388434,179770,288142,107932195,878687,107153979,868332,1744203,10495980,384481634,209801,152207117,22134,66485762,3263,7037,19046,523481387,103647219,96309000,7022000,118149274
32,4547977.exe,4396492,367878919,186801961,2216102,247321,2427311,193381,345661,215122868,2923803,214649434,2915727,2102948,12446252,626155531,230336,338495143,16095,178441628,2866,10210,33222,1125012880,169801949,164307000,5009000,184137951
33,4650304.exe,4736727,158083625,68396704,1547765,267273,2378538,166581,254237,105604346,852865,104824322,841764,1688624,10180186,380030261,204745,149657677,20496,65993263,2479,7044,22422,514932101,102990858,94503000,8042000,117403247
34,4713330.exe,5583435,403388647,203993218,3276540,418457,2737091,202934,378484,276735286,3327655,275716412,3319702,1188626,13753403,1152776721,385418,416030707,16813,206415354,2669,1027619,30145,1246831134,311101716,256663000,53929000,325375354
35,4760452.exe,4833462,166660281,64244603,1478172,292617,2377948,171123,282727,102047163,857476,101275540,852021,1808501,10464144,378624169,193318,154331501,21780,66202442,2872,7995,21137,543963647,102141450,95594000,6037000,116364467
6,4981872.exe,4853629,411553639,203184918,3145076,344067,2614278,180915,350685,257965934,1642272,257407529,1637915,1907033,13372408,1100979678,391615,411564411,24410,207981358,2865,232318,31881,1254227425,298181754,238796000,58949000,312622470
7,5118033.exe,5099979,198414403,91466748,2620885,274743,2277355,180064,347527,135883146,1293156,135851847,1309500,1571041,12192787,892509664,435720,200573397,22872,90118060,2478,200627,588577,660102068,240452198,176954000,62983000,254637114
36,5445231.exe,5135119,164638909,52397683,1534470,465700,2508716,248205,371223,140741428,785243,144787304,772604,1207385,9677223,435242159,99774,223756348,26210,80778760,3261,7076,23367,584570446,117338659,107934000,8994000,131591013
8,556438.exe,4897986,415000098,209375320,3270193,260024,2456160,182648,368855,259593662,1619328,258935971,1613350,1808710,13250708,1114630875,426066,409610687,23234,208749011,2863,213839,189393,1264590737,300873407,225434000,75144000,315083969
37,5686669.exe,4708883,155435071,67693737,1576592,242116,2362135,171412,253450,105820358,848108,105264849,842906,1733972,10446786,386269272,211590,148967592,20444,65110666,2481,6864,21533,511254464,104735724,101396000,2982000,118985046
38,5734497.exe,4889458,442535253,217570858,3405910,398369,2669406,176874,376371,283181313,1636871,282668101,1630911,1817015,13542120,1185323970,377858,449650728,23643,221577753,2473,242384,232903,1379283126,319292051,259932000,58984000,333481608
39,584976.exe,4760146,395126749,203525659,3345204,440437,2835786,188794,361199,272861213,3300396,274236252,3320323,1662691,13684170,1166722699,356042,411493827,16991,210297955,2471,664776,547811,1246199858,316662593,235523000,80836000,330770313
40,5890862.exe,5204420,152696366,53599229,1756284,461387,2505685,208048,320897,146671911,760104,146361198,750108,912300,9187182,424333720,111172,197720911,22811,67567461,3266,6645,25159,531427340,114809762,108397000,5966000,129028953
41,5919264.exe,5014544,379010229,192656121,3231949,451123,2716475,175374,342667,242296879,1558673,242944281,1535924,1478238,12494108,1094441896,354359,389642799,23983,198077752,2473,645888,817474,1174076048,295761277,233422000,61846000,310113088
42,5945162.exe,4757391,158452095,67715531,1526964,273276,2398602,165312,248311,104945369,842909,104334287,836574,1680841,10275754,378897964,194240,150820485,19937,66157552,2480,7689,21046,517883306,102414201,96145000,6009000,116783819
43,6049277.exe,4698012,155210508,66335775,1438232,261715,2321549,162733,266081,103860085,842111,103248276,833395,1685148,10376698,379890952,201438,149472401,21107,65298190,2481,7055,21535,511817191,103036132,94681000,7973000,117407524
44,6070349.exe,5122729,409867542,207631123,3386259,219804,2273771,184222,363053,261815492,1654051,261441515,1651916,1891858,13647311,1123391687,439265,409457493,22858,206453567,2863,598426,196082,1253167054,304553982,246278000,57830000,318818646
45,6096802.exe,5238852,406440927,207670480,3285575,253438,2407139,176795,349505,258655665,1759458,258406616,1767581,1794951,13436768,1131459018,438384,406653486,22886,204610468,2471,621387,760179,1247710667,304985386,242281000,62072000,319304622
9,610376.exe,4371296,139497921,61241395,1579880,187715,2210550,190336,288181,83480353,2745000,80006484,2740149,1914140,11534170,395321371,251413,113458344,14208,54030050,2479,6647,20488,470182651,106552890,101234000,4962000,120853765
46,6116225.exe,4938774,112465324,44112820,1375430,438161,2526801,156071,233570,99868234,770940,102653782,761759,1177256,9376356,357099710,99496,157150243,22821,61293718,2478,5972,17728,419477865,96452756,87091000,9009000,110615424
47,6387452.exe,4784536,153396344,63987990,1430099,303741,2416876,165430,280548,104052346,837881,103291869,828877,1693742,10308300,373375071,180751,153279497,22158,67136962,2481,7350,24844,526196747,100959766,97641000,3019000,115101896
48,6388784.exe,10793277,460010516,221843391,4446294,1268456,4317636,411505,700835,314762246,4131752,314280137,4126363,5234144,24738217,1474050002,971638,474242262,42074,225452349,5598,599178,623777,1447451980,399779884,333312000,66062000,413891165
49,6489020.exe,4615881,139456676,54372539,1449810,344845,2589575,185600,274354,85635220,825104,90837780,808869,1641936,10155306,355344671,149532,151201801,21286,63104846,2480,7839,24131,500263731,100180456,93919000,5994000,114483377
