,file,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,page-faults,iTLB-load-misses,iTLB-loads,instructions,duration_time,user_time,system_time,perf_time
0,1141757.exe,607780,98392560,38319753,929152,26404,125913,119858,115044,86691739,978898,89552846,725551,253410,2022186,189362871,10098,138635238,745,50912903,525,3586,4396,367933909,73990554,66419000,7044000,120435893
1,1194834.exe,5029503,107558953,57420747,2025129,610352,2308956,243102,379978,129706441,2821580,129942874,2790990,2694013,12217014,487543496,412766,119782417,22376,62149244,3259,20474,24965,497850468,131519489,124177000,7010000,145778068
2,1334614.exe,545790,83652961,34851665,708843,28656,113802,4089,25155,89533816,953023,93084627,722133,153213,1469099,193963849,8156,133416951,449,47573990,524,2725,2174,332051206,52457495,51137000,1002000,66654503
3,1369810.exe,1043360,105537128,41914892,928027,32777,143108,365554,247618,74301717,1964149,79878131,1618346,290068,2232967,201014240,12021,138533938,14167,55788331,1944,5777,10442,401736508,55282295,48974000,5996000,69641654
4,1376527.exe,637493,96214863,36729947,828639,28674,122867,26480,53207,83264025,1048257,88764281,785022,163335,1522954,189227961,9539,142314200,6654,51384802,1042,3741,6360,351727824,51771104,50374000,1007000,65984002
5,1394267.exe,422682,15143676,7007957,682634,29670,123829,2296,15395,35195023,140317,30115894,1095053,135791,952922,77370524,2112,11098443,187,3269223,520,473,245,54567671,21053709,18809000,1979000,35198729
0,1578565.exe,988039,132574738,52744879,1168015,34080,167310,307725,376815,86154439,1314989,85299099,1659586,491774,3220126,203211817,13807,125197654,1063,48946535,916,3409,6167,401620680,89835894,74567000,9069000,160258775
6,1702636.exe,1155515,94227059,37543561,901321,32481,143207,14578,156708,88724420,1276107,90798495,973393,243899,2010516,194708700,11029,138615357,13847,51183771,1946,4438,8595,352650680,53156579,50844000,1993000,67638900
7,1828655.exe,573448,397784922,208980349,1445784,36755,181581,11008,54970,292755686,994516,280392992,1591178,147541,2368769,496377502,14600,406013857,1139,211122529,519,6270,17912,1177670827,134768275,131483000,2988000,149155444
8,1993016.exe,1456631,105542752,38961785,1037494,29065,136916,10351,32270,95687206,1657999,96622356,1517835,345462,3367512,210883491,15655,143066077,5953,53061563,1696,4993,3360,436992945,56894346,55567000,1010000,71155948
9,200463.exe,597732,412310358,214432771,1336797,33192,172479,14087,69724,292355321,632384,289604291,1241234,162583,2408740,504253141,13733,430230543,1156,220147170,519,6023,15562,1254674495,137781756,133546000,3986000,151943275
10,215691.exe,562084,86531822,46476497,875266,30649,130459,30927,53086,112636304,1466050,113638605,1326714,145611,1384408,205139065,8636,114659910,2830,56970559,523,6033,5904,452699141,55972158,52638000,2979000,70161285
11,2182933.exe,634649,93409978,37349584,867991,29332,121165,4337,94940,82897174,1417127,87522198,1067213,164368,1644834,198495320,9549,138247723,7395,51699866,1042,3763,7149,353494611,53980672,48813000,4881000,68328320
12,2283561.exe,604877,111846218,42955612,981737,31350,120977,191429,189984,80604036,1927403,83018072,1754469,379220,2039008,207080820,12344,136224160,8027,57117735,2213,4927,8105,416227279,56299292,51926000,3994000,70557734
13,2317321.exe,413822,117740082,45019024,784080,31252,125239,6466,29932,75687973,2419026,76131006,2215879,91509,1508105,185104511,8564,119243452,692,51646062,525,4053,5335,422238539,57002842,53705000,2983000,71252776
14,2473888.exe,998991,424675941,215858557,1697998,35377,178671,61204,114008,280869336,1355948,287060868,1348262,276664,3149334,517016019,17114,445706164,5063,220013006,908,6776,13931,1232422669,140188620,136792000,2995000,154093935
15,2557813.exe,651951,109131547,44399274,899770,30356,129469,26567,53061,86482207,1493313,90296643,1191957,156755,1528232,200660141,10080,141101798,6897,54369317,1043,2724,7014,406686149,54843025,51456000,2968000,69125393
1,2649544.exe,507319,95266404,35050665,739982,28893,115745,4018,26606,87812898,1677612,90334160,1434024,134198,1444687,203687291,8995,136871029,748,49486306,527,2989,3567,404918899,55093864,51743000,3043000,69335657
2,2700229.exe,527514,404355779,211275741,1465304,37442,186179,9985,55089,284413886,1438897,273173629,1870783,97063,2279798,492609795,13394,403190231,1101,210683882,519,4138,16200,1177823546,133172140,131851000,998000,147481269
16,2870679.exe,1161346,85029543,35108248,699163,28939,119078,5632,39853,96444185,169312,98818964,140716,212282,1602956,185712673,5751,131954492,699,46683842,917,2628,2427,326632196,50806096,46541000,3960000,65296580
17,2876767.exe,678957,94568639,37877086,836233,27868,117970,4844,74805,86218170,1097785,88924879,834943,177159,1542688,191715299,10452,141051225,7309,51959891,1039,3717,6378,356768940,52829598,48574000,3965000,67267768
3,2882080.exe,597523,67612159,38136191,751684,27387,115046,33023,70525,117172833,115060,120205306,108975,181706,1225190,184153846,6970,103036597,2617,50875464,524,3604,6186,366243548,49862894,45616000,3966000,64134150
4,2892760.exe,615000,72974751,37707070,768288,28182,119017,28753,61160,113609483,542214,118486799,412020,172432,1351430,188367946,6826,106505112,2650,51268890,522,3295,4430,385942038,51256590,49966000,999000,65702536
5,2952391.exe,566264,410885076,211880918,1370460,34524,179884,9268,54244,288786984,999996,278795995,1720297,92977,2321935,491581147,13488,406493433,1107,210736406,520,4169,15258,1184887448,133199640,129959000,2999000,147541410
18,2956436.exe,1143306,84013978,34316932,716333,28553,117226,5532,41606,94052473,261290,97145277,205323,215753,1624352,183002354,5737,131588128,815,46322747,917,2584,3757,325600840,50457965,48050000,2002000,64722091
19,2961485.exe,5609691,447038923,228337877,2625204,474018,2866706,177434,319435,294542738,1398020,295855991,1372580,2043529,13965277,723296248,262963,463512909,18490,236270590,2474,8948,39209,1346346526,195713664,189241000,5976000,209957824
6,3052100.exe,621279,394766341,204829655,1340277,31667,166010,25478,85072,284057534,701286,286975520,652260,214472,2595294,497309136,14231,439823262,1191,220834686,519,4314,19092,1181658041,138499476,137181000,1001000,152928940
20,315901.exe,521554,85104369,33243901,703005,27486,112237,4050,32366,89620445,907404,93299777,672314,150676,1439838,187501568,6836,134236587,455,47297928,523,2308,3610,335202025,51242651,47775000,3049000,65671484
21,3310511.exe,639559,98558434,36669467,816397,27350,118157,25377,49658,84473445,1058352,89838957,793842,165886,1547181,192128136,10203,141962170,7160,51061117,1041,5044,6002,377590321,52141721,47806000,3983000,66144838
7,3432659.exe,631870,94171933,36302907,800571,28368,117183,24663,62121,92975590,425914,95074467,320642,184834,1483168,186658074,7885,138997869,7117,50341800,1041,4490,6837,346505826,50712447,49270000,1005000,65055438
22,3448452.exe,879855,101439709,38225365,785343,29481,123807,4789,28952,79835887,1844762,84305098,1440094,187711,1865855,190111753,8201,139644789,924,54812302,917,3160,2469,390415559,55145026,52832000,1993000,69513526
8,3513191.exe,5611691,435350569,223083330,2562804,478668,2865589,177494,292643,289732906,1352119,288302429,1338238,1923240,13233646,714181401,253034,453598011,24110,231460718,2473,13916,37965,1302362482,192733109,189402000,3006000,207132855
