nome,slopes
1071,0.021209025909198438
1082,0.020155531414810194
1084,0.0209277790767095
1091,0.02125119973975031
1131,0.02070056024613719
1132,0.02097522717179638
1140,0.021454421788187978
1158,0.02305463504977565
1190,0.022364336827927826
1192,0.020871294166644794
1195,0.020967851429535517
1197,0.022360933880068885
1619,0.02108640391899176
1621,0.02052325144905629
1628,0.02060712465459086
1632,0.02112564830227929
1634,0.021541945014784746
1635,0.020240861401103913
1636,0.022317051148640597
1639,0.02279363529980483
1640,0.020335202623625457
1642,0.020590686893317625
1643,0.020194019677685464
1666,0.02065974294847407
1667,0.02110790107204685
1668,0.020852020492044238
1669,0.02087883980898397
1671,0.021411879103642457
1672,0.02222146223974784
1674,0.02068417378472401
2166,0.02242798598249395
2185,0.021598506316313142
