file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-ram/,duration_time,user_time,system_time,perf_time
1061805.exe,30100821,150301,20515866,59897,19432180,61505,138400,1012604,43353535,9418,27548341,4951,2266,96121629,523,0.08,0.02,33983251,28249000,4870000,101835358
1094941.exe,77080931,155306,44894096,65322,46186292,54494,90701,646448,86661254,3324,79361494,3094,1148,228562424,127,0.3,0.01,23183025,21941000,997000,37206871
1133411.exe,84203557,491636,52092268,94295,51610811,94285,172276,929977,96124738,6938,88772654,2260,987,258493893,517,0.33,0.01,26328465,23977000,1998000,40383196
1141022.exe,37618980,130198,24434904,51982,24842534,51669,100654,658834,50041789,1747,39922586,353,419,129195316,132,0.13,0.01,14679332,12517000,1925000,28727380
1165956.exe,77777620,108716,43556212,64567,43694614,56639,109183,676270,87537695,2996,81293086,2633,1131,232450425,128,0.3,0.01,24027279,22118000,1005000,37827494
1344769.exe,77480474,177330,44940459,71756,44585466,56891,93230,685911,88989102,2637,80324746,4538,1104,231871771,129,0.31,0.01,23983249,22623000,983000,38081197
1370229.exe,26509498,154578,15700996,61275,15660171,52287,93863,478240,37899376,1193,30506789,602,1104,94577098,135,0.13,0.01,10304045,9001000,1000000,24387615
1435015.exe,34032357,337323,25234022,87082,25679239,87316,125812,850309,48776000,3267,36026163,3736,1065,124613317,589,0.16,0.01,12889028,10713000,1947000,26917512
1769104.exe,76986053,146643,44699880,68343,44662946,56563,95868,677244,88054720,3051,80402813,2472,1433,231415445,129,0.31,0.01,23646737,22455000,976000,37656795
1979579.exe,75714899,156460,44575708,64566,45385451,55412,101428,677041,87973617,3178,79590045,2334,1097,228528075,127,0.31,0.01,23430151,22246000,1011000,37481329
1997948.exe,81073243,507277,51351839,90906,51962690,91049,168478,1291695,97732807,6573,90196267,2937,784,259327035,517,0.28,0.02,28831493,26524000,2040000,43213872
2059363.exe,32410208,488111,19788317,64622,19782019,64888,169434,960218,50579250,2961,41389202,390,371,127860845,524,0.17,0.01,13328539,11042000,2007000,27317024
2061586.exe,77615279,133034,44380869,65750,44359727,56840,96123,680785,87075258,2992,79507810,1565,1380,228052122,132,0.3,0.01,23389386,23189000,0,37432440
2203032.exe,30279623,132529,16119869,59438,15820225,58225,138586,595482,41151425,3337,33164595,677,772,104226009,329,0.14,0.01,11309069,9075000,2016000,25464486
2203602.exe,75144153,154930,44760259,64136,45747086,55124,91019,659562,88506404,3154,79589911,3997,1364,228879608,129,0.31,0.01,23528872,23302000,0,37735920
2207605.exe,29449624,187139,15505008,64904,15497362,64869,180680,678916,42274783,4817,33885061,673,737,103138686,523,0.14,0.01,11113779,8877000,1972000,24889958
2213898.exe,79297311,330663,48782463,77290,48769980,68693,121567,780649,95945703,2935,86141813,3333,1245,259253800,326,0.33,0.01,25731562,22376000,3051000,39956836
2231071.exe,74730399,156155,44065976,62206,44984855,53992,89703,642434,88125956,3152,80109220,2047,1102,229850019,128,0.31,0.01,23432634,22201000,1009000,37611912
237541.exe,30210741,91113,15311281,61486,15167510,57436,99674,497332,36295525,1917,31693505,584,763,97493645,135,0.13,0.01,10103203,8912000,990000,24112992
2407087.exe,76750158,149330,44342535,63055,45589357,55555,91405,646091,86591041,3326,78833791,2126,1093,226427079,128,0.3,0.01,23177484,21926000,996000,37223389
2481996.exe,81977353,293964,49147608,73345,49126183,71538,131495,809704,96465658,3637,87444767,5024,1171,257636439,326,0.33,0.02,26055274,25799000,0,39950753
2745547.exe,75765744,152624,45174129,63729,45783410,54999,90381,662577,86923999,3118,78754732,2140,1070,229679363,127,0.3,0.01,23670186,23423000,0,37746047
2774509.exe,82937451,475230,48637173,72968,48021452,73541,163119,1172090,96915737,4552,91050912,2234,797,262248810,519,0.31,0.01,27129533,23913000,2989000,41364720
2832245.exe,85264432,255496,50398108,74729,50117561,74270,131989,912052,94827789,4343,86791114,6406,953,264643505,326,0.32,0.01,26143729,23895000,1991000,40305668
2847173.exe,25706871,150884,16209560,59686,16472384,52210,95829,483696,39044344,1216,29612636,600,706,92674065,133,0.11,0.01,10511550,10293000,0,24476411
3184306.exe,81095435,328885,50308351,73242,49762536,63078,119593,744538,94864410,2863,87169720,3595,1270,260874828,327,0.32,0.01,25516503,22254000,3034000,39644916
3187447.exe,26394003,156907,15722175,60940,15801820,52528,97882,487138,38471070,1072,29732452,614,753,92649237,133,0.12,0.01,10331067,9017000,1001000,24506861
3234095.exe,82029399,321744,49954414,74676,49342913,64342,124353,766693,93876776,3139,86649079,4628,1217,261909700,326,0.32,0.01,25069920,23825000,992000,39194460
3235338.exe,78337693,333293,51621838,84354,51002295,66333,127052,757090,95988105,2719,85726537,5705,1115,254265760,322,0.33,0.01,25860060,25591000,0,39965508
3270012.exe,79562957,326819,51737778,88080,50963310,72485,142394,801040,96043000,3716,86723649,5731,1134,253914328,321,0.32,0.01,25932161,22710000,2962000,40017230
3523845.exe,794680,107097,2969392,30024,2712987,29959,77639,363051,9874441,2228,1468489,<not counted>,<not counted>,<not counted>,228,0.03,0.0,2545955,1123000,1123000,16654519
3627289.exe,82294864,312188,50137665,75401,50108283,70211,131724,764384,93523668,3242,86656684,4653,1240,262056830,325,0.33,0.01,25421222,23051000,2004000,39375548
375888.exe,26714269,156311,15769927,58822,15808350,52148,93537,466078,37865495,1134,29570869,600,781,92379532,133,0.12,0.01,10193061,8926000,991000,24137190
3863251.exe,78133650,184160,44671419,64087,44652033,58401,139093,797451,90812649,5127,81859035,4868,1709,235966618,323,0.31,0.01,23880515,21676000,1970000,37917850
3901913.exe,37216513,105103,25974596,51801,26029775,53250,105533,663728,51013365,2034,37814886,477,459,145014945,132,0.17,0.01,14157524,13909000,0,28099686
3902315.exe,33468512,485384,20213984,69992,20152815,69236,178983,931968,48199725,3059,39755026,318,552,127255972,524,0.16,0.01,12801767,11527000,1047000,26830324
3903900.exe,28566906,126741,16315593,61321,16271275,61434,102604,522013,39781811,1375,32107887,768,772,99460377,134,0.12,0.01,10452447,10244000,0,24462707
3903935.exe,32028807,327688,22038939,67433,22502116,67848,128688,866514,51981285,3432,38266264,3926,1579,128767289,589,0.17,0.01,13576412,11233000,2042000,27711960
3932932.exe,79793667,110711,44852097,66520,44787077,55735,94885,677700,86153540,3854,80259783,2777,1816,231258799,128,0.31,0.01,23681256,23478000,0,37704247
4073051.exe,79153804,105903,44612151,61239,44501132,54491,94535,663643,86369951,3413,80297122,2621,1170,231259764,129,0.31,0.01,23535045,23294000,0,37699046
4122402.exe,81401681,135858,45929160,63852,45884704,61453,124636,756137,91010368,3604,83667494,3889,1253,239133105,324,0.31,0.01,24820777,23611000,1026000,38843347
4237499.exe,25944957,157513,15557091,60045,15594806,52407,93966,471523,38246566,1258,29648559,721,821,92996831,134,0.12,0.01,10202213,8992000,999000,24148042
4526544.exe,75278618,153742,45019454,62509,45437917,53606,87941,645006,87823394,2755,79274309,3226,1212,228614287,130,0.3,0.01,23854842,23643000,0,37755289
4578708.exe,28528613,153219,16871003,57534,16899525,51157,96243,478345,39096988,1215,31292153,649,778,98254422,132,0.12,0.01,10327504,9144000,1016000,24343974
4581289.exe,26403976,158959,15627532,59179,15791659,49800,89331,449712,38937172,1002,30085896,676,844,94700219,134,0.13,0.01,10362863,9153000,1017000,24487911
4630635.exe,29814728,110174,15600450,64105,15265817,58997,100054,509420,36385485,1700,30872636,751,790,95451914,134,0.12,0.01,10014694,8767000,974000,23905128
4718203.exe,83704955,278251,50485929,71572,50497994,71283,139057,944235,94997921,3712,86540283,5139,868,262060734,326,0.31,0.01,26600588,25357000,975000,40743440
4817270.exe,76253134,149916,44921444,63097,44935525,56146,95888,676457,87495346,2493,79754324,2870,1138,229502819,128,0.28,0.01,24299806,24029000,0,38390674
4913843.exe,78765142,126127,44833363,61266,44930242,60515,112401,703605,87487315,3448,79667664,3983,1173,227604325,128,0.31,0.01,23655558,23407000,0,37668618
5032964.exe,78452104,125717,45021736,63770,44987160,62316,99351,714172,87105973,2699,81092483,3664,1148,230212273,128,0.27,0.01,25065910,24726000,0,39082548
5220552.exe,78248163,116885,44778940,61764,44813849,57248,90641,670124,88690886,2819,80781524,4348,1134,231226287,127,0.3,0.01,24083689,22898000,995000,38045121
5383429.exe,28968271,240575,15756521,58791,15714072,59212,155556,610035,41831812,2049,33934444,725,893,102850036,527,0.13,0.01,11131090,8931000,1984000,25096672
5398757.exe,31599466,456940,23117479,75793,23593870,75891,137961,983047,50813528,2541,39320478,4257,1311,117666610,523,0.14,0.01,14624757,14391000,0,28798128
5414757.exe,81726771,515786,51293383,90237,51404535,89493,159341,960980,97342205,6752,90253846,1615,762,259030456,519,0.31,0.01,26876868,25631000,985000,41048478
5869113.exe,75453735,157840,44703166,63237,45019072,55038,96317,654975,88524719,2703,80122543,3695,1165,230831940,128,0.3,0.01,23784281,23502000,0,37978258
5884549.exe,74460288,152410,44894846,63134,46129669,54124,92768,644148,88185802,3258,78944096,3895,1108,226764858,126,0.3,0.01,23641148,22420000,1019000,37636338
591151.exe,77264081,148368,44569633,63487,45391299,55234,93412,650040,86400512,3062,78538503,1658,1112,225727539,128,0.29,0.01,23227705,21004000,2000000,36962520
5976921.exe,77544766,138430,44803021,62799,44793257,56625,94592,647083,87564650,2530,79530556,3032,1154,228468279,128,0.3,0.01,23623704,22350000,971000,37520307
5980253.exe,75753875,153136,44625626,63128,45545724,54487,88209,658283,87228677,2918,79833987,2470,1096,229439384,129,0.3,0.01,23518623,22255000,1011000,37612062
6028185.exe,79841483,321265,51830738,84953,51630117,74546,141386,767828,96051770,3749,86744355,5004,1153,254447183,322,0.32,0.01,26034557,23848000,1987000,40144457
6047500.exe,77894903,139451,44650854,64088,44526576,57959,106805,682467,86811498,2878,79708509,2002,1153,228453359,128,0.29,0.01,24013128,21803000,1982000,38116318
6079734.exe,78305546,136602,44352367,64743,44729432,54994,92254,655337,85610847,2693,80236108,4985,1077,229472038,128,0.29,0.01,23232109,22926000,0,37210562
6109493.exe,78780755,194347,43960362,65734,43996537,59671,146744,793348,91657634,5774,82243177,5508,1237,235930684,518,0.31,0.01,24412127,22147000,2013000,38661583
6146072.exe,74017548,155335,44387443,62999,45791510,51915,90386,635940,86523203,3161,78739884,1854,1123,225278435,127,0.31,0.01,23430412,23215000,0,37479764
6186538.exe,77508840,148747,44472548,66876,44466583,56627,94941,663605,87048891,2847,79572210,2944,1410,228197010,131,0.29,0.01,23598067,22368000,972000,37508386
6200657.exe,38003744,167672,28050925,37322,27786115,37032,89607,698954,51675595,2904,38288089,593,453,149564227,260,0.19,0.01,14516687,13232000,1017000,28483794
6265278.exe,30716051,81790,15898233,62030,15813477,59828,118593,562938,38017510,2282,31871085,727,763,99059144,135,0.12,0.01,10494194,9133000,1014000,24508472
635598.exe,79006565,109653,44593641,62718,44552755,56434,97532,657814,87387790,3080,80440658,4532,1101,231118841,128,0.31,0.01,23798198,22488000,1022000,37865771
