@relation problema
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'instructions' real
@attribute 'page-faults' real
@attribute 'power/energy-pkg/' real
@attribute 'power/energy-ram/' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
250709991,321130,155692868,710393,155702395,712636,193250,2746631,504304271,117086,248726884,13473,105693,769758434,129,1.51,0.08,158673876,125063000,33016000,204171878,0
249895158,304526,154481704,643619,154604275,642470,147299,2207384,507141169,114765,251839097,219356,105084,767087385,130,1.64,0.07,136737511,107386000,29104000,150703844,0
242600942,415430,150939296,709529,156219100,724701,234202,2422257,511822237,113499,254965272,276212,110563,756459539,715,1.62,0.07,138306746,114037000,24007000,152268968,0
250358262,299928,154485332,637452,154754206,634727,151743,2100297,502415636,114684,252170422,19431,105245,769218630,131,1.6,0.07,135215366,106881000,27968000,149086619,0
250010537,303810,154394920,662626,154710369,667580,167500,2249724,504864589,115695,253013155,36458,159498,768104323,127,1.58,0.07,136962825,98779000,37915000,150957694,0
249402650,248926,153872598,697389,153871336,695831,152298,2192652,502615815,115606,249996908,40586,105540,767648014,132,1.64,0.07,135947517,94773000,40902000,149992950,0
247695812,292737,154094447,697231,154389406,695771,137382,2030347,502283122,113899,248900105,11272,104993,766697168,130,1.6,0.07,135369259,93075000,42033000,149351632,0
67467167,252260,45326222,185539,45135196,184140,141805,828371,100885633,3782,72106747,2681,1510,245155383,137,0.32,0.01,25978907,24675000,987000,40116607,0
93098883,248706,61806975,425591,61952572,421570,153077,1637256,338604177,111318,93215862,38420,268638,323538913,134,1.02,0.05,91609453,63530000,27794000,105805248,0
248399306,309392,155189782,733408,154953932,728787,166695,2168517,503985465,113904,249387222,10151,105611,771735634,131,1.59,0.07,136053365,110824000,24960000,150149650,0
248589566,261948,154026115,688156,153939188,685657,138594,2089048,503575823,114089,249391339,14015,105538,768609578,130,1.58,0.07,135904926,104769000,30931000,150034345,0
247797941,306483,154220975,708305,154211083,705106,156472,2148019,503387051,113966,249242946,31000,105081,766063476,131,1.56,0.07,137854037,107675000,29909000,151924279,0
8363860,248451,4862278,141919,6136086,158882,140794,521787,27804163,3436,8445395,4293,3163,49876364,594,0.08,0.0,7539471,7312000,0,21638821,0
66397106,237615,44162507,195473,45029855,206320,178433,912545,96326944,4169,70613168,2515,2037,253025687,331,0.32,0.01,25889120,21582000,3924000,40043340,0
68771915,280724,44677980,190580,44580536,189077,185529,1317252,102255481,7487,72470129,4814,4184,250047562,135,0.32,0.01,25990181,24705000,988000,39892449,0
69596051,178011,44314333,179244,44314427,180851,140950,799632,94571645,4299,71457094,2431,1584,245217448,135,0.31,0.01,25698393,24458000,1019000,39772423,0
251133100,275680,154704042,667826,154698387,670217,150694,2173236,500356016,113613,252052536,11612,105133,767366928,129,1.55,0.07,136499499,105374000,30816000,150554083,0
56376779,185046,56642039,174598,56679773,172282,133955,872818,105583946,3669,59292431,3857,1881,295339716,132,0.35,0.01,28065520,26810000,992000,42226422,0
248084419,293826,154161656,695033,154107721,689984,150685,2186854,503108792,113965,248713156,15022,105312,766588538,129,1.59,0.07,135683332,106438000,28847000,149748571,0
93556811,208791,61718116,366857,61845465,366034,136142,1585147,333758140,110669,93423848,48691,104567,324784110,135,0.96,0.05,91492674,57129000,34077000,105597593,0
248009470,278510,153790057,697164,153772200,691514,130489,2121272,503760032,114332,249382021,10596,105267,767773434,131,1.59,0.07,135691399,102304000,33098000,150019682,0
247856685,303706,154068697,743652,154110464,744766,152325,2173017,505136925,113850,249544721,11626,105333,768508578,130,1.59,0.07,137003066,112747000,23946000,151003122,0
252684894,236527,154882498,671868,154872050,669838,148256,2103665,501990140,114375,252890232,8496,105300,769937121,129,1.6,0.07,136207043,107889000,27971000,150359860,0
249095651,292886,154292154,686688,154442319,685374,198042,2204347,503779718,113707,250577998,10317,511795,770100520,129,1.57,0.07,136664154,108230000,28059000,150921871,0
247426047,286317,153783776,695677,153877544,695331,137010,2098689,504258266,114056,249817704,10169,105619,766847770,128,1.57,0.07,136607385,103501000,32841000,150735600,0
68942083,201078,45271995,229544,45108660,228505,143776,918250,98692149,4447,71481814,2603,1244,245641480,143,0.33,0.02,26515229,24240000,2020000,40669026,0
250821698,315207,154744398,671117,154725372,666258,232762,2305130,508343829,114357,252502344,37756,108315,772188938,130,1.59,0.07,136320113,100932000,34976000,150369264,0
97616658,476201,65139884,430144,64658435,427433,518883,2039955,361527460,112523,96677632,314695,108763,341970661,1893,1.07,0.05,97349786,59026000,38016000,111572514,0
249374307,242779,154092568,636624,154076220,637328,175414,2191063,507239398,114622,249558900,310246,412153,767703071,128,1.58,0.07,138405095,103054000,35018000,152486004,0
252100681,250624,154443325,668072,154419722,663831,137677,2127516,500677044,114713,252171815,7923,510499,769317831,128,1.59,0.07,135431224,97123000,38048000,149622715,0
251489755,270645,154676271,637905,154725584,638632,144669,2139074,510389672,113841,252580252,305628,105275,769245127,131,1.61,0.07,137923972,110770000,26944000,151941472,0
67992785,209021,44396501,184256,44495552,184193,144014,797489,96542095,3771,71335165,2555,1604,242170101,137,0.32,0.01,25909960,23673000,1972000,40085869,0
249735099,247983,154257003,699161,154225675,696448,153129,2182333,502130784,114235,250357633,10614,105642,769830030,130,1.59,0.07,136530818,106123000,30034000,150679979,0
247963024,290988,153909126,639821,154136537,636299,153732,2200781,500477993,114481,249334065,10548,105330,768041986,130,1.59,0.07,135111936,105610000,29168000,149174558,0
66967879,223224,44929315,184436,45113942,184580,138354,823737,96409605,3599,71383817,2716,1558,241230933,136,0.32,0.01,25985567,23787000,1982000,39948430,0
251141863,295574,154857186,655688,155029354,651020,138543,2032152,502489720,114111,252860917,7747,105328,771296578,130,1.59,0.07,135365391,128076000,7004000,149213483,0
247583056,295830,153779982,693561,153807547,689971,152612,2133970,505256770,114738,249445995,11663,105488,768533728,129,1.6,0.07,136123820,126923000,8994000,150370966,0
68939806,206389,44846678,184702,44430078,182771,141967,816238,95804271,3698,71032617,2061,1400,245064590,137,0.31,0.01,26058944,24812000,992000,39956918,0
252011534,246982,154553010,662413,154566619,658517,136689,2042081,500755911,114072,252161761,8086,105396,770045851,130,1.59,0.07,135713310,119414000,16055000,149821170,0
93339965,285584,62087564,427302,62277102,421184,127090,1583301,343486859,110719,93107608,214241,104306,325220570,134,1.03,0.05,93008276,62801000,29905000,106957201,0
68215719,208834,45059017,180712,45125933,181689,138903,918257,97806145,3773,71367214,2498,1202,246064823,135,0.28,0.01,27513462,24373000,2924000,41439959,0
70450077,166384,44564507,179079,44566895,180705,138292,798877,94301699,4554,71976396,2617,1534,246739582,135,0.33,0.01,25749930,23464000,2040000,39814580,0
67468003,213692,44582489,180435,44696366,180545,140511,822297,96303037,3627,71052522,2537,1567,243208637,135,0.31,0.01,26351704,25123000,1004000,40246698,0
250447632,307958,154676149,669465,154941080,667063,198381,2204485,505119741,114190,252418353,19449,105528,769510079,130,1.61,0.07,135788340,112563000,22911000,149591366,0
250595100,305678,154739392,665407,154757664,656994,135431,2122986,502799221,114374,251820002,19791,105842,769625927,130,1.59,0.07,136057427,113896000,21980000,149950115,0
252164383,245069,154650540,636888,154605212,629975,143919,2140654,498657814,114737,252351392,41813,105923,769937972,129,1.6,0.07,135631775,109370000,26088000,149706877,0
249945486,300452,154633505,640715,154647301,641085,154085,2201631,511424798,114878,252534640,306114,105120,768235595,130,1.62,0.07,137862004,117514000,20087000,152002136,0
250498389,311180,154909294,726316,154974122,730039,164603,2256924,515748341,114511,252664292,306542,105371,770460740,129,1.63,0.07,138700343,108351000,30097000,152885168,0
241511813,340080,151937639,698224,157348120,705817,165509,2214197,507700672,112558,251014919,307724,108632,751343461,324,1.6,0.07,137008333,101757000,34916000,151038253,0
251286922,278542,154408011,573024,154706108,568085,153052,2151773,501299239,114991,253017233,8328,105319,771728540,130,1.58,0.07,134977467,106627000,28165000,148994582,0
70617807,170203,44419845,139657,44477450,139356,185392,867072,96082642,4176,71558033,2585,1594,246953156,136,0.31,0.01,25761442,25494000,0,39789894,0
246894849,298759,153907997,630646,153947045,628036,130226,2062424,505044562,114267,248712715,276077,105056,766480611,128,1.59,0.07,136282590,107039000,29010000,150463942,0
247995103,300118,153826743,708723,153835929,706099,134986,2099232,505040986,113717,248959336,9799,105049,766238626,131,1.6,0.07,136518182,113242000,23049000,150362105,0
220650023,268409,136849920,504128,138743120,520207,163158,1486066,262046783,7484,230337825,7353,2930,692508971,327,0.92,0.04,70594978,68365000,2010000,84721897,0
67060957,218188,44710337,185802,44409805,186555,139373,810973,95808159,3815,70984270,2633,1598,243552190,135,0.31,0.01,25891680,24571000,1023000,40045502,0
66234126,217346,44918917,180181,44986560,179585,143005,890215,96041625,3642,70351293,2166,2157,239282771,135,0.29,0.02,27152767,25915000,996000,41040262,0
247549570,305040,154121744,639916,154047443,639824,182796,2133730,508303132,113826,249595120,308210,105794,767803236,132,1.6,0.07,137481890,113224000,24047000,151607235,0
251033369,304488,154924317,660427,154955352,653061,133304,2108782,503518543,114429,252588546,27125,105650,770971958,128,1.6,0.07,136130706,115955000,19992000,150101294,0
246814003,305650,153574405,783401,153492835,784141,167100,2318957,513964094,114316,247760512,8528,228716,764495093,131,1.61,0.07,139275208,119038000,20006000,153268665,0
70905905,213838,46751863,138947,46857430,140077,141515,898077,101355002,4580,74494708,2613,1212,260685435,140,0.34,0.01,26933863,23709000,2963000,41122356,0
251020774,275873,154508585,777646,154491438,775588,141619,2155310,506091499,113924,252600618,7788,105672,768594248,129,1.61,0.07,136888807,107536000,29145000,150811744,0
70195509,171580,44796837,181572,44865245,182065,139810,799468,94837992,4069,71507090,2516,1922,243541060,137,0.32,0.01,25727135,23406000,2035000,39888961,0
69432398,199991,44922749,184138,44890586,184483,147216,865767,96190466,3689,71579473,2278,2032,245230272,136,0.33,0.02,26163614,25816000,0,40286846,0
251103772,271575,154550056,633402,154627291,637000,164864,2182315,508897105,113909,252429916,306876,105479,766814256,130,1.61,0.07,137533715,118247000,19039000,151643848,0
93365213,238109,62099289,419279,62008344,413315,138076,1544989,345417789,110234,93470675,303409,104334,325001646,133,1.03,0.05,93240607,61941000,30970000,107406835,0
250245183,314788,154608763,673550,154625605,671892,150855,2141991,503262493,114912,252585069,8868,105855,768241260,130,1.58,0.07,136832428,100687000,35888000,150883785,0
247427574,328987,153745028,673394,153750908,673736,153720,2128242,508462464,114338,249906721,10286,109059,768629042,132,1.62,0.07,136964207,101799000,34931000,151190742,0
251841194,245259,154539951,660661,154511032,659806,150910,2073628,500979101,114343,252153307,37330,105290,769252472,130,1.6,0.07,135544290,114243000,21044000,149640779,0
249723687,296456,154544211,668651,154543770,664774,136138,2131529,508308618,113845,251820599,240687,105239,767813882,128,1.62,0.07,136874912,102461000,34153000,150906928,0
94581546,269018,62585874,420315,62534584,422599,138721,1627999,348262465,110620,95296202,305699,108336,327622492,137,1.01,0.05,94859912,59752000,34855000,108917938,0
249829588,292993,154387663,658637,155001334,654463,138929,2060763,501773296,113978,251592577,7567,105045,767138929,130,1.61,0.07,135376943,106107000,29029000,149587258,0
90930113,270781,61546333,417847,61566795,417911,133314,1666221,333163856,110411,91140968,37917,104107,318290241,133,0.98,0.05,91023959,59787000,30890000,105176632,0
250251247,310281,154621188,667855,154705186,658991,152445,2139289,503687165,114510,252366853,8480,105640,770302227,128,1.62,0.07,135942604,106675000,28912000,150167802,0
251166051,272658,154659609,651717,154596203,650550,149570,2212945,509100058,113672,252360572,275117,105259,767509414,130,1.6,0.07,138887350,104497000,34162000,152941537,0
92818250,255111,61938037,416624,61961214,415969,146697,1623703,334542076,110550,93446403,5507,104252,323744152,135,1.0,0.05,90165221,65925000,23973000,104462164,0
67385508,220977,44534245,186260,44551872,185864,132240,792159,96094487,3560,71106204,2703,1529,242789482,137,0.31,0.01,25624417,24352000,1014000,39856568,0
252096513,245082,154542201,669133,154481310,666126,154404,2145498,501522859,114469,252618261,8300,105374,768739760,129,1.6,0.07,136041786,105835000,29953000,150190658,0
67301414,215107,44971088,140250,45048969,141775,153610,857932,98809997,3362,71198418,3244,1479,244534583,137,0.33,0.01,26688388,24328000,2027000,40835129,0
252150989,557690,154464509,670512,154639163,670446,156313,2206158,501812412,115059,252931303,19243,410229,768931694,131,1.59,0.07,136479049,109189000,27046000,150811097,0
250774566,329211,154549472,669556,154706637,667191,290333,2334635,507025653,114329,252679181,38695,105757,770707349,129,1.61,0.07,136490378,104383000,31114000,150626967,0
2109955,321468,21332251,270000,21232417,272370,157089,3805556,977308428,26182,1835805,3190,7509,218862477,135,2.74,0.14,268295838,266738000,999000,311077911,1
1028253,138343,3258980,69830,3391146,69378,96428,1043108,152230302,5943,696455,659,1520,136727119,128,0.38,0.02,44879130,42618000,1982000,58999539,1
1438519,139263,5501259,140733,5444735,144788,106595,734571,98994736,2626,248240,277,960,98450496,128,0.27,0.01,26646757,25361000,1014000,40767179,1
1298637,175282,3603533,76721,3353729,75588,94053,1104696,236470652,6584,775505,917,2030,227155936,135,0.68,0.03,64001710,62720000,995000,78202502,1
2119509,235130,20932225,120686,20788939,117939,103865,2000387,493970349,13672,1184839,1832,3630,312994517,134,1.4,0.07,134319352,134026000,0,148518471,1
257807,80418,3129985,49696,3169371,51362,97787,648112,52661958,2300,269799,206,371,68078356,132,0.16,0.01,14678020,13358000,1027000,28715686,1
32364799,205121,62783838,132218,62751668,130059,114211,2181994,524300133,14878,32310433,2192,4218,562801181,136,1.34,0.07,141866047,140631000,997000,156024534,1
1767611,197366,6007493,160728,5967694,149265,156931,1101907,152030959,4188,283011,321,1660,88329335,194,0.42,0.02,41099316,39043000,1664000,55081560,1
1312418,222824,4677721,128954,4674755,128756,111537,2062489,506422406,13001,961985,1892,3543,73431270,133,1.42,0.07,136943693,135739000,998000,150980408,1
90495201,242930,143246533,135501,143544698,134406,109211,2411893,598364163,16162,91114979,2575,4612,743784868,134,1.72,0.08,161473776,161176000,0,175756173,1
717782,117945,3371574,68656,3294248,66605,87336,1026033,178721837,6418,668262,1047,1796,140733304,137,0.5,0.03,48972303,47667000,1014000,62994624,1
1574160,225855,55356842,115955,55599496,112359,97767,1850748,443005925,12374,1173886,1716,3426,667451356,131,1.13,0.06,119681146,117393000,1989000,133995853,1
3518448,476836,210740398,283797,210778103,282843,207017,5296966,1447834109,35873,2442675,4245,9503,1992699889,129,3.75,0.2,391288008,389748000,999000,405305045,1
1155911,154886,2591940,69319,2589704,70201,110170,875892,134662266,3791,323620,597,1431,30813818,134,0.3,0.02,39881553,37614000,1979000,54114431,1
702389,145743,3392999,69009,3291646,66214,87491,1009237,181610055,5909,625054,1083,1644,143588700,129,0.49,0.03,49170200,48934000,0,63049514,1
1130966,139376,4552670,138811,4609853,111775,100025,827415,103986609,2752,232336,308,674,75767623,135,0.29,0.01,28041213,27757000,0,42177040,1
817822,131128,3218512,51649,3044480,50923,90544,657221,70948518,3039,471926,753,1041,88942725,132,0.19,0.01,19280982,17989000,999000,33330679,1
1185201,199928,6633254,161237,6591999,168002,103116,1918987,439094321,11985,1154980,1797,3182,76485565,134,1.22,0.06,118563538,118272000,0,132729271,1
70351185,416926,129694736,239640,129730774,242883,162128,4619550,1195600557,30668,70053671,4296,10113,1637969069,127,3.01,0.17,322388547,320942000,999000,336385877,1
2875763,439152,210440382,289070,210481276,289165,159442,5303306,1446824893,35131,2489181,4504,8908,1993203852,127,3.74,0.2,391229461,390754000,0,405439252,1
229395,86210,2364257,51094,2364894,51273,92737,640836,50653419,1913,94279,138,354,65649326,133,0.15,0.01,14361364,13177000,941000,28536599,1
1290563,170454,3585723,81273,3587172,75669,107271,1065198,180634858,4949,697271,1051,1817,145646675,130,0.44,0.03,52227330,50920000,998000,66454317,1
860058,168627,6655676,177016,6614830,189963,110430,1879204,428523741,12000,1066085,1757,4997,69202917,133,1.18,0.06,116623641,115221000,1001000,130609961,1
1021943,141786,4644135,113160,4597047,119491,91703,829516,109301161,3146,322674,395,824,83078122,134,0.31,0.02,29492246,28108000,1003000,43727215,1
677961,138256,4523618,149680,4394591,139759,86792,645476,78456077,3282,456731,647,1015,60209639,134,0.19,0.01,23072384,21840000,992000,37129627,1
1259155,146238,3357355,68024,3266351,65105,95830,1000710,178911243,5455,649644,907,1631,110322247,129,0.46,0.03,48396631,47073000,1001000,62201677,1
4623679,300715,107450268,167013,107480156,162155,107361,2777752,714452728,18374,4196386,2813,5097,1103059445,129,1.73,0.1,192623904,190224000,1991000,206645125,1
863407,124551,3494753,78914,3388077,79393,119453,1260526,223951306,7791,828394,1125,2061,48856113,133,0.62,0.03,61541077,60179000,1002000,75612624,1
6762605,613458,83921238,4472355,84331522,4482671,379678,4868927,1221681884,34171,7134026,12735,14959,432706536,1809,3.52,0.17,329953306,324545000,4993000,344283118,1
9743619,523851,218226688,311941,217647584,303189,158791,5613912,1548138480,40802,9034074,6350,12609,2331306630,135,3.8,0.22,420883191,418486000,1997000,435112335,1
1916552,155380,3347611,69535,3258206,67599,102307,1037764,180604160,5650,780821,991,1700,110245658,132,0.5,0.03,48787479,46658000,2028000,62571427,1
1199715,165233,3517097,77306,3334602,72275,92965,994672,187910736,5695,731107,1012,1955,125815786,127,0.49,0.03,51290377,50197000,1003000,65263650,1
2318258,292075,106859362,171311,106754382,174417,151163,3123653,788856118,21483,2009280,2522,6665,1124106584,133,1.96,0.11,213245474,212598000,1002000,227253803,1
397949,97607,3592426,60992,3530907,61239,102215,839336,109104815,4218,324594,344,783,85087655,132,0.31,0.02,29969803,28704000,989000,43825470,1
1030695,117242,4751660,131030,4756755,138998,84591,629108,62645693,2876,565245,274,436,86560692,127,0.17,0.01,17022552,15874000,992000,31122935,1
575470,152284,3858343,82040,3975474,84369,208220,1337192,216248166,6682,750030,951,2122,141901617,136,0.61,0.03,57039311,54856000,1994000,71100777,1
107314739,390419,156715825,231788,156421597,234558,161011,4287148,1146658728,29926,105355918,3272,8101,1935364339,132,3.16,0.16,309109492,307640000,2004000,322963293,1
4838819,115102,13083796,206393,12772210,134716,98275,803946,114555436,4346,4115039,261,927,119235999,133,0.33,0.02,30863402,28687000,1978000,44896436,1
2021544,210562,5272921,145832,5226793,151276,204295,1468139,259601051,6451,646264,525,1842,48482579,127,0.74,0.04,69897672,68579000,993000,83962506,1
1542856,120990,5597383,116467,5643465,86743,94864,651133,89619812,2780,1346886,634,1068,94402226,133,0.26,0.01,23984672,23780000,0,37941447,1
3539688,281276,119067109,522343,118972744,535753,143603,3154024,797406168,21911,3590524,3725,5723,1160961776,134,2.0,0.11,215859757,214931000,999000,229782045,1
537607,80207,3170276,61285,3172819,60109,93588,672194,88448810,3510,337529,647,1149,97508012,129,0.26,0.01,24081457,22861000,993000,38319527,1
1768197,214139,55762458,113168,55899965,118700,192586,2012743,436330048,12143,1657248,1794,3908,637067039,135,1.1,0.06,117724622,116423000,1003000,131745035,1
864671,122704,4373291,107939,4350949,115184,94417,612717,56764199,1414,111340,162,385,63573973,128,0.16,0.01,15348464,14132000,1009000,29575890,1
1285823,146546,5863401,703999,5793176,731267,103144,687091,88099726,3416,658564,848,1505,69176123,133,0.25,0.01,23534994,22358000,1016000,37601888,1
68381939,405346,124475032,235808,124536449,233022,140326,4281511,1176158779,30417,68051195,5149,8303,1387451049,134,2.95,0.16,317404788,316560000,1001000,331678451,1
1307106,166378,3344326,68010,3263435,68297,88404,1068222,180596095,6182,791481,1011,1810,110005622,137,0.5,0.03,49154736,45929000,2995000,63331089,1
888375,118638,4770329,49794,4769047,48505,83306,602530,57756940,2235,245598,168,414,75503246,127,0.17,0.01,15759386,15456000,0,29826928,1
384912,110475,2379227,52129,2375382,51452,96366,650827,53221267,1775,128033,224,381,60325122,133,0.15,0.01,14362235,13107000,1008000,28219326,1
990395,142409,3403028,63024,3395292,61907,99337,685308,95348357,2478,239277,383,1065,93553066,133,0.26,0.01,25743444,24429000,977000,39812194,1
744017,151457,3503656,76893,3492636,78068,105913,1029265,199332027,5278,452563,575,1935,180852129,134,0.55,0.03,53541665,53297000,0,67603519,1
690928,133286,4258499,62367,4386008,62449,105130,835746,97816703,2954,315502,329,757,69666641,133,0.25,0.01,26849691,25662000,987000,40783084,1
1271548,164866,3537129,77492,3328286,69074,86431,977969,189324632,5770,675481,961,1951,134804687,133,0.52,0.03,50904276,49686000,993000,65211245,1
578047,104541,3253079,63965,3195698,58551,96557,670625,87803014,3071,561208,647,1030,81177316,134,0.23,0.01,23879788,23631000,0,38020262,1
9591572,580241,10058583,166056,8949885,156102,460356,2875225,658042056,27479,10284182,15167,16843,131577381,4041,1.85,0.09,177522335,172234000,5006000,191541040,1
454507,81905,2349933,53585,2417628,53971,102320,662865,49881147,2281,235732,126,397,54412495,133,0.16,0.01,14051247,13722000,0,28341671,1
812834,142891,3574843,77926,3384285,71125,99213,1055624,190128796,6457,739173,1325,2085,135973868,132,0.51,0.03,51104143,50909000,0,65051745,1
