file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-ram/,duration_time,user_time,system_time,perf_time
1175601.exe,4601449,167825,2895549,49280,5637490,35481,58374,387645,14589591,1781,10701472,746,891,33391410,136,0.03,0.0,6975446,4542000,1817000,53172564
1322787.exe,53572321,3503922,55020826,200611,62468907,220449,795088,3920717,91028476,35109,49838477,33084,4130,167707794,3063,0.3,0.03,24651832,16576000,7800000,38784074
1323960.exe,24308181,521565,13479908,63829,14385585,65678,276654,1125697,40755846,8356,22144339,13786,4123,69929795,3110,0.14,0.01,11099365,6903000,3944000,25277280
1326566.exe,14480800,470830,11883907,181944,14892602,197241,955858,3306457,106032199,31702,22441839,39838,9540,61137679,4390,0.26,0.02,21008715,12442000,8294000,35066136
1471884.exe,666668118,316365,989000027,658154,987242315,642376,125313,2691606,716600520,17723,672349580,1993,4743,3510469437,142,2.34,0.1,193039016,190778000,1997000,207172092
1551067.exe,1021456,156824,7614394,33214,7614196,32763,62469,349692,14452460,1619,8858405,2124,<not counted>,<not counted>,136,0.05,0.0,3787669,1756000,1756000,17750561
1554849.exe,197179498,47199281,135705104,934417,138281915,937941,1267950,6517407,752952535,32865,202490609,44522,10957,598106474,5990,1.99,0.11,201921502,192549000,8978000,216334448
1560344.exe,114169740,2741431,57292787,138018,55675704,129952,795493,4007601,133311123,22994,100661792,15681,9662,293681733,3060,0.44,0.03,36610087,29471000,6876000,50750809
1577659.exe,38737257,2332768,25442655,78876,24621224,81989,647944,3092870,67757447,16445,21557035,30878,8776,134618535,4142,0.21,0.02,17662075,8636000,8636000,31696098
165572.exe,267192818,51644206,235679742,1830434,237162037,1842724,1604518,12478059,992414529,42546,267832117,61025,18804,897484439,7927,2.74,0.15,268138017,251849000,15990000,282348676
1810441.exe,669522149,50609774,501036020,622187,500736125,639110,178160,2854510,645334266,17419,671577690,2208,4527,2690274738,150,2.11,0.09,174945203,173549000,997000,189175776
1822655.exe,2196263,158042,5983994,34280,7584018,32933,58151,338712,17421291,1285,15815130,1437,<not counted>,<not counted>,139,0.06,0.0,4399113,4174000,0,18619100
1824751.exe,365752,52762,1138685,29372,1138063,29310,62742,321228,6554663,7820,<not counted>,<not counted>,<not counted>,<not counted>,140,0.02,0.0,1740576,1514000,0,15879954
190239.exe,1309948,187490,5982990,39834,8745366,32793,55651,358355,19021185,1475,16601038,902,1957,39272423,124,0.06,0.0,4950449,2766000,1844000,19055016
1946318.exe,335799064,336828,662393611,666107,662695339,657746,140218,3188044,876404623,21071,337457684,2070,5783,2014347698,139,2.76,0.12,236715266,234366000,1994000,250514312
203751.exe,46983659,1993696,52631216,195660,51429848,176081,511834,3278315,99672193,13347,40464400,25831,5298,182733656,4145,0.32,0.02,26663467,21489000,4883000,40702507
2073892.exe,335054457,254923,496631877,620247,497467144,607375,127432,2282789,547666117,14781,338281388,1818,4060,2185734319,132,1.6,0.08,151796641,149571000,1994000,165675244
2154951.exe,35536106,1851188,19199082,88139,19240287,84228,1757463,3742099,123597345,29583,34864360,47398,34919,125340749,12065,0.3,0.03,36574592,19136000,17122000,50795373
