file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-ram/,duration_time,user_time,system_time,perf_time
7863059.exe,31187854,4650353,34155291,3292818,31239102,3129073,1056006,8107964,180291604,25883,31722241,8167,2324,225572663,1822,0.55,0.04,48664491,43442000,4936000,62807573
7919595.exe,796612891,13738816,476797994,5537347,478824996,5549409,4872098,28942037,1401986821,739414,811314636,49715,112628,2601772094,3981,4.64,0.24,377959929,341666000,36070000,392118134
8029926.exe,762829575,4999640,466166463,4920341,464284601,4927374,1870664,12948617,1224490512,198301,744627243,88777,197050,2338552609,3646,4.05,0.19,331972893,284610000,47101000,346322501
8073980.exe,225668414,6287081,149392350,3950988,145526744,3927129,1230343,11760537,611311998,149925,228009646,24519,103965,763138056,1698,1.88,0.1,165826457,125662000,39892000,180006486
8074507.exe,276901550,7078238,176433104,3904174,175812995,3841635,2300268,14194093,526828772,144871,277919355,36492,29919,937136196,5998,1.7,0.1,142221000,132965000,8997000,156487857
8165818.exe,257814872,4940358,165283914,3719078,169038330,3742346,1689058,10317181,701818489,186441,264999332,126421,209956,910675688,4044,2.17,0.11,189483322,154188000,35042000,203613638
8207584.exe,248154857,8904193,181520199,4967923,181365499,4970363,807217,14747082,501846220,32111,248749639,26793,6226,963002787,2278,1.67,0.08,136606657,134376000,2005000,150660127
8261100.exe,249841394,10282902,153958912,2410328,156912431,2430102,3124412,18454535,509772752,356552,255847736,36468,13501,883995040,7822,1.64,0.11,136751662,119546000,16935000,150875073
8341326.exe,221416789,13735017,197262750,2631649,197280554,2630776,4577214,25617519,576818791,1332636,222748109,30354,11097,988002658,3403,1.91,0.12,155608115,144274000,11020000,169686959
8346248.exe,737186953,4706671,457694590,4756830,454725892,4742269,1809762,12080014,1181422384,200209,723413675,56244,114161,2282848800,3449,3.93,0.18,319177603,280074000,38871000,333530507
8414692.exe,232169415,4461048,153431347,3818952,157450873,3803138,1600070,9728313,488945110,75525,239449098,25101,11252,858891021,3652,1.58,0.08,131586333,122334000,9024000,145718361
8470877.exe,327722748,10307981,191761460,3697089,192515026,3632468,4633267,21813276,591812628,488044,334766224,20254,11908,1129597615,6387,1.92,0.12,159965783,150767000,8986000,174005899
8537684.exe,262938044,12899290,170813083,3891512,174933982,3852017,3804829,25148784,567937847,469406,274299027,26649,10178,977442376,3404,1.85,0.12,152737888,140514000,11958000,166794777
8601923.exe,260659443,12261643,198390585,3757851,198955551,3713839,7854365,27316439,682659380,3754498,266356519,49537,12842,1142676849,6669,2.27,0.16,184299579,171986000,11999000,198365675
8613113.exe,765365151,7040582,502631826,2152986,504588330,2151559,266306,15873161,1213514371,134139,772601576,71298,114523,2744986669,357,4.08,0.17,328838431,302529000,26045000,342970922
8627888.exe,712469233,4180429,435060472,4645094,439201694,4656362,1282378,10919300,1199142455,163595,722160780,40034,116014,2237457721,2570,3.99,0.18,322990850,292737000,29973000,337219984
8699117.exe,275268214,4873458,182845128,3987568,187007343,4007768,1532014,10614545,728286999,209873,284125520,238794,112818,1025497102,2571,2.26,0.12,196673848,161214000,35046000,210845702
