@relation 'problema-weka.filters.unsupervised.attribute.Remove-R3,5'

@attribute pkg numeric
@attribute cores numeric
@attribute gpu numeric
@attribute duration_time numeric
@attribute user_time numeric
@attribute system_time numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
3.5,2.76,0.06,183000207,182044000,994000,1
0.86,0.65,0.02,51836206,48798000,3053000,1
3.49,2.83,0.06,162916183,161922000,999000,1
4.48,3.62,0.07,214720638,213754000,998000,1
1.32,1.06,0.02,66803163,65793000,996000,1
3.41,2.69,0.06,179603551,178671000,1003000,1
9.77,7.74,0.17,503340881,501359000,1997000,1
0.84,0.67,0.02,44025874,42103000,1958000,1
1.32,1.04,0.02,70240043,70285000,0,1
0.73,0.56,0.01,41284399,39336000,1966000,1
0.51,0.38,0.01,32398341,31411000,1013000,1
3.02,2.45,0.05,139760270,139454000,0,1
7.95,6.34,0.14,400919282,398827000,1999000,1
9.8,7.76,0.17,503683609,502576000,999000,1
0.41,0.3,0.01,27366785,27385000,0,1
1.31,1.04,0.02,66402258,64442000,1982000,1
2.81,2.27,0.05,135184526,132256000,3005000,1
0.75,0.57,0.02,45446982,43500000,1977000,1
0.53,0.39,0.01,33728069,31466000,2030000,1
1.25,1,0.02,59887511,58889000,998000,1
5.34,4.23,0.09,273736236,270820000,2986000,1
1.65,1.32,0.03,80443755,78453000,2011000,1
8.51,6.99,0.13,375830177,374883000,1002000,1
10.95,8.69,0.19,560659049,557555000,2997000,1
1.28,1.02,0.02,64436330,63455000,991000,1
1.41,1.15,0.02,64946388,63964000,999000,1
5.88,4.68,0.1,298082426,296983000,999000,1
0.85,0.66,0.02,46290085,44245000,2011000,1
0.47,0.35,0.01,29520854,27506000,2037000,1
1.65,1.33,0.03,79031467,76100000,2964000,1
7.82,6.31,0.13,374414259,372471000,1997000,1
0.8,0.63,0.01,43264667,41321000,1967000,1
1.81,1.46,0.03,86338166,85351000,1004000,1
0.63,0.48,0.01,36327610,36365000,0,1
6.04,4.81,0.1,306260026,305156000,1000000,1
0.66,0.51,0.01,37316438,36301000,1008000,1
3.46,2.73,0.06,179533878,178513000,997000,1
0.41,0.31,0.01,24144245,23159000,1006000,1
0.6,0.46,0.01,32203254,30211000,2014000,1
7.77,6.22,0.13,383025306,382056000,1000000,1
1.3,1.04,0.02,63134748,62132000,1002000,1
0.47,0.36,0.01,25366965,22458000,2929000,1
0.44,0.34,0.01,23977738,22965000,998000,1
0.75,0.59,0.01,40638052,37692000,2975000,1
1.59,1.27,0.03,78701964,76695000,2018000,1
0.72,0.56,0.01,38015401,36101000,1951000,1
1.4,1.11,0.02,69872233,67852000,1995000,1
0.66,0.51,0.01,36743725,35736000,1021000,1
4.57,3.72,0.07,210462665,204442000,6013000,1
0.42,0.32,0.01,24219356,23229000,1009000,1
1.38,1.1,0.02,69560850,67561000,2016000,1
2.53,1.99,0.05,133257486,132154000,1001000,1
6.62,5.29,0.11,330464587,330478000,0,1
0.67,0.52,0.01,37859082,36843000,1023000,1
1.36,1.08,0.02,69177642,68175000,1002000,1
1.36,1.08,0.02,68827234,66883000,1967000,1
2.55,2.03,0.04,126941063,125874000,999000,1
0.68,0.51,0.01,42156352,41050000,1001000,1
10.01,7.98,0.17,493202695,491978000,999000,1
1.24,0.99,0.02,61499433,60494000,991000,1
2.86,2.31,0.05,136637692,136547000,0,1
1.82,1.47,0.03,87700457,86682000,996000,1
10.53,8.51,0.17,498879228,497824000,999000,1
1.29,1.03,0.02,62974636,59985000,2950000,1
0.5,0.37,0.01,30911209,29948000,998000,1
1.26,1,0.02,64260731,63273000,1004000,1
1.21,0.97,0.02,58326923,57321000,988000,1
0.38,0.28,0.01,22984507,20050000,3007000,1
0.79,0.62,0.01,41883946,36873000,4982000,1
5.17,4.21,0.08,236667241,234722000,1997000,1
1.29,1.03,0.02,63938660,61871000,1964000,1
11,8.73,0.19,559560647,558576000,1001000,1
4.7,3.82,0.07,215734917,214764000,1003000,1
0.77,0.59,0.01,43177360,41232000,2011000,1
1.75,1.39,0.03,90554742,86302000,4014000,2
1.78,1.42,0.03,89615536,86594000,2986000,2
2.22,1.76,0.04,112723611,109701000,2991000,2
2.36,1.99,0.03,91758157,86638000,4979000,2
0.99,0.77,0.02,53383214,49499000,3959000,2
1.82,1.47,0.03,88848022,86851000,1996000,2
1.93,1.59,0.03,85106759,82042000,3001000,2
1.8,1.45,0.03,88020574,82013000,6000000,2
0.76,0.59,0.01,43226544,40151000,3011000,2
0.81,0.63,0.02,43749838,42754000,994000,2
1.64,1.3,0.03,84388387,81375000,3013000,2
1.71,1.35,0.03,89319825,88382000,1004000,2
1.86,1.51,0.03,87199998,83119000,3958000,2
1.77,1.42,0.03,87079166,84105000,3003000,2
0.76,0.58,0.01,44459200,41277000,3020000,2
0.74,0.55,0.02,45597981,41670000,3968000,2
0.78,0.6,0.02,45314413,43222000,2010000,2
1.85,1.5,0.03,87646444,83642000,3982000,2
0.75,0.57,0.02,44998169,40996000,3999000,2
0.76,0.59,0.01,41894870,37813000,4087000,2
1.9,1.53,0.03,93023762,88990000,3999000,2
1.9,1.53,0.03,89304097,87259000,2005000,2
1.72,1.37,0.03,86117374,84145000,2003000,2
1.72,1.36,0.03,89609092,87615000,1991000,2
0.84,0.64,0.02,48745903,46678000,1986000,2
1.84,1.5,0.03,85914038,85818000,0,2
1.79,1.43,0.03,86761607,84762000,1994000,2
1.92,1.57,0.03,86716164,85663000,996000,2
1.77,1.43,0.03,85316136,81268000,4013000,2
3.75,3.05,0.06,173137407,172054000,1000000,2
1.82,1.47,0.03,86421104,84459000,1987000,2
2.13,1.68,0.04,111039469,99929000,10992000,2
1.79,1.42,0.03,91299412,88267000,3009000,2
0.76,0.59,0.01,42915640,39904000,2992000,2
0.73,0.56,0.01,43303507,40362000,2953000,2
0.8,0.62,0.02,43529402,40607000,2971000,2
0.78,0.6,0.01,44496686,41505000,2964000,2
1.79,1.43,0.03,88183881,85184000,3006000,2
1.92,1.53,0.03,94813627,93812000,1008000,2
1.79,1.44,0.03,85656321,83657000,1991000,2
0.74,0.57,0.01,42543323,40566000,1978000,2
1.82,1.46,0.03,88273375,84265000,4012000,2
0.89,0.69,0.02,47899902,45863000,2038000,2
0.78,0.6,0.01,42857229,40807000,2040000,2
1.8,1.44,0.03,87185250,82165000,5010000,2
0.75,0.57,0.02,44063539,41165000,2940000,2
0.76,0.58,0.01,41536165,39556000,1977000,2
0.82,0.63,0.02,47366168,44365000,3024000,2
3.47,2.78,0.06,169428733,162375000,6973000,2
1.75,1.4,0.03,86419966,84410000,2009000,2
0.81,0.65,0.01,38480638,38525000,0,2
1.76,1.41,0.03,87017375,83017000,4000000,2
1.76,1.4,0.03,88590237,83557000,4973000,2
1.82,1.45,0.03,92010807,88976000,2999000,2
0.76,0.59,0.01,41347139,40357000,984000,2
0.76,0.59,0.01,41687045,39706000,1985000,2
3.3,2.64,0.05,159904141,156844000,3016000,2
1.8,1.44,0.03,89201478,86231000,3008000,2
