@relation problema-weka.filters.unsupervised.attribute.Remove-R3-8

@attribute pkg numeric
@attribute cores numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
3.08,2.47,0
2.92,2.33,0
3.04,2.45,0
3.16,2.56,0
3.08,2.48,0
3.08,2.49,0
3.18,2.56,0
0.62,0.48,0
2.08,1.71,0
3.23,2.62,0
3.14,2.54,0
3.13,2.5,0
0.17,0.12,0
0.62,0.47,0
0.62,0.47,0
0.71,0.59,0
3.08,2.48,0
0.71,0.55,0
3.19,2.58,0
1.81,1.45,0
3.16,2.53,0
3.14,2.53,0
3.12,2.51,0
3.31,2.68,0
3.21,2.6,0
0.64,0.5,0
3.19,2.59,0
1.92,1.54,0
3.2,2.58,0
3.21,2.6,0
3.11,2.5,0
0.61,0.47,0
3.21,2.59,0
3.16,2.56,0
0.63,0.49,0
3.16,2.54,0
3.19,2.58,0
0.63,0.47,0
3.12,2.5,0
1.82,1.48,0
0.61,0.47,0
0.63,0.48,0
0.62,0.47,0
3.15,2.54,0
3.13,2.53,0
3.2,2.6,0
3.08,2.49,0
3.1,2.49,0
3.08,2.49,0
3.2,2.59,0
0.63,0.48,0
3.21,2.61,0
3.17,2.57,0
1.96,1.56,0
0.65,0.51,0
0.66,0.52,0
3.2,2.59,0
3.25,2.63,0
3.01,2.43,0
0.74,0.58,0
3.2,2.6,0
0.64,0.49,0
0.65,0.5,0
3.13,2.52,0
1.64,1.28,0
3.26,2.65,0
3.23,2.63,0
3.32,2.69,0
3.22,2.6,0
1.86,1.49,0
3.2,2.59,0
1.76,1.41,0
3.3,2.67,0
3.15,2.54,0
1.83,1.46,0
0.62,0.48,0
3.17,2.55,0
0.63,0.48,0
3.24,2.63,0
3.31,2.68,0
6.61,5.38,1
1,0.78,1
0.66,0.5,1
1.82,1.46,1
3.64,2.95,1
0.42,0.32,1
3.5,2.76,1
0.86,0.65,1
3.49,2.83,1
4.48,3.62,1
1.32,1.06,1
3.41,2.69,1
9.77,7.74,1
0.84,0.67,1
1.32,1.04,1
0.73,0.56,1
0.51,0.38,1
3.02,2.45,1
7.95,6.34,1
9.8,7.76,1
0.41,0.3,1
1.31,1.04,1
2.81,2.27,1
0.75,0.57,1
0.53,0.39,1
