@relation problema-weka.filters.unsupervised.attribute.Remove-R1-5

@attribute duration_time numeric
@attribute user_time numeric
@attribute system_time numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
153563545,127273000,26056000,0
148768240,122779000,25953000,0
147823987,116796000,30945000,0
150864661,122751000,28172000,0
148302854,127413000,20903000,0
148221978,109157000,39056000,0
154893629,118616000,36187000,0
35650261,34650000,1019000,0
90177816,59465000,30723000,0
152413484,110303000,42115000,0
151619777,124544000,27118000,0
155828061,129789000,25957000,0
11963033,7388000,4617000,0
35296162,31394000,3924000,0
35885817,34870000,1025000,0
31185933,29139000,2009000,0
149509416,112393000,37130000,0
40309658,39321000,1008000,0
151604871,124619000,26917000,0
89196802,60462000,28744000,0
154923057,136936000,17991000,0
152554535,128477000,24089000,0
150009092,130017000,20002000,0
156670540,124542000,32140000,0
150457529,123337000,27074000,0
36402363,32467000,3935000,0
148839473,124064000,24812000,0
95096698,68097000,27038000,0
151688083,123795000,27953000,0
151647325,118715000,32921000,0
149066320,124040000,25008000,0
35576701,33551000,2033000,0
153573877,121671000,31913000,0
149388986,118525000,30876000,0
35384905,33362000,2021000,0
151934013,126953000,24990000,0
150379849,115510000,34852000,0
37297437,35278000,2015000,0
152767680,132804000,19970000,0
83255194,55147000,28075000,0
35615027,33649000,1979000,0
36001323,35027000,1000000,0
37421801,36438000,1012000,0
151244880,127199000,24037000,0
149532595,123448000,26094000,0
148645075,123528000,25107000,0
146824261,111138000,35723000,0
150325142,127443000,22900000,0
146387676,125353000,21059000,0
149537888,119636000,29909000,0
38293778,33390000,4910000,0
149517852,120416000,29100000,0
148459909,125274000,23050000,0
98218946,96232000,2004000,0
34926127,33941000,998000,0
35554681,33620000,1977000,0
150636804,130576000,19935000,0
152956595,128800000,24150000,0
144973141,112777000,32222000,0
38083131,37015000,1000000,0
148816013,121844000,26965000,0
35530866,34599000,988000,0
36782566,35853000,995000,0
151959347,117960000,33988000,0
87008919,67946000,18984000,0
150848648,118676000,32183000,0
148315635,131244000,17031000,0
155018671,127113000,27806000,0
154712766,131669000,23117000,0
91083340,64075000,27031000,0
149027574,127199000,21862000,0
86301235,60212000,26092000,0
154775470,128828000,25965000,0
149939326,127804000,22139000,0
89428450,64312000,25121000,0
35490061,33519000,2031000,0
153028109,124911000,27980000,0
35554167,33509000,1971000,0
149904977,115158000,34746000,0
153409548,130314000,23055000,0
309653059,308455000,1001000,1
53956728,51973000,1998000,1
39538548,38560000,988000,1
89361224,88383000,1004000,1
169902539,168824000,998000,1
24382994,23419000,1018000,1
183000207,182044000,994000,1
51836206,48798000,3053000,1
162916183,161922000,999000,1
214720638,213754000,998000,1
66803163,65793000,996000,1
179603551,178671000,1003000,1
503340881,501359000,1997000,1
44025874,42103000,1958000,1
70240043,70285000,0,1
41284399,39336000,1966000,1
32398341,31411000,1013000,1
139760270,139454000,0,1
400919282,398827000,1999000,1
