@relation problema
@attribute 'pkg' real
@attribute 'cores' real
@attribute 'ram' real
@attribute 'gpu' real
@attribute 'psys' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
3.05,2.45,0.00,0.05,0.00,152281453,121219000,30801000,0
3.16,2.58,0.00,0.05,0.00,146388581,125260000,21043000,0
3.01,2.43,0.00,0.05,0.00,145412324,126364000,19054000,0
3.13,2.52,0.00,0.05,0.00,152846899,127068000,25810000,0
3.04,2.48,0.00,0.05,0.00,142336912,111434000,30843000,0
3.15,2.54,0.00,0.05,0.00,154342297,127466000,26887000,0
3.02,2.43,0.00,0.05,0.00,150020294,128180000,21860000,0
0.65,0.51,0.00,0.01,0.00,36361153,35311000,1008000,0
1.79,1.43,0.00,0.03,0.00,90307097,62217000,28098000,0
3.31,2.69,0.00,0.05,0.00,155219633,133194000,22032000,0
3.18,2.56,0.00,0.05,0.00,155440108,132393000,23068000,0
3.21,2.62,0.00,0.05,0.00,147623446,122219000,25045000,0
0.36,0.27,0.00,0.01,0.00,23806745,21831000,1984000,0
0.61,0.47,0.00,0.01,0.00,35175559,33161000,2009000,0
0.65,0.50,0.00,0.01,0.00,36650942,34686000,1982000,0
0.63,0.49,0.00,0.01,0.00,34642788,33631000,1019000,0
3.12,2.52,0.00,0.05,0.00,150133792,128130000,22022000,0
0.79,0.63,0.00,0.01,0.00,39555454,38548000,1014000,0
3.19,2.58,0.00,0.05,0.00,151786171,119835000,31956000,0
1.82,1.46,0.00,0.03,0.00,92441300,66593000,25842000,0
3.05,2.46,0.00,0.05,0.00,149920119,120868000,28968000,0
3.17,2.56,0.00,0.05,0.00,151968166,114910000,36971000,0
3.04,2.45,0.00,0.05,0.00,147297403,129311000,18043000,0
3.22,2.60,0.00,0.05,0.00,152835810,135740000,17093000,0
3.15,2.55,0.00,0.05,0.00,149163381,122125000,27027000,0
0.68,0.52,0.00,0.01,0.00,39003303,38070000,1001000,0
3.39,2.75,0.00,0.05,0.00,160840474,128668000,32167000,0
2.08,1.65,0.00,0.04,0.00,106793514,75492000,31203000,0
3.16,2.55,0.00,0.05,0.00,151187052,128143000,23025000,0
3.05,2.46,0.00,0.05,0.00,148416865,123348000,25070000,0
3.09,2.48,0.00,0.05,0.00,153488276,127416000,26085000,0
0.69,0.54,0.00,0.01,0.00,36222255,33199000,3018000,0
3.09,2.50,0.00,0.05,0.00,148025834,127064000,21010000,0
3.10,2.48,0.00,0.05,0.00,153323654,128283000,25055000,0
0.64,0.48,0.00,0.01,0.00,38965281,36993000,1999000,0
3.05,2.46,0.00,0.05,0.00,147411269,120344000,27077000,0
3.09,2.49,0.00,0.05,0.00,149794801,121848000,27965000,0
0.67,0.52,0.00,0.01,0.00,37410772,36436000,984000,0
3.23,2.64,0.00,0.05,0.00,144749653,119614000,25129000,0
1.78,1.42,0.00,0.03,0.00,88443531,64617000,23858000,0
0.64,0.50,0.00,0.01,0.00,36410482,34479000,1970000,0
0.69,0.54,0.00,0.01,0.00,36463929,34512000,1972000,0
0.61,0.46,0.00,0.01,0.00,36870333,34894000,1993000,0
3.13,2.53,0.00,0.05,0.00,150812847,129853000,20976000,0
3.11,2.52,0.00,0.05,0.00,148533953,119606000,28904000,0
3.06,2.47,0.00,0.05,0.00,147997650,115998000,31999000,0
3.12,2.51,0.00,0.05,0.00,150975738,130988000,19998000,0
3.09,2.49,0.00,0.05,0.00,150923519,123660000,27144000,0
3.09,2.50,0.00,0.05,0.00,147431950,126283000,21047000,0
3.20,2.56,0.00,0.05,0.00,156165513,121268000,34790000,0
