file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
6898337.exe , 17.12, 14.03,  0.00,  0.26,  0.00,  766405660,  766247000,          0
6919345.exe , 87.31, 71.71,  0.00,  1.30,  0.00, 3828231511, 3692783000,  134992000
6993680.exe , 22.69, 18.69,  0.00,  0.34,  0.00,  991288602,  990208000,    1000000
720324.exe  , 27.32, 22.42,  0.00,  0.41,  0.00, 1205281726, 1080365000,  124926000
7341220.exe , 44.65, 36.99,  0.00,  0.65,  0.00, 1898582591, 1896530000,    1999000
7465111.exe , 23.97, 19.64,  0.00,  0.36,  0.00, 1067105495,  919065000,  148010000
7649680.exe , 91.01, 74.74,  0.00,  1.36,  0.00, 3999674256, 3857253000,  142009000
7721509.exe ,  2.60,  2.08,  0.00,  0.04,  0.00,  124114608,    4999000,    4706000
7926038.exe , 42.39, 34.95,  0.00,  0.62,  0.00, 1838943978, 1837662000,     999000
8240027.exe , 44.17, 36.42,  0.00,  0.65,  0.00, 1916527510, 1915318000,    1000000
8459493.exe , 38.56, 31.63,  0.00,  0.58,  0.00, 1712018352, 1574048000,  137916000
8578083.exe , 32.02, 26.38,  0.00,  0.47,  0.00, 1392479093, 1390291000,    1998000
8602618.exe , 24.82, 20.34,  0.00,  0.37,  0.00, 1103621551,  970655000,  132952000
919709.exe  , 57.14, 46.81,  0.00,  0.86,  0.00, 2521758667, 2363183000,  158012000
976549.exe  , 96.90, 79.65,  0.00,  1.44,  0.00, 4242189712, 4091696000,  149988000
