file,cfgrind_time
1103772.exe,4327600804
1155269.exe,10748147674
1172017.exe,4896876407
1265468.exe,10079571631
1346726.exe,10570341877
1482288.exe,4882067910
1558669.exe,4681769202
1881529.exe,11102777956
1892033.exe,4200186596
1992578.exe,4773798551
1997898.exe,4869742176
2040953.exe,10925498760
2079377.exe,4781137031
2396518.exe,4714186871
2417063.exe,4660022973
2475670.exe,4179895407
2553709.exe,4143059013
2677632.exe,3811899267
2683511.exe,10951075557
2684432.exe,10612740782
2736927.exe,4794326088
2918721.exe,10670849574
2969923.exe,4264313246
3005234.exe,4753758779
3046173.exe,4850941567
3321447.exe,9878662042
3467583.exe,4782138106
3716781.exe,5766028586
3730870.exe,4736224220
3856382.exe,9906704068
3872603.exe,10858823605
4039956.exe,10943469071
4042441.exe,5385517312
4124395.exe,4582079948
4136556.exe,5080634737
4168672.exe,3564133065
4173136.exe,3611069028
4198999.exe,4857109698
4232821.exe,10218976049
4445432.exe,4784869578
4514265.exe,4941349233
4549636.exe,4176608961
4732044.exe,3680715946
4981197.exe,3716931610
5022885.exe,5932053385
5026025.exe,10692407072
5445826.exe,4916734429
5681711.exe,4125821019
5733034.exe,4890552462
5804368.exe,4655351844
5810439.exe,4766370809
5822321.exe,6611551396
5916532.exe,4713783216
5924646.exe,9418268711
595020.exe,10868437306
6293397.exe,4771442699
6293413.exe,4695741394
6345192.exe,6001257823
6370353.exe,10227949326
6377946.exe,4770563627
6456798.exe,10820402961
6842210.exe,13722136573
7004988.exe,4719042943
7032575.exe,4805893005
7050720.exe,10723927512
7358513.exe,10645921590
7367344.exe,11257338743
7386755.exe,10895301832
7479126.exe,10671701500
7481054.exe,4797103341
7491295.exe,3474615673
7602594.exe,5496456797
7787632.exe,3945445926
7819092.exe,4836586061
8030161.exe,10930826670
8035104.exe,9520156845
8461983.exe,10437903383
8600751.exe,3414068705
8704020.exe,3465305011
899348.exe,4871768476
