@relation problema-weka.filters.unsupervised.attribute.Remove-R3-5

@attribute pkg numeric
@attribute cores numeric
@attribute duration_time numeric
@attribute user_time numeric
@attribute system_time numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
1.44,1.39,148601568,118220000,30056000,0
0.3,0.3,24947949,23944000,997000,0
1.51,1.47,129942459,96949000,32982000,0
1.51,1.46,130793603,108819000,21963000,0
1.72,1.68,132790955,103585000,28884000,0
0.96,0.92,90686602,67735000,22910000,0
1.53,1.48,130911609,104873000,25968000,0
1.54,1.49,130878171,94895000,35960000,0
1.48,1.43,127794719,100827000,26953000,0
0.31,0.31,25133272,24120000,1005000,0
1.53,1.48,130761472,112649000,18104000,0
0.31,0.3,25085163,22985000,1998000,0
1.53,1.49,131979425,97980000,33993000,0
1.53,1.49,130496631,99607000,30878000,0
0.31,0.3,24905371,23911000,996000,0
0.88,0.85,67868582,65851000,1995000,0
0.31,0.3,24684271,21707000,2960000,0
1.5,1.46,130214292,103167000,27043000,0
1.52,1.47,130027503,106019000,24004000,0
1.51,1.47,129923177,87615000,42297000,0
0.48,0.46,46992254,45741000,994000,1
1.88,1.8,201304103,200161000,1000000,1
3.49,3.36,372773146,371755000,999000,1
0.3,0.29,28992373,27082000,1934000,1
0.49,0.47,47723888,46713000,993000,1
3.45,3.31,373440439,371372000,1996000,1
0.46,0.44,46519879,45510000,1011000,1
0.49,0.47,47149593,46067000,1001000,1
0.26,0.26,30225703,29216000,1007000,1
0.43,0.42,46380663,46264000,0,1
0.44,0.42,46802390,45801000,995000,1
0.89,0.86,87225245,86223000,1002000,1
0.18,0.17,17427878,16399000,1024000,1
0.26,0.26,26246615,24215000,2017000,1
0.46,0.45,48986734,47862000,997000,1
3.3,3.16,374540448,373360000,1000000,1
0.47,0.45,45217094,44202000,1004000,1
0.49,0.47,48676037,46677000,1986000,1
0.46,0.45,45044352,43925000,998000,1
0.23,0.22,22876431,20937000,1903000,1
0.4,0.39,39026659,33944000,4849000,2
0.42,0.41,34291482,29268000,4878000,2
0.39,0.38,32207167,30252000,1951000,2
0.83,0.81,65011300,62968000,2031000,2
0.41,0.39,33196843,31096000,2006000,2
0.41,0.39,34422094,33401000,1012000,2
0.86,0.84,67909426,61898000,5990000,2
0.8,0.77,64011586,61988000,1999000,2
0.42,0.4,34173950,32042000,2002000,2
0.46,0.44,36699690,36721000,0,2
0.84,0.82,65910185,63892000,1996000,2
0.83,0.81,67062388,64034000,3001000,2
0.39,0.37,32710419,30720000,1981000,2
0.8,0.78,63794910,60767000,2988000,2
0.83,0.8,64692440,59686000,4973000,2
0.75,0.72,67325030,65310000,2009000,2
0.79,0.77,64006046,63001000,1000000,2
0.44,0.43,38279716,30210000,8056000,2
0.9,0.86,82238283,75111000,7010000,2
0.75,0.72,68874629,67869000,998000,2
2.67,2.58,253360242,189772000,63257000,3
3.14,3.03,281363257,223180000,58047000,3
1.26,1.22,112659905,101550000,11059000,3
3.17,3.07,285239249,216154000,69049000,3
3.1,2.99,303729924,250682000,52932000,3
1.71,1.66,143251788,139223000,4006000,3
1.04,1.01,95169745,91105000,4004000,3
3.2,3.09,284462710,217324000,67100000,3
3.18,3.08,282986119,224963000,57990000,3
0.92,0.88,93029019,86088000,6926000,3
