@relation problema-weka.filters.unsupervised.attribute.Remove-R3-8

@attribute pkg numeric
@attribute cores numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
1.44,1.39,0
0.3,0.3,0
1.51,1.47,0
1.51,1.46,0
1.72,1.68,0
0.96,0.92,0
1.53,1.48,0
1.54,1.49,0
1.48,1.43,0
0.31,0.31,0
1.53,1.48,0
0.31,0.3,0
1.53,1.49,0
1.53,1.49,0
0.31,0.3,0
0.88,0.85,0
0.31,0.3,0
1.5,1.46,0
1.52,1.47,0
1.51,1.47,0
0.48,0.46,1
1.88,1.8,1
3.49,3.36,1
0.3,0.29,1
0.49,0.47,1
3.45,3.31,1
0.46,0.44,1
0.49,0.47,1
0.26,0.26,1
0.43,0.42,1
0.44,0.42,1
0.89,0.86,1
0.18,0.17,1
0.26,0.26,1
0.46,0.45,1
3.3,3.16,1
0.47,0.45,1
0.49,0.47,1
0.46,0.45,1
0.23,0.22,1
0.4,0.39,2
0.42,0.41,2
0.39,0.38,2
0.83,0.81,2
0.41,0.39,2
0.41,0.39,2
0.86,0.84,2
0.8,0.77,2
0.42,0.4,2
0.46,0.44,2
0.84,0.82,2
0.83,0.81,2
0.39,0.37,2
0.8,0.78,2
0.83,0.8,2
0.75,0.72,2
0.79,0.77,2
0.44,0.43,2
0.9,0.86,2
0.75,0.72,2
2.67,2.58,3
3.14,3.03,3
1.26,1.22,3
3.17,3.07,3
3.1,2.99,3
1.71,1.66,3
1.04,1.01,3
3.2,3.09,3
3.18,3.08,3
0.92,0.88,3
1.04,1.01,3
0.98,0.95,3
2.42,2.34,3
1.14,1.1,3
1.07,1.03,3
3.21,3.11,3
1.09,1.05,3
3.2,3.1,3
0.93,0.89,3
2.44,2.35,3
1.99,1.9,4
2.72,2.63,4
2.03,1.95,4
1.15,1.11,4
1.08,1.05,4
2.17,2.08,4
1.11,1.07,4
1.23,1.18,4
2.6,2.52,4
2.77,2.66,4
2.01,1.94,4
1.87,1.8,4
1.88,1.82,4
1.96,1.88,4
2.26,2.18,4
1.89,1.83,4
2.68,2.59,4
2.17,2.08,4
2.31,2.23,4
1.92,1.85,4
2.17,2.08,5
2,1.93,5
1.96,1.9,5
1.46,1.4,5
2.7,2.6,5
3.28,3.16,5
1.95,1.88,5
2.9,2.8,5
1.91,1.84,5
1.56,1.5,5
1.58,1.51,5
2.84,2.74,5
1.91,1.84,5
2.01,1.94,5
2.64,2.55,5
1.57,1.51,5
1.8,1.74,5
1.97,1.91,5
2.07,1.99,5
1.93,1.86,5
2.37,2.27,6
0.98,0.95,6
3.14,3.02,6
2.56,2.49,6
0.87,0.84,6
3.87,3.72,6
5.03,4.85,6
3.55,3.41,6
2.43,2.36,6
3.91,3.79,6
1.4,1.36,6
2.52,2.46,6
3.08,2.99,6
1.4,1.36,6
3.42,3.3,6
1.2,1.15,6
1.23,1.18,6
3.83,3.69,6
3,2.91,6
0.92,0.91,6
1.03,1,7
4.14,3.96,7
3.65,3.48,7
4.88,4.71,7
2.85,2.74,7
3.96,3.78,7
1.45,1.42,7
3.66,3.5,7
4.04,3.87,7
1.05,1.02,7
4.15,3.98,7
3.23,3.11,7
2.23,2.17,7
1.28,1.23,7
1.16,1.14,7
2.21,2.12,7
3.61,3.45,7
1.28,1.25,7
1.09,1.05,7
2.99,2.88,7
2.06,1.97,8
3.03,2.92,8
0.97,0.94,8
1.71,1.64,8
1.53,1.48,8
1.41,1.35,8
1.76,1.7,8
1.81,1.76,8
4.89,4.72,8
1.78,1.73,8
2.69,2.59,8
2.37,2.29,8
1.43,1.38,8
3.55,3.42,8
1.45,1.41,8
2.18,2.11,8
2.5,2.4,8
5.03,4.87,8
4.4,4.25,8
1.43,1.38,8
0.53,0.51,9
0.2,0.19,9
0.14,0.15,9
0.03,0.03,9
0.13,0.13,9
0.03,0.03,9
0.48,0.47,9
0.43,0.42,9
0.2,0.21,9
0.04,0.04,9
0.23,0.23,9
0.18,0.18,9
0.15,0.14,9
0.04,0.04,9
0.23,0.22,9
0.21,0.2,9
0.52,0.5,9
0.16,0.16,9
0.15,0.16,9
0.15,0.14,9
0.53,0.52,10
1.15,1.12,10
0.53,0.53,10
1.3,1.27,10
0.92,0.88,10
0.68,0.66,10
0.74,0.71,10
0.8,0.77,10
1.36,1.31,10
1.32,1.27,10
1.15,1.12,10
1.13,1.1,10
0.82,0.79,10
0.79,0.75,10
1.37,1.33,10
1.4,1.36,10
1.57,1.52,10
0.52,0.5,10
1.15,1.12,10
0.82,0.78,10
0.67,0.66,11
0.61,0.59,11
5.51,5.33,11
0.74,0.72,11
1.11,1.07,11
0.56,0.54,11
0.71,0.68,11
0.03,0.03,11
0.64,0.63,11
1.09,1.06,11
0.58,0.57,11
0.95,0.93,11
3.78,3.62,11
0.61,0.59,11
0.82,0.79,11
0.65,0.64,11
0.61,0.59,11
0.72,0.69,11
3.79,3.69,11
0.67,0.65,11
0.43,0.42,12
0.47,0.46,12
0.64,0.62,12
1.22,1.18,12
1.17,1.14,12
0.48,0.46,12
1.19,1.16,12
2.56,2.47,12
0.76,0.74,12
1.18,1.15,12
0.39,0.38,12
0.35,0.34,12
0.39,0.37,12
1.13,1.1,12
1.01,0.97,12
1.1,1.06,12
1.37,1.32,12
1.27,1.22,12
0.49,0.47,12
0.49,0.48,12
0.34,0.33,13
0.13,0.13,13
0.12,0.12,13
0.24,0.23,13
0.11,0.11,13
0.32,0.32,13
0.31,0.3,13
0.1,0.11,13
0.3,0.29,13
0.29,0.29,13
0.31,0.29,13
0.31,0.31,13
0.16,0.15,13
0.29,0.28,13
0.35,0.34,13
0.32,0.31,13
0.28,0.27,13
0.12,0.11,13
0.29,0.29,13
0.29,0.29,13
2.08,2.01,14
1.54,1.49,14
2,1.93,14
1.47,1.41,14
1.77,1.7,14
1.21,1.16,14
1.35,1.3,14
0.68,0.66,14
1.56,1.5,14
2.12,2.04,14
2.14,2.07,14
2.07,1.99,14
1.27,1.22,14
0.52,0.51,14
1.96,1.88,14
1.37,1.32,14
1.29,1.24,14
2.06,1.98,14
2.19,2.11,14
1.92,1.86,14
0.64,0.62,15
0.63,0.6,15
1.61,1.57,15
0.57,0.55,15
0.58,0.56,15
1.61,1.57,15
1.68,1.63,15
0.56,0.54,15
2.22,2.16,15
0.55,0.53,15
0.58,0.56,15
0.63,0.61,15
1.72,1.67,15
0.57,0.56,15
0.63,0.62,15
0.6,0.59,15
0.58,0.56,15
0.63,0.61,15
0.6,0.59,15
0.6,0.58,15
1.08,1.03,16
1.68,1.62,16
1.6,1.55,16
1.26,1.2,16
1.74,1.68,16
0.88,0.85,16
1.48,1.44,16
1.65,1.59,16
1.56,1.5,16
1.65,1.6,16
1.59,1.53,16
1.56,1.5,16
1.79,1.74,16
3.42,3.29,16
4.49,4.37,16
1.35,1.31,16
1.44,1.39,16
1.77,1.71,16
3.7,3.6,16
1.78,1.74,16
3.33,3.2,17
3.69,3.56,17
5.94,5.76,17
3.42,3.29,17
3.37,3.25,17
3.55,3.42,17
3.45,3.33,17
3.91,3.78,17
3.09,2.96,17
3.41,3.26,17
4.95,4.8,17
3.41,3.26,17
3.53,3.39,17
1.12,1.08,17
3.14,3.01,17
3.45,3.3,17
4.43,4.3,17
3.17,3.04,17
3.13,2.99,17
3.98,3.85,17
1.35,1.29,18
1.01,0.96,18
1.57,1.5,18
2.83,2.74,18
5.69,5.48,18
4.27,4.07,18
0.84,0.81,18
1.77,1.69,18
2.72,2.61,18
1.31,1.26,18
1.66,1.59,18
1.57,1.49,18
1.07,1.04,18
1.54,1.49,18
1.33,1.3,18
1.63,1.55,18
1.16,1.13,18
1.68,1.61,18
4.21,4.01,18
1.55,1.48,18
3.01,2.89,19
1.31,1.26,19
1.07,1.02,19
1.08,1.05,19
1.07,1.03,19
3.66,3.53,19
3.76,3.63,19
1.07,1.04,19
1.07,1.03,19
1,0.96,19
1.1,1.06,19
1.34,1.28,19
1.08,1.04,19
1.65,1.58,19
1.57,1.5,19
4.31,4.16,19
0.96,0.91,19
0.46,0.44,19
1.03,0.99,19
1.08,1.05,19
0.23,0.22,20
0.15,0.16,20
0.32,0.3,20
0.02,0.02,20
0.32,0.32,20
0.27,0.27,20
0.19,0.18,20
0.3,0.29,20
0.3,0.3,20
0.01,0.01,20
0.37,0.36,20
0.35,0.33,20
0.37,0.36,20
0.38,0.37,20
0.22,0.21,20
0.29,0.27,20
0.38,0.36,20
0.2,0.2,20
0.37,0.36,20
0.29,0.27,20
0.04,0.04,21
0.14,0.14,21
1.55,1.5,21
2.14,2.07,21
0.05,0.05,21
4.94,4.78,21
0.03,0.03,21
1.57,1.52,21
0.15,0.15,21
2.7,2.62,21
0.2,0.2,21
2.05,1.97,21
0.05,0.04,21
0.11,0.11,21
0.04,0.04,21
0.09,0.09,21
0.05,0.05,21
1.66,1.62,21
2.57,2.48,21
0.25,0.25,21
0.14,0.13,22
0.28,0.27,22
0.15,0.14,22
0.3,0.3,22
0.31,0.29,22
0.14,0.13,22
0.52,0.5,22
0.13,0.12,22
0.29,0.29,22
0.1,0.09,22
0.37,0.35,22
0.29,0.28,22
0.13,0.13,22
0.12,0.12,22
0.28,0.27,22
0.11,0.12,22
0.12,0.12,22
0.13,0.13,22
0.27,0.27,22
0.3,0.29,22
1.56,1.51,23
0.75,0.74,23
1.43,1.38,23
0.7,0.67,23
0.77,0.75,23
0.64,0.61,23
0.8,0.77,23
1.6,1.55,23
1.38,1.35,23
1.41,1.37,23
0.67,0.65,23
1.43,1.38,23
0.7,0.68,23
0.74,0.71,23
1.49,1.45,23
0.7,0.67,23
0.65,0.63,23
0.7,0.68,23
0.72,0.7,23
1.43,1.39,23
1.66,1.62,24
0.65,0.63,24
0.72,0.7,24
1.33,1.29,24
0.63,0.62,24
0.63,0.61,24
0.67,0.65,24
0.75,0.72,24
0.69,0.67,24
0.99,0.96,24
0.57,0.55,24
0.71,0.68,24
0.67,0.65,24
1.43,1.39,24
0.66,0.64,24
0.62,0.6,24
0.64,0.62,24
0.71,0.68,24
0.67,0.66,24
0.83,0.81,24
0.72,0.69,25
0.78,0.75,25
0.76,0.74,25
0.74,0.73,25
0.77,0.75,25
0.79,0.77,25
0.79,0.76,25
0.72,0.71,25
0.81,0.78,25
0.74,0.72,25
0.75,0.72,25
0.73,0.71,25
0.72,0.7,25
1.46,1.42,25
0.74,0.72,25
0.74,0.72,25
0.72,0.7,25
1.51,1.47,25
1.45,1.41,25
0.78,0.75,25
1.53,1.48,26
1.31,1.28,26
0.59,0.57,26
0.63,0.61,26
0.95,0.91,26
1.32,1.28,26
1.32,1.28,26
0.63,0.61,26
0.59,0.57,26
0.75,0.72,26
0.7,0.67,26
0.75,0.72,26
0.63,0.61,26
1.22,1.17,26
0.61,0.59,26
1.37,1.34,26
3.02,2.91,26
0.62,0.6,26
0.22,0.22,26
1.31,1.27,26
2.25,2.18,27
2.15,2.09,27
0.85,0.82,27
2.22,2.16,27
0.87,0.84,27
0.87,0.85,27
0.9,0.87,27
2.19,2.13,27
2.14,2.08,27
0.88,0.84,27
0.87,0.84,27
2.15,2.09,27
2.18,2.12,27
0.86,0.84,27
0.88,0.85,27
2.17,2.12,27
2.2,2.14,27
0.85,0.82,27
0.89,0.86,27
0.92,0.89,27
1.42,1.37,28
1.51,1.48,28
1.6,1.55,28
2.09,2.04,28
3.45,3.34,28
2.38,2.31,28
3.6,3.49,28
1.52,1.48,28
2.32,2.26,28
1.72,1.67,28
2.5,2.42,28
1.33,1.3,28
1.35,1.32,28
1.66,1.6,28
1.82,1.76,28
1.35,1.3,28
1.36,1.32,28
2.12,2.07,28
1.23,1.2,28
3.16,3.06,28
0.31,0.3,29
0.51,0.5,29
0.41,0.39,29
1.75,1.69,29
0.47,0.46,29
0.2,0.2,29
0.29,0.28,29
0.3,0.29,29
0.67,0.65,29
1.94,1.86,29
0.49,0.48,29
1.1,1.06,29
0.5,0.48,29
0.43,0.41,29
0.5,0.48,29
0.31,0.29,29
0.28,0.28,29
0.53,0.51,29
0.48,0.47,29
0.43,0.42,29
5.34,5.18,30
1.55,1.51,30
1.84,1.77,30
1.37,1.33,30
1.14,1.1,30
2.72,2.63,30
1.8,1.74,30
2.47,2.4,30
1.36,1.32,30
2.36,2.28,30
2.38,2.31,30
4.57,4.43,30
2.07,2,30
1.88,1.82,30
1.32,1.28,30
2.06,1.99,30
1.71,1.65,30
1.38,1.35,30
3.7,3.58,30
1.52,1.47,30
1.29,1.24,31
0.75,0.73,31
1.79,1.74,31
1.68,1.61,31
1.25,1.2,31
1.27,1.22,31
2.11,2.03,31
0.15,0.15,31
0.93,0.9,31
1.44,1.39,31
1.28,1.23,31
1.36,1.31,31
1.29,1.25,31
1.31,1.26,31
1.36,1.31,31
1.3,1.25,31
1.41,1.37,31
1.44,1.4,31
0.12,0.13,31
0.13,0.13,31
