@relation problema
@attribute 'pkg' real
@attribute 'cores' real
@attribute 'ram' real
@attribute 'gpu' real
@attribute 'psys' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
1.61,1.56,0.07,0.00,4.09,133233260,99605000,33201000,0
0.31,0.31,0.01,0.00,0.75,25208342,24168000,1007000,0
1.57,1.53,0.07,0.00,4.02,133173616,103122000,30035000,0
1.56,1.51,0.07,0.00,4.01,130746110,105704000,24930000,0
1.54,1.49,0.07,0.00,3.92,129622384,97422000,32139000,0
0.99,0.95,0.05,0.00,2.64,90462565,55227000,35144000,0
1.53,1.48,0.07,0.00,3.95,130862150,106876000,23972000,0
1.55,1.50,0.07,0.00,3.96,131589406,96691000,34888000,0
1.54,1.50,0.07,0.00,3.83,128452366,106534000,21904000,0
0.32,0.31,0.01,0.00,0.79,25776448,23710000,1975000,0
1.55,1.51,0.07,0.00,3.96,131381571,92556000,38814000,0
0.32,0.31,0.02,0.00,0.82,25285380,23328000,1944000,0
1.55,1.50,0.07,0.00,4.00,129700702,99689000,29906000,0
1.52,1.48,0.07,0.00,3.95,129219279,96095000,33032000,0
0.33,0.33,0.01,0.00,0.83,26276593,25261000,1010000,0
0.92,0.90,0.04,0.00,2.22,69798269,66779000,2990000,0
0.32,0.32,0.01,0.00,0.78,25677954,23692000,1974000,0
1.54,1.49,0.07,0.00,3.98,129906260,102914000,26977000,0
1.52,1.47,0.07,0.00,3.95,131131739,95033000,36012000,0
1.46,1.41,0.07,0.00,3.85,130947274,99956000,30986000,0
0.53,0.51,0.03,0.00,1.47,54262959,52992000,999000,1
1.79,1.72,0.10,0.00,5.04,195678257,194670000,998000,1
16.36,15.80,0.80,0.00,42.13,1573912617,1572828000,999000,1
0.71,0.69,0.03,0.00,1.70,51075109,50058000,1001000,1
0.46,0.45,0.02,0.00,1.31,47922542,46917000,998000,1
16.11,15.55,0.80,0.00,41.78,1562672805,1561556000,999000,1
0.59,0.57,0.03,0.00,1.59,56503035,55513000,991000,1
0.55,0.53,0.03,0.00,1.51,54426390,53370000,1006000,1
0.44,0.43,0.03,0.00,1.42,55193553,54188000,1003000,1
0.49,0.46,0.03,0.00,1.44,54301625,52332000,1974000,1
0.70,0.67,0.04,0.00,2.01,76918962,75913000,998000,1
