@relation problema

@attribute pkg real
@attribute cpu real
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
3.175842,3.088196,0
3.130737,3.054932,0
3.159729,3.085449,0
3.127625,3.054749,0
3.138794,3.067139,0
3.153381,3.069763,0
3.133911,3.061218,0
3.166016,3.095459,0
3.16217,3.091248,0
3.157227,3.089722,0
3.101624,3.026428,0
3.128113,3.050232,0
3.109741,3.03418,0
3.136902,3.070496,0
3.099243,3.023804,0
3.326965,3.243103,0
3.115967,3.049438,0
3.127563,3.05188,0
3.114868,3.036377,0
3.118896,3.042908,0
3.124634,3.043091,0
3.087708,3.014526,0
3.117004,3.039001,0
3.109741,3.035217,0
3.116089,3.046082,0
3.103943,3.034912,0
3.077454,3.008667,0
3.115845,3.048645,0
3.143188,3.061584,0
3.134277,3.063721,0
3.148682,3.074768,0
3.122131,3.052917,0
3.148254,3.077637,0
3.121582,3.05011,0
3.09967,3.034668,0
3.119568,3.04364,0
3.112122,3.033936,0
3.128418,3.049194,0
3.116577,3.049011,0
3.120789,3.046082,0
3.145752,3.074585,0
3.103882,3.032898,0
3.124268,3.044189,0
3.129517,3.057251,0
3.14386,3.067749,0
3.103821,3.030518,0
3.156006,3.0802,0
3.106018,3.040344,0
3.104004,3.026672,0
3.095825,3.014648,0
3.152344,3.077087,0
3.139648,3.066223,0
3.111511,3.042908,0
3.115723,3.041382,0
3.119995,3.045044,0
3.105164,3.040161,0
3.163147,3.079102,0
3.131592,3.057495,0
3.116943,3.045959,0
3.119629,3.046509,0
0.637207,0.613586,0
0.62439,0.610962,0
0.621155,0.607178,0
0.623352,0.605164,0
0.621582,0.605957,0
0.620544,0.60553,0
0.622925,0.606628,0
0.624023,0.608032,0
0.621765,0.604675,0
0.621399,0.607971,0
1.950989,1.897827,0
1.930908,1.886353,0
1.975769,1.919617,0
1.95105,1.906189,0
1.958557,1.909729,0
1.976929,1.932373,0
1.929565,1.883911,0
1.943054,1.897766,0
1.96875,1.925171,0
1.940186,1.88208,0
3.119324,3.047302,0
3.1297,3.062805,0
3.167114,3.096985,0
3.144104,3.070679,0
3.138428,3.063293,0
3.102722,3.022583,0
