@relation problema
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'instructions' real
@attribute 'page-faults' real
@attribute 'power/energy-psys/' real
@attribute 'power/energy-pkg/' real
@attribute 'power/energy-cores/' real
@attribute 'power/energy-ram/' real
@attribute 'power/energy-gpu/' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
69248060,226554,47027293,235269,47027844,235623,152494,944396,102242725,3948,73210990,2415,1152,249874638,142,0.85,0.35,0.35,0.01,0.0,27462776,27162000,0,41585441,0
252705914,293795,155973300,683423,155935750,679272,142159,2102591,504512677,113860,253736818,15293,105042,774365577,129,4.25,1.67,1.62,0.07,0.0,136440456,98099000,38038000,150372494,0
110879377,397860,74447309,438984,75980221,416944,456804,2350786,385601149,110331,116113934,18229,113758,389451964,1891,3.19,1.22,1.17,0.06,0.0,104484482,70103000,34050000,118596435,0
246915476,312178,153072564,734751,152939958,730218,135171,2098066,500094306,114172,247741458,11075,105647,759646660,131,4.15,1.65,1.6,0.07,0.0,135783698,106413000,29113000,149996615,0
253373607,313117,155517642,665712,155600661,659060,185691,2235871,509775773,115505,255008413,18605,106112,777739430,128,4.24,1.66,1.61,0.07,0.0,136541298,101171000,35059000,150747273,0
97799244,262588,64142405,421871,64058801,418156,136727,1626544,348797575,111210,98177373,201315,510179,334085915,136,2.87,1.07,1.03,0.05,0.0,94239712,67028000,27011000,108083811,0
252722217,308293,156183220,630131,156426796,630615,152108,2249775,504612788,114796,255555127,34040,105376,776344420,128,4.13,1.6,1.56,0.07,0.0,139003616,110817000,27953000,153342647,0
250663066,327801,156083526,718601,156132084,717031,235073,2345408,508599816,115153,251407938,33474,105920,777778381,128,4.39,1.67,1.62,0.07,0.0,136751064,115483000,21088000,150720715,0
253797861,275668,156115363,667101,155609423,661984,155631,2189736,508691671,114923,254036339,125876,106354,775921997,130,4.26,1.67,1.61,0.07,0.0,138977099,108702000,30195000,153076138,0
244111256,341394,154382095,652898,159680047,654137,155952,2151060,503162604,114923,252565800,121957,109866,757288747,325,4.25,1.69,1.63,0.07,0.0,135805501,115757000,19958000,149993130,0
71619500,183882,46549445,185445,46642726,186011,135070,899382,98443830,4192,72742726,2737,1185,252204837,137,0.87,0.34,0.34,0.01,0.0,27044668,24812000,1984000,41175412,0
251921655,301122,155707107,632081,155736038,630444,152357,2119996,504192882,114897,252604819,31339,105800,772554891,129,4.17,1.67,1.62,0.07,0.0,136493568,107268000,29072000,150374367,0
69536027,186753,43885137,183584,43899083,184391,140239,851056,95620362,4001,70847260,4814,1499,239100455,136,0.81,0.33,0.32,0.01,0.0,26289737,26081000,0,40501878,0
