@relation problema
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'instructions' real
@attribute 'page-faults' real
@attribute 'power/energy-psys/' real
@attribute 'power/energy-pkg/' real
@attribute 'power/energy-cores/' real
@attribute 'power/energy-ram/' real
@attribute 'power/energy-gpu/' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
252707012,286933,157876566,687894,157243857,694225,181697,2631815,505888188,117130,249755657,12440,106825,781790680,131,4.59,1.66,1.6,0.08,0.0,159083685,119403000,39132000,215363794,0
251175720,299305,155490987,679516,156082373,676302,145176,2070392,501783782,114723,252614607,8119,106538,771135500,127,4.22,1.68,1.62,0.07,0.0,135620853,110317000,25072000,149930746,0
247151187,463379,152627083,710247,157864670,713658,191704,2290354,504689216,113209,255941056,11308,165195,768058698,715,4.12,1.72,1.67,0.07,0.0,136478298,104147000,32045000,150642627,0
252836855,306383,156118697,671937,156073619,674784,149080,2080334,508845555,114705,255594017,36997,105538,778754332,129,4.2,1.7,1.66,0.07,0.0,137217123,107921000,28978000,151280202,0
252726318,272633,156071705,678915,155898962,678575,199444,2226980,505274898,114992,253249341,9497,188320,773709154,129,4.31,1.68,1.62,0.07,0.0,137019169,109641000,27158000,150914761,0
253128229,434072,157095816,756991,155786069,691603,236490,2377745,508833387,126045,256193151,37045,112120,780767927,143,4.04,1.69,1.64,0.07,0.0,137513267,112214000,25047000,151642074,0
250274443,322750,156028383,684877,156120091,686794,149728,2159352,511462249,114996,252228324,10186,105592,778964711,129,4.3,1.7,1.65,0.07,0.0,138668640,114294000,24061000,153049802,0
249387031,301528,155585901,672411,155687834,671776,131502,2087294,504607146,114196,251416955,10277,105158,773388080,130,4.16,1.71,1.66,0.07,0.0,136635778,107514000,28869000,150739189,0
69947144,217645,46425374,181689,46432715,181381,145838,897059,100022647,3914,73170717,2816,1207,252096580,136,0.81,0.34,0.33,0.02,0.0,26937052,22765000,3959000,41020140,0
95591557,277801,63353698,415213,63545775,413765,132071,1566518,341758039,111554,96293625,5341,104336,332515026,135,2.71,1.07,1.03,0.05,0.0,92348583,62969000,28985000,106549395,0
255581087,252854,157758238,676160,157371985,673408,153927,2183511,508397734,115085,255017778,10142,105773,786140558,130,4.27,1.7,1.65,0.07,0.0,138628893,103255000,35086000,152904437,0
252545071,317461,156905294,720085,156906741,717781,155818,2097817,509015273,114342,253213312,13612,105047,781418348,131,4.18,1.65,1.61,0.07,0.0,137306386,105979000,30993000,151317168,0
250569378,256700,155179617,717284,156095304,721377,258100,2519463,509203025,118485,252478607,215218,105287,774973832,130,4.19,1.61,1.56,0.07,0.0,139523041,109193000,30053000,153705276,0
42328313,227829,21655131,136080,21642609,142467,171053,812089,53775726,3448,31821871,3596,2493,128192492,592,0.43,0.18,0.17,0.01,0.0,14234074,11003000,3000000,28131614,0
71072181,177332,45639573,181582,46036524,198929,175310,952729,95765685,5876,72315746,1735,1826,257237945,330,0.81,0.33,0.32,0.01,0.0,26504372,25284000,972000,40614735,0
68731024,222767,46427317,182273,46386235,182360,147456,783796,98237414,3697,72363812,2674,1893,247972200,138,0.84,0.35,0.34,0.01,0.0,26469239,26255000,0,40513721,0
66348104,214979,42822023,178390,42837925,178707,140047,779848,94831127,3625,69844393,4948,1702,237355498,134,0.8,0.33,0.31,0.01,0.0,25677809,22418000,2924000,39765192,0
70033592,168103,43218535,178110,43088952,179047,146988,829039,95064273,4422,71191165,3921,1453,240543011,135,0.88,0.34,0.32,0.01,0.0,26157289,23908000,1992000,40411141,0
251457525,307325,155573808,672937,155584205,663744,134636,2033174,503139839,114467,252385376,27535,105936,771470389,130,4.28,1.69,1.63,0.07,0.0,135978521,97793000,37919000,150173754,0
58458754,182110,57776010,186334,57810675,186988,129054,863813,108772653,4095,60253346,3778,1504,296180551,133,0.97,0.39,0.37,0.02,0.0,29464077,28205000,1007000,43619948,0
151590735,297716,34717118,2036059,35276489,2068452,147368,4179084,1003573665,32013,151632500,7391,8725,286471904,134,7.99,2.89,2.79,0.16,0.0,302339360,299970000,1999000,364610025,1
35326754,109849,4864892,131573,4816433,127252,65511,1034004,206321688,5112,35580506,747,1428,198568239,66,1.62,0.6,0.57,0.03,0.0,56284560,55000000,1000000,70300753,1
37353963,163207,10200788,75041,10194645,75952,103410,1020925,198049570,5008,37739455,648,1825,255845348,128,1.44,0.54,0.53,0.03,0.0,54008309,52750000,995000,68284081,1
25872884,125607,7167129,118954,7330922,127023,100302,890901,117265759,5045,25443913,1308,1466,141392287,129,0.89,0.35,0.34,0.02,0.0,31618688,29427000,1961000,45811022,1
2533958,159417,6959609,87919,7027980,82929,116064,1198820,244153485,7021,2632895,1274,2117,240465113,135,1.8,0.69,0.66,0.03,0.0,65559724,65331000,0,79641580,1
324537489,411897,86853110,234519,86834496,233301,136831,4544455,1200354149,32805,325135643,5582,9254,974596098,134,9.23,3.58,3.47,0.17,0.0,324688537,324479000,0,338631508,1
22921808,111582,3329054,60382,3323605,59891,94627,802100,108682954,3526,22979386,369,765,99985831,133,0.84,0.33,0.31,0.02,0.0,29558050,29392000,0,43594176,1
3773887,297384,111744838,167339,111780842,165564,116840,2884628,763177625,19249,3366023,3693,5808,1085238189,133,5.43,2.0,1.92,0.11,0.0,206577738,203444000,2991000,220582513,1
223516801,336191,123881214,187954,123913879,181441,153006,3169773,800018555,20990,223480817,3292,6043,1193513249,133,6.13,2.36,2.28,0.11,0.0,216322665,214999000,999000,230554902,1
36640673,150912,6905510,199898,6855365,189158,148008,1596257,257783821,8607,36517807,1126,1787,158977435,194,1.94,0.74,0.72,0.04,0.0,71047342,70767000,0,85315935,1
