file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-cores/,duration_time,user_time,system_time,perf_time
7666283.exe,748998355,5441786,461623342,5065825,465139189,5066331,739462,4675076,1349200356,1595078,748405623,242,331618,2341912379,2567,9.73,8.12,401340874,374085000,27006000,422838915
7863059.exe,31429894,5422141,35992706,3240186,33532550,3152867,514337,3572119,186861064,339771,31379134,3,8973,222024737,1822,1.3,1.06,59019210,54587000,4043000,79309213
7919595.exe,805496432,14518677,486300948,5928364,484384430,5897945,1825155,9963902,1589515166,2978477,800715602,1776,348334,2603608437,3980,11.62,9.71,466553141,433189000,33014000,488854193
8029926.exe,761534587,5398584,463435312,5035524,463011409,5023362,794866,4731157,1349193208,1662241,754356215,1904,312289,2344171359,3647,9.68,8.08,398222465,354830000,42979000,419514259
8073980.exe,231287648,6887260,153750530,4422000,150281572,4401454,540703,4407034,615938062,1727704,223024506,687,283497,766636956,1696,4.43,3.67,183987965,150591000,33130000,205177509
8074507.exe,281286177,7382567,170972059,4156086,172139309,4174831,869141,4950323,563299304,701539,285363767,38,48184,953842620,5996,4.12,3.42,169858492,152534000,16838000,190880154
8165818.exe,264095946,5174327,167790960,3752506,164577891,3746063,700182,3868566,669304387,1780960,271768851,1332,107306,922597163,4041,4.88,4.07,196625722,153242000,43068000,217710638
8207584.exe,249538717,9588249,181955531,4976271,181439206,4970049,493760,6147288,569587939,1092510,249131916,473,38898,969555835,2278,4.03,3.34,170696348,163391000,7016000,191643805
8261100.exe,257050228,10959691,158197093,2449504,155069096,2442812,1383025,6923016,566112959,1625694,253069517,716,57641,897341318,7820,4.08,3.38,170652517,154296000,16030000,190503082
8341326.exe,223516585,13309141,197000277,2799463,196517246,2801251,1655849,8411436,649298363,2766000,224837090,73,54204,992207772,3406,4.61,3.81,194799709,188458000,6014000,215889100
8346248.exe,732160012,5282482,454366099,4994140,454288636,4998727,707254,4584089,1317290608,1616963,728071868,10058,272998,2276897671,3449,9.52,7.96,390428156,354113000,36011000,410433509
8414692.exe,245202442,4405099,158300402,3852632,154418109,3738191,723518,3607052,523146908,390848,243865172,154,13714,886273683,3653,3.8,3.16,157917514,150671000,7031000,178360728
8470877.exe,337710181,10006578,196141906,3983700,193100844,3954284,1607693,6957634,660429267,1565480,329033187,64815,44026,1146251200,6388,4.89,4.06,198979758,184734000,13979000,220080239
8537684.exe,266192522,12522586,169609817,4107262,173256616,4069499,1428624,8434246,621788605,1631567,277081620,33,41309,986195196,3403,4.54,3.78,181760018,173572000,7934000,202802353
8601923.exe,263769237,11541897,202563738,4089967,203955522,4097488,2511034,8426438,772285900,3851867,263806147,200638,66736,1140247534,6668,5.51,4.55,232295763,214978000,16998000,253422265
8613113.exe,769967823,7493868,508103646,2422700,507880690,2428824,310778,5391908,1388262464,1060534,769292445,39,224629,2748621989,355,10.06,8.39,411868211,370661000,40852000,432888853
8627888.exe,720213260,4565310,443929281,4662270,444317092,4671135,630389,4181558,1332799574,1720944,716090567,965,330274,2239776531,2568,9.61,8.03,395189021,352894000,41987000,416369706
8699117.exe,283629156,5248574,184531936,4109417,183723142,4106017,766117,3761827,704667303,1647526,288923488,618,177790,1040433035,2571,5.02,4.17,210158405,177868000,31976000,230047077
